player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jordan Addison,123000,WR,PITTSBURGH,1,13.2,0,82.4,100.0,2,2,0,6.7,1,8,268,0,68.7,73.5,86.1,,84.0,0.0,0,0,62,0.0,0,47,0,14,93.6,44,57.4,27,155.8,17,4,42.6,20,202,82,5.9,14.4,4.59
Romeo Doubs,84329,WR,NEVADA,1,18.3,3,64.7,33.3,1,3,0,0.0,0,6,239,0,81.5,69.4,74.7,,74.0,0.0,0,0,61,0.0,0,53,0,11,90.6,48,13.2,7,135.4,17,2,86.8,46,164,43,3.9,14.9,3.42
Chris Pierce,61794,WR,VANDERBILT,1,10.6,3,62.5,0.0,0,1,0,9.1,1,6,333,0,62.9,67.9,71.3,,71.8,0.0,0,0,26,0.0,0,55,1,10,94.5,52,16.4,9,83.6,16,0,83.6,46,113,36,3.6,11.3,2.17
David Bell,97989,WR,PURDUE,1,6.6,1,81.3,0.0,0,1,0,7.1,1,5,273,0,67.5,68.7,66.1,,65.7,0.0,0,0,21,0.0,0,46,0,13,89.1,41,19.6,9,92.2,16,0,80.4,37,98,35,2.7,7.5,2.39
Rome Odunze,73774,WR,WASHINGTON,1,10.2,1,60.0,,0,0,0,18.2,2,4,340,0,44.7,67.5,58.1,,59.3,0.0,0,0,17,0.0,0,59,0,9,100.0,59,64.4,38,93.2,15,1,33.9,20,68,41,4.6,7.6,1.15
Jerreth Sterns,102597,WR,W KENTUCKY,1,6.0,2,80.0,100.0,2,2,0,0.0,0,8,346,0,82.2,73.3,81.5,,80.8,0.0,0,1,28,0.0,0,52,1,12,88.5,46,92.3,48,100.8,15,1,7.7,4,143,101,8.4,11.9,3.11
Skyy Moore,97116,WR,W MICHIGAN,1,7.6,7,85.7,0.0,0,1,0,7.7,1,7,347,0,66.4,69.2,82.1,,79.6,0.0,0,1,74,0.0,0,35,0,12,97.1,34,42.9,15,112.8,14,1,57.1,20,181,95,7.9,15.1,5.32
Jaivon Heiligh,84159,WR,COAST CAR,1,9.4,0,71.4,0.0,0,1,0,0.0,0,8,141,0,80.9,72.3,87.2,,88.2,0.0,0,0,19,0.0,0,33,0,10,100.0,33,27.3,9,115.5,14,1,72.7,24,101,10,1.0,10.1,3.06
Jacob Cowing,100894,WR,UTEP,1,12.5,3,78.6,50.0,1,2,0,0.0,0,9,330,0,81.5,68.2,89.8,,88.3,0.0,0,1,32,0.0,0,36,1,11,94.4,34,72.2,26,111.3,14,1,27.8,10,170,54,4.9,15.5,5.0
Keytaon Thompson,60457,WR,VIRGINIA,1,7.7,1,78.6,100.0,3,3,1,8.3,1,7,335,0,64.6,70.4,74.4,70.0,73.8,5.9,3,0,23,2.0,1,51,1,11,92.2,47,66.7,34,128.0,14,1,19.6,10,126,53,4.8,11.5,2.68
Charlie Kolar,60917,TE,IOWA STATE,1,10.2,0,85.7,100.0,3,3,0,0.0,0,8,193,1,82.2,21.4,79.2,53.4,76.6,25.9,15,1,28,6.9,4,58,0,12,89.7,52,67.2,39,106.0,14,1,6.9,4,152,38,3.2,12.7,2.92
Jake Bobo,77997,WR,DUKE,1,10.7,1,64.3,50.0,1,2,0,0.0,0,7,154,0,80.1,67.5,72.6,,73.4,0.0,0,1,19,0.0,0,43,0,9,93.0,40,2.3,1,56.3,14,0,97.7,42,102,30,3.3,11.3,2.55
Gary Bryant Jr.,131819,WR,USC,1,14.9,1,69.2,50.0,2,4,0,10.0,1,6,326,0,61.0,69.1,72.4,,72.1,0.0,0,1,44,0.0,0,51,0,9,86.3,44,51.0,26,105.0,13,1,49.0,25,161,35,3.9,17.9,3.66
Josh Johnson,61329,WR,TULSA,1,15.5,1,76.9,60.0,3,5,0,9.1,1,9,320,0,62.9,67.9,82.8,,82.5,0.0,0,0,42,0.0,0,33,0,10,90.9,30,100.0,33,142.8,13,1,0.0,0,159,39,3.9,15.9,5.3
Jameson Williams,101701,WR,ALABAMA,1,14.9,4,61.5,100.0,1,1,0,11.1,1,4,103,0,58.9,67.1,76.5,,75.8,0.0,0,0,79,0.0,0,47,0,8,95.7,45,40.4,19,145.0,13,3,59.6,28,190,71,8.9,23.8,4.22
Tay Martin,61811,WR,OKLA STATE,1,16.5,1,53.8,0.0,0,1,0,22.2,2,7,262,0,37.6,66.7,72.4,,71.9,0.0,0,0,38,0.0,0,43,0,7,90.7,39,7.0,3,88.6,13,0,93.0,40,130,39,5.6,18.6,3.33
Tory Horton,128232,WR,NEVADA,1,9.7,2,61.5,,0,0,0,11.1,1,6,239,0,58.9,67.1,69.0,,68.3,0.0,0,0,49,0.0,0,52,0,8,92.3,48,13.5,7,87.0,13,0,86.5,45,105,26,3.3,13.1,2.19
Grant DuBose,111276,WR,CHARLOTTE,1,13.8,1,46.2,50.0,3,6,0,25.0,2,4,136,0,33.4,66.2,62.2,,61.7,0.0,0,1,24,0.0,0,45,0,6,86.7,39,13.3,6,30.9,13,0,86.7,39,70,29,4.8,11.7,1.79
Jaylin Lane,121811,WR,MIDDLE TN,1,11.9,6,76.9,100.0,1,1,0,0.0,0,5,224,0,80.9,73.0,81.0,,85.3,0.0,0,0,34,0.0,0,29,1,10,96.6,28,13.8,4,126.1,13,1,86.2,25,107,77,7.7,10.7,3.82
John Metchie III,97400,WR,ALABAMA,1,10.3,1,76.9,100.0,1,1,0,16.7,2,7,103,0,47.1,67.9,77.6,,78.5,0.0,0,0,33,0.0,0,46,0,10,95.7,44,54.3,25,143.9,13,1,45.7,21,173,93,9.3,17.3,3.93
Milton Wright,97775,WR,PURDUE,1,19.8,1,66.7,50.0,1,2,0,0.0,0,7,273,0,80.1,67.5,92.8,,91.9,0.0,0,0,53,0.0,0,39,0,8,87.2,34,10.3,4,149.3,12,3,89.7,35,218,72,9.0,27.3,6.41
Stanley Berryhill III,61128,WR,ARIZONA,1,8.4,0,41.7,33.3,1,3,0,16.7,1,2,109,0,49.8,73.7,53.1,,54.1,0.0,0,1,18,0.0,0,44,1,5,93.2,41,75.0,33,17.7,12,0,22.7,10,45,20,4.0,9.0,1.1
Xavier Worthy,144718,WR,TEXAS,1,8.8,0,58.3,,0,0,0,12.5,1,3,311,1,56.4,16.5,65.0,,64.6,0.0,0,1,52,0.0,0,34,0,7,97.1,33,26.5,9,73.3,12,1,73.5,25,85,48,6.9,12.1,2.58
Dontayvion Wicks,99711,WR,VIRGINIA,1,12.8,0,83.3,75.0,3,4,0,0.0,0,7,335,1,80.9,19.7,70.5,,69.7,0.0,0,0,36,0.0,0,53,0,10,96.2,51,9.4,5,116.0,12,0,90.6,48,142,21,2.1,14.2,2.78
Je'Quan Burton,87729,WR,FAU,1,6.6,2,58.3,0.0,0,2,0,12.5,1,4,165,0,56.8,69.0,62.1,,63.5,0.0,0,2,19,0.0,0,48,1,7,89.6,43,22.9,11,38.9,12,0,77.1,37,80,49,7.0,11.4,1.86
Jacob Copeland,84176,WR,FLORIDA,1,6.4,0,66.7,0.0,0,1,0,11.1,1,5,163,0,58.9,67.1,67.3,,66.7,0.0,0,0,49,0.0,0,29,0,8,96.6,28,34.5,10,93.1,12,0,65.5,19,102,73,9.1,12.8,3.64
Steve Jenkins,101350,WR,UNLV,1,14.0,1,41.7,28.6,2,7,0,16.7,1,5,325,0,50.3,65.7,74.8,,74.2,0.0,0,2,80,0.0,0,38,0,5,97.4,37,31.6,12,49.3,12,0,68.4,26,176,79,15.8,35.2,4.76
Jaquarii Roberson,55454,WR,WAKE,1,12.7,2,50.0,33.3,2,6,0,14.3,1,4,339,0,53.8,66.2,73.3,,72.6,0.0,0,0,31,0.0,0,39,0,6,100.0,39,89.7,35,76.0,12,0,10.3,4,93,27,4.5,15.5,2.38
Cole Tucker,61537,WR,N ILLINOIS,1,6.4,0,90.9,100.0,1,1,0,0.0,0,4,254,1,80.9,22.4,71.1,,70.7,0.0,0,0,15,0.0,0,21,0,10,100.0,21,47.6,10,100.4,11,0,52.4,11,89,23,2.3,8.9,4.24
Bo Melton,61610,WR,RUTGERS,1,12.6,0,27.3,0.0,0,3,0,0.0,0,2,278,0,74.9,69.9,68.9,,67.3,0.0,0,0,34,0.0,0,32,0,3,93.8,30,25.0,8,44.9,11,0,75.0,24,47,27,9.0,15.7,1.57
DJ England-Chisolm,97068,WR,MIDDLE TN,1,5.4,1,81.8,50.0,1,2,0,0.0,0,2,224,0,80.9,67.9,67.7,,67.0,0.0,0,0,12,0.0,0,30,0,9,86.7,26,6.7,2,89.4,11,0,93.3,28,60,62,6.9,6.7,2.31
Trey McBride,75916,TE,COLO STATE,1,11.5,2,54.5,50.0,2,4,0,14.3,1,4,144,0,53.4,66.2,71.0,69.7,71.4,63.2,36,1,33,8.8,5,57,1,6,89.5,51,24.6,14,43.4,11,0,12.3,7,89,29,4.8,14.8,1.75
Tank Dell,78874,WR,HOUSTON,1,12.5,3,63.6,0.0,0,2,0,22.2,2,4,182,0,41.2,67.1,71.5,,69.6,0.0,0,0,29,0.0,0,45,0,7,93.3,42,77.8,35,123.3,11,1,22.2,10,100,70,10.0,14.3,2.38
Dante Wright,97188,WR,COLO STATE,1,10.4,2,72.7,100.0,1,1,0,0.0,0,5,144,0,79.3,71.1,75.7,,78.6,10.0,5,0,62,0.0,0,50,1,8,98.0,49,42.0,21,145.1,11,1,48.0,24,150,59,7.4,18.8,3.06
Jelani Woods,60509,TE,VIRGINIA,1,13.0,2,54.5,33.3,1,3,0,14.3,1,3,335,0,53.4,66.2,62.4,74.4,61.0,53.7,22,1,40,14.6,6,41,0,6,80.5,33,29.3,12,68.4,11,1,9.8,4,75,39,6.5,12.5,2.27
Ryan O'Keefe,101139,WR,UCF,1,1.4,4,81.8,,0,0,0,0.0,0,3,323,1,80.1,21.3,70.4,,72.1,6.1,2,0,19,0.0,0,33,0,9,87.9,29,33.3,11,87.9,11,0,60.6,20,56,51,5.7,6.2,1.93
Samori Toure,25276,WR,NEBRASKA,1,15.6,0,63.6,50.0,1,2,0,0.0,0,6,238,0,78.5,66.7,87.9,,88.1,0.0,0,0,42,0.0,0,25,0,7,96.0,24,56.0,14,128.2,11,1,40.0,10,113,19,2.7,16.1,4.71
Michael Wilson,84423,WR,STANFORD,1,6.9,1,54.5,0.0,0,2,0,0.0,0,4,300,0,78.5,66.7,69.1,,68.7,2.1,1,1,19,0.0,0,48,0,6,87.5,42,14.6,7,32.8,11,0,83.3,40,61,32,5.3,10.2,1.45
Audie Omotosho,42280,WR,E CAROLINA,1,12.2,1,63.6,33.3,1,3,0,12.5,1,3,156,0,56.4,66.7,62.5,,63.8,0.0,0,0,28,0.0,0,35,0,7,97.1,34,14.3,5,89.2,11,0,85.7,30,90,31,4.4,12.9,2.65
Jalen Tolbert,61637,WR,S ALABAMA,1,9.1,0,63.6,100.0,3,3,0,22.2,2,4,288,0,37.6,66.7,68.7,,71.8,0.0,0,0,68,0.0,0,40,1,7,100.0,40,32.5,13,137.5,11,1,67.5,27,143,93,13.3,20.4,3.58
Donovan Edwards,144917,HB,MICHIGAN,1,2.9,1,90.9,,0,0,0,0.0,0,4,222,0,80.9,70.2,78.1,9.1,92.0,0.0,0,0,77,4.5,1,22,0,10,90.9,20,9.1,2,149.1,11,1,9.1,2,170,140,14.0,17.0,8.5
Tahj Washington,97288,WR,USC,1,8.4,1,36.4,25.0,1,4,0,20.0,1,2,326,0,53.4,66.2,55.9,,57.8,0.0,0,1,14,0.0,0,39,2,4,84.6,33,7.7,3,8.5,11,0,92.3,36,37,18,4.5,9.3,1.12
Charleston Rambo,61569,WR,MIAMI FL,1,14.7,1,63.6,50.0,1,2,0,0.0,0,4,220,0,78.5,66.7,73.5,,74.5,0.0,0,0,39,0.0,0,31,0,7,93.5,29,32.3,10,99.1,11,0,67.7,21,116,20,2.9,16.6,4.0
Josh Downs,122832,WR,N CAROLINA,1,5.6,1,72.7,0.0,0,1,0,11.1,1,5,245,0,59.3,70.0,70.6,,70.4,0.0,0,0,23,0.0,0,29,0,8,100.0,29,100.0,29,96.4,11,0,0.0,0,89,31,3.9,11.1,3.07
