player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tyrese Chambers,109628,WR,FIU,1,11.2,1,75.0,100.0,3,3,0,18.2,2,6,166,0,44.7,69.0,75.5,,75.8,0.0,0,0,36,0.0,0,36,0,9,100.0,36,2.8,1,111.1,12,0,94.4,34,134,26,2.9,14.9,3.72
Devin Voisin,97427,WR,S ALABAMA,1,11.8,1,75.0,100.0,1,1,0,0.0,0,6,288,0,80.1,67.5,66.0,,69.3,0.0,0,1,21,0.0,0,49,1,9,93.9,46,26.5,13,63.5,12,0,73.5,36,97,36,4.0,10.8,2.11
Smoke Harris,78918,WR,LA TECH,1,1.6,2,54.5,,0,0,0,40.0,4,3,208,0,15.8,71.8,53.0,,53.6,0.0,0,0,29,0.0,0,43,0,6,93.0,40,90.7,39,69.9,11,0,9.3,4,59,49,8.2,9.8,1.48
Evan Stewart,158674,WR,TEXAS A&M,1,13.6,0,54.5,40.0,2,5,0,0.0,0,5,312,0,78.5,66.7,72.2,,71.8,0.0,0,1,25,0.0,0,53,0,6,90.6,48,9.4,5,42.6,11,0,90.6,48,87,15,2.5,14.5,1.81
Luke McCaffrey,101634,WR,RICE,1,9.4,4,90.9,66.7,2,3,0,9.1,1,7,275,0,62.9,70.2,86.9,,86.5,0.0,0,0,66,0.0,0,28,0,10,100.0,28,71.4,20,158.3,11,2,28.6,8,171,80,8.0,17.1,6.11
Kris Mitchell,97659,WR,FIU,1,10.2,0,81.8,60.0,3,5,0,0.0,0,5,166,0,80.1,67.5,77.0,,74.9,0.0,0,1,18,0.0,0,32,0,9,100.0,32,6.3,2,94.3,11,1,93.8,30,93,6,0.7,10.3,2.91
Jalen McMillan,131905,WR,WASHINGTON,1,13.2,1,72.7,,0,0,0,0.0,0,5,340,0,80.9,73.2,71.4,,72.6,0.0,0,0,19,0.0,0,47,1,8,91.5,43,87.2,41,123.7,11,1,10.6,5,81,28,3.5,10.1,1.88
Michael Mayer,122906,TE,NOTRE DAME,1,9.6,0,54.5,33.3,1,3,0,25.0,2,4,258,0,33.4,66.2,74.1,,74.4,51.7,15,0,34,0.0,0,29,0,6,100.0,29,27.6,8,121.4,11,1,20.7,6,115,35,5.8,19.2,3.97
Donavon Greene,97813,WR,WAKE,1,14.7,0,45.5,75.0,3,4,0,16.7,1,4,339,0,29.1,65.7,64.3,,64.5,0.0,0,1,23,0.0,0,32,0,5,87.5,28,12.5,4,26.3,11,0,87.5,28,64,9,1.8,12.8,2.29
Jehlani Galloway,77971,WR,W MICHIGAN,1,7.1,1,60.0,0.0,0,1,0,14.3,1,3,347,0,53.4,66.2,64.1,,64.2,0.0,0,0,14,0.0,0,35,0,6,97.1,34,40.0,14,73.3,10,0,60.0,21,51,27,4.5,8.5,1.5
Elijah Spencer,145575,WR,CHARLOTTE,1,17.2,0,60.0,100.0,2,2,0,14.3,1,4,136,0,53.8,66.2,64.9,,64.5,0.0,0,1,23,0.0,0,46,0,6,97.8,45,10.9,5,44.6,10,0,89.1,41,77,15,2.5,12.8,1.71
Keytaon Thompson,60457,WR,VIRGINIA,1,6.0,4,70.0,33.3,1,3,0,0.0,0,3,335,0,78.5,67.8,72.2,,77.2,45.2,14,1,31,0.0,0,31,0,7,93.5,29,51.6,16,57.9,10,0,3.2,1,89,38,5.4,12.7,3.07
Jalen Cropper,97273,WR,FRESNO ST,1,11.0,3,90.0,,0,0,0,0.0,0,7,169,0,80.1,67.5,89.9,,89.1,0.0,0,1,75,0.0,0,28,0,9,92.9,26,25.0,7,112.5,10,1,75.0,21,158,80,8.9,17.6,6.08
Corey Crooms Jr.,97276,WR,W MICHIGAN,1,14.4,0,30.0,0.0,0,1,0,0.0,0,1,347,0,73.1,64.1,53.1,,52.6,0.0,0,0,6,0.0,0,35,0,3,97.1,34,65.7,23,39.6,10,0,34.3,12,17,-1,-0.3,5.7,0.5
Jerjuan Newton,97308,WR,TOLEDO,1,11.1,1,60.0,100.0,1,1,0,0.0,0,2,316,0,77.5,66.2,62.7,,60.9,3.8,2,2,12,0.0,0,53,0,6,100.0,53,24.5,13,35.0,10,0,71.7,38,54,12,2.0,9.0,1.02
Tyrin Smith,145487,WR,UTEP,1,8.7,1,70.0,,0,0,0,12.5,1,5,330,0,56.4,67.8,68.9,,68.2,0.0,0,0,20,0.0,0,32,0,7,90.6,29,71.9,23,89.6,10,0,28.1,9,70,31,4.4,10.0,2.41
Bryson Green,144651,WR,OKLA STATE,1,15.0,2,50.0,100.0,2,2,0,0.0,0,5,262,0,76.3,65.9,64.4,62.1,64.5,0.0,0,0,41,1.4,1,74,0,5,87.8,65,8.1,6,129.2,10,1,91.9,68,133,61,12.2,26.6,2.05
Reynaldo Flores,83794,WR,UTEP,1,9.1,1,60.0,33.3,1,3,0,25.0,2,3,330,0,33.4,66.2,60.8,,60.4,6.5,2,1,19,0.0,0,31,0,6,93.5,29,9.7,3,65.8,10,1,83.9,26,48,23,3.8,8.0,1.66
Kazmeir Allen,83782,WR,UCLA,1,5.3,2,80.0,0.0,0,2,0,0.0,0,4,324,0,79.3,67.8,69.4,,69.2,8.8,3,1,19,0.0,0,34,0,8,94.1,32,52.9,18,44.6,10,0,38.2,13,42,48,6.0,5.3,1.31
Marvin Harrison Jr.,145056,WR,OHIO STATE,1,7.8,0,70.0,100.0,1,1,0,0.0,0,4,260,0,78.5,66.7,71.1,,70.5,0.0,0,0,18,0.0,0,33,0,7,93.9,31,6.1,2,119.6,10,1,93.9,31,62,18,2.6,8.9,2.0
Jalen Wayne,61640,WR,S ALABAMA,1,5.8,1,90.0,0.0,0,1,0,0.0,0,5,288,0,80.1,67.5,61.6,,61.3,0.0,0,0,16,0.0,0,49,0,9,93.9,46,20.4,10,95.0,10,0,79.6,39,68,19,2.1,7.6,1.48
Elijah Higgins,98027,WR,STANFORD,1,6.9,2,60.0,0.0,0,2,0,14.3,1,4,300,0,56.4,67.8,68.2,,68.2,0.0,0,1,19,0.0,0,56,0,6,98.2,55,75.0,42,42.9,10,0,25.0,14,73,39,6.5,12.2,1.33
Grant DuBose,111276,WR,CHARLOTTE,1,14.3,0,40.0,0.0,0,3,0,33.3,2,3,136,0,26.0,69.1,50.5,,50.6,0.0,0,2,28,0.0,0,51,0,4,96.1,49,9.8,5,15.8,10,0,90.2,46,48,16,4.0,12.0,0.98
Tank Dell,78874,WR,HOUSTON,1,8.7,0,80.0,100.0,1,1,0,11.1,1,5,182,1,59.3,20.8,63.8,,63.4,0.0,0,0,23,0.0,0,37,0,8,94.6,35,24.3,9,145.0,10,2,75.7,28,93,48,6.0,11.6,2.66
Johnny Langan,77617,TE,RUTGERS,1,4.5,1,60.0,50.0,2,4,0,0.0,0,3,278,0,77.5,67.4,72.2,71.1,77.4,78.6,22,0,8,21.4,6,28,1,6,71.4,20,14.3,4,64.6,10,0,0.0,0,24,6,1.0,4.0,1.2
Stephon Johnson,157794,WR,OKLA STATE,1,12.3,0,60.0,50.0,2,4,0,0.0,0,3,262,0,77.5,66.2,65.6,54.4,66.8,0.0,0,1,25,1.8,1,56,0,6,91.1,51,3.6,2,50.0,10,0,96.4,54,90,34,5.7,15.0,1.76
Alex Adams,124085,WR,AKRON,1,12.4,1,90.0,100.0,2,2,0,0.0,0,9,102,0,80.1,67.5,81.0,,80.1,0.0,0,1,80,0.0,0,52,0,9,98.1,51,100.0,52,112.5,10,1,0.0,0,199,96,10.7,22.1,3.9
Rakim Jarrett,129519,WR,MARYLAND,1,3.2,1,80.0,0.0,0,1,0,11.1,1,4,215,0,41.2,67.1,69.5,,69.0,0.0,0,0,30,0.0,0,32,0,8,90.6,29,96.9,31,134.2,10,1,3.1,1,82,59,7.4,10.3,2.83
Quian Williams,61237,WR,BUFFALO,1,10.2,1,50.0,25.0,1,4,0,0.0,0,2,126,0,76.3,67.7,58.2,,57.8,0.0,0,0,12,0.0,0,35,0,5,100.0,35,5.7,2,59.2,10,0,94.3,33,37,10,2.0,7.4,1.06
Jake Bobo,77997,WR,UCLA,1,13.2,0,80.0,100.0,2,2,0,0.0,0,5,324,0,79.3,67.1,78.0,,81.0,0.0,0,0,22,0.0,0,41,0,8,95.1,39,58.5,24,142.1,10,1,39.0,16,101,20,2.5,12.6,2.59
Wyatt Wieland,101342,WR,WYOMING,1,10.9,0,60.0,100.0,1,1,0,0.0,0,5,351,0,77.5,71.9,83.0,61.0,83.4,0.0,0,0,39,5.3,1,19,0,6,94.7,18,73.7,14,91.3,10,0,26.3,5,94,19,3.2,15.7,5.22
Elijhah Badger,131603,WR,ARIZONA ST,1,21.3,1,66.7,50.0,2,4,0,0.0,0,5,110,0,77.5,66.2,79.9,,79.3,0.0,0,0,39,0.0,0,35,0,6,91.4,32,34.3,12,146.8,9,1,65.7,23,118,16,2.7,19.7,3.69
Tyrone Howell,144588,WR,LA MONROE,1,4.7,1,55.6,,0,0,0,16.7,1,1,209,0,49.8,65.7,56.0,,53.9,0.0,0,1,15,0.0,0,33,0,5,100.0,33,3.0,1,21.3,9,0,97.0,32,24,14,2.8,4.8,0.73
Jahmal Banks,123373,WR,WAKE,1,14.0,0,77.8,83.3,5,6,0,0.0,0,4,339,0,78.5,66.7,84.3,,83.2,0.0,0,0,16,0.0,0,29,0,7,93.1,27,10.3,3,142.8,9,2,89.7,26,79,5,0.7,11.3,2.93
Colbie Young,162739,WR,MIAMI FL,1,12.9,1,66.7,0.0,0,2,0,0.0,0,5,220,0,77.5,66.2,67.9,,76.9,0.0,0,0,71,0.0,0,34,1,6,97.1,33,23.5,8,149.3,9,2,76.5,26,127,48,8.0,21.2,3.85
De'Corian Clark,100892,WR,UTSA,1,12.6,1,66.7,100.0,1,1,0,14.3,1,3,331,0,53.4,66.2,66.2,,65.8,0.0,0,0,25,0.0,0,47,0,6,95.7,45,8.5,4,119.7,9,1,91.5,43,54,13,2.2,9.0,1.2
Miles Marshall,84224,WR,MIAMI OH,1,12.0,1,88.9,50.0,1,2,0,0.0,0,6,221,0,79.3,67.1,73.6,,72.7,0.0,0,0,23,0.0,0,46,0,8,97.8,45,13.0,6,114.4,9,0,87.0,40,103,22,2.8,12.9,2.29
Nate McCollum,122487,WR,GA TECH,1,14.8,0,55.6,0.0,0,1,0,0.0,0,3,176,0,76.3,67.7,56.1,,59.6,0.0,0,0,25,0.0,0,47,0,5,95.7,45,97.9,46,77.1,9,0,2.1,1,62,16,3.2,12.4,1.38
Kyle Williams,128374,WR,UNLV,1,8.2,0,44.4,0.0,0,2,0,0.0,0,1,325,0,74.9,65.0,58.3,,58.9,0.0,0,0,22,0.0,0,40,1,4,97.5,39,12.5,5,55.3,9,0,85.0,34,35,32,8.0,8.8,0.9
Khaleb Hood,97159,WR,GA SOUTHRN,1,3.7,1,77.8,0.0,0,2,0,0.0,0,1,174,0,78.5,67.8,64.3,,63.2,0.0,0,0,27,0.0,0,24,0,7,91.7,22,100.0,24,88.4,9,0,0.0,0,47,33,4.7,6.7,2.14
Rome Odunze,73774,WR,WASHINGTON,1,16.2,0,66.7,0.0,0,1,0,0.0,0,3,340,0,78.5,66.7,70.1,,69.6,0.0,0,0,15,0.0,0,45,0,6,91.1,41,15.6,7,86.8,9,0,84.4,38,63,14,2.3,10.5,1.54
Ricky White,129639,WR,UNLV,1,8.3,1,44.4,,0,0,0,20.0,1,1,325,1,49.8,13.7,53.4,,50.6,0.0,0,0,26,0.0,0,43,1,4,97.7,42,20.9,9,58.1,9,0,79.1,34,41,29,7.3,10.3,0.98
Kobe Hudson,123989,WR,UCF,1,14.1,1,55.6,0.0,0,1,0,0.0,0,4,323,0,76.3,65.7,69.9,,69.3,0.0,0,2,37,0.0,0,44,0,5,97.7,43,18.2,8,48.1,9,0,81.8,36,85,22,4.4,17.0,1.98
Brennan Presley,122982,WR,OKLA STATE,1,9.1,4,66.7,,0,0,0,0.0,0,4,262,0,77.5,72.2,64.8,,65.9,0.0,0,0,20,0.0,0,51,0,6,90.2,46,90.2,46,122.5,9,1,9.8,5,60,55,9.2,10.0,1.3
Xavier White,99566,WR,TEXAS TECH,1,6.2,1,88.9,100.0,1,1,0,0.0,0,5,315,0,79.3,71.1,79.2,,78.1,0.0,0,0,55,0.0,0,38,0,8,100.0,38,97.4,37,155.8,9,1,2.6,1,139,81,10.1,17.4,3.66
Payne Durham,84037,TE,PURDUE,1,9.0,2,66.7,100.0,1,1,0,0.0,0,4,273,0,77.5,66.2,66.5,36.9,71.2,32.5,13,1,23,10.0,4,40,0,6,85.0,34,67.5,27,85.6,9,1,0.0,0,66,32,5.3,11.0,1.94
Devontez Walker,145773,WR,KENT STATE,1,10.6,0,55.6,100.0,1,1,0,37.5,3,4,201,0,20.0,67.0,68.4,,65.3,0.0,0,0,35,0.0,0,27,0,5,92.6,25,14.8,4,121.3,9,2,85.2,23,72,9,1.8,14.4,2.88
Emeka Egbuka,145055,WR,OHIO STATE,1,8.7,0,66.7,100.0,1,1,0,0.0,0,4,260,0,77.5,73.0,79.6,,76.0,4.0,1,0,27,0.0,0,25,0,6,96.0,24,60.0,15,131.7,9,1,36.0,9,80,33,5.5,13.3,3.33
Zakhari Franklin,97620,WR,UTSA,1,9.1,0,66.7,0.0,0,2,0,0.0,0,1,331,0,77.5,66.4,50.6,,55.6,0.0,0,0,5,0.0,0,50,0,6,94.0,47,16.0,8,70.1,9,0,84.0,42,21,13,2.2,3.5,0.45
Troy Franklin,146567,WR,OREGON,1,13.2,0,88.9,100.0,2,2,0,0.0,0,5,264,0,79.3,67.1,81.7,,80.8,0.0,0,0,49,0.0,0,25,0,8,92.0,23,32.0,8,158.3,9,2,68.0,17,132,12,1.5,16.5,5.74
Sam LaPorta,101690,TE,IOWA,1,6.0,0,66.7,50.0,1,2,0,0.0,0,3,192,0,77.5,66.2,67.3,,68.8,20.7,6,2,17,0.0,0,29,0,6,96.6,28,55.2,16,43.5,9,0,24.1,7,55,18,3.0,9.2,1.96
Rufus Harvey,124172,WR,MISS STATE,1,7.7,0,55.6,33.3,1,3,0,0.0,0,2,227,0,76.3,65.7,58.0,,57.7,0.0,0,0,10,0.0,0,46,0,5,95.7,44,97.8,45,64.1,9,0,2.2,1,34,14,2.8,6.8,0.77
Malik Heath,124173,WR,OLE MISS,1,9.7,2,88.9,100.0,1,1,0,0.0,0,6,226,0,79.3,67.1,76.6,,76.6,0.0,0,1,31,0.0,0,43,0,8,88.4,38,9.3,4,79.2,9,0,90.7,39,145,69,8.6,18.1,3.82
Ashtyn Hawkins,147222,WR,TEXAS ST,1,9.5,1,62.5,100.0,1,1,0,16.7,1,2,314,0,50.3,67.7,70.1,,69.7,0.0,0,0,74,0.0,0,28,0,5,100.0,28,96.4,27,145.8,8,1,3.6,1,102,84,16.8,20.4,3.64
Malachi Carter,77993,WR,GA TECH,1,10.8,2,50.0,0.0,0,3,0,20.0,1,2,176,0,45.4,65.0,57.9,,55.9,0.0,0,1,23,0.0,0,43,0,4,97.7,42,23.3,10,26.6,8,0,76.7,33,43,32,8.0,10.8,1.02
Nikko Remigio,84150,WR,FRESNO ST,1,1.5,4,62.5,0.0,0,1,0,16.7,1,3,169,0,49.8,73.0,67.2,,66.6,6.3,1,0,20,0.0,0,16,0,5,93.8,15,81.3,13,74.0,8,0,12.5,2,38,46,9.2,7.6,2.53
LaJohntay Wester,123616,WR,FAU,1,14.1,0,62.5,50.0,1,2,0,16.7,1,3,165,0,49.8,72.0,70.6,,67.3,0.0,0,0,36,0.0,0,23,0,5,100.0,23,87.0,20,90.1,8,0,13.0,3,69,11,2.2,13.8,3.0
Nick Mardner,75945,WR,CINCINNATI,1,15.9,1,50.0,33.3,1,3,0,20.0,1,3,138,0,45.4,65.0,64.1,,66.4,0.0,0,0,15,0.0,0,23,1,4,95.7,22,4.3,1,65.1,8,0,95.7,22,41,12,3.0,10.3,1.86
Caullin Lacy,121426,WR,S ALABAMA,1,5.6,2,75.0,,0,0,0,0.0,0,2,288,0,78.5,71.0,62.0,,61.7,0.0,0,0,15,0.0,0,34,0,6,94.1,32,64.7,22,88.5,8,0,35.3,12,46,16,2.7,7.7,1.44
Brian Cobbs,84285,WR,UTAH ST,1,12.5,1,62.5,50.0,2,4,0,16.7,1,4,329,0,49.8,65.7,63.2,,62.9,0.0,0,0,16,0.0,0,37,0,5,97.3,36,0.0,0,77.6,8,0,100.0,37,45,21,4.2,9.0,1.25
Joel Wilson,77943,TE,C MICHIGAN,1,7.1,1,100.0,100.0,1,1,0,0.0,0,5,134,0,79.3,67.1,68.8,,74.7,47.8,22,0,18,0.0,0,46,0,8,95.7,44,52.2,24,145.3,8,1,0.0,0,75,21,2.6,9.4,1.7
Zae Baines,125316,WR,TEMPLE,1,13.4,0,0.0,0.0,0,3,0,100.0,2,0,306,0,3.1,65.5,45.4,,44.6,0.0,0,1,0,0.0,0,43,0,0,95.3,41,7.0,3,0.0,8,0,93.0,40,0,0,,,0.0
Kris Thornton,61795,WR,JAMES MAD,1,8.5,0,62.5,0.0,0,1,0,0.0,0,1,197,0,76.3,65.7,58.7,,59.9,0.0,0,0,38,0.0,0,43,0,5,100.0,43,79.1,34,81.8,8,0,20.9,9,53,17,3.4,10.6,1.23
