player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Alex Honig,144681,TE,UCONN,1,5.5,0,100.0,,0,0,0,0.0,0,1,146,0,70.7,62.9,72.7,71.1,72.8,42.1,8,0,6,31.6,6,19,0,2,68.4,13,42.1,8,127.1,2,1,5.3,1,10,6,3.0,5.0,0.77
Zycarl Lewis Jr.,189579,WR,TULANE,1,10.5,0,0.0,,0,0,0,,0,0,319,0,66.7,61.0,56.7,,56.9,0.0,0,1,0,0.0,0,11,0,0,81.8,9,100.0,11,0.0,2,0,0.0,0,0,0,,,0.0
Moussa Barry,166787,WR,W KENTUCKY,1,3.5,3,100.0,,0,0,0,0.0,0,1,346,0,70.7,62.9,86.5,,79.2,0.0,0,0,17,0.0,0,4,0,2,100.0,4,25.0,1,158.3,2,1,75.0,3,26,19,9.5,13.0,6.5
D.J. McKinney,175620,HB,SM HOUSTON,1,-2.5,0,50.0,,0,0,0,0.0,0,1,281,0,66.7,66.3,57.5,47.2,66.1,0.0,0,0,20,36.4,4,11,0,1,63.6,7,9.1,1,85.4,2,0,0.0,0,20,25,25.0,20.0,2.86
Bryson Graves,175806,WR,COAST CAR,1,18.0,0,100.0,,0,0,0,0.0,0,1,141,0,70.7,62.9,59.9,,63.6,0.0,0,0,50,0.0,0,20,1,2,75.0,15,95.0,19,158.3,2,1,5.0,1,53,17,8.5,26.5,3.53
Addison Ostrenga,156430,TE,IOWA,1,14.0,0,50.0,100.0,1,1,0,0.0,0,1,192,0,66.7,61.0,76.5,65.4,69.4,62.5,10,0,29,6.3,1,16,0,1,93.8,15,37.5,6,95.8,2,0,0.0,0,29,4,4.0,29.0,1.93
Kaden Wetjen,156448,WR,IOWA,1,1.5,0,100.0,,0,0,0,0.0,0,1,192,0,70.7,68.5,63.3,,63.0,0.0,0,0,9,0.0,0,13,0,2,84.6,11,15.4,2,93.8,2,0,84.6,11,13,10,5.0,6.5,1.18
Luke Lindenmeyer,156460,TE,NEBRASKA,1,1.5,1,100.0,,0,0,0,0.0,0,2,238,0,70.7,62.9,79.1,69.4,68.3,71.4,15,0,14,9.5,2,21,0,2,81.0,17,19.0,4,112.5,2,0,9.5,2,22,19,9.5,11.0,1.29
Floyd Chalk IV,167095,HB,S JOSE ST,1,-1.0,0,50.0,,0,0,0,50.0,1,0,285,0,24.5,75.2,75.5,67.8,39.0,0.0,0,0,9,70.0,21,30,0,1,30.0,9,6.7,2,62.5,2,0,0.0,0,9,15,15.0,9.0,1.0
Jordon Harris,175904,TE,MISSOURI,1,7.0,0,50.0,0.0,0,1,0,50.0,1,1,229,0,24.5,61.0,56.7,71.1,51.8,38.7,12,0,14,19.4,6,31,0,1,77.4,24,45.2,14,72.9,2,0,16.1,5,14,11,11.0,14.0,0.58
Ben Marshall,126117,TE,CAL,1,8.0,0,0.0,0.0,0,1,0,,0,0,130,0,,,54.1,,54.2,33.3,2,0,0,0.0,0,6,0,0,100.0,6,50.0,3,39.6,2,0,16.7,1,0,0,,,0.0
Jaydn Ott,158325,HB,CAL,1,-3.0,0,0.0,,0,0,0,,0,0,130,0,,73.5,59.7,82.3,52.4,0.0,0,0,0,35.5,11,31,0,0,61.3,19,6.5,2,39.6,2,0,9.7,3,0,0,,,0.0
Braylon McReynolds,157876,HB,S ALABAMA,1,-1.5,2,100.0,,0,0,0,0.0,0,1,288,0,70.7,67.2,67.1,,72.2,0.0,0,0,13,0.0,0,9,0,2,100.0,9,0.0,0,95.8,2,0,0.0,0,14,17,8.5,7.0,1.56
Ric'Darious Farmer,189925,WR,W VIRGINIA,1,3.0,0,100.0,100.0,1,1,0,0.0,0,0,343,0,70.7,62.9,58.2,,58.3,0.0,0,0,6,0.0,0,7,0,2,100.0,7,100.0,7,85.4,2,0,0.0,0,9,3,1.5,4.5,1.29
Jaydon Johnson,156741,WR,LA LAFAYET,1,9.5,0,0.0,,0,0,0,100.0,1,0,207,0,16.4,,41.2,,45.5,0.0,0,0,0,0.0,0,6,0,0,83.3,5,100.0,6,39.6,2,0,0.0,0,0,0,,,0.0
Malik Elzy,175952,WR,ILLINOIS,1,18.0,0,50.0,,0,0,0,0.0,0,1,187,0,70.7,62.9,67.4,,67.4,0.0,0,0,11,0.0,0,14,0,1,85.7,12,7.1,1,66.7,2,0,92.9,13,11,14,14.0,11.0,0.92
Jake Overman,131748,TE,PITTSBURGH,1,6.0,0,50.0,,0,0,0,0.0,0,1,268,0,66.7,61.0,63.0,27.0,56.9,76.9,20,0,11,15.4,4,26,0,1,80.8,21,3.8,1,106.3,2,1,19.2,5,11,0,0.0,11.0,0.52
Collin Dixon,175954,WR,ILLINOIS,1,20.0,0,50.0,,0,0,0,0.0,0,1,187,0,66.7,61.0,72.6,,71.1,0.0,0,0,27,0.0,0,10,0,1,100.0,10,90.0,9,95.8,2,0,10.0,1,27,0,0.0,27.0,2.7
