player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Khaleb Hood,97159,WR,GA SOUTHRN,1,6.7,0,73.3,0.0,0,1,0,0.0,0,8,174,0,81.5,70.6,82.6,,81.3,0.0,0,0,43,0.0,0,51,0,11,92.2,47,84.3,43,122.6,15,1,15.7,8,134,67,6.1,12.2,2.85
Chrishon McCray,163139,WR,KENT STATE,1,11.5,4,71.4,100.0,3,3,0,0.0,0,5,201,0,81.5,69.0,88.5,,88.7,0.0,0,0,32,0.0,0,39,0,10,94.9,37,2.6,1,94.3,14,0,97.4,38,110,32,3.2,11.0,2.97
Jacob Cowing,100894,WR,ARIZONA,1,7.5,0,69.2,66.7,2,3,0,18.2,2,4,109,0,44.7,70.2,64.9,,65.9,0.0,0,0,13,0.0,0,47,0,9,95.7,45,68.1,32,107.9,13,1,31.9,15,70,18,2.0,7.8,1.56
Javon Ivory,101116,WR,S ALABAMA,1,12.7,1,46.2,0.0,0,1,0,14.3,1,1,288,0,53.4,66.2,55.7,,55.7,0.0,0,1,6,0.0,0,54,0,6,92.6,50,13.0,7,21.0,13,0,87.0,47,15,12,2.0,2.5,0.3
Malachi Corley,66272,WR,W KENTUCKY,1,6.6,4,61.5,0.0,0,1,0,0.0,0,3,346,0,58.9,67.1,70.5,,68.2,0.0,0,1,31,0.0,0,42,0,8,92.9,39,95.2,40,47.3,13,0,4.8,2,81,50,6.3,10.1,2.08
Luther Burden III,157170,WR,MISSOURI,1,7.0,1,84.6,100.0,1,1,0,8.3,1,7,229,0,64.6,70.6,81.5,,81.1,0.0,0,0,27,0.0,0,41,0,11,95.1,39,87.8,36,151.1,13,2,12.2,5,140,60,5.5,12.7,3.59
Theo Wease Jr.,98005,WR,MISSOURI,1,7.8,2,76.9,100.0,2,2,0,0.0,0,7,229,1,81.5,20.5,77.8,,77.5,2.4,1,0,23,0.0,0,41,0,10,92.7,38,12.2,5,129.6,13,1,85.4,35,118,45,4.5,11.8,3.11
Adonai Mitchell,146712,WR,TEXAS,1,16.8,1,76.9,0.0,0,1,0,0.0,0,9,311,0,80.9,68.7,80.2,,81.4,0.0,0,0,22,0.0,0,39,0,10,94.9,37,15.4,6,137.0,13,1,84.6,33,141,26,2.6,14.1,3.81
Tre Harris,122676,WR,OLE MISS,1,11.8,2,66.7,40.0,2,5,0,11.1,1,6,226,0,61.0,67.5,78.4,,76.9,0.0,0,0,56,0.0,0,39,0,8,94.9,37,10.3,4,137.5,12,1,89.7,35,153,98,12.3,19.1,4.14
Tory Horton,128232,WR,COLO STATE,1,11.0,4,83.3,,0,0,0,0.0,0,9,144,0,80.9,72.3,91.2,,89.8,0.0,0,1,76,0.0,0,37,0,10,97.3,36,40.5,15,123.6,12,3,59.5,22,227,135,13.5,22.7,6.31
Brock Bowers,146715,TE,GEORGIA,1,11.8,4,66.7,33.3,1,3,0,0.0,0,6,173,0,79.3,68.2,94.4,,94.6,25.0,9,0,40,0.0,0,36,1,8,97.2,35,52.8,19,137.5,12,1,13.9,5,157,82,10.3,19.6,4.49
Samuel Brown,123410,WR,HOUSTON,1,8.8,0,75.0,100.0,2,2,0,10.0,1,6,182,0,61.0,67.5,69.7,,69.2,0.0,0,0,21,0.0,0,48,0,9,95.8,46,4.2,2,126.4,12,1,95.8,46,98,37,4.1,10.9,2.13
Joey Hobert,131934,WR,TEXAS ST,1,4.3,2,83.3,0.0,0,2,0,0.0,0,7,314,1,80.9,23.6,83.0,,82.3,0.0,0,0,39,0.0,0,25,0,10,96.0,24,96.0,24,138.2,12,1,4.0,1,126,107,10.7,12.6,5.25
Noah Smith,104112,WR,SM HOUSTON,1,7.8,4,83.3,100.0,2,2,0,0.0,0,6,281,0,80.9,29.9,70.6,,76.6,0.0,0,0,23,0.0,0,40,0,10,90.0,36,77.5,31,129.2,12,1,20.0,8,100,40,4.0,10.0,2.78
Tyler Brown,170003,WR,CLEMSON,1,13.6,0,75.0,0.0,0,2,0,0.0,0,7,140,0,80.1,71.8,80.4,,80.7,0.0,0,0,47,0.0,0,43,1,9,90.7,39,100.0,43,116.7,12,0,0.0,0,153,43,4.8,17.0,3.92
Elijah Metcalf,145307,WR,MIDDLE TN,1,5.2,0,50.0,0.0,0,2,0,14.3,1,3,224,0,56.8,66.7,60.9,,62.0,0.0,0,1,40,0.0,0,51,0,6,86.3,44,90.2,46,26.0,12,0,9.8,5,49,32,5.3,8.2,1.11
Latreal Jones,156849,WR,SO MISS,1,12.5,2,54.5,25.0,1,4,0,0.0,0,4,296,0,77.5,66.2,69.1,,68.4,0.0,0,0,43,0.0,0,52,0,6,92.3,48,3.8,2,94.5,11,0,96.2,50,124,63,10.5,20.7,2.58
Qian Magwood,130339,WR,BALL ST,1,4.7,10,81.8,50.0,1,2,0,0.0,0,4,117,0,80.9,67.9,87.3,,87.2,0.0,0,0,32,0.0,0,32,1,9,90.6,29,62.5,20,138.6,11,1,37.5,12,110,94,10.4,12.2,3.79
Jared Brown,147081,WR,COAST CAR,1,8.9,3,72.7,50.0,1,2,0,0.0,0,3,141,0,79.3,71.1,69.8,,69.2,0.0,0,0,37,0.0,0,41,0,8,97.6,40,92.7,38,102.8,11,0,4.9,2,106,53,6.6,13.3,2.65
Anthony Queeley,77976,WR,GA SOUTHRN,1,14.5,1,36.4,20.0,1,5,0,20.0,1,3,174,0,45.4,65.0,54.3,,57.0,0.0,0,0,17,0.0,0,51,0,4,96.1,49,5.9,3,82.0,11,1,94.1,48,51,11,2.8,12.8,1.04
Germie Bernard,158374,WR,WASHINGTON,1,5.9,1,81.8,0.0,0,1,0,10.0,1,5,340,0,61.0,23.3,64.0,,70.8,2.9,1,0,24,0.0,0,35,0,9,94.3,33,74.3,26,108.0,11,0,11.4,4,109,65,7.2,12.1,3.3
Caullin Lacy,121426,WR,S ALABAMA,1,12.4,1,54.5,33.3,1,3,0,0.0,0,5,288,0,77.5,72.9,69.4,,70.7,0.0,0,0,55,0.0,0,61,1,6,93.4,57,62.3,38,97.5,11,0,37.7,23,132,57,9.5,22.0,2.32
Malik Washington,97108,WR,VIRGINIA,1,8.2,1,81.8,,0,0,0,0.0,0,6,335,0,80.1,70.3,76.0,,75.1,0.0,0,0,23,0.0,0,43,0,9,95.3,41,90.7,39,133.7,11,1,9.3,4,97,41,4.6,10.8,2.37
Montorie Foster Jr.,129616,WR,MICH STATE,1,7.9,0,72.7,100.0,1,1,0,11.1,1,4,223,0,58.9,67.1,62.1,,62.3,0.0,0,1,16,0.0,0,45,0,8,95.6,43,22.2,10,54.7,11,0,77.8,35,79,18,2.3,9.9,1.84
