player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Dillon Bell,163734,WR,GEORGIA,1,18.0,0,0.0,0.0,0,1,0,100.0,1,0,173,0,,,49.5,,51.2,0.0,0,0,0,0.0,0,31,0,0,83.9,26,3.2,1,39.6,2,0,96.8,30,0,0,,,0.0
Omari Evans,164168,WR,PENN STATE,1,18.0,0,50.0,,0,0,0,0.0,0,1,266,0,66.7,61.0,66.2,,65.6,0.0,0,0,22,0.0,0,25,0,1,96.0,24,12.0,3,129.2,2,1,88.0,22,22,0,0.0,22.0,0.92
Mason Williams,171367,TE,OHIO,1,6.5,1,100.0,,0,0,0,0.0,0,2,259,0,70.7,62.9,71.3,65.4,72.3,11.1,2,0,21,5.6,1,18,0,2,88.9,16,72.2,13,158.3,2,1,5.6,1,32,19,9.5,16.0,2.0
Kenyon Sadiq,174132,TE,OREGON,1,9.0,1,100.0,,0,0,0,0.0,0,2,264,0,70.7,62.9,76.8,,87.3,55.6,5,0,28,0.0,0,9,0,2,100.0,9,22.2,2,158.3,2,2,22.2,2,30,15,7.5,15.0,3.33
Kyson Brown,176525,HB,ARIZONA ST,1,-4.0,1,100.0,,0,0,0,0.0,0,2,110,0,70.7,66.9,66.5,,83.3,0.0,0,0,9,0.0,0,5,0,2,100.0,5,20.0,1,93.8,2,0,20.0,1,13,21,10.5,6.5,2.6
Noah Short,163220,HB,ARMY,1,1.0,0,100.0,,0,0,0,0.0,0,0,114,0,66.7,72.0,58.8,,76.7,0.0,0,0,8,0.0,0,3,0,1,100.0,3,0.0,0,100.0,1,0,0.0,0,8,7,7.0,8.0,2.67
Jay Haynes,170010,HB,CLEMSON,1,-6.0,0,100.0,,0,0,0,0.0,0,0,140,0,66.7,70.3,57.6,56.2,56.4,0.0,0,0,3,33.3,4,12,0,1,66.7,8,16.7,2,79.2,1,0,0.0,0,3,9,9.0,3.0,0.38
Evan Stewart,158674,WR,OREGON,1,22.0,0,0.0,,0,0,0,,0,0,264,0,,,51.3,,51.0,0.0,0,0,0,0.0,0,33,0,0,100.0,33,21.2,7,39.6,1,0,78.8,26,0,0,,,0.0
Zylan Perry,156734,HB,LA LAFAYET,1,6.0,0,0.0,,0,0,0,100.0,1,0,207,0,16.8,71.3,53.6,79.0,36.0,0.0,0,0,0,30.8,8,26,0,0,69.2,18,11.5,3,39.6,1,0,3.8,1,0,0,,,0.0
Nate Frazier,191146,HB,GEORGIA,1,3.0,0,100.0,,0,0,0,0.0,0,0,173,0,66.7,18.9,75.0,74.4,70.7,0.0,0,0,9,22.2,2,9,0,1,77.8,7,0.0,0,104.2,1,0,0.0,0,9,6,6.0,9.0,1.29
Josh Sapp,156238,TE,CLEMSON,1,5.0,0,100.0,,0,0,0,0.0,0,1,140,0,66.7,61.0,91.4,,89.1,100.0,1,0,10,0.0,0,1,0,1,100.0,1,0.0,0,108.3,1,0,0.0,0,10,5,5.0,10.0,10.0
Casey Reynolds,147315,WR,ARMY,1,8.0,0,100.0,,0,0,0,0.0,0,1,114,0,66.7,61.0,77.7,,73.9,33.3,1,0,9,0.0,0,3,0,1,100.0,3,0.0,0,104.2,1,0,66.7,2,9,1,1.0,9.0,3.0
Robert Williams,147155,WR,LA LAFAYET,1,31.0,0,0.0,0.0,0,1,0,,0,0,207,0,,64.2,53.2,,53.4,0.0,0,0,0,0.0,0,15,0,0,86.7,13,6.7,1,39.6,1,0,93.3,14,0,0,,,0.0
Bralon Brown,146819,WR,MARSHALL,1,29.0,0,100.0,100.0,1,1,0,0.0,0,1,214,0,66.7,61.0,68.8,,65.4,0.0,0,0,20,0.0,0,15,0,1,93.3,14,6.7,1,158.3,1,1,93.3,14,20,0,0.0,20.0,1.43
Ben Ford,145989,WR,BOISE ST,1,5.0,0,100.0,,0,0,0,0.0,0,0,120,0,66.7,61.0,58.9,,58.5,0.0,0,0,5,0.0,0,5,0,1,100.0,5,40.0,2,87.5,1,0,40.0,2,5,0,0.0,5.0,1.0
Keyon Mozee,145809,HB,MIAMI OH,1,0.0,0,100.0,,0,0,0,0.0,0,0,221,0,66.7,73.6,67.8,70.4,64.1,0.0,0,0,2,80.0,12,15,0,1,20.0,3,0.0,0,79.2,1,0,0.0,0,2,2,2.0,2.0,0.67
Jai'Den Thomas,174080,HB,UNLV,1,-6.0,2,100.0,,0,0,0,0.0,0,0,325,0,66.7,70.7,59.7,68.0,63.3,0.0,0,0,6,42.1,8,19,0,1,57.9,11,5.3,1,91.7,1,0,5.3,1,6,12,12.0,6.0,0.55
Ethan Payne,145269,HB,MARSHALL,1,-2.0,0,100.0,,0,0,0,0.0,0,0,214,0,66.7,72.6,62.9,29.4,60.7,0.0,0,0,0,50.0,7,14,0,1,50.0,7,0.0,0,79.2,1,0,0.0,0,0,2,2.0,0.0,0.0
Brett Eskildsen,191299,WR,IOWA STATE,1,32.0,0,0.0,0.0,0,1,0,,0,0,193,0,,,57.3,,57.6,0.0,0,0,0,0.0,0,2,0,0,100.0,2,0.0,0,39.6,1,0,100.0,2,0,0,,,0.0
Liam Clifford,145089,WR,PENN STATE,1,11.0,0,0.0,0.0,0,1,0,,0,0,266,0,,,51.6,62.1,51.3,0.0,0,0,0,4.3,1,23,0,0,91.3,21,82.6,19,39.6,1,0,17.4,4,0,0,,,0.0
Beni Ngoyi,174680,WR,IOWA STATE,1,11.0,0,0.0,0.0,0,1,0,,0,0,193,0,,,57.2,,58.0,0.0,0,0,0,0.0,0,2,0,0,100.0,2,0.0,0,39.6,1,0,100.0,2,0,0,,,0.0
Tripp Walsh,174693,TE,IOWA STATE,1,25.0,0,0.0,,0,0,0,,0,0,193,0,,,55.1,,53.6,100.0,3,0,0,0.0,0,3,0,0,100.0,3,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Malik McClain,143886,WR,ARIZONA ST,1,43.0,0,100.0,,0,0,0,0.0,0,1,110,0,66.7,63.6,77.3,,75.1,0.0,0,0,43,0.0,0,6,0,1,100.0,6,50.0,3,118.8,1,0,50.0,3,43,0,0.0,43.0,7.17
Matt Wagner,176320,TE,BOISE ST,1,1.0,0,100.0,,0,0,0,0.0,0,0,120,0,66.7,61.0,49.0,37.3,54.6,92.3,12,0,2,46.2,6,13,0,1,53.8,7,0.0,0,79.2,1,0,7.7,1,2,1,1.0,2.0,0.29
Kevin Davis,130517,HB,MIAMI OH,1,24.0,0,0.0,,0,0,0,,0,0,221,0,,69.4,57.1,,54.7,0.0,0,0,0,0.0,0,9,0,0,100.0,9,44.4,4,39.6,1,0,0.0,0,0,0,,,0.0
Caden Jensen,176351,TE,LA LAFAYET,1,2.0,0,100.0,,0,0,0,0.0,0,0,207,0,66.7,61.0,50.9,68.8,52.7,80.0,8,0,6,30.0,3,10,0,1,70.0,7,10.0,1,91.7,1,0,10.0,1,6,4,4.0,6.0,0.86
Dominic Overby,191310,WR,IOWA STATE,1,3.0,0,0.0,,0,0,0,,0,0,193,0,,,55.2,,56.2,0.0,0,0,0,0.0,0,3,0,0,100.0,3,33.3,1,39.6,1,0,66.7,2,0,0,,,0.0
Reggie Brown,123211,TE,TULANE,1,21.0,0,0.0,0.0,0,1,0,,0,0,319,0,,,51.2,53.0,53.5,77.8,7,0,0,33.3,3,9,0,0,66.7,6,11.1,1,39.6,1,0,11.1,1,0,0,,,0.0
Luke Reynolds,183611,TE,PENN STATE,1,14.0,0,0.0,,0,0,0,,0,0,266,0,,,56.1,73.0,55.4,0.0,0,0,0,28.6,2,7,0,0,71.4,5,42.9,3,39.6,1,0,28.6,2,0,0,,,0.0
Max Rodarte,184120,WR,OHIO,1,5.0,0,100.0,,0,0,0,0.0,0,1,259,0,66.7,61.0,72.6,,71.3,0.0,0,0,20,0.0,0,3,0,1,100.0,3,0.0,0,118.8,1,0,100.0,3,20,15,15.0,20.0,6.67
Rahji Dennis,184358,WR,LA LAFAYET,1,3.0,0,0.0,,0,0,0,100.0,1,0,207,0,16.8,,43.0,,45.9,0.0,0,0,0,0.0,0,7,0,0,100.0,7,28.6,2,39.6,1,0,71.4,5,0,0,,,0.0
Sean Brown,99181,TE,JVILLE ST,1,13.0,0,100.0,,0,0,0,0.0,0,1,196,0,66.7,61.0,79.6,64.4,79.9,66.7,2,0,6,33.3,1,3,0,1,66.7,2,33.3,1,131.3,1,1,0.0,0,6,0,0.0,6.0,3.0
Chase Penry,86538,WR,BOISE ST,1,7.0,0,0.0,0.0,0,1,0,,0,0,120,0,,61.9,45.0,,48.1,0.0,0,0,0,0.0,0,4,0,0,100.0,4,50.0,2,39.6,1,0,50.0,2,0,0,,,0.0
Jacob Barrick,163938,TE,JVILLE ST,1,3.0,0,100.0,,0,0,0,0.0,0,0,196,0,66.7,61.0,59.1,70.4,54.2,69.2,9,0,6,30.8,4,13,0,1,61.5,8,15.4,2,91.7,1,0,7.7,1,6,3,3.0,6.0,0.75
Jordan McCants,163966,WR,JVILLE ST,1,4.0,0,100.0,,0,0,0,0.0,0,0,196,0,66.7,61.0,57.1,,55.8,0.0,0,0,4,0.0,0,7,0,1,100.0,7,0.0,0,83.3,1,0,100.0,7,4,0,0.0,4.0,0.57
Shazz Preston,163610,WR,TULANE,1,16.0,0,100.0,100.0,1,1,0,0.0,0,1,319,0,66.7,61.0,68.0,,67.4,0.0,0,0,16,0.0,0,6,0,1,100.0,6,16.7,1,118.8,1,0,83.3,5,16,0,0.0,16.0,2.67
Cameron Bates,190986,WR,BOISE ST,1,-4.0,0,100.0,,0,0,0,0.0,0,0,120,0,66.7,61.0,59.0,,59.2,0.0,0,0,-6,0.0,0,3,0,1,100.0,3,100.0,3,79.2,1,0,0.0,0,-6,-2,-2.0,-6.0,-2.0
