player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jacob De Jesus,174068,WR,CAL,1,8.9,0,68.2,50.0,2,4,0,0.0,0,7,130,0,83.8,71.2,79.8,,83.1,1.9,1,0,25,0.0,0,52,0,15,92.3,48,53.8,28,88.3,22,0,42.3,22,155,66,4.4,10.3,3.23
Jaden Barnes,173738,WR,APP STATE,1,13.3,0,68.4,66.7,2,3,0,7.1,1,7,108,0,68.7,70.1,82.5,,81.0,0.0,0,0,34,0.0,0,52,0,13,96.2,50,80.8,42,111.7,19,1,19.2,10,160,8,0.6,12.3,3.2
Ted Hurst,187922,WR,GA STATE,1,14.6,1,55.6,100.0,4,4,0,9.1,1,7,175,0,63.3,67.9,83.1,,82.0,0.0,0,1,57,0.0,0,39,0,10,94.9,37,12.8,5,81.9,18,1,87.2,34,165,28,2.8,16.5,4.46
Eric McAlister,145976,WR,TCU,1,7.1,6,64.7,33.3,1,3,0,8.3,1,7,305,0,64.9,68.2,67.8,,67.2,0.0,0,0,19,0.0,0,54,0,11,94.4,51,29.6,16,82.2,17,0,70.4,38,107,67,6.1,9.7,2.1
Makai Lemon,174150,WR,USC,1,13.3,3,68.8,50.0,1,2,0,0.0,0,7,326,0,81.5,72.3,88.7,61.9,85.5,0.0,0,1,52,2.8,1,36,0,11,94.4,34,80.6,29,96.1,16,1,19.4,7,161,67,6.1,14.6,4.74
Jordan Dwyer,158967,WR,TCU,1,11.3,2,68.8,40.0,2,5,0,0.0,0,7,305,0,82.2,68.5,77.9,,79.7,0.0,0,1,19,0.0,0,51,0,11,94.1,48,27.5,14,82.3,16,1,70.6,36,108,20,1.8,9.8,2.25
Eli Stowers,147013,TE,VANDERBILT,1,7.5,0,80.0,60.0,3,5,0,0.0,0,6,333,0,82.2,68.5,77.9,67.3,81.0,15.8,6,0,29,2.6,1,38,1,12,89.5,34,71.1,27,100.6,15,0,13.2,5,122,42,3.5,10.2,3.59
Skyler Bell,145163,WR,UCONN,1,5.0,1,73.3,100.0,1,1,0,0.0,0,4,146,0,81.5,68.2,69.7,,71.5,0.0,0,0,21,0.0,0,47,1,11,89.4,42,34.0,16,126.9,15,2,59.6,28,87,68,6.2,7.9,2.07
Cortez Braham Jr.,157366,WR,MEMPHIS,1,8.2,3,78.6,0.0,0,2,0,0.0,0,5,218,0,81.5,68.2,70.1,,69.6,0.0,0,0,32,0.0,0,48,1,11,95.8,46,12.5,6,100.3,14,0,87.5,42,113,56,5.1,10.3,2.46
Duce Robinson,176642,WR,FLORIDA ST,1,14.0,1,64.3,0.0,0,1,0,0.0,0,6,167,0,80.1,67.5,68.2,,67.5,0.0,0,0,27,0.0,0,49,0,9,98.0,48,28.6,14,92.6,14,0,71.4,35,124,37,4.1,13.8,2.58
Eric Singleton Jr.,170078,WR,AUBURN,1,7.4,3,84.6,66.7,2,3,0,0.0,0,8,115,0,81.5,69.0,74.6,,74.9,0.0,0,0,17,0.0,0,50,0,11,92.0,46,82.0,41,125.0,13,1,18.0,9,102,48,4.4,9.3,2.22
Caden High,196883,WR,STANFORD,1,6.6,3,76.9,100.0,1,1,0,0.0,0,5,300,0,80.9,67.9,74.4,,74.0,0.0,0,0,23,0.0,0,38,1,10,94.7,36,92.1,35,98.9,13,0,7.9,3,102,51,5.1,10.2,2.83
Iverson Hooks,163020,WR,UAB,1,14.4,0,50.0,100.0,2,2,0,14.3,1,5,321,0,53.4,66.2,73.9,,72.9,0.0,0,0,26,0.0,0,36,0,6,97.2,35,77.8,28,102.4,12,1,22.2,8,89,12,2.0,14.8,2.54
Cam Coleman,184398,WR,AUBURN,1,13.9,2,83.3,100.0,3,3,0,0.0,0,6,115,1,81.5,20.5,76.1,,75.4,0.0,0,0,32,0.0,0,57,0,10,93.0,53,3.5,2,144.1,12,1,96.5,55,143,15,1.5,14.3,2.7
