player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Pofele Ashlock,158166,WR,HAWAII,1,10.2,1,47.4,0.0,0,1,0,18.2,2,6,180,1,44.3,18.7,64.7,,64.3,0.0,0,1,23,0.0,0,42,0,9,90.5,38,95.2,40,60.6,19,1,4.8,2,107,40,4.4,11.9,2.82
Nick Nash,98679,WR,S JOSE ST,1,17.4,7,58.8,33.3,2,6,0,9.1,1,10,285,0,62.9,68.0,88.6,,86.1,0.0,0,1,26,0.0,0,40,0,10,92.5,37,90.0,36,107.5,17,2,10.0,4,170,45,4.5,17.0,4.59
Savion Williams,123101,WR,TCU,1,4.8,2,68.8,,0,0,0,21.4,3,5,305,0,36.2,69.0,63.8,,62.6,0.0,0,0,17,0.0,0,40,0,11,97.5,39,15.0,6,102.3,16,1,85.0,34,85,52,4.7,7.7,2.18
Damon Ward Jr.,100880,WR,N TEXAS,1,12.9,0,80.0,66.7,2,3,0,0.0,0,12,251,0,82.2,68.5,89.5,,88.3,0.0,0,0,54,0.0,0,45,0,12,95.6,43,8.9,4,158.3,15,2,91.1,41,230,77,6.4,19.2,5.35
Tetairoa McMillan,158735,WR,ARIZONA,1,17.6,5,66.7,20.0,1,5,0,0.0,0,8,109,0,80.9,68.4,94.2,,93.4,0.0,0,0,78,0.0,0,29,0,10,100.0,29,31.0,9,149.3,15,4,69.0,20,304,176,17.6,30.4,10.48
Coleman Owen,104969,WR,OHIO,1,11.4,1,71.4,100.0,1,1,0,0.0,0,8,259,0,80.9,70.4,81.4,,81.2,0.0,0,1,27,0.0,0,40,0,10,95.0,38,97.5,39,72.6,14,0,2.5,1,137,50,5.0,13.7,3.61
Isiah Paige,145348,WR,DOMINION,1,10.8,2,57.1,25.0,1,4,0,0.0,0,5,263,0,79.3,71.1,76.1,,75.3,0.0,0,0,72,0.0,0,46,0,8,97.8,45,95.7,44,107.7,14,1,4.3,2,115,35,4.4,14.4,2.56
Jamaal Pritchett,155624,WR,S ALABAMA,1,14.7,6,71.4,33.3,1,3,0,9.1,1,8,288,0,63.3,67.9,78.7,,77.8,0.0,0,0,52,0.0,0,46,0,10,91.3,42,78.3,36,137.5,14,1,21.7,10,197,78,7.8,19.7,4.69
KC Concepcion,170362,WR,NC STATE,1,8.1,2,64.3,,0,0,0,10.0,1,7,248,1,61.4,22.7,73.1,,73.7,0.0,0,1,35,0.0,0,36,0,9,94.4,34,83.3,30,101.5,14,3,13.9,5,121,78,8.7,13.4,3.56
Tez Johnson,123709,WR,OREGON,1,0.8,6,92.3,,0,0,0,0.0,0,7,264,1,82.2,28.6,70.2,,70.0,2.0,1,0,19,0.0,0,50,0,12,96.0,48,80.0,40,131.3,13,2,18.0,9,78,78,6.5,6.5,1.63
Corey Rucker,121539,WR,ARK STATE,1,13.6,4,69.2,50.0,1,2,0,10.0,1,7,113,0,61.0,67.5,78.0,,77.1,0.0,0,0,58,0.0,0,44,0,9,97.7,43,6.8,3,137.5,13,1,93.2,41,179,75,8.3,19.9,4.16
Josh Kelly,97061,WR,TEXAS TECH,1,10.8,7,76.9,,0,0,0,16.7,2,6,315,0,47.1,70.4,80.8,,83.7,0.0,0,0,35,0.0,0,40,1,10,95.0,38,95.0,38,141.8,13,1,5.0,2,156,65,6.5,15.6,4.11
Will Pauling,144234,WR,WISCONSIN,1,9.0,1,46.2,0.0,0,2,0,14.3,1,4,349,0,53.4,66.2,64.8,64.4,64.6,0.0,0,0,17,3.0,1,33,0,6,90.9,30,97.0,32,59.8,13,0,3.0,1,60,28,4.7,10.0,2.0
Devin McCuin,176494,WR,UTSA,1,2.8,0,84.6,100.0,2,2,0,0.0,0,5,331,0,82.2,68.5,75.3,,74.1,0.0,0,0,16,0.0,0,42,0,11,95.2,40,28.6,12,131.6,13,2,71.4,30,79,50,4.5,7.2,1.98
