player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Pofele Ashlock,158166,WR,HAWAII,1,9.0,0,47.1,33.3,1,3,0,33.3,4,4,180,1,20.7,18.0,48.9,,51.8,0.0,0,0,19,0.0,0,52,1,8,98.1,51,100.0,52,79.3,17,1,0.0,0,75,8,1.0,9.4,1.47
Jalen Royals,163442,WR,UTAH ST,1,12.8,5,60.0,0.0,0,2,0,18.2,2,7,329,0,44.3,69.5,74.6,,75.9,0.0,0,0,75,0.0,0,37,0,9,97.3,36,40.5,15,143.8,15,2,59.5,22,211,143,15.9,23.4,5.86
Tetairoa McMillan,158735,WR,ARIZONA,1,16.0,5,53.3,66.7,2,3,0,0.0,0,6,109,1,79.3,17.6,71.6,,71.0,1.8,1,1,40,0.0,0,57,0,8,96.5,55,10.5,6,62.6,15,0,87.7,50,158,73,9.1,19.8,2.87
Tanner Koziol,156895,TE,BALL ST,1,8.2,2,64.3,50.0,2,4,0,0.0,0,7,117,0,80.1,67.5,81.6,67.4,83.7,39.0,16,0,17,2.4,1,41,0,9,85.4,35,48.8,20,86.0,14,0,12.2,5,102,50,5.6,11.3,2.91
Tory Horton,128232,WR,COLO STATE,1,16.4,0,64.3,33.3,1,3,1,0.0,0,5,144,1,80.1,72.2,79.9,,77.7,0.0,0,0,52,0.0,0,34,1,9,85.3,29,35.3,12,126.5,14,1,64.7,22,158,37,4.1,17.6,5.45
Bryce Kirtz,97424,WR,NWESTERN,1,12.8,0,71.4,66.7,2,3,0,0.0,0,4,256,0,80.9,67.9,73.5,,72.0,0.0,0,0,47,0.0,0,42,0,10,97.6,41,4.8,2,99.7,14,0,95.2,40,128,16,1.6,12.8,3.12
Tez Johnson,123709,WR,OREGON,1,8.4,3,71.4,,0,0,0,0.0,0,8,264,0,80.9,72.3,81.6,,83.7,0.0,0,1,17,0.0,0,31,0,10,90.3,28,74.2,23,80.7,14,1,19.4,6,84,60,6.0,8.4,3.0
Javon Tracy,158028,WR,MIAMI OH,1,6.0,1,76.9,0.0,0,1,0,0.0,0,7,221,0,80.9,67.9,73.3,,72.3,0.0,0,0,23,0.0,0,51,0,10,100.0,51,74.5,38,130.0,13,1,25.5,13,119,58,5.8,11.9,2.33
Cortez Braham,157366,WR,NEVADA,1,13.2,2,58.3,0.0,0,3,0,0.0,0,3,239,0,78.5,66.7,63.4,,65.0,0.0,0,0,20,0.0,0,35,1,7,100.0,35,11.4,4,70.1,12,0,88.6,31,56,22,3.1,8.0,1.6
Corey Rucker,121539,WR,ARK STATE,1,20.3,1,66.7,66.7,2,3,0,11.1,1,8,113,0,58.9,67.1,74.7,,76.1,0.0,0,0,51,0.0,0,42,0,8,92.9,39,7.1,3,109.7,12,0,92.9,39,172,22,2.8,21.5,4.41
Nate McCollum,122487,WR,N CAROLINA,1,10.8,0,83.3,50.0,1,2,0,0.0,0,6,245,0,80.9,68.9,77.8,,78.6,0.0,0,0,48,0.0,0,33,1,10,97.0,32,81.8,27,111.1,12,0,18.2,6,128,67,6.7,12.8,4.0
Isiah Paige,145348,WR,DOMINION,1,5.8,1,66.7,100.0,1,1,0,0.0,0,1,263,0,80.9,28.9,62.9,,61.3,0.0,0,1,55,0.0,0,49,0,8,93.9,46,100.0,49,78.8,12,1,0.0,0,81,36,4.5,10.1,1.76
TJ Sheffield,101741,WR,UCONN,1,7.3,2,75.0,100.0,2,2,0,10.0,1,4,146,1,61.0,22.9,69.4,,68.8,0.0,0,1,58,0.0,0,43,0,9,93.0,40,93.0,40,106.6,12,1,7.0,3,141,92,10.2,15.7,3.53
Trebor Pena,123051,WR,SYRACUSE,1,5.2,1,75.0,50.0,1,2,0,0.0,0,3,304,0,80.9,70.4,66.4,,66.8,0.0,0,0,31,0.0,0,67,0,9,88.1,59,79.1,53,88.2,12,0,20.9,14,68,46,5.1,7.6,1.15
Desmond Reid,159936,HB,PITTSBURGH,1,3.3,7,91.7,0.0,0,1,0,0.0,0,7,268,0,81.5,76.4,65.0,7.1,89.7,0.0,0,0,72,5.9,2,34,0,11,88.2,30,5.9,2,146.5,12,1,2.9,1,155,133,12.1,14.1,5.17
Dante Wright,97188,WR,TEMPLE,1,6.8,4,75.0,100.0,1,1,0,0.0,0,4,306,0,80.1,24.1,70.0,,71.1,3.1,1,0,22,0.0,0,32,0,9,96.9,31,65.6,21,88.2,12,0,28.1,9,68,34,3.8,7.6,2.19
Jamaal Pritchett,155624,WR,S ALABAMA,1,14.4,1,58.3,0.0,0,2,0,0.0,0,3,288,0,78.5,69.8,70.5,,71.5,0.0,0,0,75,0.0,0,41,0,7,87.8,36,85.4,35,137.8,12,2,14.6,6,137,46,6.6,19.6,3.81
Oronde Gadsden II,144046,TE,SYRACUSE,1,8.9,0,83.3,75.0,3,4,0,0.0,0,8,304,0,80.9,67.9,78.5,70.3,79.8,48.4,30,0,39,6.5,4,62,0,10,83.9,52,46.8,29,116.0,12,0,4.8,3,142,43,4.3,14.2,2.73
Hal Presley,144507,WR,BAYLOR,1,13.0,0,45.5,33.3,1,3,0,16.7,1,2,118,0,49.8,65.7,58.0,,59.6,0.0,0,0,31,0.0,0,33,0,5,97.0,32,9.1,3,61.6,11,0,90.9,30,57,25,5.0,11.4,1.78
Andrew Armstrong,160110,WR,ARKANSAS,1,10.2,2,81.8,100.0,3,3,0,0.0,0,6,111,0,80.1,67.5,81.7,,81.3,0.0,0,0,30,0.0,0,33,0,9,100.0,33,9.1,3,116.7,11,0,90.9,30,132,36,4.0,14.7,4.0
Jayden Higgins,150240,WR,IOWA STATE,1,11.3,2,72.7,66.7,2,3,0,0.0,0,6,193,0,79.3,67.1,80.8,,80.0,0.0,0,0,25,0.0,0,32,0,8,87.5,28,46.9,15,136.9,11,1,53.1,17,116,52,6.5,14.5,4.14
Iverson Hooks,163020,WR,UAB,1,7.8,0,54.5,,0,0,0,0.0,0,1,321,0,77.5,66.2,57.7,,59.8,0.0,0,1,20,0.0,0,34,0,6,97.1,33,20.6,7,29.7,11,0,79.4,27,53,11,1.8,8.8,1.61
LeQuint Allen,158290,HB,SYRACUSE,1,2.6,0,81.8,0.0,0,1,0,0.0,0,4,304,0,80.9,77.1,71.4,83.3,66.9,1.7,1,1,10,15.0,9,60,0,9,76.7,46,15.0,9,90.3,11,2,5.0,3,58,41,4.6,6.4,1.26
Ricky White,129639,WR,UNLV,1,8.4,3,90.9,,0,0,0,0.0,0,7,325,0,80.9,67.9,78.6,,77.8,0.0,0,0,53,0.0,0,31,0,10,96.8,30,29.0,9,148.1,11,1,71.0,22,135,71,7.1,13.5,4.5
Isaiah Horton,162735,WR,MIAMI FL,1,13.8,0,81.8,50.0,1,2,0,10.0,1,6,220,0,62.9,67.9,67.1,,71.6,0.0,0,0,18,0.0,0,40,1,9,92.5,37,2.5,1,128.4,11,1,97.5,39,83,21,2.3,9.2,2.24
Nick Nash,98679,WR,S JOSE ST,1,11.5,1,45.5,25.0,1,4,0,0.0,0,5,285,0,77.5,66.4,71.4,,69.2,0.0,0,0,24,0.0,0,47,0,5,91.5,43,91.5,43,98.7,11,1,8.5,4,75,37,7.4,15.0,1.74
Trent Walker,146340,WR,OREGON ST,1,6.5,1,63.6,,0,0,0,12.5,1,3,265,0,56.4,70.5,59.4,,60.9,0.0,0,0,16,0.0,0,36,0,7,88.9,32,8.3,3,75.9,11,0,91.7,33,55,20,2.9,7.9,1.72
Emeka Egbuka,145055,WR,OHIO STATE,1,8.7,0,81.8,100.0,4,4,0,0.0,0,5,260,0,80.1,67.5,76.1,,74.9,0.0,0,1,15,0.0,0,25,0,9,100.0,25,76.0,19,95.3,11,3,24.0,6,71,17,1.9,7.9,2.84
Kaedin Robinson,144468,WR,APP STATE,1,12.1,0,72.7,66.7,2,3,0,0.0,0,6,108,0,79.3,68.7,62.9,,67.6,0.0,0,0,19,0.0,0,56,3,8,82.1,46,94.6,53,98.3,11,0,5.4,3,94,14,1.8,11.8,2.04
Colston Loveland,158540,TE,MICHIGAN,1,7.6,0,54.5,,0,0,0,0.0,0,3,222,0,77.5,66.2,61.7,,61.9,22.7,5,1,8,0.0,0,22,0,6,100.0,22,45.5,10,52.5,11,1,31.8,7,33,12,2.0,5.5,1.5
Malik Rutherford,143929,WR,GA TECH,1,6.6,0,80.0,,0,0,0,11.1,1,5,176,0,58.9,68.2,65.8,,71.0,0.0,0,0,24,0.0,0,33,0,8,90.9,30,87.9,29,98.3,10,0,6.1,2,76,54,6.8,9.5,2.53
Reggie Virgil,158022,WR,MIAMI OH,1,17.6,0,40.0,0.0,0,1,0,0.0,0,3,221,0,74.9,65.0,63.7,,63.1,0.0,0,1,51,0.0,0,47,0,4,100.0,47,8.5,4,27.5,10,0,91.5,43,76,10,2.5,19.0,1.62
KC Concepcion,170362,WR,NC STATE,1,5.9,2,60.0,0.0,0,1,0,14.3,1,1,248,0,53.4,71.2,54.0,,51.9,0.0,0,0,11,0.0,0,42,0,6,97.6,41,78.6,33,64.6,10,0,21.4,9,22,34,5.7,3.7,0.54
Denzel Boston,162481,WR,WASHINGTON,1,15.8,0,50.0,,0,0,0,0.0,0,5,340,0,76.3,71.8,72.3,,71.5,0.0,0,0,36,0.0,0,40,0,5,97.5,39,15.0,6,110.4,10,1,85.0,34,80,24,4.8,16.0,2.05
Anthony Sambucci,130663,WR,W MICHIGAN,1,7.5,2,90.0,50.0,1,2,0,0.0,0,4,347,0,80.1,69.8,79.9,,77.4,0.0,0,0,22,0.0,0,32,0,9,96.9,31,15.6,5,130.8,10,1,84.4,27,74,13,1.4,8.2,2.39
Squirrel White,163776,WR,TENNESSEE,1,8.4,0,70.0,,0,0,0,0.0,0,3,307,0,78.5,68.4,60.9,,60.6,0.0,0,0,10,0.0,0,29,0,7,93.1,27,89.7,26,76.2,10,0,10.3,3,38,30,4.3,5.4,1.41
Jackson Meeks,146714,WR,SYRACUSE,1,8.2,1,70.0,66.7,2,3,0,12.5,1,4,304,0,56.8,66.7,62.6,,63.4,0.0,0,0,18,0.0,0,55,0,7,90.9,50,7.3,4,121.2,10,1,92.7,51,66,14,2.0,9.4,1.32
Amare Thomas,173349,WR,UAB,1,5.5,1,50.0,50.0,1,2,0,16.7,1,2,321,0,50.3,65.7,58.7,,58.6,0.0,0,0,73,0.0,0,34,0,5,91.2,31,73.5,25,117.9,10,1,26.5,9,98,102,20.4,19.6,3.16
Antwane Wells Jr.,138470,WR,OLE MISS,1,19.7,0,33.3,20.0,1,5,0,0.0,0,1,226,1,40.2,10.3,57.4,,56.9,0.0,0,0,63,0.0,0,32,0,3,78.1,25,12.5,4,73.4,9,0,87.5,28,94,71,23.7,31.3,3.76
Harold Fannin Jr.,163104,TE,BOWL GREEN,1,5.7,3,100.0,,0,0,0,0.0,0,6,122,0,80.1,69.3,90.7,,85.4,42.4,14,0,63,0.0,0,33,0,9,97.0,32,30.3,10,118.8,9,0,24.2,8,135,84,9.3,15.0,4.22
