player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Mike Washington Jr.,145672,HB,BUFFALO,1,1.0,1,72.7,50.0,1,2,0,0.0,0,2,126,0,79.3,27.6,48.2,21.9,78.8,0.0,0,0,17,35.6,16,45,1,8,60.0,27,0.0,0,84.7,11,0,2.2,1,58,41,5.1,7.3,2.15
Shocky Jacques-Louis,77960,WR,AKRON,1,15.8,1,45.5,66.7,2,3,0,0.0,0,5,102,0,77.5,66.2,74.5,,75.1,0.0,0,0,33,0.0,0,52,1,5,90.4,47,9.6,5,75.6,11,0,90.4,47,94,38,7.6,18.8,2.0
Daniel George,84378,WR,AKRON,1,7.4,1,70.0,50.0,1,2,0,0.0,0,4,102,0,78.5,66.7,66.1,,67.0,0.0,0,0,29,0.0,0,56,0,7,91.1,51,12.5,7,135.4,10,1,87.5,49,100,52,7.4,14.3,1.96
Alex Adams,124085,WR,AKRON,1,4.7,0,70.0,,0,0,0,12.5,1,2,102,0,56.4,66.7,54.2,,55.1,0.0,0,2,19,0.0,0,57,0,7,91.2,52,94.7,54,66.7,10,1,3.5,2,18,15,2.1,2.6,0.35
Justin Marshall,61394,WR,BUFFALO,1,17.6,1,75.0,100.0,3,3,0,14.3,1,4,126,0,53.4,66.2,73.4,,72.4,0.0,0,0,38,0.0,0,38,0,6,86.8,33,2.6,1,147.4,8,2,97.4,37,83,7,1.2,13.8,2.52
Quian Williams,61237,WR,BUFFALO,1,12.4,0,40.0,,0,0,0,0.0,0,2,126,0,39.5,64.1,55.8,,54.5,0.0,0,0,16,0.0,0,53,1,2,86.8,46,67.9,36,100.0,5,1,32.1,17,30,3,1.5,15.0,0.65
Marlyn Johnson,98289,WR,BUFFALO,1,21.4,0,20.0,,0,0,0,66.7,2,0,126,0,10.9,61.0,40.8,,42.2,0.0,0,1,6,0.0,0,29,0,1,96.6,28,0.0,0,0.0,5,0,100.0,29,6,1,1.0,6.0,0.21
Clyde Price,99493,HB,AKRON,1,0.4,1,80.0,,0,0,0,20.0,1,1,102,0,45.4,32.7,61.6,48.5,50.3,1.8,1,0,7,28.6,16,56,0,4,64.3,36,0.0,0,79.2,5,0,0.0,0,14,12,3.0,3.5,0.39
T.J. Banks,77923,TE,AKRON,1,3.3,0,75.0,100.0,1,1,0,0.0,0,1,102,0,73.1,64.1,57.5,69.7,62.2,79.2,19,0,6,16.7,4,24,0,3,79.2,19,12.5,3,77.1,4,0,8.3,2,12,2,0.7,4.0,0.63
Jovany Ruiz-Navarro,78055,WR,BUFFALO,1,8.3,0,66.7,50.0,1,2,0,0.0,0,1,126,0,70.7,62.9,58.5,,58.3,0.0,0,0,8,0.0,0,25,0,2,76.0,19,8.0,2,75.7,3,0,92.0,23,13,0,0.0,6.5,0.68
Trevor Borland,130400,TE,BUFFALO,1,12.5,0,50.0,,0,0,0,0.0,0,1,126,0,66.7,61.0,52.9,64.8,50.9,51.5,17,0,14,30.3,10,33,0,1,66.7,22,45.5,15,72.9,2,0,3.0,1,14,0,0.0,14.0,0.64
Cole Harrity,138482,WR,BUFFALO,1,18.5,0,50.0,100.0,1,1,0,0.0,0,1,126,0,66.7,61.0,66.2,,66.2,0.0,0,0,33,0.0,0,15,0,1,86.7,13,100.0,15,95.8,2,0,0.0,0,33,13,13.0,33.0,2.54
Caleb Anderson,163066,WR,AKRON,1,2.5,0,50.0,0.0,0,1,0,0.0,0,0,102,0,66.7,61.0,51.3,,56.0,0.0,0,0,8,0.0,0,8,0,1,100.0,8,12.5,1,60.4,2,0,87.5,7,8,9,9.0,8.0,1.0
Tristian Brank,130281,TE,AKRON,1,6.0,0,50.0,,0,0,0,50.0,1,0,102,0,24.5,61.0,35.4,40.0,41.5,79.4,27,0,8,14.7,5,34,0,1,79.4,27,8.8,3,60.4,2,0,11.8,4,8,3,3.0,8.0,0.3
Ray Embry,143589,TE,BUFFALO,1,22.0,0,100.0,,0,0,0,0.0,0,1,126,0,66.7,61.0,73.6,69.8,71.1,9.1,1,0,28,9.1,1,11,0,1,81.8,9,90.9,10,118.8,1,0,0.0,0,28,6,6.0,28.0,3.11
Tony Georges,130291,C,AKRON,1,-5.0,0,100.0,,0,0,0,0.0,0,0,102,0,70.1,,54.2,45.9,60.8,0.0,0,0,0,100.0,58,58,0,1,0.0,0,0.0,0,79.2,1,0,0.0,0,0,5,5.0,0.0,
Tajay Ahmed,97622,HB,BUFFALO,1,-2.0,0,0.0,0.0,0,1,0,,0,0,126,0,,62.5,54.0,53.2,57.8,0.0,0,0,0,57.1,4,7,0,0,42.9,3,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Jamari Gassett,145690,WR,BUFFALO,1,-4.0,1,100.0,,0,0,0,0.0,0,0,126,0,66.7,61.0,61.5,,61.0,0.0,0,0,-1,0.0,0,1,0,1,100.0,1,100.0,1,79.2,1,0,0.0,0,-1,3,3.0,-1.0,-1.0
