player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Malik Vann,52555,ED,CINCINNATI,1,0,0,138,64.1,1,2,23,100.0,13.0,3,0,6.5,0,23,23,3,0,56.6,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Tyler Bentley,52790,DI,PITTSBURGH,1,0,0,268,58.2,0,0,6,100.0,0.0,0,0,0.0,0,7,7,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Xavier Peters,52819,ED,FAU,1,0,0,165,56.7,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,59.1,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Zaid Hamdan,52925,DI,TULSA,1,0,0,320,61.0,0,1,12,100.0,8.3,1,0,4.2,0,12,12,1,0,64.8,0,1,6,100.0,16.7,1,8.3,0,6,6,1
Cole Pearce,52970,LB,BALL ST,1,0,0,117,66.2,2,1,5,11.9,40.0,2,0,30.0,0,42,5,3,0,65.7,2,0,1,5.9,0.0,0,100.0,0,17,1,2
DeShawn Pace,53549,S,CINCINNATI,1,0,0,138,69.6,1,0,5,13.0,0.0,0,0,10.0,0,46,6,1,0,59.7,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Eric Phillips,53572,ED,CINCINNATI,1,0,0,138,60.0,0,2,19,100.0,5.3,1,0,5.3,0,20,20,2,0,58.3,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Jaheim Thomas,54193,LB,ARKANSAS,1,0,0,111,58.9,0,0,0,7.1,,0,0,,0,14,1,0,0,,0,0,0,0.0,,0,,0,3,0,0
Jordan Strachan,55198,ED,S CAROLINA,1,0,1,289,62.3,0,2,16,100.0,12.5,2,1,6.3,0,16,16,2,0,60.4,0,1,7,100.0,14.3,1,7.1,0,7,7,1
Zachary Ford,55353,S,TOLEDO,1,0,0,316,56.5,0,0,2,4.4,0.0,0,0,0.0,0,45,2,0,0,58.6,0,0,1,7.1,0.0,0,0.0,0,14,1,0
