player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Dion Washington,146096,DI,NEVADA,1,0,0,239,54.7,0,0,10,100.0,0.0,0,0,0.0,0,10,10,0,0,55.4,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Ronald Wilson,146133,S,NEW MEXICO,1,0,0,241,59.5,0,1,2,8.0,0.0,0,1,25.0,0,25,2,1,0,,0,0,0,0.0,,0,,0,14,0,0
Alec Marenco,146136,LB,NEW MEXICO,1,0,0,241,57.6,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,57.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Darrion Dalton,146142,DI,S DIEGO ST,1,0,0,284,58.0,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Zyrus Fiaseu,146160,LB,S DIEGO ST,1,0,0,284,62.0,1,0,8,36.4,0.0,0,0,6.3,0,22,8,1,0,55.7,0,0,4,40.0,0.0,0,0.0,0,10,4,0
CJ Baskerville,146166,S,S DIEGO ST,1,0,0,284,59.9,0,0,1,2.9,0.0,0,0,0.0,0,35,1,0,0,59.9,0,0,1,6.7,0.0,0,0.0,0,15,1,0
Marcel Sanders,146180,ED,S JOSE ST,1,0,0,285,56.2,0,0,7,100.0,0.0,0,0,0.0,0,8,8,0,0,57.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Bryun Parham,146184,LB,S JOSE ST,1,0,0,285,69.1,0,1,2,9.1,50.0,1,0,25.0,0,22,2,1,0,69.1,0,1,2,20.0,50.0,1,25.0,0,10,2,1
Jerrae Williams,146191,CB,UNLV,1,0,0,325,57.7,0,0,3,8.3,0.0,0,1,0.0,0,36,3,0,0,59.4,0,0,1,7.7,0.0,0,0.0,0,13,1,0
Anthony Sagapolutele,146197,DI,HAWAII,1,0,0,180,62.0,0,0,7,100.0,14.3,1,0,0.0,0,8,8,0,0,64.0,0,0,4,100.0,25.0,1,0.0,0,5,5,0
Johnathan Baldwin,146214,S,UNLV,1,0,0,325,59.7,0,0,1,5.3,0.0,0,0,0.0,0,38,2,0,0,,0,0,0,0.0,,0,,0,13,0,0
Aurion Peoples,146218,DI,UTAH ST,1,0,0,329,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Bo Maile,146227,DI,UTAH ST,1,0,0,329,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Kolbe Cage,146250,LB,ARIZONA,1,0,0,109,55.4,0,0,7,38.1,0.0,0,0,0.0,0,21,8,0,0,59.5,0,0,1,33.3,0.0,0,0.0,0,3,1,0
Jackson Bailey,146256,ED,LA MONROE,1,0,0,209,59.2,0,0,1,33.3,0.0,0,0,0.0,0,3,1,0,0,59.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Evan Branch-Haynes,146264,DI,ARIZONA,1,0,0,109,58.6,0,0,3,100.0,0.0,0,1,0.0,0,4,4,0,0,,0,0,0,,,0,,0,0,0,0
B.J. Green II,146277,ED,ARIZONA ST,1,0,0,110,64.3,1,0,13,100.0,15.4,2,2,11.5,1,14,14,2,0,62.8,0,0,7,100.0,14.3,1,14.3,1,8,8,1
Eric Gentry,146280,LB,USC,1,0,0,326,48.8,0,1,2,7.1,50.0,1,0,25.0,0,42,3,1,0,40.5,0,1,1,10.5,0.0,0,50.0,0,19,2,1
Gharin Stansbury,146281,ED,ARIZONA ST,1,0,0,110,58.2,0,0,2,100.0,0.0,0,0,0.0,0,3,3,0,0,58.5,0,0,1,100.0,0.0,0,0.0,0,2,2,0
Anthony Franklin,146379,DI,STANFORD,1,0,0,300,54.0,0,0,17,100.0,0.0,0,0,0.0,0,21,21,0,0,54.6,0,0,11,100.0,0.0,0,0.0,0,12,12,0
Aaron Armitage,146382,ED,STANFORD,1,0,0,300,63.0,1,0,9,100.0,0.0,0,0,5.6,0,13,13,1,0,59.9,1,0,5,100.0,0.0,0,10.0,0,7,7,1
Jay Toia,146406,DI,UCLA,1,0,0,324,55.2,0,0,14,100.0,0.0,0,1,0.0,0,15,15,0,0,56.7,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Karene Reid,146447,LB,UTAH,1,0,0,328,60.0,0,2,6,26.9,0.0,0,1,16.7,0,26,7,2,0,56.4,0,0,1,100.0,0.0,0,0.0,0,2,2,0
Cole Bishop,146454,S,UTAH,1,0,0,328,56.7,0,1,3,11.5,0.0,0,0,16.7,0,26,3,1,0,,0,0,0,0.0,,0,,0,2,0,0
Simote Pepa,146457,DI,UTAH,1,0,0,328,57.4,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,,0,0,0,,,0,,0,0,0,0
Jonah Elliss,146458,ED,UTAH,1,0,0,328,58.8,0,1,16,100.0,6.3,1,0,3.1,0,16,16,1,0,59.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Voi Tunuufi,146487,DI,WASHINGTON,1,0,0,340,63.2,0,1,18,100.0,5.6,1,2,2.8,0,19,19,1,0,65.4,0,1,5,100.0,20.0,1,10.0,0,5,5,1
Jaden Hicks,146512,S,WASH STATE,1,0,0,341,63.1,0,0,3,10.8,33.3,1,1,0.0,0,37,4,0,0,64.3,0,0,3,21.4,33.3,1,0.0,0,14,3,0
Raam Stevenson,146517,ED,WASH STATE,1,0,0,341,56.1,0,0,2,100.0,0.0,0,0,0.0,0,3,3,0,0,58.8,0,0,0,100.0,,0,,0,1,1,0
Lawrence Falatea,146520,ED,WASH STATE,1,0,0,341,65.0,0,0,3,100.0,0.0,0,0,0.0,0,5,5,0,0,68.2,0,0,0,100.0,,0,,0,2,2,0
Francisco Mauigoa,146521,LB,WASH STATE,1,0,0,341,55.5,0,0,3,10.7,0.0,0,0,0.0,0,28,3,0,0,56.4,0,0,2,25.0,0.0,0,0.0,0,8,2,0
David Gusta,146524,DI,WASH STATE,1,0,0,341,56.4,0,0,10,100.0,0.0,0,0,0.0,0,11,11,0,0,,0,0,0,,,0,,0,0,0,0
Andrew Edson,146529,ED,WASH STATE,1,0,0,341,56.8,0,0,1,100.0,0.0,0,1,0.0,0,4,4,0,0,58.4,0,0,0,100.0,,0,,0,2,2,0
Jeffrey Bassa,146552,LB,OREGON,1,0,0,264,69.7,0,0,5,15.0,20.0,1,0,20.0,1,40,6,1,0,66.1,0,0,2,18.8,0.0,0,50.0,1,16,3,1
Keanu Williams,146556,DI,OREGON,1,0,0,264,57.8,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Terrion Arnold,146603,CB,ALABAMA,1,0,0,103,60.0,0,0,1,1.9,0.0,0,2,0.0,0,53,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Dallas Turner,146604,ED,ALABAMA,1,0,0,103,70.5,2,3,34,71.4,14.7,5,0,13.2,2,49,35,7,0,74.1,1,1,17,75.0,23.5,4,17.6,2,24,18,4
Deontae Lawson,146608,LB,ALABAMA,1,0,0,103,65.6,0,1,4,12.5,0.0,0,0,12.5,0,32,4,1,0,66.0,0,1,3,27.3,0.0,0,16.7,0,11,3,1
Jalen Williams,146623,DI,SO MISS,1,0,0,296,60.2,0,0,14,100.0,0.0,0,0,0.0,0,15,15,0,0,57.3,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Chris Paul Jr.,146640,LB,ARKANSAS,1,0,0,111,60.0,0,0,1,7.1,0.0,0,0,0.0,0,14,1,0,0,,0,0,0,,,0,,0,0,0,0
Jayden Johnson,146643,CB,ARKANSAS,1,0,0,111,59.4,0,0,1,4.2,0.0,0,0,0.0,0,24,1,0,0,59.4,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Cameron Ball,146644,DI,ARKANSAS,1,0,0,111,63.3,0,1,11,100.0,0.0,0,0,4.5,0,11,11,1,0,,0,0,0,,,0,,0,0,0,0
Dylan Brooks,146663,ED,AUBURN,1,0,0,115,53.9,0,1,8,81.8,0.0,0,0,6.3,0,11,9,1,0,55.7,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Lee Hunter,146676,DI,UCF,1,0,0,323,57.5,0,0,18,100.0,5.6,1,0,0.0,0,22,22,0,0,58.8,0,0,11,100.0,9.1,1,0.0,0,14,14,0
Desmond Watson,146703,DI,FLORIDA,1,0,0,163,57.7,0,0,12,100.0,0.0,0,0,0.0,0,12,12,0,0,58.1,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Justus Boone,146709,ED,FLORIDA,1,0,0,163,80.3,0,1,8,100.0,25.0,2,0,6.3,0,8,8,1,0,56.1,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Jamon Johnson,146721,LB,GEORGIA,1,0,0,173,82.0,0,2,8,18.2,25.0,2,0,12.5,0,44,8,2,0,84.6,0,2,7,30.4,28.6,2,14.3,0,23,7,2
Xavian Sorey Jr.,146724,LB,GEORGIA,1,0,0,173,53.7,0,0,6,42.9,0.0,0,0,0.0,0,14,6,0,0,53.9,0,0,5,62.5,0.0,0,0.0,0,8,5,0
Tyrion Ingram-Dawkins,146730,ED,GEORGIA,1,0,0,173,53.3,0,0,13,100.0,0.0,0,0,0.0,0,14,14,0,0,55.5,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Trevin Wallace,146747,LB,KENTUCKY,1,0,0,202,57.7,0,0,1,9.1,0.0,0,0,0.0,0,11,1,0,0,57.7,0,0,1,16.7,0.0,0,0.0,0,6,1,0
Kahlil Saunders,146752,ED,KENTUCKY,1,0,0,202,57.1,1,1,15,100.0,13.3,2,0,6.7,0,15,15,2,0,63.1,1,0,4,100.0,25.0,1,12.5,0,4,4,1
Greg Penn III,146780,LB,LSU,1,0,0,211,46.6,1,1,3,11.1,0.0,0,0,33.3,0,27,3,2,0,59.6,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Sai'vion Jones,146782,ED,LSU,1,0,0,211,59.1,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,,0,0,0,,,0,,0,0,0,0
Landon Jackson,146784,ED,ARKANSAS,1,1,0,111,62.3,0,0,19,100.0,0.0,0,1,0.0,0,21,21,0,0,,0,0,0,,,0,,0,0,0,0
Jamond Gordon,146800,ED,OLE MISS,1,0,0,226,65.0,0,0,4,100.0,25.0,1,1,0.0,0,4,4,0,0,,0,0,0,,,0,,0,0,0,0
Trey Washington,146822,S,OLE MISS,1,0,0,226,58.6,0,0,2,17.6,0.0,0,0,0.0,0,17,3,0,0,,0,0,0,0.0,,0,,0,4,0,0
Tywone Malone Jr.,146832,ED,OLE MISS,1,0,0,226,56.6,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,,0,0,0,,,0,,0,0,0,0
JJ Hawkins,146833,ED,OLE MISS,1,0,0,226,58.8,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,58.8,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Dameon Wilson,146884,LB,MISSOURI,1,0,0,229,55.8,0,0,3,30.0,0.0,0,0,0.0,0,10,3,0,0,,0,0,0,0.0,,0,,0,2,0,0
Arden Walker,146893,ED,MISSOURI,1,0,0,229,59.0,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
Marcellas Dial,146902,CB,S CAROLINA,1,0,0,289,60.0,0,0,1,4.0,0.0,0,1,0.0,0,25,1,0,0,,0,0,0,0.0,,0,,0,10,0,0
Bam Martin-Scott,146904,LB,S CAROLINA,1,0,0,289,68.0,0,0,1,6.7,100.0,1,0,0.0,0,15,1,0,0,64.5,0,0,0,0.0,,1,,0,9,0,0
T.J. Sanders,146925,DI,S CAROLINA,1,0,0,289,56.1,0,0,10,90.9,0.0,0,0,0.0,0,11,10,0,0,56.4,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Nick Barrett,146926,DI,S CAROLINA,1,1,0,289,68.0,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Kamal Hadden,146931,CB,TENNESSEE,1,0,0,307,74.6,0,0,2,3.6,50.0,1,3,0.0,0,56,2,0,0,,0,0,0,0.0,,0,,0,21,0,0
