player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Zaid Hamdan,52925,DI,KENT STATE,1,0,1,201,59.2,0,0,21,100.0,4.8,1,1,0.0,0,21,21,0,0,56.7,0,0,5,100.0,0.0,0,0.0,0,5,5,0
DeShawn Pace,53549,LB,UCF,1,0,0,323,87.7,0,0,3,16.7,33.3,1,0,0.0,0,18,3,0,0,57.2,0,0,2,25.0,0.0,0,0.0,0,8,2,0
Eric Phillips,53572,ED,CINCINNATI,1,0,0,138,73.0,2,1,24,100.0,25.0,6,0,10.4,1,25,25,4,0,82.6,0,0,3,100.0,100.0,3,33.3,1,3,3,1
Jaheim Thomas,54193,LB,WISCONSIN,1,0,0,349,66.3,0,1,7,38.1,0.0,0,0,7.1,0,21,8,1,0,64.0,0,0,3,50.0,0.0,0,0.0,0,8,4,0
Cheikhsaliou Fall,54240,ED,CAL,1,0,0,130,65.2,1,0,14,93.3,14.3,2,0,3.6,0,15,14,1,0,68.2,0,0,2,100.0,50.0,1,0.0,0,2,2,0
Jaiden Cameron,62277,ED,NWESTERN,1,1,0,256,64.1,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,1,65.6,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Alex Howard,62494,LB,DUKE,1,0,0,154,77.3,0,0,3,14.3,66.7,2,0,66.7,2,21,3,2,0,80.1,0,0,2,20.0,100.0,2,100.0,2,10,2,2
Barry Brown,62724,LB,COAST CAR,1,0,0,141,62.2,0,0,5,37.5,0.0,0,1,0.0,0,16,6,0,0,,0,0,0,0.0,,0,,0,3,0,0
Kam Butler,63872,ED,VIRGINIA,1,1,0,335,56.4,0,3,14,77.8,14.3,2,0,10.7,0,18,14,3,0,46.5,0,1,5,62.5,0.0,0,10.0,0,8,5,1
Will Whitson,64470,DI,COAST CAR,1,0,0,141,89.9,0,2,23,100.0,17.4,4,0,8.7,1,24,24,3,0,71.2,0,1,5,100.0,40.0,2,10.0,0,5,5,1
Ty Hamilton,66298,DI,OHIO STATE,1,0,0,260,58.8,0,1,19,100.0,5.3,1,0,2.6,0,20,20,1,0,56.8,0,1,3,100.0,0.0,0,16.7,0,4,4,1
Ben Florentine,70644,DI,WYOMING,1,0,0,351,55.5,0,0,16,100.0,0.0,0,0,0.0,0,16,16,0,0,56.9,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Korey Foreman,70831,ED,FRESNO ST,1,0,0,169,59.1,1,0,11,91.7,9.1,1,0,4.5,0,12,11,1,0,65.4,1,0,3,75.0,33.3,1,16.7,0,4,3,1
Tuasivi Nomura,70879,LB,FRESNO ST,1,0,0,169,53.3,0,0,4,14.8,0.0,0,0,0.0,0,27,4,0,0,56.4,0,0,2,20.0,0.0,0,0.0,0,10,2,0
Keyon Ware-Hudson,71322,DI,OREGON,1,0,0,264,58.4,0,0,6,100.0,0.0,0,0,0.0,0,7,7,0,0,,0,0,0,,,0,,0,0,0,0
Keanu Tanuvasa,71398,DI,UTAH,1,0,0,328,53.1,0,2,13,100.0,7.7,1,0,7.7,0,13,13,2,0,46.7,0,1,6,100.0,0.0,0,8.3,0,6,6,1
Akili Arnold,71406,S,USC,1,0,0,326,60.0,0,0,1,2.6,0.0,0,0,0.0,0,39,1,0,0,,0,0,0,0.0,,0,,0,10,0,0
Easton Mascarenas-Arnold,71410,LB,USC,1,0,0,326,53.7,0,0,5,12.8,0.0,0,0,0.0,0,39,5,0,0,59.1,0,0,1,10.0,0.0,0,0.0,0,10,1,0
Sheldon Newton,71957,DI,BOISE ST,1,0,0,120,53.7,0,0,26,100.0,0.0,0,0,0.0,0,28,28,0,0,55.4,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Kamren Fabiculanan,72332,S,WASHINGTON,1,0,0,340,60.0,0,0,1,4.5,0.0,0,0,0.0,0,22,1,0,0,,0,0,0,0.0,,0,,0,7,0,0
Ian Shewell,72474,DI,ARIZONA ST,1,0,0,110,58.7,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,59.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Noa Pola-Gates,72535,CB,NEW MEXICO,1,0,0,241,60.0,0,0,0,3.7,,0,0,,0,27,1,0,0,,0,0,0,0.0,,0,,0,11,0,0
Keith Conley Jr.,72821,ED,UNLV,1,0,0,325,75.1,0,2,14,100.0,21.4,3,0,7.1,0,14,14,2,0,75.5,0,2,9,100.0,22.2,2,11.1,0,9,9,2
Henry Ikahihifo,73151,ED,NEVADA,1,0,0,239,70.1,1,1,29,96.8,20.7,6,0,6.9,1,31,30,3,0,72.7,0,1,19,100.0,26.3,5,7.9,1,20,20,2
Lincoln Tuioti-Mariner,73243,S,AIR FORCE,1,0,0,101,60.0,0,0,2,18.2,0.0,0,0,0.0,0,11,2,0,0,,0,0,0,0.0,,0,,0,6,0,0
Marco Notarainni,73389,LB,BOISE ST,1,0,0,120,61.0,0,1,6,37.5,16.7,1,0,8.3,0,16,6,1,0,59.4,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Taariq Al-Uqdah,74119,LB,WASH STATE,1,0,0,341,53.6,0,0,6,25.0,0.0,0,0,0.0,0,24,6,0,0,57.3,0,0,1,14.3,0.0,0,0.0,0,7,1,0
Treven Ma'ae,74498,DI,BAYLOR,1,0,0,118,62.8,0,0,16,100.0,6.3,1,0,6.3,1,17,17,1,0,67.7,0,0,2,100.0,50.0,1,50.0,1,2,2,1
Andre Proffitt,75264,DI,AKRON,1,0,0,102,57.4,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,59.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Bam Booker,76122,ED,BOWL GREEN,1,0,0,122,58.8,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,,0,0,0,,,0,,0,0,0,0
Dennis Briggs Jr.,76792,DI,ILLINOIS,1,0,0,187,69.2,0,1,19,100.0,10.5,2,0,2.6,0,21,21,1,0,56.5,0,0,2,100.0,0.0,0,0.0,0,4,4,0
Antonio Colclough,76813,ED,BUFFALO,1,0,0,126,68.4,0,0,10,92.3,10.0,1,0,0.0,0,13,12,0,0,,0,0,0,,,0,,0,0,0,0
Darnell Jefferies,76999,DI,MINNESOTA,1,0,0,225,55.2,0,0,9,100.0,0.0,0,0,0.0,0,10,10,0,0,55.7,0,0,3,100.0,0.0,0,0.0,0,4,4,0
Matt Harmon,77244,ED,KENT STATE,1,0,0,201,60.5,0,0,34,91.9,2.9,1,0,2.9,1,37,34,1,0,65.7,0,0,4,100.0,0.0,0,25.0,1,4,4,1
Daniel Bolden,77252,LB,TOLEDO,1,0,0,316,46.7,0,1,2,33.3,0.0,0,0,25.0,0,6,2,1,0,46.6,0,1,1,50.0,0.0,0,50.0,0,2,1,1
Keye Thompson,77266,LB,PITTSBURGH,1,0,0,268,69.7,1,1,7,38.9,14.3,1,1,14.3,0,18,7,2,0,64.7,0,1,1,50.0,100.0,1,50.0,0,2,1,1
Jayden McDonald,81249,LB,UCONN,1,0,0,146,53.7,0,0,6,31.6,0.0,0,0,0.0,0,19,6,0,0,56.6,0,0,2,28.6,0.0,0,0.0,0,7,2,0
Jermayne Lole,82212,DI,TEXAS,1,0,0,311,59.3,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,,0,0,0,,,0,,0,0,0,0
Matt Lawson,82266,DI,NEW MEX ST,1,0,0,242,56.0,0,0,11,100.0,0.0,0,0,0.0,0,12,12,0,0,56.4,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Ezekiel Holmes,82281,DI,ILLINOIS,1,0,0,187,53.5,0,0,12,100.0,0.0,0,0,0.0,0,13,13,0,0,55.0,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Maurice Strong Jr.,82408,DI,S ALABAMA,1,0,0,288,55.0,0,0,23,100.0,0.0,0,0,0.0,0,25,25,0,0,58.1,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Jacob Mangum-Farrar,82557,ED,INDIANA,1,0,0,190,55.8,0,0,9,100.0,0.0,0,0,0.0,0,9,9,0,0,57.1,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Raymond Scott,82560,LB,JAMES MAD,1,0,0,197,57.3,0,0,2,15.4,0.0,0,0,0.0,0,13,2,0,0,59.1,0,0,1,16.7,0.0,0,0.0,0,6,1,0
Solomon Tuliaupupu,82562,ED,USC,1,0,0,326,61.7,1,1,7,77.8,14.3,1,0,14.3,0,9,7,2,0,57.7,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Ale Kaho,82646,LB,UCLA,1,1,0,324,78.7,0,1,12,41.7,16.7,2,0,20.8,2,36,15,3,0,71.8,0,0,2,41.7,0.0,0,0.0,0,12,5,0
