player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Ta'Quan Roberson,101625,QB,BUFFALO,1,71.2,52,57,10.6,2.58,0,8,12.9,63.2,36,0,16,2.7,60,1,25,126,70.8,69.9,72.9,66.1,1,1,65,4,6.3,88.6,1.7,1,2,0,4,2,5,7.7,403,7.1
Sawyer Robertson,146839,QB,BAYLOR,1,62.5,48,52,12.8,2.7,1,2,3.6,48.1,25,0,16,16.7,55,5,14,118,70.9,65.8,66.3,56.2,1,3,60,0,12.5,56.4,3.6,2,1,0,2,2,4,6.7,318,6.1
Nick Minicucci,173617,QB,DELAWARE,1,69.4,49,50,12.8,2.89,0,3,5.3,64.0,32,0,17,5.9,54,2,16,151,44.3,78.4,82.0,50.5,1,0,61,0,11.8,97.3,3.7,2,2,0,0,1,0,0.0,422,8.4
Caden Veltkamp,156642,QB,FAU,1,80.9,47,50,4.7,2.45,1,0,0.0,70.0,35,0,14,7.9,57,3,15,165,71.9,68.1,65.8,65.6,1,1,63,0,35.7,79.1,8.8,5,2,0,1,1,0,0.0,244,4.9
Walker Eget,146170,QB,S JOSE ST,1,59.6,47,50,12.7,2.82,0,3,5.7,54.0,27,0,10,3.6,52,1,14,285,70.3,65.9,62.6,69.4,0,0,55,0,0.0,88.5,0.0,0,2,1,2,2,2,3.6,337,6.7
Malik Washington,198729,QB,MARYLAND,1,57.8,45,48,8.2,2.75,2,2,3.9,47.9,23,0,8,11.5,53,3,11,215,70.4,62.4,56.3,75.2,0,1,56,0,0.0,58.5,0.0,0,5,0,1,1,3,5.4,210,4.4
Sam Leavitt,175465,QB,ARIZONA ST,1,69.8,43,47,8.5,2.6,3,2,4.0,59.6,28,0,15,6.7,55,2,14,110,44.8,48.3,50.5,50.8,0,0,58,0,26.7,87.1,7.3,4,4,0,1,1,3,5.2,319,6.8
Joey Aguilar,174978,QB,TENNESSEE,1,76.7,43,45,7.9,2.83,0,2,3.8,62.2,28,0,14,15.2,52,5,14,307,70.2,67.9,72.6,48.1,0,1,59,1,21.4,76.9,5.8,3,4,0,2,1,2,3.4,268,6.0
Jaylen Raynor,172203,QB,ARK STATE,1,68.9,45,45,9.3,2.65,0,0,0.0,64.4,29,0,8,6.5,50,2,11,113,72.8,63.3,54.9,75.0,0,1,53,0,25.0,73.3,4.0,2,3,0,0,1,2,3.8,209,4.6
Darian Mensah,169984,QB,DUKE,1,78.6,42,45,9.1,2.78,0,0,0.0,71.1,32,0,16,3.0,47,1,17,154,37.7,76.4,84.5,33.6,0,0,49,1,6.3,110.7,2.1,1,1,0,3,2,0,0.0,373,8.3
Kevin Jennings,158272,QB,SMU,1,64.9,37,43,8.0,2.44,1,2,4.4,53.5,23,0,4,4.2,44,1,11,287,71.3,66.8,66.4,60.3,0,1,46,0,25.0,80.6,2.3,1,0,0,5,2,0,0.0,290,6.7
Julian Sayin,183708,QB,OHIO STATE,1,90.0,40,42,9.2,2.98,1,4,9.5,85.7,36,0,11,0.0,45,0,21,260,70.6,91.4,91.6,61.6,1,0,45,0,9.1,137.5,2.2,1,2,0,0,4,1,2.2,394,9.4
Christopher Vizzina,170032,QB,CLEMSON,1,82.9,41,42,7.5,2.58,0,2,4.8,69.0,29,0,15,14.7,50,5,16,140,52.2,68.8,78.7,44.4,1,0,51,0,33.3,114.9,10.0,5,3,0,0,3,1,2.0,317,7.5
Baylor Hayes,192135,QB,TULSA,1,75.0,36,41,7.4,2.55,2,2,4.7,56.1,23,0,15,14.8,51,4,11,320,38.1,73.1,69.3,68.7,1,0,53,0,40.0,90.6,11.8,6,4,0,2,2,1,1.9,251,6.1
Jayden Maiava,158135,QB,USC,1,63.2,38,41,11.2,3.01,0,3,6.5,53.7,22,0,15,8.3,43,2,14,326,37.6,64.7,64.0,,0,2,51,0,13.3,76.1,4.7,2,0,0,3,2,3,6.1,328,8.0
JJ Kohl,174674,QB,APP STATE,1,79.5,39,41,8.1,2.64,1,0,0.0,65.9,27,0,23,12.9,50,4,19,108,30.3,52.3,51.2,59.0,1,0,52,0,17.4,101.5,8.0,4,5,0,0,2,3,5.8,278,6.8
Ben Finley,122864,QB,AKRON,1,59.0,39,40,14.0,2.8,0,2,4.9,55.0,22,0,19,4.3,48,1,17,102,70.1,55.3,53.8,60.7,0,2,50,0,26.3,82.4,10.4,5,3,0,1,3,4,8.0,291,7.3
Cutter Boley,184630,QB,KENTUCKY,1,82.1,39,40,4.8,2.66,0,0,0.0,77.5,31,0,17,3.1,51,1,21,202,70.9,72.0,70.6,64.0,0,1,54,0,29.4,83.1,9.8,5,6,1,0,0,1,1.9,258,6.5
Beau Pribula,164182,QB,MISSOURI,1,72.2,36,40,7.1,2.49,0,1,2.3,57.5,23,0,16,11.5,47,3,20,229,73.0,76.8,75.5,65.2,0,2,50,0,18.8,55.4,6.4,3,3,0,4,0,3,6.0,252,6.3
Cameran Brown,184894,QB,GA STATE,1,88.6,35,39,5.8,2.73,3,1,2.2,76.9,30,0,18,3.2,46,1,20,175,72.2,83.2,80.2,72.9,0,0,52,1,0.0,104.6,0.0,0,7,0,1,1,0,0.0,280,7.2
Brad Jackson,184354,QB,TEXAS ST,1,82.4,34,39,9.1,2.64,1,4,10.0,66.7,26,0,13,7.1,48,2,17,314,73.0,79.5,76.2,69.7,1,1,49,0,30.8,111.5,8.3,4,5,1,2,2,1,2.0,444,11.4
Will Hammond,184898,QB,TEXAS TECH,1,74.3,35,38,7.5,2.7,0,1,2.6,57.9,22,0,10,15.4,44,4,9,315,72.9,67.7,59.8,71.6,1,1,45,0,20.0,75.2,4.5,2,4,1,1,2,1,2.2,167,4.4
Micah Alejado,184162,QB,HAWAII,1,80.0,35,38,8.8,2.77,0,2,4.9,68.4,26,0,10,7.1,43,2,14,180,71.7,58.7,61.8,53.1,0,1,46,0,0.0,107.5,0.0,0,5,0,3,3,2,4.3,301,7.9
Jaron-Keawe Sagapolutele,198237,QB,CAL,1,71.4,35,38,6.6,2.65,2,1,2.6,52.6,20,0,11,20.0,44,5,11,130,69.8,74.2,76.6,54.2,0,0,46,0,18.2,77.7,4.5,2,2,0,1,1,0,0.0,210,5.5
Katin Houser,158386,QB,E CAROLINA,1,68.6,35,38,7.3,2.45,0,3,7.9,55.3,21,0,8,12.5,41,3,13,156,70.8,81.8,84.7,58.2,0,0,41,0,12.5,98.6,2.4,1,2,0,3,2,0,0.0,300,7.9
Logan Fife,128176,QB,NEW MEX ST,1,68.6,35,37,11.7,2.56,2,4,10.8,54.1,20,0,6,16.7,41,4,11,242,70.4,84.7,85.3,61.0,0,0,41,0,33.3,92.4,4.9,2,2,0,0,2,0,0.0,242,6.5
Devon Dampier,171556,QB,UTAH,1,68.8,32,37,11.1,3.38,2,1,2.5,54.1,20,0,18,9.1,43,2,14,328,72.3,75.7,74.4,68.1,0,1,46,2,11.1,79.1,4.7,2,4,0,3,2,2,4.3,224,6.1
Miller Moss,70727,QB,LOUISVILLE,1,65.7,35,37,5.3,2.32,1,0,0.0,62.2,23,0,10,0.0,38,0,12,210,71.0,59.7,54.3,71.7,0,0,38,0,10.0,99.8,2.6,1,0,0,1,2,1,2.6,248,6.7
Drew Mestemaker,190616,QB,N TEXAS,1,69.7,33,36,7.3,2.39,1,1,2.6,61.1,22,0,8,4.3,38,1,16,251,70.7,71.4,69.4,64.7,0,0,40,0,12.5,122.1,2.6,1,1,1,1,4,3,7.5,277,7.7
Blake Shapen,122282,QB,MISS STATE,1,66.7,36,36,11.8,2.81,0,3,7.9,66.7,24,0,11,0.0,41,0,14,227,71.2,64.2,64.8,57.5,0,1,43,0,36.4,83.6,9.8,4,1,0,0,0,2,4.7,324,9.0
Noah Kim,129623,QB,E MICHIGAN,1,65.6,32,36,13.1,3.02,0,5,13.2,55.6,20,0,18,4.8,41,1,10,160,69.2,72.7,74.3,53.8,0,2,43,0,16.7,98.0,7.3,3,2,0,4,4,2,4.7,309,8.6
Trinidad Chambliss,178723,QB,OLE MISS,1,62.5,32,36,7.1,2.46,2,1,2.7,52.8,19,0,4,5.0,37,1,14,226,40.5,53.6,46.4,68.8,0,0,38,0,0.0,85.8,0.0,0,1,0,2,1,1,2.6,263,7.3
Carson Beck,124010,QB,MIAMI FL,1,78.1,32,35,8.2,2.66,1,1,2.8,71.4,25,0,9,0.0,40,0,8,220,69.5,55.2,61.3,46.2,0,4,41,0,0.0,54.3,0.0,0,5,0,2,0,4,9.8,271,7.7
Gio Lopez,172309,QB,N CAROLINA,1,70.6,34,35,8.4,2.89,0,0,0.0,54.3,19,0,10,20.8,39,5,8,245,69.7,73.1,72.5,61.6,0,0,44,0,10.0,66.8,2.6,1,3,0,1,0,0,0.0,164,4.7
Nico Iamaleava,174728,QB,UCLA,1,74.2,31,35,10.6,2.86,1,1,2.6,60.0,21,0,13,8.7,42,2,12,324,69.8,63.0,63.2,58.3,2,2,46,0,15.4,64.1,4.8,2,5,0,1,1,2,4.3,221,6.3
Tayven Jackson,157615,QB,UCF,1,77.4,31,35,10.1,2.5,1,3,8.3,65.7,23,0,9,4.2,35,1,11,323,68.7,87.5,86.6,,1,1,36,2,0.0,98.2,0.0,0,0,0,2,2,1,2.8,287,8.2
DJ Lagway,184426,QB,FLORIDA,1,65.6,32,34,10.7,2.82,0,2,5.4,58.8,20,0,10,4.8,39,1,14,163,70.0,68.5,66.0,65.5,0,2,42,0,20.0,60.9,5.1,2,3,0,2,0,3,7.1,280,8.2
Aidan Chiles,173727,QB,MICH STATE,1,87.5,32,34,5.2,2.62,0,0,0.0,79.4,27,0,7,3.6,37,1,10,223,70.3,80.6,78.1,68.0,0,0,40,1,28.6,106.3,5.4,2,1,0,2,1,0,0.0,243,7.1
Aidan Armenta,175731,QB,LA MONROE,1,63.6,33,33,13.5,3.05,0,1,2.9,57.6,19,0,10,9.5,38,2,9,209,33.1,39.4,39.7,57.8,0,2,43,1,40.0,56.1,10.5,4,1,0,0,1,4,10.0,168,5.1
Carlos Del Rio-Wilson,146687,QB,MARSHALL,1,76.7,30,32,6.7,2.67,1,1,2.9,68.8,22,0,14,4.3,34,1,15,214,73.7,74.4,68.8,68.8,1,1,42,0,0.0,92.8,0.0,0,2,0,0,1,2,5.1,277,8.7
Taylen Green,145996,QB,ARKANSAS,1,76.9,26,32,9.9,3.52,0,1,2.9,59.4,19,0,20,5.0,42,1,18,111,70.2,78.5,65.8,84.4,3,0,46,0,20.0,116.1,9.5,4,6,0,3,3,1,2.2,256,8.0
Demond Williams Jr.,183648,QB,WASHINGTON,1,72.4,29,32,8.1,2.72,1,2,6.1,62.5,20,0,13,4.8,36,1,11,340,69.2,55.6,55.5,57.4,0,3,37,0,15.4,42.3,5.6,2,2,0,2,0,2,5.4,209,6.5
Marcel Reed,175940,QB,TEXAS A&M,1,80.6,31,32,7.6,2.75,1,2,5.9,71.9,23,0,5,8.0,35,2,17,312,70.7,82.3,78.2,71.1,0,0,39,0,0.0,129.7,0.0,0,3,0,0,3,0,0.0,280,8.8
Rickie Collins,172474,QB,SYRACUSE,1,56.7,30,31,10.9,2.62,1,2,5.9,48.4,15,0,12,11.8,35,2,5,304,71.8,56.4,48.2,71.9,0,3,38,0,16.7,41.3,5.7,2,2,0,0,2,2,5.3,126,4.1
