player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Taulia Tagovailoa,97271,QB,MARYLAND,1,85.5,55,59,6.5,2.72,0,0,0.0,71.2,42,0,8,10.6,61,5,17,215,45.8,70.1,68.1,65.5,1,1,66,1,25.0,86.1,3.3,2,0,0,3,1,3,4.5,369,6.3
Rocky Lombardi,60452,QB,N ILLINOIS,1,73.2,56,57,9.1,2.47,0,3,5.2,57.9,33,0,5,19.5,58,8,22,254,72.7,78.2,79.3,64.9,0,0,59,0,20.0,106.3,1.7,1,0,0,1,3,0,0.0,526,9.2
Brett Gabbert,97404,QB,MIAMI OH,1,64.7,51,57,12.6,2.89,1,1,1.6,56.1,32,0,18,3.0,64,1,21,221,70.6,68.0,70.7,51.4,1,1,68,0,5.6,106.8,1.6,1,6,2,2,5,3,4.4,492,8.6
Carson Strong,83524,QB,NEVADA,1,77.1,48,56,5.3,2.56,0,2,3.5,66.1,37,0,25,0.0,63,0,16,239,70.4,59.3,60.4,52.7,1,2,64,0,16.0,71.7,6.3,4,2,0,7,1,3,4.7,315,5.6
C.J. Stroud,129759,QB,OHIO STATE,1,74.5,51,55,9.7,3.0,0,1,1.7,65.5,36,0,19,5.3,56,2,19,260,38.8,67.0,66.3,65.2,0,2,59,2,5.3,84.3,1.8,1,0,0,4,2,4,6.8,405,7.4
Aidan O'Connell,60516,QB,PURDUE,1,80.4,51,54,8.0,2.32,1,5,9.3,74.1,40,0,13,2.4,57,1,27,273,70.1,91.5,91.3,,0,0,57,0,23.1,123.7,5.3,3,0,0,2,3,0,0.0,536,9.9
Seth Henigan,144267,QB,MEMPHIS,1,69.2,52,53,11.8,2.42,0,4,7.1,64.2,34,0,21,5.6,61,2,21,218,46.6,53.7,54.4,54.6,1,1,64,0,19.0,91.1,6.6,4,4,0,0,2,4,6.3,392,7.4
Bailey Zappe,60396,QB,W KENTUCKY,1,67.4,46,51,8.1,2.09,1,2,3.7,56.9,29,0,4,6.5,52,2,17,346,70.0,70.8,68.6,64.3,1,0,55,1,0.0,98.6,0.0,0,1,0,3,4,1,1.8,281,5.5
Sam Hartman,77618,QB,WAKE,1,65.9,44,51,13.4,3.3,3,6,11.5,49.0,25,0,16,13.8,59,4,21,339,71.5,81.3,73.8,77.0,1,2,60,0,12.5,91.8,3.4,2,6,0,3,5,2,3.3,398,7.8
Will Levis,83542,QB,KENTUCKY,1,72.3,47,49,9.5,2.53,0,3,6.0,63.3,31,0,16,8.8,58,3,24,202,72.2,88.0,79.1,79.0,0,1,59,0,18.8,98.3,5.2,3,6,0,2,3,2,3.4,372,7.6
Will Rogers,124184,QB,MISS STATE,1,83.0,47,48,7.6,3.31,0,4,8.2,75.0,36,0,9,7.7,54,3,22,227,70.3,84.2,87.2,53.0,0,1,56,0,33.3,119.9,5.6,3,3,0,1,4,2,3.6,417,8.7
