player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
C.J. Stroud,129759,QB,OHIO STATE,1,70.4,54,54,13.2,2.69,0,5,9.3,64.8,35,0,12,7.9,59,3,24,260,70.2,82.1,81.3,62.6,0,1,60,0,16.7,104.2,3.4,2,3,0,0,3,2,3.3,484,9.0
Jace Ruder,77680,QB,N TEXAS,1,68.0,50,52,11.3,2.43,0,1,1.8,61.5,32,0,22,5.9,55,2,14,251,72.4,49.1,49.4,55.0,0,2,60,2,9.1,73.1,3.6,2,1,0,2,1,2,3.3,366,7.0
Connor Bazelak,99135,QB,MISSOURI,1,75.5,49,51,6.9,2.45,1,1,1.9,66.7,34,0,11,8.1,55,3,19,229,70.8,68.0,63.9,71.9,1,1,58,1,9.1,99.6,1.8,1,3,0,0,4,2,3.4,294,5.8
Kyle Vantrease,55029,QB,BUFFALO,1,65.1,43,50,7.5,2.26,1,0,0.0,54.0,27,0,16,3.6,51,1,11,126,69.8,63.5,63.5,57.3,4,1,53,0,0.0,57.4,0.0,0,1,0,2,0,1,1.9,224,4.5
Chevan Cordeiro,75886,QB,HAWAII,1,62.2,45,49,12.9,3.11,1,3,5.8,49.0,24,0,27,14.3,62,4,22,180,70.5,69.7,63.9,75.3,0,2,65,0,18.5,70.6,8.1,5,8,0,3,2,3,4.6,366,7.5
Devin Leary,77628,QB,NC STATE,1,73.9,46,49,10.0,2.58,1,4,8.2,61.2,30,0,19,11.8,56,4,14,248,25.0,67.6,71.3,47.9,0,1,56,0,21.1,77.2,7.1,4,3,0,2,1,1,1.8,303,6.2
Will Rogers,124184,QB,MISS STATE,1,77.8,45,49,5.7,2.71,0,1,2.0,67.3,33,0,10,5.7,50,2,15,227,70.2,72.4,77.7,43.7,1,0,52,0,10.0,96.8,2.0,1,0,0,3,2,0,0.0,294,6.0
Grant Wells,97784,QB,MARSHALL,1,76.6,47,48,8.4,2.42,1,3,5.9,70.8,34,0,4,5.6,48,2,16,214,41.9,65.3,70.3,46.2,0,1,52,0,0.0,102.6,0.0,0,0,0,0,3,2,3.8,338,7.0
Jake Bentley,40788,QB,S ALABAMA,1,77.3,44,46,6.6,2.64,0,1,2.1,63.0,29,0,22,14.7,50,5,12,288,70.2,60.7,60.1,59.0,0,1,52,0,9.1,68.8,4.0,2,2,0,2,0,2,3.8,257,5.6
Artur Sitkowski,83547,QB,ILLINOIS,1,64.3,42,45,6.6,2.44,0,1,2.0,53.3,24,0,16,11.1,51,3,12,187,70.3,58.4,59.3,54.7,1,1,55,0,18.8,65.1,5.9,3,3,0,2,1,2,3.6,221,4.9
Carson Strong,83524,QB,NEVADA,1,81.4,43,43,7.2,2.4,0,1,2.3,79.1,34,0,7,2.9,44,1,19,239,69.4,72.5,74.6,57.3,0,0,45,1,0.0,134.6,0.0,0,1,0,0,4,0,0.0,381,8.9
Ken Seals,124359,QB,VANDERBILT,1,73.7,38,42,8.8,2.07,0,2,4.3,64.3,27,0,13,3.6,44,1,12,333,43.0,54.2,48.8,69.9,1,0,48,1,15.4,94.9,4.5,2,0,0,3,2,2,4.2,236,5.6
Kedon Slovis,100580,QB,USC,1,78.4,37,42,9.4,2.95,1,2,4.4,64.3,27,0,9,6.9,45,2,11,326,70.3,71.8,71.4,67.7,1,1,48,1,0.0,75.8,0.0,0,3,0,3,1,2,4.2,223,5.3
Bailey Zappe,60396,QB,W KENTUCKY,1,75.7,37,41,9.6,3.07,0,2,4.7,68.3,28,0,10,0.0,47,0,20,346,70.0,80.9,83.0,60.6,0,1,49,1,20.0,117.4,4.3,2,4,0,4,3,2,4.1,435,10.6
Todd Centeio,60552,QB,COLO STATE,1,70.6,34,39,7.6,2.47,4,1,2.6,53.8,21,0,11,12.5,43,3,16,144,71.9,70.7,69.9,65.8,0,1,43,1,0.0,78.9,0.0,0,4,0,1,2,0,0.0,239,6.1
Drew Plitt,39879,QB,BALL ST,1,75.7,37,39,5.9,2.23,0,0,0.0,64.1,25,0,6,10.7,43,3,10,117,69.5,67.6,66.3,62.5,0,2,47,0,16.7,52.7,2.3,1,2,0,2,0,3,6.4,174,4.5
Layne Hatcher,82068,QB,ARK STATE,1,81.8,33,38,8.1,3.32,0,3,7.9,63.2,24,0,18,11.1,44,3,16,113,34.3,80.7,77.2,70.2,1,0,45,0,11.1,95.0,4.5,2,3,0,4,1,0,0.0,287,7.6
Zach Calzada,98006,QB,TEXAS A&M,1,58.8,34,38,9.0,3.0,2,3,7.9,47.4,18,0,16,10.0,43,2,10,312,39.0,57.7,59.8,54.0,1,0,43,0,6.3,70.4,2.3,1,4,0,1,1,2,4.7,183,4.8
