player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Will Rogers,124184,QB,MISS STATE,1,83.9,62,62,5.3,2.68,0,4,6.1,75.8,47,0,10,9.6,67,5,20,227,70.8,82.0,83.2,55.8,0,1,71,0,10.0,99.1,1.5,1,4,0,0,3,1,1.4,364,5.9
Brennan Armstrong,77696,QB,VIRGINIA,1,71.4,56,58,12.6,3.49,0,5,8.2,55.2,32,0,24,20.0,71,8,24,335,71.8,81.3,84.0,56.8,1,1,75,0,29.2,80.4,9.9,7,6,0,1,2,1,1.3,390,6.7
Michael Penix Jr.,82134,QB,INDIANA,1,80.0,50,54,9.9,2.69,1,1,1.8,64.8,35,0,8,12.5,57,5,24,190,71.5,88.6,87.7,62.9,0,0,60,1,25.0,84.9,3.5,2,1,0,3,0,0,0.0,373,6.9
Kedon Slovis,100580,QB,USC,1,74.5,47,50,9.0,2.83,1,1,1.8,62.0,31,0,12,11.4,53,4,15,326,41.9,58.2,58.4,57.3,1,3,59,1,16.7,65.0,3.8,2,1,0,1,1,4,6.8,355,7.1
Taylor Powell,60459,QB,TROY,1,76.6,47,49,4.8,2.8,0,0,0.0,71.4,35,0,13,2.8,53,1,15,318,39.0,61.8,63.0,53.6,1,1,54,1,15.4,92.4,3.8,2,2,0,1,2,2,3.7,302,6.2
Michael Pratt,123229,QB,TULANE,1,64.4,45,49,10.1,2.58,2,2,3.8,55.1,27,0,15,6.9,54,2,16,319,37.9,43.1,43.7,53.7,1,2,59,0,6.7,76.2,1.9,1,4,0,1,3,6,10.2,292,6.0
Devin Leary,77628,QB,NC STATE,1,84.6,39,44,6.7,2.42,0,2,4.1,72.7,32,0,10,3.0,50,1,18,248,40.4,64.7,68.9,49.6,0,0,55,1,30.0,115.5,6.0,3,3,0,5,4,1,1.8,238,5.4
Bailey Zappe,60396,QB,W KENTUCKY,1,76.2,42,44,6.6,2.12,0,1,2.3,70.5,31,0,6,3.1,45,1,15,346,69.4,64.1,64.7,57.3,0,0,45,0,0.0,118.1,0.0,0,1,0,2,3,1,2.2,365,8.3
Connor Bazelak,99135,QB,MISSOURI,1,79.5,39,42,7.8,2.49,2,1,2.4,71.4,30,0,7,3.2,45,1,18,229,69.4,78.5,79.2,58.3,0,2,45,0,0.0,79.8,0.0,0,3,1,0,1,2,4.4,303,7.2
Chase Garbers,60356,QB,CAL,1,81.6,38,42,8.5,3.33,0,0,0.0,71.4,30,0,16,3.2,52,1,17,130,43.9,60.6,60.9,58.4,2,2,53,0,18.8,89.3,5.8,3,7,1,1,2,3,5.7,319,7.6
D.J. Mack Jr.,55405,QB,DOMINION,1,79.5,39,41,8.4,2.66,0,3,7.3,58.5,24,0,22,22.6,48,7,11,263,73.0,92.2,85.9,89.0,2,1,49,0,22.7,71.6,10.4,5,2,0,0,1,0,0.0,224,5.5
Taulia Tagovailoa,97271,QB,MARYLAND,1,92.7,41,41,6.7,2.45,0,3,7.0,75.6,31,0,4,18.4,42,7,14,215,70.1,90.3,90.3,59.6,0,1,44,0,25.0,118.3,2.4,1,0,0,0,3,0,0.0,384,9.4
Graham Mertz,97994,QB,WISCONSIN,1,55.6,36,41,9.4,2.82,1,1,2.3,43.9,18,0,17,10.0,42,2,10,349,22.4,29.7,33.5,47.6,0,4,44,0,5.9,31.6,2.4,1,0,0,4,1,4,9.1,240,5.9
Jake Haener,60596,QB,FRESNO ST,1,80.0,40,41,11.2,2.88,0,4,9.3,73.2,30,0,11,6.3,46,2,19,169,70.4,88.2,89.6,58.7,0,1,49,0,9.1,130.9,2.2,1,3,0,1,5,0,0.0,378,9.2
