player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Nate Hampton,147548,QB,LIBERTY,1,25.0,8,9,17.5,3.16,1,1,11.1,22.2,2,0,4,0.0,10,0,2,206,65.4,43.6,44.8,57.0,0,1,10,0,0.0,43.1,0.0,0,1,0,0,1,1,10.0,40,4.4
Jayden Mandal,173516,QB,FRESNO ST,1,60.0,5,6,15.0,3.67,0,0,0.0,50.0,3,0,3,0.0,7,0,2,169,64.9,45.8,48.6,56.3,0,1,8,0,0.0,25.7,0.0,0,1,0,1,0,1,12.5,31,5.2
Collin Schlee,98025,QB,VA TECH,1,40.0,5,6,15.4,2.96,0,0,0.0,33.3,2,0,5,0.0,7,0,1,337,67.2,58.1,60.9,56.7,0,0,8,0,0.0,77.1,0.0,0,1,0,1,0,0,0.0,68,11.3
Daniel Beale,197861,QB,LA LAFAYET,1,75.0,4,4,8.3,2.58,0,0,0.0,75.0,3,0,1,0.0,4,0,2,207,63.3,52.9,52.2,,0,1,4,0,0.0,54.2,0.0,0,0,0,0,0,1,25.0,28,7.0
Alex Orji,158545,QB,MICHIGAN,1,66.7,3,3,2.3,2.7,0,0,0.0,66.7,2,0,1,0.0,4,0,0,222,19.7,37.9,28.8,56.7,0,1,4,0,0.0,30.6,0.0,0,1,0,0,0,1,25.0,2,0.7
Eddie Lee Marburger,145511,QB,UTSA,1,100.0,1,2,-2.0,3.8,0,0,0.0,50.0,1,0,2,0.0,3,0,0,331,15.4,29.9,58.9,46.0,0,0,3,0,0.0,56.3,0.0,0,1,0,1,0,0,0.0,2,1.0
Lunch Winfield,176367,QB,LA LAFAYET,1,100.0,1,2,-4.0,1.85,0,0,0.0,50.0,1,0,1,0.0,2,0,0,207,69.6,83.3,58.9,76.0,0,0,2,0,0.0,56.3,0.0,0,0,0,1,0,0,0.0,6,3.0
Ken Seals,124359,QB,TCU,1,100.0,1,2,5.0,1.85,1,0,0.0,50.0,1,0,0,0.0,2,0,0,305,61.8,59.5,58.9,,0,0,2,0,,56.3,0.0,0,0,0,0,0,0,0.0,5,2.5
Gerry Bohanon,77636,QB,BYU,1,0.0,1,1,32.0,4.2,0,0,0.0,0.0,0,0,0,,1,0,0,128,70.5,46.2,27.5,68.4,0,1,1,0,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Cam Skattebo,147787,HB,ARIZONA ST,1,100.0,1,1,30.0,2.9,0,0,0.0,100.0,1,0,0,0.0,1,0,1,110,79.4,80.7,77.9,79.0,0,0,1,0,,158.3,0.0,0,0,0,0,1,0,0.0,42,42.0
