player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Spencer Sanders,77660,QB,OKLA STATE,1,86.4,22,25,9.6,3.0,0,1,3.6,68.0,17,0,11,10.5,32,2,14,262,70.1,75.0,80.1,56.9,0,0,35,0,0.0,109.9,0.0,0,7,0,3,1,0,0.0,227,9.1
Justin Lynch,144392,QB,TEMPLE,1,61.1,18,24,9.8,2.75,2,0,0.0,45.8,11,0,12,0.0,27,0,6,306,73.3,44.3,31.9,65.6,1,2,30,0,8.3,26.2,3.7,1,2,0,3,0,2,6.7,119,5.0
Nicholas Vattiato,145302,QB,MIDDLE TN,1,91.3,23,24,4.1,2.35,1,0,0.0,83.3,20,0,2,4.8,26,1,9,224,71.4,68.1,67.9,61.4,0,0,26,0,50.0,120.0,3.8,1,1,0,0,2,0,0.0,147,6.1
Devin Grainger,78496,QB,GA STATE,1,82.6,23,24,7.8,2.49,1,2,7.7,75.0,18,0,11,5.3,31,1,13,175,71.2,79.6,88.5,54.2,0,0,33,0,18.2,128.1,6.5,2,5,0,0,2,1,3.0,206,8.6
Dequan Finn,97804,QB,TOLEDO,1,87.0,23,24,8.8,2.86,0,1,3.8,75.0,18,0,9,10.0,26,2,11,316,69.7,71.3,70.2,62.5,0,0,28,0,0.0,151.0,0.0,0,2,0,1,3,1,3.6,270,11.3
Alex Padilla,86285,QB,IOWA,1,70.0,20,24,14.1,3.05,0,2,8.0,45.8,11,0,8,21.4,24,3,8,192,70.0,55.6,50.4,67.1,0,0,25,0,0.0,103.8,0.0,0,0,0,4,2,2,8.0,206,8.6
Chevan Cordeiro,75886,QB,HAWAII,1,65.2,23,23,13.0,2.66,0,1,4.3,43.5,10,0,11,33.3,28,5,5,180,71.9,57.2,56.6,59.2,0,2,28,0,27.3,49.7,10.7,3,1,0,0,1,2,7.1,183,8.0
Bryce Young,123943,QB,ALABAMA,1,95.7,23,23,7.3,2.41,0,3,13.0,91.3,21,0,11,4.5,26,1,15,103,27.3,91.8,92.5,58.5,0,0,27,0,9.1,155.2,3.8,1,2,0,0,5,1,3.7,270,11.7
Graham Mertz,97994,QB,WISCONSIN,1,86.4,22,23,9.4,2.5,1,0,0.0,78.3,18,0,5,5.3,23,1,12,349,67.6,81.6,80.9,,0,1,24,0,0.0,116.7,0.0,0,0,0,0,2,1,4.2,216,9.4
Levi Lewis,60428,QB,LA LAFAYET,1,75.0,20,22,9.9,2.71,0,1,4.5,63.6,14,0,11,6.7,29,1,9,207,70.6,89.0,79.4,79.5,1,0,29,0,18.2,126.1,6.9,2,5,0,1,3,0,0.0,166,7.5
Todd Centeio,60552,QB,COLO STATE,1,75.0,20,22,11.0,2.86,0,3,13.6,59.1,13,0,11,13.3,25,2,9,144,72.2,84.3,85.1,66.0,1,2,25,0,9.1,46.2,4.0,1,2,0,1,0,2,8.0,173,7.9
Anthony Brown,40316,QB,OREGON,1,86.4,22,22,8.0,2.73,0,2,9.1,77.3,17,0,9,10.5,27,2,8,264,40.8,84.9,80.8,70.4,0,0,27,0,11.1,107.2,3.7,1,4,0,0,1,0,0.0,135,6.1
N'Kosi Perry,60446,QB,FAU,1,68.4,19,22,12.1,2.32,1,2,9.1,54.5,12,0,5,7.7,24,1,6,165,28.5,60.5,64.5,56.4,1,0,25,1,20.0,98.1,4.2,1,1,0,1,1,1,4.0,187,8.5
Connor Bazelak,99135,QB,MISSOURI,1,66.7,21,22,6.3,1.85,0,1,4.5,63.6,14,0,7,0.0,24,0,7,229,67.6,43.5,41.3,,0,2,24,0,14.3,81.4,4.2,1,0,0,1,2,2,8.3,179,8.1
Will Levis,83542,QB,KENTUCKY,1,72.7,22,22,12.0,2.56,0,2,8.7,63.6,14,0,7,12.5,25,2,11,202,70.5,91.7,90.7,70.7,0,1,26,0,14.3,100.0,4.0,1,2,0,0,2,0,0.0,177,8.0
Chandler Morris,122938,QB,TCU,1,65.0,20,21,7.1,2.36,1,1,4.5,52.4,11,0,9,15.4,25,2,3,305,27.0,57.3,57.0,59.2,0,0,26,1,44.4,67.0,16.0,4,0,0,0,0,1,3.8,107,5.1
Jack Zergiotis,97603,QB,UCONN,1,66.7,18,21,6.8,2.4,1,0,0.0,42.9,9,0,10,25.0,27,3,4,146,27.6,45.8,48.0,60.0,0,2,28,1,60.0,16.1,22.2,6,0,0,2,0,2,7.1,90,4.3
Matt McDonald,60350,QB,BOWL GREEN,1,66.7,18,20,7.8,2.59,1,0,0.0,55.0,11,0,12,8.3,28,1,4,122,69.2,59.4,54.9,64.9,0,0,29,0,41.7,78.1,17.9,5,3,0,1,1,0,0.0,65,3.3
Kaleb Eleby,77686,QB,W MICHIGAN,1,68.4,19,20,12.8,3.04,0,0,0.0,60.0,12,0,5,7.7,23,1,11,347,68.6,65.4,66.6,55.9,0,1,28,0,20.0,109.8,4.3,1,2,0,1,2,0,0.0,217,10.9
Gerry Bohanon,77636,QB,BAYLOR,1,66.7,18,20,11.0,2.92,1,0,0.0,55.0,11,0,9,8.3,24,1,9,118,71.4,82.2,73.9,78.1,1,1,25,1,11.1,69.0,4.2,1,3,0,0,1,0,0.0,121,6.1
Phil Jurkovec,83533,QB,BOSTON COL,1,65.0,20,20,18.1,3.69,0,5,23.8,65.0,13,0,10,0.0,21,0,12,121,71.3,92.9,92.9,71.3,0,0,22,0,0.0,141.7,0.0,0,1,0,0,2,0,0.0,310,15.5
Jack Coan,60613,QB,NOTRE DAME,1,83.3,18,20,8.9,2.72,1,2,10.0,75.0,15,0,6,0.0,22,0,10,258,68.7,73.4,78.6,52.5,0,1,22,0,0.0,110.8,0.0,0,2,0,1,3,1,4.5,132,6.6
Donaven McCulley,144829,QB,INDIANA,1,43.8,16,20,12.9,3.78,0,0,0.0,35.0,7,0,11,0.0,24,0,5,190,28.8,37.6,49.1,39.3,0,0,24,0,9.1,51.7,4.2,1,3,0,4,0,0,0.0,98,4.9
Kyle Vantrease,55029,QB,BUFFALO,1,63.2,19,20,9.7,2.33,0,1,4.3,55.0,11,0,7,8.3,22,1,7,126,26.6,30.6,40.0,34.1,0,1,25,0,14.3,58.5,4.5,1,1,0,1,0,2,8.0,151,7.6
Max Bortenschlager,46500,QB,FIU,1,58.8,17,20,6.8,2.49,0,0,0.0,45.0,9,1,13,10.0,26,1,4,166,68.0,34.9,33.8,,2,2,28,1,38.5,13.3,19.2,5,0,0,1,0,2,7.1,64,3.2
Skylar Thompson,60417,QB,KANSAS ST,1,83.3,18,19,4.2,3.06,0,1,5.0,73.7,14,0,5,6.7,21,1,7,199,68.8,51.6,44.8,65.7,0,0,23,0,20.0,111.3,4.8,1,1,0,1,1,2,8.7,138,7.3
Andrew Marty,60498,QB,NWESTERN,1,62.5,16,18,10.7,2.8,1,1,5.6,55.6,10,0,9,0.0,23,0,6,256,28.5,35.7,28.6,63.0,0,3,23,0,22.2,31.9,8.7,2,3,0,1,0,5,21.7,100,5.6
Dylan Hopkins,83571,QB,UAB,1,82.4,17,18,11.1,2.98,0,2,11.1,72.2,13,0,8,7.1,23,1,10,321,70.9,88.3,90.6,63.3,0,0,23,0,37.5,114.4,13.0,3,2,0,1,0,0,0.0,250,13.9
Levi Williams,98365,QB,WYOMING,1,68.8,16,18,8.5,3.0,0,0,0.0,61.1,11,0,6,0.0,22,0,7,351,27.9,62.7,69.3,54.3,1,1,24,1,16.7,84.5,4.5,1,3,0,1,1,0,0.0,156,8.7
Malik Cunningham,60436,QB,LOUISVILLE,1,82.4,17,18,11.9,2.76,0,2,11.1,72.2,13,0,7,7.1,20,1,8,210,70.3,72.8,78.9,55.9,0,0,20,0,0.0,150.2,0.0,0,2,0,1,4,1,5.0,209,11.6
