player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Will Rogers,124184,QB,MISS STATE,1,84.1,63,67,6.0,2.74,2,2,2.9,74.6,50,0,13,5.7,70,3,20,227,70.9,73.2,76.5,49.5,0,0,74,1,15.4,105.3,2.9,2,1,0,2,3,0,0.0,419,6.3
D'Eriq King,26636,QB,MIAMI FL,1,76.8,56,60,8.9,2.87,2,1,1.6,63.3,38,0,15,11.6,69,5,21,220,47.2,75.5,79.1,53.0,0,2,72,0,26.7,79.0,5.8,4,5,1,1,2,3,4.2,388,6.5
Davis Brin,77642,QB,TULSA,1,71.2,52,56,11.2,2.64,0,4,6.7,57.1,32,0,20,13.5,58,5,17,320,70.3,80.0,79.8,57.8,1,2,62,1,5.0,78.5,1.7,1,1,0,3,2,2,3.2,427,7.6
Jake Haener,60596,QB,FRESNO ST,1,80.8,52,54,9.2,2.79,0,4,7.3,72.2,39,0,19,7.1,64,3,23,169,45.6,66.0,71.5,49.9,0,1,65,1,21.1,101.7,6.3,4,6,1,1,2,3,4.6,451,8.4
Brennan Armstrong,77696,QB,VIRGINIA,1,79.2,53,54,11.8,2.88,0,6,10.5,72.2,39,0,18,7.1,61,3,26,335,44.0,84.2,90.1,44.1,0,1,65,0,16.7,122.0,4.9,3,4,0,1,4,3,4.6,554,10.3
Tanner Mordecai,77656,QB,SMU,1,83.0,47,50,7.4,2.65,0,3,5.8,72.0,36,0,14,7.7,57,3,24,287,70.6,75.9,74.8,63.9,1,0,60,0,7.1,128.3,1.8,1,6,2,0,5,1,1.7,395,7.9
Nick Starkel,40326,QB,S JOSE ST,1,68.8,48,50,9.9,2.5,0,4,8.0,46.0,23,0,10,30.3,52,10,13,285,38.1,68.3,67.4,,0,1,52,0,20.0,65.0,3.8,2,0,0,2,2,4,7.7,235,4.7
Holton Ahlers,77651,QB,E CAROLINA,1,68.9,45,49,7.6,2.29,1,2,3.8,61.2,30,0,20,3.2,55,1,18,156,46.3,67.7,62.4,62.5,0,0,59,0,25.0,98.0,9.1,5,1,1,2,2,0,0.0,368,7.5
Jaxson Dart,146409,QB,USC,1,75.0,44,46,12.4,2.63,1,4,8.3,65.2,30,0,12,9.1,47,3,18,326,43.3,75.8,80.8,52.2,0,2,49,1,0.0,102.7,0.0,0,0,0,1,4,2,4.1,391,8.5
Taulia Tagovailoa,97271,QB,MARYLAND,1,80.5,41,43,7.1,2.93,1,3,6.8,74.4,32,0,12,3.0,47,1,16,215,70.3,91.4,90.8,68.6,0,0,48,0,25.0,105.8,6.4,3,1,0,1,1,0,0.0,350,8.1
N'Kosi Perry,60446,QB,FAU,1,70.7,41,43,9.7,2.41,0,1,2.2,62.8,27,0,6,6.9,46,2,15,165,70.7,66.9,64.7,64.2,1,0,48,0,0.0,96.9,0.0,0,3,0,1,2,0,0.0,278,6.5
