player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Brayden Schager,146078,QB,HAWAII,1,66.7,51,52,12.7,2.24,1,2,3.7,63.5,33,0,14,2.9,54,1,22,180,50.1,56.2,56.1,58.9,0,3,56,0,14.3,77.8,3.7,2,0,0,0,3,3,5.4,345,6.6
Chandler Rogers,98683,QB,N TEXAS,1,77.6,49,51,7.4,2.52,0,1,1.9,68.6,35,0,17,7.9,57,3,19,251,43.9,76.9,82.2,48.9,1,0,60,0,5.9,100.4,1.8,1,5,0,1,2,0,0.0,343,6.7
Drake Maye,143969,QB,N CAROLINA,1,65.9,44,48,14.7,2.89,1,4,7.7,50.0,24,0,12,17.2,52,5,17,245,70.7,83.2,81.2,67.1,0,1,56,0,16.7,79.1,3.8,2,2,0,3,2,2,3.6,347,7.2
Austin Reed,111760,QB,W KENTUCKY,1,60.0,45,48,10.4,2.38,2,2,4.1,50.0,24,0,10,11.1,50,3,15,346,37.6,53.2,51.0,64.0,0,1,51,0,10.0,70.7,2.0,1,1,0,1,2,4,7.8,250,5.2
Cam Ward,133244,QB,WASH STATE,1,86.0,43,48,7.8,3.14,1,4,8.2,70.8,34,0,20,8.1,58,3,18,341,70.5,91.4,89.4,81.6,0,0,59,0,30.0,106.1,10.3,6,4,0,4,1,2,3.4,438,9.1
Keegan Shoemaker,108983,QB,SM HOUSTON,1,72.1,43,47,6.6,2.38,1,1,2.0,63.8,30,0,14,3.2,49,1,15,281,43.2,79.2,79.8,63.1,0,1,51,2,7.1,87.4,2.0,1,1,0,3,2,2,3.9,302,6.4
Trenton Bourguet,97285,QB,ARIZONA ST,1,65.1,43,47,6.9,2.32,1,1,2.1,55.3,26,0,15,7.1,50,2,10,110,70.5,57.0,54.4,64.0,1,1,51,1,0.0,56.7,0.0,0,3,0,2,0,2,3.9,196,4.2
Donovan Smith,73929,QB,HOUSTON,1,73.9,46,46,7.4,2.58,0,5,10.6,69.6,32,0,14,5.9,51,2,18,182,39.1,72.7,75.1,51.9,0,1,52,0,21.4,107.0,5.9,3,2,0,0,3,2,3.8,378,8.2
Christian Veilleux,145086,QB,PITTSBURGH,1,67.4,43,45,10.4,2.32,0,2,4.4,62.2,28,0,10,3.4,46,1,14,268,71.3,67.0,69.4,53.3,1,0,46,0,0.0,96.7,0.0,0,1,0,1,2,0,0.0,302,6.7
Ashton Daniels,157259,QB,STANFORD,1,73.2,41,45,8.4,2.83,1,2,4.0,60.0,27,0,19,10.0,50,3,10,300,70.3,66.0,66.6,55.7,1,1,55,0,21.1,74.6,8.0,4,1,0,2,1,1,1.8,263,5.8
