player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Steve Angeli,156966,QB,SYRACUSE,1,73.5,49,54,8.3,2.48,2,7,12.5,63.0,34,1,23,5.6,60,2,19,304,43.8,81.2,79.8,69.7,2,1,62,1,17.4,91.3,6.7,4,2,0,1,2,4,6.5,416,7.7
Sawyer Robertson,146839,QB,BAYLOR,1,72.9,48,50,9.2,2.39,1,5,9.1,68.0,34,0,6,2.9,55,1,19,118,70.9,75.3,77.4,54.4,0,0,60,0,16.7,122.1,1.8,1,3,0,1,4,2,3.3,440,8.8
Maalik Murphy,157302,QB,OREGON ST,1,70.8,48,49,7.4,2.26,1,5,9.6,65.3,32,0,11,5.9,51,2,20,265,70.3,88.6,86.3,63.3,0,2,54,0,18.2,98.8,3.9,2,0,0,0,4,1,1.9,377,7.7
Dylan Lonergan,172386,QB,BOSTON COL,1,79.5,44,45,6.0,2.48,1,2,4.2,75.6,34,0,12,2.9,48,1,18,121,69.8,80.0,81.6,53.6,0,0,52,0,0.0,130.7,0.0,0,2,0,0,4,0,0.0,389,8.6
Logan Fife,128176,QB,NEW MEX ST,1,72.5,40,44,7.1,2.19,1,3,6.1,61.4,27,0,16,6.9,49,2,15,242,26.5,63.6,68.6,48.9,0,0,56,0,12.5,91.9,4.1,2,3,0,3,2,2,3.6,248,5.6
Luke Weaver,198494,QB,HAWAII,1,70.7,41,43,7.1,2.36,0,1,2.2,62.8,27,0,9,6.9,50,2,18,180,70.9,62.8,60.3,63.8,0,1,53,0,33.3,96.5,6.0,3,4,0,2,3,2,3.8,294,6.8
Owen McCown,157688,QB,UTSA,1,65.1,43,43,10.4,2.35,0,3,6.7,53.5,23,0,13,17.9,49,5,15,331,70.1,82.7,73.8,84.0,0,0,51,0,7.7,83.4,2.0,1,5,0,0,2,2,3.9,219,5.1
Joe Fagnano,104768,QB,UCONN,1,70.3,37,43,7.7,2.55,4,3,6.5,55.8,24,0,13,7.7,44,2,11,146,69.5,69.4,68.9,,1,0,47,0,7.7,73.8,2.3,1,0,0,1,0,0,0.0,260,6.0
Chandler Morris,122938,QB,VIRGINIA,1,76.7,43,43,6.2,2.53,0,0,0.0,69.8,30,0,11,9.1,43,3,16,335,70.5,78.5,74.8,70.7,0,1,44,0,0.0,83.2,0.0,0,0,0,0,1,1,2.3,257,6.0
Walker Eget,146170,QB,S JOSE ST,1,57.9,38,43,12.6,2.73,2,0,0.0,48.8,21,0,17,4.5,46,1,11,285,70.0,52.2,50.0,63.4,0,1,49,1,17.6,51.3,6.5,3,0,0,3,0,2,4.1,188,4.4
