player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Linkon Cure,204094,WR,KANSAS ST,3,5.0,0,100.0,,0,0,0,0.0,0,1,199,0,66.7,62.4,49.7,,58.1,0.0,0,0,10,0.0,0,18,0,1,94.4,17,0.0,0,108.3,1,0,100.0,18,10,5,5.0,10.0,0.59
Jaylen McGill,205251,HB,N CAROLINA,1,-4.0,0,100.0,,0,0,0,0.0,0,1,245,0,66.7,66.7,60.1,,62.1,0.0,0,0,11,0.0,0,5,0,1,100.0,5,0.0,0,112.5,1,0,0.0,0,11,15,15.0,11.0,2.2
Scotty Brennan,210406,WR,ARIZONA,1,8.0,0,0.0,,0,0,0,100.0,1,0,109,0,16.8,,42.6,,44.5,0.0,0,0,0,0.0,0,2,0,0,100.0,2,0.0,0,39.6,1,0,100.0,2,0,0,,,0.0
Griffin Reimer,176002,TE,NC STATE,1,7.0,0,100.0,100.0,1,1,0,0.0,0,1,248,0,66.7,61.0,68.2,,81.0,50.0,1,0,7,0.0,0,2,0,1,100.0,2,50.0,1,95.8,1,0,0.0,0,7,0,0.0,7.0,3.5
Braxton Jennings,204133,HB,LOUISVILLE,2,-3.0,0,100.0,,0,0,0,0.0,0,0,210,0,66.7,74.0,77.0,70.6,59.2,0.0,0,0,6,22.2,2,9,0,1,77.8,7,11.1,1,91.7,1,0,0.0,0,6,9,9.0,6.0,0.86
Anthony Simpson,146244,WR,MICHIGAN,2,-4.0,0,0.0,0.0,0,1,0,,0,0,222,0,,62.5,60.1,,57.3,0.0,0,0,0,0.0,0,3,0,0,100.0,3,33.3,1,39.6,1,0,66.7,2,0,0,,,0.0
Otto Tia,146224,TE,UTAH,2,1.0,0,100.0,,0,0,0,0.0,0,0,328,0,66.7,61.0,51.7,11.1,55.8,71.4,5,0,6,0.0,0,7,0,1,100.0,7,14.3,1,91.7,1,0,14.3,1,6,5,5.0,6.0,0.86
Walker Eget,146170,QB,S JOSE ST,5,-6.0,0,100.0,,0,0,0,0.0,0,0,285,3,,60.3,78.4,,56.7,0.0,0,0,0,0.0,0,216,1,1,0.5,1,0.0,0,79.2,1,0,0.0,0,0,6,6.0,0.0,0.0
Coleson Fields,176000,HB,NC STATE,1,1.0,0,100.0,,0,0,0,0.0,0,1,248,0,66.7,70.3,62.5,73.1,75.4,0.0,0,0,12,20.0,1,5,0,1,80.0,4,0.0,0,116.7,1,0,0.0,0,12,11,11.0,12.0,3.0
Jon Denman,199271,HB,TCU,3,-8.0,0,100.0,,0,0,0,0.0,0,0,305,0,66.7,76.2,68.3,68.3,59.4,0.0,0,0,2,25.0,1,4,0,1,50.0,2,25.0,1,79.2,1,0,0.0,0,2,10,10.0,2.0,1.0
