player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
LaJohntay Wester,123616,WR,FAU,12,152,0,165,0,-2.4,3,96.6,,0,0,3.4,1,8,2,94.7,91.5,0,22,0.0,0,70,28,98.6,69,89.7,29,42.0,0,160,227,8.1,5.7,2.32,9.4,7,69.1,50.0,8,16,8.2,6,36,2,56.8,85.6,5,76,0.0,0,319,67,97.2,310,98.0,97,31.3,7,832,345,5.1,12.4,2.68
Brennan Presley,122982,WR,OKLA STATE,14,143,0,262,0,-2.0,21,95.0,,0,0,2.6,1,11,0,99.2,96.1,0,29,0.0,0,72,38,98.6,71,112.1,40,56.3,2,276,352,9.3,7.3,3.89,6.0,23,69.0,43.8,7,16,4.4,4,44,0,89.9,76.8,2,27,0.0,0,493,87,95.7,472,84.4,126,26.7,2,789,477,5.5,9.1,1.67
Rome Odunze,73774,WR,WASHINGTON,15,140,0,340,0,-1.3,6,100.0,,0,0,0.0,0,12,0,99.9,91.5,0,19,0.0,0,76,18,96.1,73,125.7,18,24.7,1,175,199,11.1,9.7,2.4,15.1,2,60.9,33.3,1,3,6.7,1,10,1,91.1,90.0,2,34,0.0,0,104,14,94.2,98,91.4,23,23.5,2,253,114,8.1,18.1,2.58
Malik Washington,97108,WR,VIRGINIA,12,138,0,335,0,-2.6,6,87.5,,0,0,6.7,2,5,0,82.6,91.0,0,59,0.0,0,56,28,98.2,55,102.7,32,58.2,1,197,275,9.8,7.0,3.58,8.3,26,80.2,60.0,9,15,3.1,3,48,0,95.7,92.9,5,64,0.0,0,406,93,95.1,386,112.2,116,30.1,8,1127,517,5.6,12.1,2.92
Ricky White,129639,WR,UNLV,14,135,0,325,0,-1.7,3,88.9,,0,0,11.1,1,1,0,57.7,55.7,0,10,0.0,0,49,8,98.0,48,90.7,9,18.8,0,52,68,8.5,6.5,1.08,9.9,1,67.6,60.0,3,5,7.4,2,14,0,90.2,90.3,1,59,0.0,0,108,25,94.4,102,111.7,37,36.3,3,333,158,6.3,13.3,3.26
Tory Horton,128232,WR,COLO STATE,12,134,0,144,0,-3.5,5,93.8,,0,0,6.3,1,3,0,81.6,62.1,0,17,0.0,0,67,15,92.5,62,85.9,16,25.8,0,74,126,8.4,4.9,1.19,7.0,9,77.5,66.7,2,3,6.1,2,19,0,87.5,90.6,2,76,0.0,0,127,31,96.1,122,131.3,40,32.8,4,510,300,9.7,16.5,4.18
Khaleb Hood,97159,WR,GA SOUTHRN,13,133,0,174,0,-1.7,5,93.1,,0,0,3.6,1,7,0,94.1,72.8,0,24,0.0,0,65,27,98.5,64,95.8,29,45.3,1,123,163,6.0,4.6,1.92,8.1,8,75.9,55.0,11,20,6.8,6,44,0,80.1,79.1,2,38,0.0,0,476,82,95.8,456,103.3,108,23.7,5,783,225,2.7,9.5,1.72
Tetairoa McMillan,158735,WR,ARIZONA,13,130,0,109,0,-1.7,2,100.0,100.0,1,1,0.0,0,6,1,99.1,54.0,0,19,0.0,0,95,15,98.9,94,120.3,15,16.0,1,113,138,9.2,7.5,1.2,14.6,2,79.3,77.8,7,9,0.0,0,18,0,94.4,90.2,0,57,0.0,0,124,23,96.8,120,141.7,29,24.2,2,447,125,5.4,19.4,3.73
Malik Nabers,146759,WR,LSU,13,128,0,211,0,-2.5,5,93.3,0.0,0,1,0.0,0,7,0,99.5,95.3,0,29,0.0,0,48,14,93.8,45,139.9,15,33.3,2,121,159,11.4,8.6,2.69,12.5,20,72.9,50.0,4,8,8.9,5,40,0,76.8,93.4,0,51,0.0,0,241,51,94.6,228,154.5,70,30.7,12,991,398,7.8,19.4,4.35
Isaiah Williams,97156,WR,ILLINOIS,12,127,0,187,0,-2.4,9,88.2,0.0,0,1,0.0,0,12,0,99.9,98.4,0,22,0.0,0,62,30,96.8,60,90.8,34,56.7,0,197,268,8.9,6.6,3.28,8.8,18,61.5,27.3,3,11,7.8,5,38,1,80.9,82.4,2,49,0.0,0,371,59,92.7,344,84.9,96,27.9,2,767,380,6.4,13.0,2.23
