player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
LaJohntay Wester,123616,WR,FAU,12,152,0,165,10.0,1,68.6,50.0,2,4,7.7,2,16,2,67.7,89.9,0,40,0.0,0,104,24,97.1,101,134.3,35,34.7,4,311,104,4.3,13.0,3.08,0,6.9,3,73.5,45.5,5,11,11.1,9,32,0,57.9,80.4,7,76,0.0,0,270,72,98.1,265,80.0,98,37.0,4,772,399,5.5,10.7,2.91
Brennan Presley,122982,WR,OKLA STATE,14,143,0,262,6.1,5,64.0,33.3,3,9,5.9,2,19,0,73.5,74.6,1,28,0.0,0,140,32,97.9,137,80.5,50,36.5,1,321,206,6.4,10.0,2.34,0,5.6,23,77.2,66.7,6,9,3.2,2,34,0,85.4,76.8,1,29,0.0,0,303,61,94.7,287,107.3,79,27.5,3,635,420,6.9,10.4,2.21
Rome Odunze,73774,WR,WASHINGTON,15,140,0,340,17.7,1,62.5,76.9,10,13,6.3,2,25,0,72.7,89.5,2,44,0.0,0,167,30,88.6,148,124.6,48,32.4,9,555,106,3.5,18.5,3.75,0,14.8,14,71.3,71.4,10,14,1.7,1,44,2,89.4,84.4,3,52,0.0,0,359,57,96.1,345,110.4,80,23.2,3,1012,377,6.6,17.8,2.93
Malik Washington,97108,WR,VIRGINIA,12,138,0,335,8.2,10,79.2,85.7,6,7,5.0,2,21,0,77.1,88.7,2,63,0.0,0,151,38,94.0,142,103.1,48,33.8,2,460,253,6.7,12.1,3.24,0,8.1,16,77.5,28.6,2,7,1.8,1,30,0,89.0,89.5,3,49,0.0,0,234,55,96.2,225,110.4,71,31.6,4,725,353,6.4,13.2,3.22
Ricky White,129639,WR,UNLV,14,135,0,325,8.6,4,63.3,80.0,4,5,5.0,1,11,0,73.6,83.5,1,56,0.0,0,72,19,93.1,67,77.6,30,44.8,0,264,121,6.4,13.9,3.94,0,13.1,5,64.4,33.3,4,12,6.7,4,34,0,73.1,89.3,4,82,0.0,0,260,56,94.6,246,110.1,87,35.4,7,975,364,6.5,17.4,3.96
Tory Horton,128232,WR,COLO STATE,12,134,0,144,8.0,3,71.4,66.7,4,6,4.8,1,13,0,75.2,76.4,0,76,0.0,0,108,20,92.6,100,143.6,28,28.0,4,285,199,10.0,14.3,2.85,0,11.4,11,69.2,60.0,3,5,5.3,3,32,0,78.1,81.8,5,54,0.0,0,259,54,93.8,243,77.2,78,32.1,2,666,276,5.1,12.3,2.74
Khaleb Hood,97159,WR,GA SOUTHRN,13,133,0,174,7.8,1,63.3,0.0,0,4,9.5,2,13,0,62.7,68.2,0,43,0.0,0,138,19,92.0,127,105.6,30,23.6,2,205,89,4.7,10.8,1.61,0,7.6,4,78.6,66.7,10,15,8.3,6,33,0,68.0,75.6,3,38,0.0,0,343,66,97.1,333,95.5,84,25.2,3,641,212,3.2,9.7,1.92
Tetairoa McMillan,158735,WR,ARIZONA,13,130,0,109,13.9,4,72.5,53.8,7,13,0.0,0,25,0,89.5,91.4,2,51,0.0,0,137,29,92.7,127,133.3,40,31.5,5,500,191,6.6,17.2,3.94,0,12.6,8,69.0,44.4,8,18,2.0,1,31,1,87.6,79.5,1,57,0.0,0,286,49,97.6,279,109.1,71,25.4,3,703,261,5.3,14.3,2.52
Malik Nabers,146759,WR,LSU,13,128,0,211,12.7,5,58.8,53.8,7,13,9.1,3,26,0,64.1,90.8,1,33,0.0,0,142,30,96.5,137,118.2,51,37.2,6,441,140,4.7,14.7,3.22,0,11.6,17,80.3,28.6,2,7,2.0,1,37,0,87.9,91.6,1,51,0.0,0,236,49,94.9,224,139.2,61,27.2,5,991,409,8.3,20.2,4.42
Isaiah Williams,97156,WR,ILLINOIS,12,127,0,187,13.1,4,51.3,40.0,2,5,13.0,3,15,0,54.1,71.7,0,49,0.0,0,152,20,92.8,141,97.2,39,27.7,2,330,110,5.5,16.5,2.34,0,7.0,14,72.1,11.1,1,9,2.0,1,25,0,87.6,82.6,2,67,0.5,1,222,49,94.6,210,92.4,68,32.4,1,614,378,7.7,12.5,2.92
Terrell Vaughn,157634,WR,UTAH ST,13,122,0,329,11.6,7,68.4,44.4,4,9,3.7,1,12,0,79.1,70.7,2,76,0.0,0,145,26,90.3,131,109.1,38,29.0,6,295,121,4.7,11.3,2.25,0,6.9,10,74.6,50.0,1,2,2.0,1,22,0,88.0,68.7,2,43,0.0,0,326,50,95.7,312,91.6,67,21.5,2,480,251,5.0,9.6,1.54
Pofele Ashlock,158166,WR,HAWAII,13,121,0,180,10.9,1,64.1,50.0,5,10,13.8,4,15,0,52.5,73.9,3,35,0.0,0,145,25,93.1,135,88.9,39,28.9,6,242,68,2.7,9.7,1.79,0,10.6,10,69.7,25.0,1,4,6.1,3,24,1,74.1,73.1,2,53,0.0,0,226,46,97.8,221,94.4,66,29.9,3,502,197,4.3,10.9,2.27
Jacob Cowing,100894,WR,ARIZONA,13,121,0,109,7.9,2,66.7,40.0,2,5,4.3,1,16,0,75.9,75.6,2,25,0.0,0,128,22,92.2,118,92.8,33,28.0,8,165,75,3.4,7.5,1.4,0,6.5,4,70.3,14.3,1,7,10.0,5,18,0,61.8,71.1,2,57,0.4,1,254,45,97.6,248,95.6,64,25.8,3,497,332,7.4,11.0,2.0
Joshua Cephus,98095,WR,UTSA,13,121,0,331,9.6,5,71.0,14.3,1,7,0.0,0,14,0,87.4,88.3,1,64,0.0,0,98,22,92.9,91,129.3,31,34.1,6,312,163,7.4,14.2,3.43,0,9.1,9,72.6,36.4,4,11,1.9,1,31,0,89.0,79.1,1,65,0.0,0,344,53,95.6,329,99.0,73,22.2,1,658,347,6.5,12.4,2.0
Luke McCaffrey,101634,WR,RICE,13,120,0,275,8.2,3,59.4,62.5,5,8,9.5,2,11,0,62.7,71.1,1,29,0.0,0,137,19,93.4,128,100.3,32,25.0,3,234,95,5.0,12.3,1.83,0,12.2,6,59.7,62.5,10,16,2.3,1,29,0,86.5,84.8,8,51,0.0,0,273,43,95.6,261,82.4,72,27.6,7,652,286,6.7,15.2,2.5
Sean Atkins,101127,WR,USF,13,120,0,327,8.2,2,71.1,71.4,5,7,6.9,2,15,1,71.6,67.0,1,35,0.0,0,174,27,90.2,157,114.4,38,24.2,4,264,118,4.4,9.8,1.68,0,6.9,15,85.1,75.0,6,8,4.5,3,30,1,81.2,79.7,0,40,0.0,0,299,63,92.3,276,109.7,74,26.8,1,684,339,5.4,10.9,2.48
Luther Burden III,157170,WR,MISSOURI,13,120,0,229,11.3,5,59.5,50.0,6,12,4.3,1,13,0,76.7,89.5,0,56,0.0,0,98,22,95.9,94,123.4,37,39.4,4,317,176,8.0,14.4,3.37,0,7.6,14,78.9,77.8,7,9,5.1,3,28,0,79.0,90.2,2,48,0.0,0,236,56,94.9,224,127.4,71,31.7,5,835,496,8.9,14.9,3.73
Xavier Worthy,144718,WR,TEXAS,14,119,0,311,10.3,7,48.7,12.5,1,8,13.6,3,7,0,52.5,66.4,3,38,0.0,0,114,19,100.0,114,32.4,39,34.2,0,204,145,7.6,10.7,1.79,0,11.4,5,73.8,25.0,3,12,0.0,0,31,0,91.6,75.0,0,45,0.0,0,277,45,94.6,262,134.5,61,23.3,5,639,309,6.9,14.2,2.44
Xavier Restrepo,122220,WR,MIAMI FL,13,119,0,220,7.3,6,63.0,33.3,1,3,9.4,3,21,1,63.3,81.5,0,25,0.7,1,150,29,92.0,138,99.5,46,33.3,2,335,141,4.9,11.6,2.43,0,9.0,5,77.2,37.5,3,8,2.2,1,23,0,85.9,81.4,2,48,0.5,1,209,44,94.7,198,110.2,57,28.8,3,559,184,4.2,12.7,2.82
Caullin Lacy,121426,WR,S ALABAMA,12,119,0,288,13.4,3,54.2,16.7,1,6,18.8,3,9,0,41.1,74.0,0,72,0.0,0,77,13,93.5,72,138.0,24,33.3,3,295,151,11.6,22.7,4.1,0,5.6,18,86.5,66.7,2,3,1.5,1,36,1,86.3,83.4,0,84,0.0,0,280,64,94.6,265,126.6,74,27.9,3,825,591,9.2,12.9,3.11
Lincoln Victor,97215,WR,WASH STATE,11,118,0,341,8.9,3,72.5,0.0,0,2,9.4,3,16,0,63.4,68.3,0,50,0.0,0,152,29,94.1,143,107.2,40,28.0,1,349,179,6.2,12.0,2.44,0,5.5,6,71.9,50.0,2,4,9.8,5,19,0,62.6,66.2,1,37,0.0,0,243,46,95.9,233,88.6,64,27.5,1,429,291,6.3,9.3,1.84
Malachi Corley,66272,WR,W KENTUCKY,12,115,0,346,7.9,7,57.1,25.0,1,4,9.1,2,14,0,44.2,80.7,2,75,0.0,0,103,20,92.2,95,107.5,35,36.8,5,353,225,11.3,17.7,3.72,0,3.6,6,74.2,12.5,1,8,8.0,4,17,1,70.0,74.0,1,70,0.0,0,210,46,95.2,200,100.3,62,31.0,2,481,361,7.8,10.5,2.41
Jabre Barber,123689,WR,TROY,14,115,0,318,13.6,3,51.9,50.0,3,6,0.0,0,10,0,83.3,72.0,1,35,0.0,0,102,14,95.1,97,56.3,27,27.8,0,171,33,2.4,12.2,1.76,0,8.3,6,71.0,28.6,2,7,6.4,3,25,0,73.6,79.8,1,43,0.0,0,204,44,96.1,196,109.5,62,31.6,3,579,287,6.5,13.2,2.95
Marvin Harrison Jr.,145056,WR,OHIO STATE,12,114,0,260,10.3,2,56.8,46.2,6,13,10.7,3,19,0,59.7,82.6,0,34,0.0,0,117,25,94.0,110,120.5,44,40.0,8,333,131,5.2,13.3,3.03,0,14.7,2,63.6,42.9,6,14,2.8,1,26,0,83.2,84.2,3,75,0.0,0,195,35,97.9,191,101.3,55,28.8,3,670,211,6.0,19.1,3.51
Troy Franklin,146567,WR,OREGON,13,114,0,264,13.8,3,57.5,46.7,7,15,14.8,4,18,0,51.2,82.2,0,84,0.0,0,129,23,91.5,118,134.2,40,33.9,6,428,147,6.4,18.6,3.63,0,12.4,7,77.2,0.0,0,3,10.2,5,30,0,61.8,79.8,0,72,0.0,0,245,44,97.1,238,153.6,57,23.9,6,731,285,6.5,16.6,3.07
Sam Pinckney,84197,WR,COAST CAR,13,111,0,141,15.0,1,52.4,50.0,4,8,8.3,1,9,0,64.6,78.2,0,31,0.0,0,81,11,91.4,74,112.4,21,28.4,2,176,32,2.9,16.0,2.38,0,14.2,4,73.2,68.8,11,16,3.7,2,39,0,82.4,86.6,3,52,0.0,0,283,52,92.9,263,108.9,71,27.0,4,761,177,3.4,14.6,2.89
Will Pauling,144234,WR,WISCONSIN,13,109,0,349,12.9,1,61.1,37.5,3,8,8.3,2,17,0,65.7,72.7,0,33,0.0,0,140,22,95.0,133,101.3,36,27.1,2,257,74,3.4,11.7,1.93,0,8.3,7,68.4,50.0,5,10,11.4,5,20,0,58.2,71.7,0,53,0.0,0,225,39,96.0,216,105.5,57,26.4,2,475,188,4.8,12.2,2.2
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,13,109,0,174,12.2,3,60.7,55.6,5,9,10.5,2,8,0,61.5,64.4,0,68,0.0,0,146,17,91.1,133,122.3,28,21.1,3,228,105,6.2,13.4,1.71,0,9.0,11,71.4,54.5,6,11,12.3,7,22,1,50.7,61.0,3,52,0.3,1,370,50,97.0,359,90.7,70,19.5,3,548,176,3.5,11.0,1.53
Ja'Lynn Polk,123153,WR,WASHINGTON,15,108,0,340,17.2,2,60.7,100.0,4,4,0.0,0,12,0,85.1,74.3,0,77,0.0,0,157,17,89.2,140,140.5,28,20.0,3,360,71,4.2,21.2,2.57,0,12.6,10,63.8,44.4,8,18,6.4,3,27,0,73.1,72.5,1,38,0.3,1,321,44,95.6,307,102.4,69,22.5,3,642,222,5.0,14.6,2.09
Drake Stoops,78087,WR,OKLAHOMA,13,107,0,261,7.7,3,74.0,69.2,9,13,11.9,5,20,0,58.4,78.2,1,39,1.7,3,178,37,91.0,162,126.9,50,30.9,6,383,162,4.4,10.4,2.36,0,7.1,11,79.1,0.0,0,3,2.9,1,19,0,82.2,74.0,3,31,0.0,0,203,34,95.6,194,77.1,43,22.2,0,408,225,6.6,12.0,2.1
Daniel Jackson,129654,WR,MINNESOTA,13,107,0,225,13.9,1,52.8,37.5,3,8,17.4,4,15,0,42.6,73.0,1,39,0.0,0,129,19,96.1,124,98.4,36,29.0,3,312,47,2.5,16.4,2.52,0,13.2,3,65.5,57.1,4,7,5.3,2,21,1,68.6,74.4,2,37,0.0,0,194,36,93.8,182,104.9,55,30.2,5,437,121,3.4,12.1,2.4
Elic Ayomanor,157263,WR,STANFORD,12,107,0,300,11.9,3,45.7,45.5,5,11,20.0,4,11,1,38.7,64.7,1,97,0.0,0,146,16,89.0,130,85.5,35,26.9,2,321,210,13.1,20.1,2.47,0,16.4,4,67.8,60.0,9,15,2.4,1,25,0,84.9,79.2,1,75,0.7,2,287,40,92.0,264,119.9,59,22.3,4,648,101,2.5,16.2,2.45
Tez Johnson,123709,WR,OREGON,14,106,0,264,8.6,7,75.8,100.0,2,2,7.4,2,21,0,69.4,89.5,0,77,0.0,0,106,25,91.5,97,155.2,33,34.0,5,399,232,9.3,16.0,4.11,0,7.2,10,84.7,0.0,0,2,9.1,5,28,0,64.8,82.2,0,49,0.0,0,206,50,97.1,200,139.3,59,29.5,4,709,423,8.5,14.2,3.55
Dallin Holker,83946,TE,COLO STATE,12,105,0,144,8.2,5,60.0,42.9,3,7,6.3,1,12,0,70.1,68.9,3,35,4.6,6,130,15,90.0,117,64.0,25,21.4,1,229,125,8.3,15.3,1.96,0,8.1,8,60.3,54.5,6,11,7.3,3,18,2,70.5,61.4,1,30,5.4,17,317,38,89.9,285,79.7,63,22.1,2,354,165,4.3,9.3,1.24
Jordan Moore,143865,WR,DUKE,13,105,0,154,12.9,4,55.6,55.6,5,9,13.0,3,18,0,53.7,80.7,0,31,0.0,0,126,20,90.5,114,121.3,36,31.6,5,288,97,4.9,14.4,2.53,0,13.1,11,58.1,41.7,5,12,7.7,3,21,0,68.6,71.9,3,49,0.0,0,248,36,93.1,231,73.9,62,26.8,2,489,143,4.0,13.6,2.12
KC Concepcion,170362,WR,NC STATE,13,105,0,248,9.9,5,69.8,50.0,4,8,3.2,1,15,1,80.6,76.0,1,72,0.7,1,142,30,90.1,128,126.5,43,33.6,7,375,205,6.8,12.5,2.93,0,6.8,11,67.3,0.0,0,4,10.3,4,17,0,61.7,73.4,2,48,0.0,0,193,35,97.9,189,85.4,52,27.5,2,380,268,7.7,10.9,2.01
