player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Daryl Barnett Jr.,190117,WR,TOLEDO,2,1,0,316,,0,,,0,0,,0,0,0,,55.9,0,0,0.0,0,3,0,33.3,1,0.0,0,0.0,0,0,0,,,0.0,0,4.0,0,100.0,,0,0,0.0,0,1,0,66.7,72.3,0,13,0.0,0,2,1,100.0,2,118.8,1,50.0,0,13,9,9.0,13.0,6.5
Jake Woods,141663,TE,TEMPLE,2,1,0,306,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,0.0,0,100.0,,0,0,0.0,0,1,0,66.7,75.0,0,18,0.0,0,3,1,100.0,3,118.8,1,33.3,0,18,18,18.0,18.0,6.0
J.T. Taggart,200310,TE,MARYLAND,4,1,0,215,2.0,0,0.0,0.0,0,1,100.0,1,0,0,16.4,35.0,0,0,16.7,1,6,0,66.7,4,39.6,1,25.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,52.1,0,0,25.0,3,12,0,75.0,9,0.0,0,0.0,0,0,0,,,0.0
Liam Thorpe,200323,WR,STANFORD,3,1,0,300,,0,,,0,0,,0,0,0,,57.4,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,23.0,0,0.0,0.0,0,1,,0,0,0,,55.0,0,0,0.0,0,6,0,100.0,6,39.6,1,16.7,0,0,0,,,0.0
Jabari Bates,157835,HB,S JOSE ST,3,1,0,285,,0,,,0,0,,0,0,0,,55.8,0,0,70.0,14,20,0,25.0,5,0.0,0,0.0,0,0,0,,,0.0,0,-7.0,1,100.0,,0,0,0.0,0,1,0,66.7,68.8,0,12,75.0,27,36,1,25.0,9,116.7,1,11.1,0,12,19,19.0,12.0,1.33
Drew Allar,164157,QB,PENN STATE,6,1,0,266,,0,,,0,0,,0,0,0,,,0,0,0.0,0,38,0,0.0,0,0.0,0,,0,0,0,,,,0,-7.0,2,100.0,,0,0,0.0,0,0,0,,60.0,0,5,0.0,0,136,1,0.7,1,87.5,1,100.0,0,5,12,12.0,5.0,5.0
Trey Lancaster,172286,TE,DOMINION,3,1,0,263,,0,,,0,0,,0,0,0,,,0,0,100.0,1,1,0,0.0,0,0.0,0,,0,0,0,,,,0,5.0,0,0.0,,0,0,,0,0,0,,56.7,0,0,0.0,0,4,0,75.0,3,39.6,1,33.3,0,0,0,,,0.0
Charleston French,190846,HB,N CAROLINA,2,1,0,245,-2.0,0,100.0,,0,0,0.0,0,0,0,66.7,65.4,0,1,50.0,1,2,1,50.0,1,79.2,1,100.0,0,1,3,3.0,1.0,1.0,0,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Dahya Patel,163092,WR,BALL ST,6,1,0,117,,0,,,0,0,,0,0,0,,56.8,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,53.1,0,0,0.0,0,13,0,100.0,13,0.0,0,0.0,0,0,0,,,0.0
Logan Saldate,189887,WR,NOTRE DAME,1,1,0,258,2.0,0,100.0,,0,0,0.0,0,0,0,66.7,60.5,0,2,0.0,0,1,1,100.0,1,79.2,1,100.0,0,2,0,0.0,2.0,2.0,0,,0,,,0,0,,0,0,0,,56.9,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Pierce Oppong,130570,TE,N ILLINOIS,8,1,0,254,,0,,,0,0,,0,0,0,,49.6,0,0,40.0,4,10,0,60.0,6,0.0,0,0.0,0,0,0,,,0.0,0,-2.0,0,100.0,,0,0,0.0,0,0,0,66.7,53.2,0,2,28.6,4,14,1,64.3,9,79.2,1,11.1,0,2,4,4.0,2.0,0.22
