player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Xavier Hutchinson,122518,WR,IOWA STATE,12,161,0,193,0,-2.3,6,95.7,,0,0,4.3,1,3,0,90.8,83.8,0,24,0.0,0,37,22,97.3,36,88.0,23,63.9,0,118,169,7.7,5.4,3.28,7.2,5,74.1,42.9,3,7,7.0,3,24,0,80.3,89.9,2,38,0.0,0,132,40,97.7,129,98.8,54,41.9,3,413,191,4.8,10.3,3.2
Rashee Rice,97605,WR,SMU,12,156,0,287,0,-2.4,11,94.3,100.0,1,1,0.0,0,8,0,99.9,90.7,0,21,0.0,0,83,33,97.6,81,107.6,35,43.2,2,184,261,7.9,5.6,2.27,10.2,9,64.9,28.6,2,7,0.0,0,10,1,76.1,90.2,4,75,0.0,0,81,24,95.1,77,77.8,37,48.1,2,384,239,10.0,16.0,4.99
Charlie Jones,55038,WR,PURDUE,13,154,0,273,0,-1.5,3,100.0,,0,0,0.0,0,3,1,99.9,62.4,0,58,1.7,1,59,17,93.2,55,97.1,17,30.9,0,124,149,8.8,7.3,2.25,7.2,1,88.9,66.7,2,3,0.0,0,13,0,94.7,86.8,0,60,0.0,0,62,24,93.5,58,145.0,27,46.6,4,251,75,3.1,10.5,4.33
Tank Dell,78874,WR,HOUSTON,13,152,0,182,0,-2.4,3,95.2,,0,0,4.8,1,7,1,88.5,63.6,0,21,0.0,0,77,20,98.7,76,97.8,21,27.6,0,157,207,10.4,7.9,2.07,10.5,11,72.7,50.0,2,4,7.7,6,45,1,71.6,85.7,2,52,0.0,0,388,72,94.6,367,130.4,99,27.0,11,928,346,4.8,12.9,2.53
Malachi Corley,66272,WR,W KENTUCKY,14,137,0,346,0,-2.4,24,96.7,0.0,0,2,0.0,0,23,0,99.9,99.9,0,76,0.7,1,145,58,97.9,142,129.7,60,42.3,4,587,729,12.6,10.1,4.13,6.6,25,71.3,20.0,3,15,2.4,2,44,0,93.0,85.4,2,76,0.2,1,458,82,94.3,432,116.6,115,26.6,8,1082,802,9.8,13.2,2.5
Zakhari Franklin,97620,WR,UTSA,14,131,0,331,0,-2.0,8,85.7,0.0,0,1,7.7,2,11,0,74.9,73.1,1,35,0.0,0,92,24,100.0,92,100.4,28,30.4,2,167,218,9.1,7.0,1.82,6.8,7,80.0,40.0,2,5,4.8,1,14,0,81.4,78.5,1,35,0.0,0,97,20,92.8,90,135.9,25,27.8,3,278,161,8.1,13.9,3.09
Isaiah Winstead,91115,WR,E CAROLINA,13,130,0,156,0,-1.3,1,83.3,,0,0,0.0,0,0,0,92.6,45.8,0,8,0.0,0,55,5,96.4,53,80.6,6,11.3,0,20,27,5.4,4.0,0.38,6.2,2,75.0,0.0,0,1,0.0,0,4,0,94.4,82.9,0,28,0.0,0,39,9,92.3,36,97.2,12,33.3,0,94,49,5.4,10.4,2.61
Jayshon Jackson,78041,WR,BALL ST,12,129,0,117,0,-2.0,5,88.5,,0,0,8.0,2,9,0,73.2,78.2,0,33,0.0,0,64,23,96.9,62,96.5,26,41.9,0,186,233,10.1,8.1,3.0,7.4,5,57.6,36.4,4,11,10.5,4,15,0,72.7,72.2,2,33,0.4,1,236,34,91.9,217,63.8,59,27.2,1,314,204,6.0,9.2,1.45
A.T. Perry,77975,WR,WAKE,13,129,0,339,0,-2.0,1,100.0,,0,0,0.0,0,1,0,81.5,52.0,0,17,0.0,0,22,1,95.5,21,118.8,1,4.8,0,17,19,19.0,17.0,0.81,20.9,0,71.4,0.0,0,1,0.0,0,4,0,66.8,82.8,1,32,0.0,0,40,5,95.0,38,102.1,7,18.4,2,68,-2,-0.4,13.6,1.79
Khaleb Hood,97159,WR,GA SOUTHRN,13,127,0,174,0,-2.3,8,95.1,0.0,0,1,0.0,0,11,2,99.9,79.1,0,46,0.0,0,93,39,98.9,92,117.0,41,44.6,3,255,346,8.9,6.5,2.77,7.9,10,68.3,35.0,7,20,4.7,4,41,2,78.6,66.2,2,46,0.2,1,484,82,95.7,463,91.0,120,25.9,3,882,502,6.1,10.8,1.9
Zay Flowers,97268,WR,BOSTON COL,12,124,0,121,0,-3.2,4,83.3,100.0,1,1,9.1,2,5,1,67.6,68.4,0,11,0.0,0,61,20,96.7,59,93.1,24,40.7,1,72,137,6.9,3.6,1.22,9.5,1,59.5,50.0,2,4,10.7,3,11,1,59.8,67.7,1,69,0.0,0,166,25,93.4,155,94.6,42,27.1,4,213,132,5.3,8.5,1.37
Tyrin Smith,145487,WR,UTEP,12,122,0,330,0,-2.5,1,81.8,,0,0,10.0,1,4,0,62.1,64.5,0,17,0.0,0,31,9,93.5,29,81.8,11,37.9,0,40,65,7.2,4.4,1.38,11.8,10,60.0,14.3,1,7,9.5,6,36,1,69.6,74.0,3,74,0.0,0,329,57,96.4,317,99.0,95,30.0,7,810,238,4.2,14.2,2.56
Jacob Cowing,100894,WR,ARIZONA,12,122,0,109,0,-3.1,6,96.2,,0,0,3.8,1,7,0,92.9,89.2,0,25,0.0,0,52,25,98.1,51,95.7,26,51.0,0,181,260,10.4,7.2,3.55,9.3,12,67.9,42.9,3,7,7.0,4,32,0,77.9,90.2,3,38,0.0,0,355,53,95.5,339,97.4,78,23.0,5,625,383,7.2,11.8,1.84
Marvin Harrison Jr.,145056,WR,OHIO STATE,13,118,0,260,0,-1.5,0,87.5,,0,0,0.0,0,0,0,95.2,57.0,0,9,0.0,0,43,7,95.3,41,83.9,8,19.5,0,33,44,6.3,4.7,0.8,8.8,1,75.0,66.7,2,3,0.0,0,6,0,92.3,93.0,0,28,0.0,0,58,9,87.9,51,141.3,12,23.5,2,107,43,4.8,11.9,2.1
Jalen McMillan,131905,WR,WASHINGTON,13,118,0,340,0,-2.6,8,100.0,,0,0,0.0,0,7,0,99.9,81.2,0,27,0.0,0,70,19,97.1,68,105.7,19,27.9,1,98,148,7.8,5.2,1.44,13.1,13,65.7,30.8,4,13,9.2,7,47,0,68.7,77.5,3,84,0.0,0,459,69,95.2,437,111.5,105,24.0,9,957,387,5.6,13.9,2.19
Will Sheppard,124360,WR,VANDERBILT,12,116,0,333,0,-3.5,2,100.0,,0,0,0.0,0,1,0,92.6,53.7,0,9,0.0,0,57,4,94.7,54,129.2,4,7.4,1,22,36,9.0,5.5,0.41,14.3,2,41.7,16.7,1,6,0.0,0,7,1,87.6,81.2,3,18,0.0,0,76,10,90.8,69,29.5,24,34.8,1,106,40,4.0,10.6,1.54
Brian Cobbs,84285,WR,UTAH ST,13,116,0,329,0,-0.4,1,100.0,,0,0,0.0,0,4,0,94.5,55.1,0,16,4.7,3,64,7,89.1,57,97.0,7,12.3,0,51,54,7.7,7.3,0.89,11.1,1,55.6,50.0,1,2,0.0,0,2,0,79.3,70.6,2,17,0.0,0,26,5,88.5,23,33.8,9,39.1,0,54,11,2.2,10.8,2.35
Josh Downs,122832,WR,N CAROLINA,11,116,0,245,0,-2.7,1,100.0,,0,0,0.0,0,3,0,97.6,72.0,0,16,0.0,0,35,12,97.1,34,91.7,12,35.3,0,72,104,8.7,6.0,2.12,9.1,5,80.4,68.8,11,16,1.3,1,44,1,94.5,90.6,0,43,0.0,0,406,78,96.1,390,141.6,97,24.9,11,864,322,4.1,11.1,2.22
