player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Lucas Scott,147358,G,ARMY,1,0,114,61.6,100.0,13,28.3,13,61.4,0,100.0,46,46,65.5,100.0,28,60.9,28
Brady Small,171015,C,ARMY,1,0,114,65.2,100.0,13,28.3,13,75.6,0,100.0,46,46,74.4,100.0,28,60.9,28
Shayne Buckingham,102911,T,ARMY,1,0,114,61.4,100.0,13,28.3,13,71.5,0,100.0,46,46,70.0,100.0,28,60.9,28
Connor Finucane,121569,T,ARMY,1,0,114,74.3,100.0,13,28.3,13,68.7,0,100.0,46,46,62.0,100.0,28,60.9,28
Jackson Filipowicz,121567,G,ARMY,1,0,114,53.7,100.0,13,28.9,13,56.7,0,100.0,45,45,56.4,100.0,27,60.0,27
Tyson Riley,121605,FB,ARMY,1,0,114,68.6,100.0,13,30.2,13,61.3,0,100.0,43,43,55.5,100.0,27,62.8,27
Joshua Lingenfelter,121584,TE,ARMY,1,0,114,67.7,100.0,13,34.2,13,69.3,0,100.0,38,38,67.0,100.0,22,57.9,22
Connor McMahon,144330,T,NAVY,1,0,237,65.1,100.0,17,56.7,17,67.9,0,100.0,30,30,70.7,100.0,5,16.7,5
Ben Purvis,162577,G,NAVY,1,0,237,48.6,100.0,17,56.7,17,53.2,0,100.0,30,30,65.3,100.0,5,16.7,5
Brent Self,144344,C,NAVY,1,0,237,58.0,100.0,17,56.7,17,65.3,0,100.0,30,30,76.0,100.0,5,16.7,5
Joshua Pena,121864,G,NAVY,1,0,237,56.8,100.0,17,56.7,17,63.8,0,100.0,30,30,59.5,100.0,5,16.7,5
Jayden Umbarger,121874,WR,NAVY,1,0,237,60.1,100.0,14,53.8,14,60.7,0,100.0,26,26,60.2,100.0,4,15.4,4
Veshe Daniyan,102946,WR,ARMY,1,0,114,61.0,100.0,8,32.0,8,57.6,0,100.0,25,25,57.3,100.0,14,56.0,14
Ay'Jaun Marshall,121589,WR,ARMY,1,0,114,42.8,100.0,7,29.2,7,63.3,0,92.3,24,26,79.0,93.8,15,62.5,16
Sam Glover,121844,T,NAVY,1,0,237,73.8,100.0,16,69.6,16,70.0,0,100.0,23,23,59.1,100.0,3,13.0,3
Cody Howard,162556,TE,NAVY,1,0,237,52.7,100.0,15,68.2,15,57.5,0,100.0,22,22,84.0,100.0,4,18.2,4
Bryson Daily,147303,QB,ARMY,1,0,114,60.0,38.5,5,25.0,13,60.5,0,43.5,20,46,60.4,46.4,13,65.0,28
Noah Short,163220,WR,ARMY,1,0,114,58.5,100.0,6,31.6,6,69.8,0,100.0,19,19,74.8,100.0,12,63.2,12
Alex Tecza,162587,FB,NAVY,1,0,237,54.1,85.7,12,70.6,14,54.0,0,65.4,17,26,,0.0,0,0.0,4
Eli Heidenreich,162554,TE,NAVY,1,0,237,58.0,100.0,10,62.5,10,58.2,0,100.0,16,16,60.0,100.0,1,6.3,1
Amin Hassan,144313,WR,NAVY,1,0,237,60.4,100.0,9,60.0,9,59.5,0,100.0,15,15,59.3,100.0,3,20.0,3
Tyrell Robinson,121607,HB,ARMY,1,0,114,60.0,100.0,2,15.4,2,59.3,0,92.9,13,14,59.2,91.7,11,84.6,12
Brandon Chatman,162541,HB,NAVY,1,0,237,58.2,100.0,5,38.5,5,57.8,0,92.9,13,14,59.1,100.0,3,23.1,3
Jakobi Buchanan,102884,HB,ARMY,1,0,114,59.1,66.7,2,22.2,3,63.8,0,69.2,9,13,67.1,60.0,3,33.3,5
Seth Reece,171008,TE,ARMY,1,0,114,57.5,100.0,2,22.2,2,73.8,0,100.0,9,9,77.8,100.0,6,66.7,6
Liam Fortner,163189,WR,ARMY,1,0,114,60.1,100.0,3,33.3,3,61.1,0,100.0,9,9,60.4,100.0,5,55.6,5
Casey Reynolds,147315,WR,ARMY,1,0,114,,,0,0.0,0,61.6,0,100.0,8,8,60.9,100.0,6,75.0,6
Trey Cummings,144299,T,NAVY,1,0,237,59.6,100.0,1,14.3,1,65.9,0,100.0,7,7,63.1,100.0,2,28.6,2
Thomas Scully,144343,TE,NAVY,1,0,237,67.4,100.0,4,57.1,4,76.3,0,100.0,7,7,64.9,100.0,2,28.6,2
Kanye Udoh,171024,HB,ARMY,1,0,114,58.8,50.0,4,66.7,8,58.2,0,31.6,6,19,60.0,10.0,1,16.7,10
Xavier Arline,121831,QB,NAVY,1,0,237,60.0,20.0,1,16.7,5,60.0,0,60.0,6,10,60.0,100.0,2,33.3,2
Tyler Bradley,175219,WR,NAVY,1,0,237,60.0,100.0,3,60.0,3,60.1,0,100.0,5,5,,,0,0.0,0
Tai Lavatai,121854,QB,NAVY,1,0,237,60.0,8.3,1,20.0,12,60.0,0,25.0,5,20,60.0,100.0,3,60.0,3
Nathan Kent,162558,WR,NAVY,1,0,237,60.0,100.0,1,20.0,1,60.6,0,100.0,5,5,,,0,0.0,0
Anton Hall Jr.,144311,HB,NAVY,1,0,237,60.1,100.0,3,75.0,3,81.1,0,100.0,4,4,60.0,100.0,1,25.0,1
Khalil Crawford,121839,FB,NAVY,1,0,237,53.1,100.0,2,66.7,2,50.4,0,100.0,3,3,60.0,100.0,1,33.3,1
Tobi Olawole,170999,WR,ARMY,1,0,114,,,0,0.0,0,38.7,0,100.0,3,3,60.1,100.0,3,100.0,3
Akalea Kapono,121852,TE,NAVY,1,0,237,69.1,100.0,2,66.7,2,69.2,0,100.0,3,3,60.0,100.0,1,33.3,1
Daba Fofana,144305,FB,NAVY,1,0,237,67.7,100.0,3,100.0,3,67.7,0,75.0,3,4,,0.0,0,0.0,1
Markel Johnson,147308,HB,ARMY,1,0,114,,,0,0.0,0,54.2,0,100.0,2,2,60.0,100.0,1,50.0,1
Miles Stewart,147306,HB,ARMY,1,0,114,,,0,0.0,0,47.3,0,100.0,2,2,60.0,100.0,1,50.0,1
Sam Barczak,102831,G,ARMY,1,0,114,,,0,0.0,0,60.0,0,100.0,1,1,60.0,100.0,1,100.0,1
