player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Jaylin Noel,125155,WR,IOWA STATE,1,0,193,,,0,0.0,0,61.3,0,100.0,8,8,61.3,100.0,8,100.0,8
Nathaniel Jones,128265,HB,NEW MEXICO,1,0,241,58.9,33.3,4,50.0,12,57.5,0,30.8,8,26,59.2,25.0,3,37.5,12
Isaiah Bowser,66123,HB,UCF,1,0,323,71.7,44.4,4,50.0,9,67.3,0,34.8,8,23,60.0,23.1,3,37.5,13
Peter Montini,128239,TE,COLO STATE,1,0,144,60.0,100.0,1,12.5,1,56.4,0,100.0,8,8,58.6,100.0,7,87.5,7
Matt Carrick,57101,G,MICH STATE,1,0,223,60.0,100.0,1,14.3,1,67.0,0,100.0,7,7,67.0,100.0,6,85.7,6
Taniela Pututau,131872,TE,UTAH,1,0,328,81.3,100.0,5,71.4,5,81.1,0,100.0,7,7,59.9,100.0,2,28.6,2
CJ Beasley,122317,HB,COAST CAR,1,0,141,66.8,21.1,4,57.1,19,62.8,0,31.8,7,22,57.9,100.0,2,28.6,2
Caelan Shepard,98489,T,BUFFALO,1,0,126,,,0,0.0,0,71.4,0,100.0,7,7,70.8,100.0,5,71.4,5
Tre Mosley,101722,WR,MICH STATE,1,0,223,,,0,0.0,0,32.6,0,100.0,7,7,60.1,100.0,7,100.0,7
Ty Furnish,151082,C,VIRGINIA,1,0,335,,,0,0.0,0,53.5,0,100.0,7,7,55.1,100.0,6,85.7,6
Ty Thompson,146568,QB,OREGON,1,0,264,60.0,100.0,4,57.1,4,60.0,0,77.8,7,9,60.0,100.0,3,42.9,3
Matt Salerno,84350,WR,NOTRE DAME,1,0,258,59.7,100.0,6,85.7,6,59.9,0,100.0,7,7,60.0,100.0,1,14.3,1
Tyrone Broden,100273,WR,BOWL GREEN,1,0,122,60.0,100.0,3,42.9,3,60.8,0,100.0,7,7,60.4,100.0,4,57.1,4
Adam Randall,156252,WR,CLEMSON,1,0,140,60.0,100.0,1,14.3,1,61.0,0,100.0,7,7,60.3,100.0,4,57.1,4
Zachary Kuhlman,101093,WR,NAVY,1,0,237,58.5,100.0,7,100.0,7,58.5,0,100.0,7,7,,,0,0.0,0
Jeff Foreman,97868,WR,ARK STATE,1,0,113,60.0,100.0,1,14.3,1,80.9,0,100.0,7,7,60.7,100.0,6,85.7,6
KeSean Carter,78146,WR,HOUSTON,1,0,182,60.0,100.0,2,28.6,2,60.5,0,100.0,7,7,60.0,100.0,3,42.9,3
Bryson Nesbit,143973,TE,N CAROLINA,1,0,245,59.9,100.0,1,14.3,1,84.8,1,100.0,7,7,59.9,100.0,2,28.6,2
Phil Mafah,144123,HB,CLEMSON,1,0,140,59.6,50.0,2,28.6,4,57.6,0,53.8,7,13,60.0,40.0,2,28.6,5
Sean Atkins,101127,WR,USF,1,0,327,,,0,0.0,0,61.0,0,100.0,7,7,60.8,100.0,5,71.4,5
Kanen Rossi,146555,C,OREGON,1,0,264,60.4,100.0,3,42.9,3,59.0,0,100.0,7,7,58.6,100.0,2,28.6,2
Billy Riviere III,109352,TE,WASH STATE,1,0,341,58.3,100.0,3,42.9,3,55.2,0,100.0,7,7,55.9,100.0,4,57.1,4
Lavel Dumont,77512,G,TOLEDO,1,0,316,56.9,100.0,3,42.9,3,43.7,0,100.0,7,7,48.1,100.0,3,42.9,3
Kenny Brewer III,109857,WR,C MICHIGAN,1,0,134,60.7,100.0,5,71.4,5,60.5,0,100.0,7,7,60.0,100.0,1,14.3,1
Onuma Dieke,128080,WR,UMASS,1,0,216,55.5,100.0,6,85.7,6,54.9,0,100.0,7,7,,,0,0.0,0
Cade Fortin,77620,QB,ARKANSAS,1,0,111,,,0,0.0,0,60.0,0,100.0,7,7,60.0,100.0,6,85.7,6
Gary Williams,75915,TE,COLO STATE,1,0,144,57.5,100.0,4,57.1,4,54.1,0,100.0,7,7,54.8,100.0,3,42.9,3
Payton Thorne,101629,QB,MICH STATE,1,0,223,60.0,50.0,1,14.3,2,60.0,0,77.8,7,9,60.0,85.7,6,85.7,7
Daniel Barker,83982,TE,MICH STATE,1,0,223,56.5,100.0,3,42.9,3,53.6,1,100.0,7,7,55.5,100.0,4,57.1,4
Chris Tyree,122913,HB,NOTRE DAME,1,0,258,60.3,45.5,5,71.4,11,61.1,0,38.9,7,18,,0.0,0,0.0,5
Jevin Frett,123478,WR,LA MONROE,1,0,209,60.0,100.0,2,28.6,2,61.3,0,100.0,7,7,60.8,100.0,5,71.4,5
Keaton Upshaw,54307,TE,KENTUCKY,1,0,202,47.2,100.0,3,42.9,3,37.7,0,100.0,7,7,57.5,100.0,3,42.9,3
Chauncey Magwood,146734,WR,KENTUCKY,1,0,202,60.0,100.0,1,14.3,1,60.4,0,100.0,7,7,60.6,100.0,4,57.1,4
Casey Washington,101710,WR,ILLINOIS,1,0,187,60.0,100.0,2,28.6,2,60.4,0,100.0,7,7,60.0,100.0,3,42.9,3
Brenden Brady,83795,HB,UTSA,1,0,331,60.0,12.5,1,14.3,8,58.4,0,26.9,7,26,,0.0,0,0.0,12
Cavon Croom,100271,WR,BOWL GREEN,1,0,122,55.7,100.0,6,85.7,6,55.9,0,100.0,7,7,60.0,100.0,1,14.3,1
Mitchell Berg,55364,T,TOLEDO,1,0,316,69.0,100.0,3,42.9,3,69.3,0,100.0,7,7,60.1,100.0,3,42.9,3
Jermaine Braddock,84400,WR,S JOSE ST,1,0,285,60.0,100.0,2,28.6,2,60.5,0,100.0,7,7,60.3,100.0,5,71.4,5
Jakobi Buchanan,102884,FB,ARMY,1,0,114,60.0,20.0,1,14.3,5,56.1,0,53.8,7,13,58.2,100.0,2,28.6,2
Nicholas Fronczak,145673,TE,BUFFALO,1,0,126,55.0,100.0,4,57.1,4,55.7,0,100.0,7,7,59.8,100.0,3,42.9,3
Toa Taua,83722,HB,NEVADA,1,0,239,60.0,11.8,2,28.6,17,59.1,0,23.3,7,30,60.0,20.0,2,28.6,10
Danny Corbett,100779,G,GA SOUTHRN,1,0,174,59.9,100.0,2,28.6,2,45.8,0,100.0,7,7,45.1,100.0,5,71.4,5
Casey Coll,145614,TE,BALL ST,1,0,117,56.1,100.0,3,42.9,3,56.3,0,100.0,7,7,,,0,0.0,0
Maliq Carr,129807,TE,MICH STATE,1,0,223,57.1,100.0,1,14.3,1,45.5,0,100.0,7,7,54.2,100.0,6,85.7,6
Germie Bernard,158374,WR,MICH STATE,1,0,223,,,0,0.0,0,58.8,0,100.0,7,7,58.8,100.0,7,100.0,7
Tunde Fatukasi,129876,T,BOWL GREEN,1,0,122,68.0,100.0,5,71.4,5,84.4,0,100.0,7,7,73.7,100.0,2,28.6,2
Spencer Clapp,55441,T,WAKE,1,0,339,59.9,100.0,5,71.4,5,59.5,0,100.0,7,7,59.7,100.0,2,28.6,2
Michael Marchese,55952,TE,ILLINOIS,1,0,187,58.2,100.0,2,28.6,2,57.3,0,100.0,7,7,58.3,100.0,5,71.4,5
Charles Wright,129970,QB,TEXAS,1,0,311,60.0,100.0,2,28.6,2,60.0,0,100.0,7,7,60.0,100.0,5,71.4,5
Tyler Hunt,82605,TE,MICH STATE,1,0,223,59.7,100.0,2,28.6,2,46.2,0,100.0,7,7,45.0,100.0,5,71.4,5
Jacoby Jackson,144756,G,TEXAS TECH,1,0,315,59.9,100.0,2,28.6,2,55.7,0,100.0,7,7,55.6,100.0,5,71.4,5
Trey Tuggle,123236,G,TULANE,1,0,319,65.5,100.0,3,42.9,3,47.8,0,100.0,7,7,50.9,100.0,4,57.1,4
Kole Taylor,124114,TE,LSU,1,0,211,60.0,100.0,1,14.3,1,36.8,0,100.0,7,7,56.3,100.0,5,71.4,5
Genson Hooper Price,98369,WR,NWESTERN,1,0,256,59.9,100.0,3,42.9,3,60.3,0,100.0,7,7,60.1,100.0,3,42.9,3
Jay Ducker,130550,HB,MEMPHIS,1,0,218,60.0,25.0,1,14.3,4,56.0,0,41.2,7,17,60.0,22.2,2,28.6,9
Harrison Waylee,130584,HB,N ILLINOIS,1,0,254,73.3,50.0,5,71.4,10,70.5,0,33.3,7,21,60.0,11.1,1,14.3,9
Logan Parr,123125,G,TEXAS,1,0,311,63.4,100.0,2,28.6,2,59.9,0,100.0,7,7,52.8,100.0,5,71.4,5
Eli Acker,124121,G,OLE MISS,1,0,226,59.5,100.0,2,28.6,2,52.9,0,100.0,7,7,53.1,100.0,5,71.4,5
Chase Brown,77787,HB,ILLINOIS,1,0,187,60.0,33.3,1,14.3,3,59.5,0,18.4,7,38,59.9,9.7,3,42.9,31
Joshua Youngblood,99552,WR,RUTGERS,1,0,278,59.7,100.0,5,71.4,5,60.1,0,100.0,7,7,60.0,100.0,2,28.6,2
Tyrone Sampson Jr.,81646,G,FRESNO ST,1,0,169,59.7,100.0,2,28.6,2,50.1,0,100.0,7,7,51.3,100.0,4,57.1,4
Cade Ballard,102861,QB,ARMY,1,0,114,60.0,50.0,2,28.6,4,60.0,0,63.6,7,11,,0.0,0,0.0,2
Jordan Hudson,157298,WR,TCU,1,0,305,60.1,100.0,3,42.9,3,60.2,0,100.0,7,7,60.0,100.0,2,28.6,2
MarShawn Lloyd,124247,HB,S CAROLINA,1,0,289,60.0,7.7,1,14.3,13,67.6,0,24.1,7,29,,0.0,0,0.0,9
Deion Colzie,147473,WR,NOTRE DAME,1,0,258,59.8,100.0,4,57.1,4,59.4,0,100.0,7,7,59.5,100.0,3,42.9,3
Kaedin Robinson,144468,WR,APP STATE,1,0,108,60.0,100.0,2,28.6,2,60.5,0,100.0,7,7,60.3,100.0,4,57.1,4
Monte Pottebaum,81252,FB,IOWA,1,0,192,,,0,0.0,0,56.5,0,100.0,7,7,56.6,100.0,6,85.7,6
Carter Fouty,156989,G,TOLEDO,1,0,316,58.6,100.0,3,42.9,3,57.9,0,100.0,7,7,59.0,100.0,3,42.9,3
Tanner Koziol,156895,TE,BALL ST,1,0,117,60.0,100.0,2,28.6,2,60.4,0,100.0,7,7,60.0,100.0,5,71.4,5
Giles Jackson,101695,WR,WASHINGTON,1,0,340,,,0,0.0,0,60.2,0,85.7,6,7,60.8,83.3,5,83.3,6
Montorie Foster Jr.,129616,WR,MICH STATE,1,0,223,,,0,0.0,0,61.0,0,100.0,6,6,61.0,100.0,6,100.0,6
Kroy Myers,144333,WR,NAVY,1,0,237,60.3,100.0,4,66.7,4,60.8,0,100.0,6,6,,,0,0.0,0
Donny Navarro III,84220,WR,NWESTERN,1,0,256,60.0,100.0,2,33.3,2,50.3,0,100.0,6,6,55.4,100.0,4,66.7,4
Casey Case,130402,QB,BUFFALO,1,0,126,60.0,100.0,3,50.0,3,60.0,0,75.0,6,8,60.0,100.0,3,50.0,3
Juan Davis,144725,TE,TEXAS,1,0,311,55.7,100.0,3,50.0,3,54.9,0,100.0,6,6,58.1,100.0,3,50.0,3
Jovantae Barnes,158085,HB,OKLAHOMA,1,0,261,58.3,45.5,5,83.3,11,57.6,0,46.2,6,13,,0.0,0,0.0,1
Logan Sagapolu,131721,G,MIAMI FL,1,0,220,56.0,100.0,2,33.3,2,50.7,0,100.0,6,6,57.2,100.0,4,66.7,4
Jackson Hensley,123388,WR,WAKE,1,0,339,59.4,100.0,3,50.0,3,59.1,0,100.0,6,6,59.9,100.0,3,50.0,3
Titus Swen,97314,HB,WYOMING,1,0,351,60.0,25.0,1,16.7,4,58.5,0,27.3,6,22,58.9,18.8,3,50.0,16
Ky Thomas,129669,HB,KANSAS,1,0,198,57.9,62.5,5,83.3,8,57.6,0,54.5,6,11,60.0,33.3,1,16.7,3
Jaheim Bell,124225,TE,S CAROLINA,1,0,289,80.8,100.0,4,66.7,4,80.6,0,60.0,6,10,60.0,50.0,1,16.7,2
Brandon Logan,146193,T,UNLV,1,0,325,57.8,100.0,4,66.7,4,57.5,0,100.0,6,6,59.6,100.0,2,33.3,2
Roman Hemby,144891,HB,MARYLAND,1,0,215,57.8,28.6,2,33.3,7,45.8,0,46.2,6,13,60.0,33.3,1,16.7,3
Bucky Williams,78305,G,APP STATE,1,0,108,57.1,100.0,1,16.7,1,53.8,0,100.0,6,6,57.4,100.0,5,83.3,5
