player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Riley Leonard,143862,QB,NOTRE DAME,1,2.91,2.83,3.35,3.75,35,258,85.7,14,14,5.3,1.88,0,1,6.7,85.7,12,0,0.0,14,40.0,0,4,66.4,70.8,71.4,70.3,,,0,0,15,,141.4,0.0,0,0,0,0,2,0,0.0,118,8.4,71.4,14,17,7.9,3.6,0,1,4.8,58.8,10,11,0.0,21,60.0,0,7,67.7,71.9,73.1,71.2,,61.8,2,0,25,18.2,84.7,9.5,2,2,0,1,0,0,0.0,137,8.1
Tommy Mellott,147646,QB,MONTANA ST,1,3.24,2.71,,4.83,32,233,75.0,8,8,7.5,1.84,0,2,25.0,62.5,5,3,16.7,8,25.0,1,4,64.9,94.3,69.5,93.9,,,0,0,8,0.0,118.8,0.0,0,0,0,0,2,0,0.0,48,6.0,50.0,16,16,15.2,3.7,0,3,16.7,50.0,8,15,0.0,24,75.0,0,9,67.8,75.1,73.3,80.9,,57.2,0,0,26,0.0,82.0,0.0,0,8,0,0,0,0,0.0,147,9.2
Cam Miller,125299,QB,N DAK ST,1,2.49,2.15,3.5,4.33,27,250,93.8,16,16,6.1,1.84,0,0,0.0,81.3,13,1,13.3,16,59.3,2,8,66.7,90.6,71.8,90.3,,,0,0,17,0.0,131.8,0.0,0,0,0,0,2,0,0.0,98,6.1,100.0,6,6,15.5,3.44,0,1,16.7,100.0,6,5,0.0,11,40.7,0,5,65.6,93.4,70.4,93.6,,66.8,0,0,11,40.0,118.8,18.2,2,3,0,0,0,0,0.0,101,16.8
Will Howard,122599,QB,OHIO STATE,1,2.75,2.47,3.9,4.6,25,260,81.8,11,11,5.9,1.85,0,1,9.1,81.8,9,0,0.0,11,44.0,0,5,65.6,80.7,70.4,80.1,,,0,0,11,,118.8,0.0,0,0,0,0,0,0,0.0,141,12.8,80.0,10,10,10.0,3.46,0,0,0.0,80.0,8,6,0.0,14,56.0,0,7,66.5,85.6,71.6,80.7,,69.5,0,0,16,33.3,143.8,14.3,2,2,0,0,2,0,0.0,90,9.0
Steve Angeli,156966,QB,NOTRE DAME,1,2.4,2.4,,,1,258,100.0,1,1,5.0,2.4,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,60.3,54.9,60.0,52.7,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
