player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jace Wilson,149892,QB,FURMAN,1,2.7,2.44,3.3,4.43,70,170,83.8,37,37,5.1,1.71,0,0,0.0,78.4,29,0,6.5,37,52.9,2,13,,,,,68.8,88.4,74.5,,87.4,,,,,,0,0,37,,117.5,0.0,0,0,0,0,3,0,0.0,211,5.7,62.5,16,22,13.2,3.81,0,2,8.3,40.9,9,14,10.0,33,47.1,1,8,,,,,29.5,65.9,74.3,,72.1,,,52.3,,,1,0,35,21.4,58.7,9.1,3,8,0,5,0,1,2.9,119,5.4
Austin Reed,111760,QB,W KENTUCKY,1,1.99,1.84,2.98,4.9,63,346,76.2,42,44,3.5,1.56,1,1,2.2,68.2,30,9,6.3,46,73.0,2,10,,,,,35.5,51.9,75.4,,51.7,,,,,,0,0,48,22.2,88.6,4.3,2,0,0,1,1,2,4.2,234,5.3,75.0,12,12,13.8,3.16,0,4,30.8,75.0,9,8,0.0,17,27.0,0,9,,,,,66.8,84.6,72.0,,81.6,,,64.0,,,0,1,18,50.0,121.5,23.5,4,1,0,0,2,1,5.6,172,14.3
Reece Udinski,60592,QB,RICHMOND,1,2.44,2.31,3.2,5.8,61,276,76.9,39,39,8.2,1.9,0,1,2.6,74.4,29,9,3.3,39,63.9,1,10,,,,,68.9,75.6,74.7,,74.9,,,,,,0,0,39,0.0,96.7,0.0,0,0,0,0,1,0,0.0,226,5.8,72.2,18,19,10.8,3.38,0,3,15.0,68.4,13,4,0.0,22,36.1,0,7,,,,,67.5,87.2,72.8,,90.4,,,53.6,,,0,0,23,25.0,109.1,4.5,1,2,0,1,1,0,0.0,148,7.8
Chase Cunningham,78533,QB,MIDDLE TN,1,2.9,2.86,2.9,8.1,59,224,77.8,27,27,9.7,1.89,0,1,3.6,70.4,19,2,9.5,27,45.8,2,7,,,,,68.0,74.4,73.5,,73.8,,,,,,0,0,28,0.0,94.5,0.0,0,0,0,0,0,1,3.6,219,8.1,85.0,20,29,3.9,3.87,1,0,0.0,55.2,16,20,5.9,31,52.5,1,7,,,,,68.5,45.7,74.2,,43.6,,,63.1,,,2,0,34,5.0,81.0,3.2,1,1,0,6,1,2,5.9,149,5.1
John Paddock,77689,QB,BALL ST,1,2.18,2.18,2.5,,59,117,89.7,39,40,5.3,1.87,1,1,2.4,77.5,31,5,11.4,40,67.8,4,19,,,,,69.1,87.3,74.9,,86.3,,,,,,0,1,41,0.0,115.0,0.0,0,0,0,0,3,1,2.4,324,8.1,60.0,15,18,10.2,2.85,1,0,0.0,50.0,9,7,0.0,19,32.2,0,5,,,,,67.5,54.1,72.8,,53.9,,,,,,0,1,23,14.3,39.8,5.3,1,0,0,2,0,0,0.0,83,4.6
Zack Annexstad,83516,QB,ILL STATE,1,2.56,2.2,3.17,4.41,58,188,75.9,29,31,6.6,1.75,1,3,9.4,58.1,18,2,18.2,31,53.4,4,9,,,,,68.4,71.4,74.0,,70.8,,,,,,1,0,32,0.0,90.4,0.0,0,0,0,0,2,2,6.3,137,4.4,66.7,15,16,14.7,3.48,0,4,25.0,50.0,8,14,20.0,27,46.6,2,8,,,,,67.9,90.1,73.4,,90.5,,,66.3,,,0,0,27,21.4,71.6,11.1,3,8,0,1,0,0,0.0,107,6.7
Seth Henigan,144267,QB,MEMPHIS,1,3.07,2.66,3.73,4.88,58,218,83.3,24,25,6.8,2.0,1,0,0.0,64.0,16,5,20.0,26,44.8,4,9,,,,,68.1,75.2,73.6,,74.6,,,,,,0,0,29,20.0,91.6,3.8,1,0,0,0,1,1,3.4,137,5.5,50.0,18,20,12.1,3.95,0,0,0.0,40.0,8,18,11.1,32,55.2,1,4,,,,,68.5,31.1,74.2,,29.6,,,54.6,,,0,0,34,16.7,47.9,9.4,3,9,0,2,0,2,5.9,58,2.9
Donovan Smith,73929,QB,TEXAS TECH,1,2.81,2.57,3.7,4.53,58,315,79.2,24,24,6.2,1.73,0,1,4.0,79.2,19,3,0.0,24,41.4,0,9,,,,,67.7,73.4,73.1,,72.8,,,,,,0,0,25,0.0,110.8,0.0,0,0,0,0,1,0,0.0,174,7.3,71.4,21,24,12.0,3.57,1,2,8.0,62.5,15,18,0.0,34,58.6,0,9,,,,,29.4,48.5,74.4,,49.5,,,55.7,,,0,2,36,38.9,65.5,20.6,7,3,0,2,1,4,11.1,185,7.7
Cade Brister,154186,QB,LNDNWD,1,3.26,2.93,3.13,5.83,57,949,85.0,20,20,9.4,1.96,0,1,5.0,85.0,17,5,0.0,21,36.8,0,11,,,,,67.2,74.1,72.5,,73.4,,,,,,0,1,21,20.0,101.0,4.8,1,0,0,0,1,1,4.8,185,9.3,56.5,23,25,18.7,4.01,2,3,11.1,48.0,12,16,7.7,36,63.2,1,12,,,,,29.9,68.2,74.6,,60.2,,,75.5,,,0,0,38,31.3,97.1,13.9,5,6,0,0,2,2,5.3,170,6.8
Hayden Wolff,98362,QB,DOMINION,1,2.86,2.59,3.68,5.03,55,263,82.6,23,24,4.8,1.98,1,1,4.2,66.7,16,1,15.8,24,43.6,3,9,,,,,67.6,78.3,73.0,,77.6,,,,,,0,1,24,0.0,91.5,0.0,0,0,0,0,2,1,4.2,135,5.6,70.0,20,22,8.7,3.55,1,1,4.0,50.0,11,20,21.4,31,56.4,3,8,,,,,19.4,55.6,74.2,,57.2,,,55.6,,,1,0,34,25.0,74.4,16.1,5,4,0,0,0,2,5.9,162,7.4
N'Kosi Perry,60446,QB,FAU,1,2.8,2.57,3.8,6.33,54,165,74.1,27,27,5.9,1.71,0,2,7.1,70.4,19,6,5.0,27,50.0,1,10,,,,,68.0,67.6,73.5,,67.2,,,,,,0,1,28,0.0,82.0,0.0,0,0,0,0,1,1,3.6,158,5.9,47.6,21,23,17.8,3.89,0,4,17.4,30.4,7,9,30.0,27,50.0,3,6,,,,,67.9,72.0,73.4,,69.1,,,66.9,,,0,1,27,11.1,48.6,3.7,1,3,0,2,1,4,14.8,137,6.0
Hunter Dekkers,122511,QB,IOWA STATE,1,2.55,2.38,3.68,4.8,54,193,80.8,26,26,3.8,1.9,0,0,0.0,73.1,19,6,9.5,26,48.1,2,10,,,,,67.8,56.9,73.3,,56.7,,,,,,0,1,26,0.0,86.2,0.0,0,0,0,0,1,1,3.8,165,6.3,61.9,21,22,10.8,3.15,0,1,4.3,50.0,11,9,15.4,28,51.9,2,3,,,,,68.3,51.1,73.9,,49.4,,,62.8,,,1,0,31,55.6,66.9,17.9,5,1,0,0,0,1,3.2,122,5.5
Michael Penix Jr.,82134,QB,WASHINGTON,1,2.46,2.34,2.6,4.3,53,340,92.3,26,26,4.2,1.87,0,1,3.6,88.5,23,4,4.2,26,49.1,1,11,,,,,68.0,73.9,73.5,,73.3,,,,,,0,0,28,0.0,114.6,0.0,0,0,0,0,1,0,0.0,219,8.4,60.0,20,22,12.3,3.03,1,1,3.7,45.5,10,10,16.7,27,50.9,2,8,,,,,68.4,40.2,74.0,,39.4,,,59.1,,,0,2,32,20.0,65.5,7.4,2,3,0,1,3,2,6.3,126,5.7
Sagan Gronauer,105567,QB,IDAHO ST,1,2.49,2.2,3.6,5.4,53,186,76.7,30,32,5.8,1.82,1,1,2.9,68.8,22,12,4.3,33,62.3,1,10,,,,,68.6,81.0,74.3,,80.2,,,,,,0,0,35,8.3,101.0,3.0,1,0,0,1,1,0,0.0,240,7.5,23.1,13,14,19.2,3.6,0,1,7.1,21.4,3,12,0.0,20,37.7,0,3,,,,,67.1,38.2,72.4,,32.6,,,65.9,,,0,1,20,25.0,15.5,15.0,3,3,0,1,0,1,5.0,61,4.4
Zachary Clement,105561,QB,NWSTATE,1,2.34,2.27,,4.05,52,257,73.3,30,33,7.9,1.68,1,2,5.9,60.6,20,6,9.1,33,63.5,2,9,,,,,68.5,81.4,74.2,,80.6,,,,,,2,0,34,0.0,93.1,0.0,0,0,0,0,1,0,0.0,241,7.3,57.1,14,17,13.1,3.49,0,3,16.7,29.4,5,7,37.5,19,36.5,3,6,,,,,67.1,72.9,72.4,,68.0,,,69.7,,,1,0,20,0.0,87.9,0.0,0,2,0,2,2,2,10.0,88,5.2
Carlos Davis,139131,QB,W CAROLINA,1,2.63,2.42,2.87,5.57,51,344,84.0,25,26,5.6,1.67,1,3,11.5,76.9,20,5,4.8,27,52.9,1,9,,,,,67.9,90.6,73.4,,90.3,,,,,,0,1,27,20.0,99.7,3.7,1,0,0,0,2,0,0.0,149,5.7,62.5,16,19,15.6,3.7,0,3,15.8,52.6,10,11,0.0,24,47.1,0,7,,,,,67.6,79.5,73.0,,86.2,,,50.3,,,1,1,24,18.2,100.1,8.3,2,3,0,2,2,1,4.2,187,9.8
Devin Leary,77628,QB,NC STATE,1,2.64,2.54,3.1,5.7,51,248,79.2,24,25,3.3,1.73,1,0,0.0,72.0,18,2,5.3,25,49.0,1,9,,,,,67.7,57.7,73.1,,57.5,,,,,,0,1,25,0.0,75.9,0.0,0,0,0,0,1,1,4.0,103,4.1,65.0,20,22,10.6,3.51,0,2,7.7,45.5,10,11,23.1,26,51.0,3,7,,,,,68.2,64.4,73.7,,65.7,,,57.0,,,0,0,30,27.3,66.9,11.5,3,1,0,2,0,1,3.3,142,6.5
