player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Baylor Hayes,192135,QB,TULSA,1,3.07,2.65,4.08,5.04,59,320,70.8,24,26,3.2,1.78,2,0,0.0,57.7,15,2,11.8,26,44.1,2,7,,,,,67.9,59.0,73.4,58.8,,,0,2,27,0.0,38.3,0.0,0,0,0,0,0,1,3.7,126,4.8,62.5,16,21,16.3,4.09,0,2,8.7,42.9,9,15,10.0,33,55.9,1,10,,,,,68.7,67.9,2.2,65.3,,68.0,2,0,36,26.7,59.4,12.1,4,8,0,3,0,0,0.0,109,5.2
Taron Dickens,177946,QB,W CAROLINA,1,3.05,2.88,3.78,4.8,59,344,68.4,19,20,8.7,1.98,1,0,0.0,65.0,13,1,0.0,20,33.9,0,8,,,,,67.2,76.7,72.5,76.1,,,0,0,21,0.0,121.0,0.0,0,0,0,0,2,0,0.0,151,7.6,67.9,28,29,20.9,3.7,0,3,9.7,65.5,19,19,0.0,38,64.4,0,16,,,,,69.5,88.1,74.9,90.5,,56.0,0,1,41,21.1,134.0,10.5,4,5,0,1,5,1,2.4,382,13.2
Quinn Boyd,191683,QB,STNY BROOK,1,2.51,2.29,3.4,3.96,57,303,92.0,25,26,5.0,1.81,1,1,3.7,88.5,23,1,0.0,27,47.4,0,9,,,,,68.0,66.4,73.5,65.9,,,0,0,28,100.0,114.1,3.7,1,0,0,0,1,0,0.0,216,8.3,78.9,19,21,10.7,3.26,1,2,9.5,66.7,14,12,6.7,29,50.9,1,9,,,,,68.1,84.4,73.6,83.1,,66.4,0,0,29,25.0,121.9,10.3,3,5,0,1,2,1,3.4,164,7.8
Logan Fife,128176,QB,NEW MEX ST,1,2.72,2.35,3.26,5.66,57,242,64.3,28,29,6.1,1.98,0,0,0.0,62.1,18,2,0.0,29,50.9,0,9,,,,,68.3,61.6,0.0,63.4,,,0,0,31,0.0,93.8,0.0,0,0,0,1,2,2,6.5,118,4.1,68.8,16,18,10.1,3.49,0,0,0.0,55.6,10,13,9.1,28,49.1,1,8,,,,,68.4,61.0,74.0,56.6,,66.9,0,2,32,38.5,37.3,17.9,5,5,0,2,0,2,6.3,123,6.8
Nick Minicucci,173617,QB,DELAWARE,1,3.03,2.79,,5.52,57,151,66.7,15,17,8.6,1.92,0,0,0.0,58.8,10,3,0.0,17,29.8,0,5,,,,,66.8,57.2,72.0,57.0,,,0,0,18,0.0,97.4,0.0,0,0,0,2,1,0,0.0,109,6.4,58.6,29,35,11.5,3.51,1,0,0.0,45.7,16,10,5.9,40,70.2,1,9,,,,,69.4,48.4,75.3,47.7,,58.6,3,2,45,0.0,49.1,0.0,0,5,0,2,1,2,4.4,195,5.6
AJ Swann,157186,QB,APP STATE,1,2.79,2.75,2.47,6.1,55,108,69.6,23,24,7.0,1.89,1,1,4.0,66.7,16,2,0.0,25,45.5,0,7,,,,,67.8,57.5,73.3,57.3,,,0,0,26,50.0,80.9,4.0,1,0,0,0,0,1,3.8,134,5.6,73.1,26,27,14.0,3.55,0,3,10.7,66.7,18,11,5.3,30,54.5,1,13,,,,,18.2,77.4,73.9,81.4,,50.5,0,1,31,18.2,99.9,6.7,2,1,0,1,2,3,9.7,214,7.9
Kai Colon,167663,QB,PRINCETON,1,3.35,3.08,5.35,4.83,55,272,70.0,20,20,3.6,1.95,0,1,4.3,70.0,14,5,0.0,20,36.4,0,5,,,,,67.5,46.7,72.8,46.7,,,0,1,23,0.0,64.2,0.0,0,0,0,0,0,2,8.7,118,5.9,65.2,23,27,5.8,4.15,0,0,0.0,55.6,15,21,0.0,35,63.6,0,10,,,,,68.8,57.5,74.5,48.7,,71.6,0,1,37,9.5,55.8,5.7,2,6,0,4,0,1,2.7,148,5.5
Jaylen Raynor,172203,QB,ARK STATE,1,2.68,2.53,2.4,4.55,53,113,88.5,26,26,5.9,1.95,0,0,0.0,88.5,23,2,0.0,27,50.9,0,10,,,,,68.0,83.2,73.5,82.3,,,0,2,28,50.0,74.0,3.7,1,0,0,0,1,1,3.6,166,6.4,71.4,21,22,12.6,3.43,1,2,8.7,63.6,14,8,6.7,26,49.1,1,9,,,,,67.9,68.4,73.4,71.6,,54.9,0,2,27,0.0,63.6,0.0,0,4,0,0,1,3,11.1,165,7.5
Ashton Daniels,157259,QB,AUBURN,1,2.65,2.31,5.2,4.7,52,115,79.3,29,33,8.1,1.81,2,1,2.9,69.7,23,7,0.0,33,63.5,0,14,,,,,68.6,71.9,74.3,71.3,,,0,0,35,0.0,104.1,0.0,0,0,0,2,1,0,0.0,268,8.1,90.0,10,12,14.7,4.12,0,1,7.7,66.7,8,10,11.1,19,36.5,1,10,,,,,24.3,84.9,72.5,76.3,,75.2,0,0,21,20.0,114.9,10.5,2,5,0,2,1,1,4.8,85,7.1
Tommy Castellanos,158433,QB,FLORIDA ST,1,3.05,2.96,4.28,4.3,51,167,77.8,18,18,5.4,1.93,0,0,0.0,55.6,10,6,28.6,19,37.3,4,4,,,,,67.0,73.1,72.2,72.6,,,0,0,19,16.7,72.7,5.3,1,0,0,0,0,0,0.0,105,5.8,58.3,24,26,14.0,3.85,0,0,0.0,50.0,13,14,7.1,31,60.8,1,9,,,,,68.5,58.2,0.0,54.1,,76.1,0,1,33,21.4,63.8,9.7,3,2,0,2,1,0,0.0,145,5.6
