player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Cam Ward,133244,QB,WASH STATE,1,2.94,2.56,4.16,6.35,70,341,88.2,34,36,6.2,1.77,2,1,2.7,69.4,25,3,16.7,37,52.9,5,15,,,,68.9,90.6,74.6,,90.2,,,,,,0,0,38,33.3,106.0,2.7,1,0,0,0,2,1,2.6,238,6.6,45.0,20,23,15.8,4.25,0,2,7.4,39.1,9,17,0.0,33,47.1,0,8,,,,29.4,39.8,74.5,,34.5,,,68.6,,,0,1,37,35.3,52.1,18.2,6,4,0,3,1,2,5.4,116,5.0
Sam Huard,146463,QB,CAL POLY,1,2.29,2.33,2.6,,60,129,77.8,36,36,8.4,1.84,0,0,0.0,72.2,26,3,7.1,36,60.0,2,14,,,,68.8,71.8,74.5,,71.1,,,,,,0,1,37,0.0,96.4,0.0,0,0,0,0,1,1,2.7,315,8.8,59.1,22,22,16.4,3.11,0,2,9.1,50.0,11,7,15.4,23,38.3,2,6,,,,67.5,67.3,72.8,,66.9,,,,,,0,1,23,14.3,71.8,4.3,1,0,0,0,1,2,8.7,168,7.6
Davis Brin,77642,QB,GA SOUTHRN,1,2.46,2.29,4.45,4.17,59,174,69.4,36,37,8.3,1.85,1,0,0.0,56.8,21,5,16.0,37,62.7,4,9,,,,68.8,71.4,74.5,,70.8,,,,,,0,0,37,0.0,96.6,0.0,0,0,0,0,3,0,0.0,179,4.8,53.3,15,17,9.7,3.49,1,1,5.6,47.1,8,14,0.0,22,37.3,0,6,,,,67.5,59.9,72.8,,65.1,,,50.3,,,1,0,23,14.3,72.7,9.1,2,3,0,0,0,0,0.0,128,7.5
Parker McKinney,82109,QB,E KENTUCKY,1,2.75,2.67,3.2,4.8,57,159,92.6,27,29,5.4,1.85,1,2,6.7,86.2,25,2,0.0,29,50.9,0,12,,,,68.2,83.2,73.7,,82.3,,,,,,1,0,30,0.0,116.4,0.0,0,0,0,0,1,1,3.3,266,9.2,60.9,23,25,13.2,3.69,1,1,3.6,52.0,13,13,7.1,28,49.1,1,6,,,,68.3,49.3,73.9,,51.7,,,52.8,,,0,2,31,7.7,43.9,3.6,1,2,0,1,1,2,6.5,111,4.4
Jordyn Potts,174577,QB,TENN TECH,1,2.51,2.22,3.18,4.6,55,309,59.3,27,29,3.5,1.67,2,0,0.0,51.7,15,1,6.3,30,54.5,1,4,,,,68.4,29.9,74.0,,30.1,,,,,,0,3,32,100.0,22.0,3.3,1,0,0,0,0,3,9.4,114,3.9,81.8,11,15,7.5,3.67,0,0,0.0,60.0,9,10,0.0,24,43.6,0,3,,,,67.8,54.5,73.3,,67.1,,,44.2,,,0,0,26,30.0,77.6,12.5,3,6,0,4,0,0,0.0,92,6.1
Gevani McCoy,147609,QB,IDAHO,1,2.88,2.83,3.73,,54,185,84.2,19,20,2.7,1.91,0,0,0.0,75.0,15,2,6.3,21,38.9,1,5,,,,67.5,72.1,72.8,,71.6,,,,,,1,0,23,50.0,105.4,4.8,1,0,0,0,1,0,0.0,116,5.8,76.0,25,31,10.7,3.5,1,1,3.1,58.1,18,14,5.3,33,61.1,1,13,,,,68.6,72.6,74.7,,70.3,,,64.4,,,1,0,35,14.3,81.8,6.1,2,0,0,4,0,1,2.9,233,7.5
Jordan Cooke,175116,QB,IDAHO ST,1,2.89,2.63,3.86,5.13,54,186,76.0,25,25,4.6,2.0,0,1,4.0,72.0,18,4,5.3,25,46.3,1,8,,,,67.7,61.9,73.1,,61.6,,,,,,0,1,25,0.0,86.3,0.0,0,0,0,0,1,1,4.0,165,6.6,52.9,17,21,15.2,3.66,1,1,4.5,42.9,9,19,0.0,29,53.7,0,4,,,,17.9,40.1,73.7,,43.5,,,49.9,,,0,1,30,26.3,44.1,17.2,5,3,0,3,0,3,10.0,132,6.3
Kobe Tracy,141317,QB,UTAHTC,1,2.49,2.48,3.2,,53,1285,78.6,28,31,5.6,1.87,2,0,0.0,64.5,20,4,9.1,31,58.5,2,9,,,,68.3,63.1,73.9,,62.7,,,,,,0,0,31,0.0,93.9,0.0,0,0,0,1,1,0,0.0,203,6.5,55.0,20,21,13.1,3.38,0,1,4.8,52.4,11,7,0.0,22,41.5,0,8,,,,67.4,40.5,72.7,,40.8,,,,,,0,1,22,14.3,76.1,4.5,1,0,0,1,1,3,13.6,173,8.2
Grant Wilson,143041,QB,DOMINION,1,2.82,2.43,3.9,5.25,52,263,82.6,23,23,4.4,1.84,0,0,0.0,78.3,18,2,5.3,23,44.2,1,3,,,,67.5,66.1,72.8,,65.7,,,,,,0,0,23,0.0,97.5,0.0,0,0,0,0,1,0,0.0,90,3.9,27.8,18,19,19.4,3.59,0,0,0.0,26.3,5,10,0.0,29,55.8,0,7,,,,28.3,32.5,73.9,,29.3,,,66.3,,,0,1,31,60.0,20.7,20.7,6,4,0,1,0,3,9.7,71,3.7
Ralph Rucker IV,144625,QB,BUCKNELL,1,2.87,2.62,3.55,4.45,51,125,83.3,18,20,6.9,1.92,2,1,4.8,65.0,13,5,13.3,22,43.1,2,6,,,,67.5,64.1,72.8,,63.7,,,,,,0,1,23,40.0,77.5,9.1,2,0,0,0,1,1,4.3,122,6.1,47.1,17,21,16.8,3.59,0,2,8.3,33.3,7,15,12.5,29,56.9,1,6,,,,68.5,61.5,74.2,,54.8,,,71.0,,,1,1,34,26.7,76.3,13.8,4,4,0,3,2,2,5.9,174,8.3
Blake Shapen,122282,QB,BAYLOR,1,2.84,2.7,3.8,3.97,51,118,66.7,18,19,3.7,1.74,0,0,0.0,47.4,9,1,25.0,20,39.2,3,4,,,,67.1,39.8,72.5,,39.9,,,,,,0,1,21,100.0,53.0,5.0,1,0,0,1,1,1,4.8,72,3.8,62.5,24,26,10.8,3.55,0,0,0.0,50.0,13,8,13.3,31,60.8,2,10,,,,68.5,55.7,74.2,,56.3,,,57.6,,,0,0,34,25.0,110.9,6.5,2,3,0,2,3,2,5.9,179,6.9
