player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Drake Maye,143969,QB,N CAROLINA,1,3.09,2.6,4.9,4.98,62,245,95.5,22,24,5.8,1.86,2,2,8.0,79.2,19,4,9.5,24,38.7,2,9,,,,,67.7,91.8,73.1,,91.5,,,,,0,0,25,0.0,129.0,0.0,0,0,0,0,2,0,0.0,199,8.3,65.0,20,25,18.0,3.87,0,2,8.0,48.0,12,15,7.7,38,61.3,1,14,,,,,68.9,75.8,74.6,,75.9,,63.1,,,0,0,38,33.3,96.9,13.2,5,8,0,5,1,0,0.0,249,10.0
Brock Bagozzi,149648,QB,MARIST,1,3.06,2.8,3.9,5.93,62,213,61.3,31,33,9.9,2.05,2,2,5.7,57.6,19,4,0.0,34,54.8,0,10,,,,,68.7,60.0,74.4,,59.7,,,,,0,1,36,25.0,88.2,2.9,1,0,0,0,2,1,2.8,242,7.3,66.7,18,22,7.8,4.28,1,1,4.3,54.5,12,16,0.0,28,45.2,0,8,,,,,27.0,55.8,73.6,,50.6,,67.5,,,0,1,29,12.5,58.0,7.1,2,4,0,3,0,2,6.9,155,7.0
E.J. Warner,156185,QB,TEMPLE,1,2.2,2.13,2.15,6.0,62,306,80.0,45,45,5.6,1.82,0,0,0.0,77.8,35,7,2.8,46,74.2,1,22,,,,,69.6,75.0,75.6,,74.2,,,,,0,0,50,14.3,123.9,2.2,1,0,0,0,3,0,0.0,378,8.4,58.3,12,14,14.2,3.26,0,1,7.1,50.0,7,7,0.0,16,25.8,0,5,,,,,27.4,49.0,71.8,,52.6,,52.7,,,0,0,17,14.3,75.9,6.3,1,1,0,2,0,2,11.8,108,7.7
Emmett Morehead,143834,QB,BOSTON COL,1,2.8,2.48,3.36,4.9,60,121,77.8,27,28,5.2,1.79,0,1,3.4,71.4,20,8,4.8,29,48.3,1,8,,,,,68.2,83.8,73.7,,82.9,,,,,1,0,30,12.5,98.2,3.4,1,0,0,0,1,0,0.0,166,5.9,55.0,20,21,10.3,3.75,0,1,4.3,47.6,10,19,9.1,31,51.7,1,8,,,,,68.5,30.3,74.1,,30.6,,52.8,,,0,2,33,21.1,66.1,12.9,4,6,0,1,2,4,12.1,162,7.7
Beau Allen,73936,QB,TARLETON,1,2.98,2.76,3.38,4.62,56,401,50.0,16,16,10.9,2.12,0,0,0.0,50.0,8,2,0.0,16,28.6,0,1,,,,,66.7,32.7,71.8,,33.1,,,,,0,1,17,0.0,36.7,0.0,0,0,0,0,0,3,17.6,73,4.6,75.0,28,30,12.9,3.32,0,3,8.6,66.7,20,21,4.8,40,71.4,1,18,,,,,69.4,83.9,75.2,,80.4,,70.6,,,2,0,45,23.8,113.8,12.5,5,5,0,0,1,1,2.2,324,10.8
Zevi Eckhaus,148535,QB,BRYANT,1,2.54,2.38,2.9,4.53,56,124,63.6,33,33,11.0,2.11,0,2,5.3,57.6,19,6,9.5,33,58.9,2,15,,,,,30.6,47.7,74.6,,47.8,,,,,0,1,38,0.0,98.3,0.0,0,0,0,0,3,2,5.3,242,7.3,38.9,18,18,16.9,3.16,0,1,5.3,38.9,7,11,0.0,23,41.1,0,7,,,,,67.5,62.9,73.0,,56.5,,71.2,,,0,1,24,9.1,35.9,4.3,1,4,0,0,0,0,0.0,106,5.9
Blake Stenstrom,82106,QB,PRINCETON,1,2.73,2.65,2.65,5.0,56,272,76.9,26,26,4.9,1.88,0,1,3.7,73.1,19,5,5.0,26,46.4,1,7,,,,,67.9,57.5,73.4,,57.3,,,,,0,0,27,0.0,83.5,0.0,0,0,0,0,0,2,7.4,128,4.9,64.0,25,26,14.7,3.46,1,2,7.7,57.7,15,8,6.3,30,53.6,1,13,,,,,68.2,77.3,73.7,,73.2,,70.8,,,0,2,30,25.0,94.9,6.7,2,2,0,0,3,1,3.3,239,9.2
Michael Hiers,88636,QB,SAMFORD,1,2.86,2.75,3.72,4.75,54,282,94.7,19,19,0.0,1.64,0,0,0.0,94.7,18,1,0.0,19,35.2,0,3,,,,,67.1,76.2,72.4,,75.7,,,,,0,0,20,0.0,91.7,0.0,0,0,0,0,0,0,0.0,114,6.0,69.2,26,27,8.1,3.64,0,4,14.8,63.0,17,15,5.6,34,63.0,1,10,,,,,68.5,87.6,74.2,,83.8,,70.4,,,0,0,34,33.3,130.1,14.7,5,2,0,1,4,1,2.9,233,8.6
Chris Reynolds,60361,QB,CHARLOTTE,1,2.23,2.08,3.8,4.95,52,136,75.0,36,39,7.2,1.76,2,2,4.8,61.5,24,2,11.1,39,75.0,3,14,,,,,69.1,71.1,74.9,,70.5,,,,,0,0,42,0.0,96.4,0.0,0,0,0,1,2,1,2.4,243,6.2,44.4,9,10,12.7,3.62,0,0,0.0,40.0,4,7,0.0,13,25.0,0,2,,,,,20.6,37.4,71.2,,34.0,,61.7,,,0,1,14,14.3,8.3,7.7,1,2,0,1,0,2,14.3,30,3.0
Devin Grainger,78496,QB,GA STATE,1,2.89,2.56,3.45,4.31,52,175,75.0,20,21,7.8,1.85,1,2,9.1,61.9,13,1,13.3,22,42.3,2,6,,,,,67.5,65.2,72.8,,64.8,,,,,0,1,23,100.0,77.7,4.5,1,0,0,0,1,1,4.3,141,6.7,77.8,18,19,14.0,3.66,0,1,4.8,63.2,12,18,14.3,30,57.7,2,11,,,,,18.6,64.3,74.0,,62.0,,63.6,,,0,0,32,16.7,100.3,10.0,3,8,0,1,0,3,9.4,208,10.9
