player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Bailey Zappe,60396,QB,W KENTUCKY,1,2.52,2.45,2.67,4.7,70,346,87.2,39,39,7.1,1.82,0,4,9.5,87.2,34,3,0.0,40,57.1,0,17,,,,,69.2,77.8,75.0,76.9,,,0,0,43,33.3,123.9,2.5,1,0,0,0,2,0,0.0,376,9.6,65.2,23,26,7.9,3.46,0,0,0.0,50.0,13,12,13.3,30,42.9,2,8,,,,,68.3,69.6,73.9,69.2,,61.0,0,0,31,16.7,74.0,6.7,2,2,0,3,1,0,0.0,109,4.2
Aqeel Glass,60328,QB,ALAB A&M,1,2.02,1.96,3.23,,64,104,68.2,44,49,6.3,1.71,2,1,2.0,59.2,29,13,3.3,49,76.6,1,17,,,,,69.7,58.0,75.6,57.7,,,0,2,50,0.0,89.4,0.0,0,0,0,3,4,2,4.0,327,6.7,50.0,12,12,13.8,3.03,0,0,0.0,50.0,6,8,0.0,15,23.4,0,6,,,,,21.8,46.8,71.6,47.0,,,0,2,16,37.5,46.5,20.0,3,0,0,0,0,2,12.5,122,10.2
Will Rogers,124184,QB,MISS STATE,1,2.38,2.29,3.67,4.1,63,227,89.2,37,37,3.8,1.78,0,1,2.6,86.5,32,0,3.0,37,58.7,1,16,,,,,68.9,82.1,74.6,81.2,,,0,0,38,,113.4,0.0,0,0,0,0,2,0,0.0,255,6.9,76.2,21,22,8.1,3.23,1,1,4.2,63.6,14,6,12.5,26,41.3,2,8,,,,,68.1,83.4,73.6,81.0,,64.0,0,0,29,50.0,99.2,11.5,3,1,0,0,1,0,0.0,153,7.0
Draylen Ellis,121346,QB,AUSTINPEAY,1,2.55,2.27,4.28,6.45,58,116,84.8,33,33,3.3,1.57,0,0,0.0,63.6,21,0,25.0,33,56.9,7,12,,,,,68.7,74.2,74.4,73.5,,,0,0,36,,88.8,0.0,0,0,0,0,1,0,0.0,187,5.7,46.7,15,19,15.2,3.84,0,1,4.5,31.6,6,14,14.3,25,43.1,1,5,,,,,27.0,49.1,73.5,47.6,,62.1,0,0,28,28.6,45.7,16.0,4,2,0,4,0,1,3.6,79,4.2
Cole Kelley,39945,QB,SE LA,1,2.54,2.32,2.45,4.78,57,294,89.3,28,28,5.0,1.88,0,0,0.0,85.7,24,5,4.0,29,50.9,1,13,,,,,68.2,65.3,73.7,64.8,,,0,1,30,20.0,110.9,3.4,1,0,0,0,2,0,0.0,237,8.5,63.6,22,22,14.9,3.23,0,2,8.7,59.1,13,11,7.1,28,49.1,1,10,,,,,68.2,77.1,73.7,72.4,,70.6,0,0,30,9.1,97.2,3.6,1,5,0,0,1,0,0.0,162,7.4
Austin Kendall,40056,QB,LA TECH,1,3.06,2.67,3.23,4.71,56,208,70.4,27,27,8.6,1.96,0,1,3.4,66.7,18,6,5.3,28,50.0,1,10,,,,,68.1,71.7,73.7,71.1,,,0,0,30,16.7,114.9,3.6,1,0,0,0,2,0,0.0,211,7.8,57.1,14,16,10.6,4.17,0,2,12.5,50.0,8,21,0.0,28,50.0,0,10,,,,,68.0,70.2,73.5,62.8,,69.2,0,2,28,9.5,58.9,7.1,2,10,0,2,1,1,3.6,130,8.1
Jake Haener,60596,QB,FRESNO ST,1,3.16,2.91,3.2,6.28,56,169,72.2,18,18,5.9,1.91,0,0,0.0,72.2,13,1,0.0,18,32.1,0,10,,,,,66.8,77.8,72.0,77.2,,,0,0,18,0.0,114.4,0.0,0,0,0,0,1,0,0.0,145,8.1,55.2,29,32,14.9,3.76,1,2,5.9,46.9,15,17,6.3,38,67.9,1,10,,,,,43.4,39.0,74.9,37.6,,60.5,1,4,41,11.8,53.8,5.3,2,4,0,1,2,5,12.2,241,7.5
Hank Bachmeier,101284,QB,BOISE ST,1,2.76,2.66,2.98,4.9,56,120,88.9,18,20,4.6,1.9,0,0,0.0,65.0,13,9,18.8,23,41.1,3,5,,,,,67.5,57.7,72.8,57.5,,,2,1,23,33.3,75.0,13.0,3,0,0,0,1,0,0.0,110,5.5,84.6,26,29,10.0,3.37,1,3,9.7,72.4,21,14,4.5,33,58.9,1,13,,,,,29.1,81.5,74.3,81.3,,60.7,0,0,35,14.3,136.9,6.1,2,2,0,2,3,1,2.9,278,9.6
Eric Barriere,40109,QB,E WASHGTON,1,2.51,2.31,3.82,5.25,55,161,60.7,28,29,5.1,1.77,0,1,3.0,55.2,16,7,5.9,29,52.7,1,7,,,,,68.5,59.7,74.1,59.4,,,0,1,33,0.0,79.7,0.0,0,0,0,1,2,0,0.0,160,5.5,76.5,17,18,20.6,3.47,0,3,16.7,55.6,10,15,23.1,25,45.5,3,9,,,,,67.7,93.8,73.1,92.3,,76.1,0,1,25,33.3,77.3,20.0,5,2,0,1,0,0,0.0,262,14.6
Aidan O'Connell,60516,QB,PURDUE,1,2.47,2.34,4.15,,55,273,70.6,34,34,8.5,1.9,0,3,8.8,67.6,23,7,4.2,35,63.6,1,12,,,,,29.5,60.7,74.3,60.4,,,0,0,35,14.3,97.1,2.9,1,0,0,0,1,3,8.6,235,6.9,62.5,16,17,12.6,3.47,0,2,11.1,58.8,10,8,0.0,20,36.4,0,9,,,,,24.7,65.0,72.5,64.6,,,0,1,21,37.5,59.4,15.0,3,0,0,1,0,2,9.5,134,7.9
