player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Bryson Barnes,131845,QB,UTAH,1,3.45,2.98,6.83,4.94,66,328,77.3,22,22,4.9,1.9,0,0,0.0,77.3,17,4,0.0,22,33.3,0,5,,,,,67.5,62.3,72.8,,61.9,,,,,,0,1,23,0.0,84.5,0.0,0,0,0,0,1,1,4.3,115,5.2,60.0,25,32,14.6,4.23,1,3,9.1,43.8,14,30,6.7,44,66.7,1,15,,,,,69.4,82.9,75.4,,80.6,,,68.7,,,1,1,46,13.3,62.6,9.1,4,8,0,5,1,0,0.0,205,6.4
T.J. Finley,124093,QB,TEXAS ST,1,2.62,2.55,3.95,3.7,59,314,80.6,31,31,5.8,1.89,0,0,0.0,77.4,24,3,4.0,31,52.5,1,10,,,,,68.3,54.5,73.9,,54.3,,,,,,0,1,31,0.0,94.6,0.0,0,0,0,0,2,3,9.7,148,4.8,58.3,24,25,15.6,3.42,0,1,3.7,56.0,14,12,0.0,28,47.5,0,7,,,,,27.7,63.1,73.7,,67.6,,,50.5,,,0,1,30,16.7,82.3,7.1,2,1,0,1,1,3,10.0,221,8.8
Logan Brabham,149647,QB,MARIST,1,2.29,2.08,2.3,4.42,59,213,65.8,38,40,10.2,1.88,1,1,2.5,57.5,23,5,8.0,42,71.2,2,13,,,,,69.1,43.7,74.9,,43.9,,,,,,1,0,42,40.0,87.7,4.8,2,0,0,0,2,2,4.8,202,5.1,72.7,11,11,9.9,3.3,0,2,16.7,72.7,8,3,0.0,17,28.8,0,7,,,,,66.8,84.2,72.0,,88.8,,,60.6,,,0,0,18,33.3,140.7,5.9,1,5,0,0,1,0,0.0,126,11.5
Brian Maurer,99123,QB,STF AUSTIN,1,2.69,2.6,3.35,6.7,57,301,81.3,32,34,6.7,1.97,2,0,0.0,64.7,22,1,15.4,34,59.6,4,13,,,,,68.7,73.9,74.4,,73.2,,,,,,0,0,36,0.0,94.5,0.0,0,0,0,0,1,1,2.8,234,6.9,55.6,18,20,17.1,3.76,1,1,4.8,40.0,8,8,20.0,23,40.4,2,5,,,,,67.5,68.6,73.0,,69.9,,,57.3,,,0,1,24,25.0,50.8,8.7,2,1,0,1,1,0,0.0,94,4.7
Jordan McCloud,101058,QB,JAMES MAD,1,3.19,2.73,4.56,6.0,56,197,59.1,22,22,5.3,1.84,0,0,0.0,54.5,12,1,7.7,22,39.3,1,7,,,,,67.4,46.8,72.7,,46.8,,,,,,0,1,22,0.0,44.7,0.0,0,0,0,0,0,1,4.5,85,3.9,71.4,21,24,13.9,4.06,0,2,7.7,62.5,15,22,0.0,34,60.7,0,12,,,,,29.4,64.0,74.4,,60.9,,,65.8,,,1,0,36,22.7,103.5,14.7,5,5,0,2,1,3,8.3,204,8.5
Seth Henigan,144267,QB,MEMPHIS,1,2.5,2.37,3.3,4.9,55,218,71.9,32,32,7.7,1.96,0,3,8.8,65.6,21,3,8.7,32,58.2,2,12,,,,,68.5,79.2,74.2,,78.3,,,,,,0,0,34,0.0,88.7,0.0,0,0,0,0,0,0,0.0,245,7.7,82.4,17,19,11.0,3.24,0,0,0.0,73.7,14,8,0.0,23,41.8,0,7,,,,,67.7,77.1,73.1,,76.7,,,61.6,,,0,0,25,25.0,131.9,8.7,2,2,0,2,2,0,0.0,152,8.0
Aidan Sayin,148974,QB,PENN,1,2.34,2.26,3.23,3.4,55,267,78.1,32,35,6.9,2.0,2,2,5.4,62.9,22,8,12.0,36,65.5,3,14,,,,,68.9,78.6,74.6,,77.8,,,,,,0,2,38,12.5,95.3,2.8,1,0,0,1,3,1,2.6,303,8.7,62.5,16,16,9.6,2.98,0,0,0.0,50.0,8,6,20.0,19,34.5,2,4,,,,,22.9,72.3,72.2,,74.2,,,57.3,,,0,2,19,33.3,25.3,10.5,2,1,0,0,0,2,10.5,81,5.1
Derek Robertson,142298,QB,MAINE,1,2.01,1.96,2.77,,55,212,74.4,39,40,5.8,1.62,1,0,0.0,70.0,28,7,3.4,42,76.4,1,14,,,,,33.7,70.5,75.1,,69.9,,,,,,0,1,44,28.6,102.1,4.8,2,0,0,0,3,2,4.5,260,6.5,45.5,11,12,16.7,3.25,0,0,0.0,33.3,4,5,20.0,13,23.6,1,2,,,,,66.2,51.0,71.2,,51.0,,,,,,0,0,14,20.0,49.0,7.7,1,0,0,1,0,0,0.0,55,4.6
Jameson Wang,148782,QB,CORNELL,1,3.08,2.78,3.8,6.05,54,147,78.9,19,21,7.5,2.01,1,1,4.5,66.7,14,1,6.7,21,38.9,1,6,,,,,67.4,65.3,72.7,,64.9,,,,,,0,3,22,0.0,40.1,0.0,0,0,0,1,0,1,4.5,111,5.3,82.6,23,26,8.5,3.76,0,1,3.6,69.2,18,9,5.3,33,61.1,1,13,,,,,19.7,58.6,74.3,,56.5,,,63.3,,,1,1,35,33.3,94.1,9.1,3,4,0,2,1,3,8.6,234,9.0
Graeson Underwood,123202,QB,CITADEL,1,2.67,2.6,2.77,4.0,51,139,46.2,26,26,8.2,2.0,0,0,0.0,46.2,12,8,0.0,28,54.9,0,4,,,,,68.0,33.7,73.5,,34.0,,,,,,0,1,28,25.0,38.6,7.1,2,0,0,0,0,1,3.6,88,3.4,55.0,20,20,21.2,3.47,0,1,4.8,50.0,10,10,9.1,23,45.1,1,9,,,,,67.6,66.9,73.2,,62.1,,,70.8,,,0,0,24,10.0,92.9,4.3,1,2,0,0,1,2,8.3,156,7.8
