player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Cole Kelley,39945,QB,SE LA,1,2.4,2.25,4.13,4.45,66,294,88.1,42,42,4.6,1.91,0,0,0.0,81.0,34,7,8.1,42,63.6,3,19,,,,69.1,69.1,74.9,68.6,,,,0,1,42,0.0,106.2,0.0,0,0,0,0,2,1,2.4,338,8.0,83.3,18,19,9.2,3.26,0,1,4.5,63.2,12,16,20.0,24,36.4,3,9,,,,23.8,67.0,73.4,71.6,,50.2,,1,1,27,18.8,89.8,12.5,3,2,0,0,1,2,7.4,180,9.5
Asher O'Hara,78529,QB,SACRAMENTO,1,3.32,2.96,4.77,5.14,64,279,94.7,19,20,2.7,1.9,0,0,0.0,80.0,16,3,11.1,20,31.3,2,11,,,,67.1,83.5,72.4,82.8,,,,0,1,20,0.0,80.8,0.0,0,0,0,1,0,0,0.0,168,8.4,60.0,30,33,8.6,3.96,0,0,0.0,48.5,16,18,11.1,44,68.8,2,11,,,,21.9,42.8,75.1,44.2,,53.2,,0,2,44,16.7,37.7,6.8,3,8,0,3,0,6,13.6,162,4.9
Chevan Cordeiro,75886,QB,HAWAII,1,3.11,2.77,4.04,4.6,62,180,69.6,23,23,8.4,1.96,0,1,4.3,60.9,14,9,12.5,23,37.1,2,9,,,,67.5,79.8,72.8,79.0,,,,0,1,23,0.0,93.4,0.0,0,0,0,0,2,0,0.0,164,7.1,54.5,22,26,17.7,3.79,1,2,6.9,38.5,10,18,16.7,39,62.9,2,13,,,,69.1,61.0,75.3,51.7,,75.3,,0,1,42,27.8,50.5,12.8,5,8,0,3,0,3,7.1,202,7.8
Trae Self,103962,QB,STF AUSTIN,1,2.44,2.26,3.7,6.95,60,301,78.8,33,34,2.5,1.68,0,0,0.0,73.5,25,7,3.8,34,56.7,1,12,,,,68.8,73.0,74.5,72.4,,,,1,0,37,0.0,91.4,0.0,0,0,0,0,0,1,2.7,229,6.7,66.7,21,23,8.6,3.42,0,1,4.3,56.5,13,15,7.1,26,43.3,1,7,,,,67.8,84.8,73.3,80.3,,70.7,,2,0,26,6.7,84.3,3.8,1,2,0,0,1,0,0.0,114,5.0
C.J. Stroud,129759,QB,OHIO STATE,1,2.69,2.52,3.7,5.1,59,260,75.0,28,28,9.7,2.02,0,2,7.1,75.0,21,1,0.0,28,47.5,0,12,,,,68.0,82.0,73.5,81.1,,,,0,0,28,0.0,141.2,0.0,0,0,0,0,3,1,3.6,275,9.8,65.4,26,26,16.9,3.31,0,3,11.5,53.8,14,11,17.6,31,52.5,3,12,,,,68.4,75.1,74.0,74.6,,62.6,,0,1,32,18.2,64.4,6.5,2,3,0,0,0,1,3.1,209,8.0
Davis Alexander,52162,QB,PORTLAND,1,3.12,2.89,2.65,5.12,57,269,73.9,23,23,7.0,1.83,0,0,0.0,69.6,16,3,5.9,23,40.4,1,8,,,,67.5,62.5,72.8,62.2,,,,0,0,23,0.0,97.6,0.0,0,0,0,0,1,0,0.0,127,5.5,61.9,21,26,12.0,3.99,1,2,7.7,42.3,11,21,15.4,34,59.6,2,13,,,,68.5,74.9,74.2,71.0,,69.0,,0,1,34,9.5,60.6,5.9,2,6,0,4,1,1,2.9,165,6.3
Devin Leary,77628,QB,NC STATE,1,2.58,2.43,2.75,4.87,56,248,79.3,29,29,7.0,1.81,0,3,10.3,69.0,20,6,13.0,30,53.6,3,8,,,,68.2,85.0,73.7,84.1,,,,0,0,30,16.7,97.1,3.3,1,0,0,0,1,0,0.0,181,6.2,64.7,17,20,15.2,3.48,1,1,5.0,50.0,10,13,9.1,26,46.4,1,6,,,,26.7,51.7,73.3,51.9,,58.0,,0,1,26,23.1,48.3,11.5,3,3,0,2,0,1,3.8,122,6.1
Connor Bazelak,99135,QB,MISSOURI,1,2.45,2.31,1.9,5.07,55,229,89.3,28,29,3.4,1.68,0,0,0.0,79.3,23,4,8.0,30,54.5,2,9,,,,68.3,72.4,73.9,71.9,,,,1,0,31,25.0,101.6,3.3,1,0,0,0,1,1,3.2,163,5.6,57.1,21,22,11.7,3.38,1,1,4.2,50.0,11,7,8.3,25,45.5,1,10,,,,67.9,58.9,73.4,54.6,,68.2,,0,1,27,0.0,89.2,0.0,0,3,0,0,3,1,3.7,131,6.0
Jace Ruder,77680,QB,N TEXAS,1,2.43,2.38,2.75,4.5,55,251,66.7,33,33,10.4,1.94,0,0,0.0,63.6,21,8,4.5,34,61.8,1,8,,,,68.7,43.7,74.4,43.9,,,,0,2,36,12.5,65.5,2.9,1,0,0,0,1,2,5.6,202,6.1,70.6,17,19,13.2,3.23,0,1,4.8,57.9,11,14,8.3,21,38.2,1,6,,,,67.5,58.2,73.0,61.3,,52.8,,0,0,24,7.1,86.3,4.8,1,1,0,2,0,0,0.0,164,8.6
Lendon Redwine,111177,QB,UVAWIS,1,2.05,2.02,3.6,,55,1320,66.7,39,40,6.8,1.71,1,2,4.9,62.5,25,7,3.8,40,72.7,1,10,,,,69.1,69.6,74.9,69.1,,,,0,2,41,0.0,67.3,0.0,0,0,0,0,2,0,0.0,166,4.2,72.7,11,14,8.1,2.95,0,0,0.0,57.1,8,5,0.0,15,27.3,0,4,,,,66.5,77.8,71.6,77.2,,,,0,0,16,20.0,68.2,6.7,1,0,0,3,0,0,0.0,62,4.4
Tim Demorat,78498,QB,FORDHAM,1,2.95,2.81,4.23,5.7,52,168,71.4,28,28,10.9,2.04,0,1,3.3,67.9,19,8,5.0,28,53.8,1,11,,,,68.2,60.6,73.7,60.3,,,,0,0,30,0.0,101.9,0.0,0,0,0,0,1,1,3.3,211,7.5,44.4,18,20,21.1,4.01,0,3,13.6,35.0,7,12,12.5,24,46.2,1,8,,,,26.3,63.5,73.3,61.0,,64.3,,0,0,26,25.0,92.5,12.5,3,1,0,2,2,1,3.8,134,6.7
Lindsey Scott Jr.,40219,QB,NICHOLLS,1,2.9,2.43,3.33,4.26,52,243,85.7,21,21,8.0,1.86,0,1,4.8,81.0,17,2,5.6,21,40.4,1,9,,,,67.2,83.4,72.5,82.6,,,,0,0,21,0.0,136.7,0.0,0,0,0,0,2,1,4.8,193,9.2,62.5,16,16,12.8,3.61,0,2,12.5,56.3,9,19,10.0,31,59.6,1,14,,,,68.4,79.1,74.1,54.5,,85.1,,0,1,33,15.8,87.0,9.7,3,12,0,0,1,2,6.1,166,10.4
Rent Montie,143087,QB,LAFAYETTE,1,3.06,2.76,3.06,5.03,51,203,57.9,19,21,5.6,1.93,0,1,4.8,47.6,10,6,9.1,22,43.1,1,2,,,,67.4,39.5,0.0,42.7,,,,1,2,22,16.7,18.1,4.5,1,0,0,1,0,2,9.1,80,3.8,92.9,14,19,5.0,3.91,1,0,0.0,68.4,13,9,0.0,29,56.9,0,7,,,,68.1,51.0,73.6,44.2,,65.4,,0,0,29,44.4,82.6,13.8,4,6,0,4,0,1,3.4,107,5.6
Artur Sitkowski,83547,QB,ILLINOIS,1,2.44,2.28,3.03,4.2,51,187,65.5,29,30,4.9,1.87,0,0,0.0,56.7,17,5,10.5,31,60.8,2,9,,,,68.5,58.2,74.1,57.9,,,,1,1,33,20.0,55.1,3.2,1,0,0,0,0,1,3.0,142,4.7,61.5,13,15,10.4,3.32,0,1,5.9,46.7,7,11,12.5,20,39.2,1,3,,,,67.4,55.7,72.7,61.6,,48.9,,0,0,22,18.2,85.1,10.0,2,3,0,2,1,1,4.5,79,5.3
Kyle Vantrease,55029,QB,BUFFALO,1,2.26,2.17,,7.1,51,126,64.9,37,40,6.8,1.93,1,0,0.0,57.5,23,10,4.2,40,78.4,1,9,,,,69.1,63.7,74.9,63.3,,,,2,1,42,0.0,58.3,0.0,0,0,0,0,0,1,2.4,180,4.5,66.7,6,10,12.2,3.5,0,0,0.0,40.0,4,6,0.0,11,21.6,0,2,,,,65.6,59.3,70.4,62.2,,57.3,,2,0,11,0.0,53.8,0.0,0,1,0,2,0,0,0.0,44,4.4
Jake Bentley,40788,QB,S ALABAMA,1,2.64,2.53,3.1,4.75,50,288,80.0,25,25,4.4,1.9,0,1,4.0,72.0,18,9,10.0,25,50.0,2,5,,,,67.7,72.0,73.1,71.5,,,,0,0,25,0.0,85.4,0.0,0,0,0,0,0,0,0.0,140,5.6,73.7,19,21,9.5,3.38,0,0,0.0,52.4,11,13,21.4,25,50.0,3,7,,,,67.9,47.0,73.4,49.6,,52.8,,0,1,27,15.4,49.1,8.0,2,2,0,2,0,2,7.4,117,5.6
Tony Muskett,142933,QB,MONMOUTH,1,2.63,2.4,3.0,4.58,50,231,87.0,23,25,3.1,1.79,2,1,3.8,80.0,20,3,0.0,25,50.0,0,7,,,,67.8,66.9,73.3,66.5,,,,0,0,26,0.0,89.7,0.0,0,0,0,0,0,0,0.0,138,5.5,55.6,18,19,15.4,3.46,0,1,4.8,52.6,10,8,0.0,25,50.0,0,8,,,,67.9,55.5,73.4,50.3,,67.3,,0,1,27,12.5,71.2,4.0,1,5,0,1,1,2,7.4,135,7.1
Will Rogers,124184,QB,MISS STATE,1,2.71,2.66,5.3,,50,227,84.6,26,27,5.7,1.69,0,1,3.4,77.8,21,3,4.5,27,54.0,1,11,,,,68.1,91.3,73.6,91.0,,,,0,0,29,0.0,107.3,0.0,0,0,0,1,1,0,0.0,183,6.8,68.4,19,22,5.7,3.92,0,0,0.0,54.5,12,7,7.7,23,46.0,1,4,,,,67.5,49.5,72.8,49.4,,,,1,0,23,14.3,83.7,4.3,1,0,0,2,1,0,0.0,111,5.0
Blaise Bentsen,102365,QB,HOU BAPT,1,3.05,2.67,3.6,4.9,50,183,43.8,16,16,3.3,1.58,0,0,0.0,43.8,7,4,0.0,17,34.0,0,1,,,,66.7,41.6,71.8,41.6,,,,0,1,17,25.0,25.0,5.9,1,0,0,0,0,1,5.9,33,2.1,73.7,19,22,12.6,3.81,0,2,9.1,54.5,12,19,14.3,33,66.0,2,10,,,,68.5,92.0,74.1,89.9,,79.3,,0,1,33,26.3,76.9,15.2,5,6,0,3,1,2,6.1,175,8.0
