player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jaden Craig,159342,QB,HARVARD,1,2.84,2.71,2.15,4.46,59,179,74.1,27,27,7.4,1.77,0,2,7.4,66.7,18,5,10.0,29,49.2,2,7,,,,68.1,76.5,73.6,,75.8,,,,,0,0,29,40.0,107.9,6.9,2,0,0,0,2,0,0.0,166,6.1,50.0,24,25,15.2,3.87,0,4,14.3,44.0,11,10,8.3,30,50.8,1,9,,,,68.5,69.6,74.1,,66.8,,66.6,,,0,0,33,0.0,77.9,0.0,0,5,0,1,1,1,3.0,155,6.2
Caden Veltkamp,156642,QB,FAU,1,2.49,2.43,4.3,6.8,58,165,88.2,34,34,4.4,1.63,0,0,0.0,85.3,29,3,3.3,34,58.6,1,17,,,,68.7,81.5,74.4,,80.6,,,,,0,0,36,0.0,117.5,0.0,0,0,0,0,1,1,2.8,335,9.9,72.2,18,21,8.1,3.88,0,2,9.5,61.9,13,11,0.0,23,39.7,0,8,,,,67.5,71.9,72.8,,64.9,,70.0,,,0,1,23,9.1,81.3,4.3,1,1,0,3,1,2,8.7,159,7.6
Ta'Quan Roberson,101625,QB,BUFFALO,1,2.53,2.44,2.47,4.13,58,126,71.4,28,28,12.0,1.9,0,3,10.3,64.3,18,8,10.0,31,53.4,2,11,,,,18.6,60.4,74.0,,60.1,,,,,0,2,32,37.5,80.8,9.7,3,0,0,0,2,4,12.5,209,7.5,57.1,14,21,13.4,3.27,2,1,4.8,28.6,6,17,25.0,27,46.6,2,6,,,,26.7,55.5,73.4,,51.7,,65.7,,,1,0,27,17.6,45.7,11.1,3,3,0,4,0,1,3.7,94,4.5
Jaron-Keawe Sagapolutele,198237,QB,CAL,1,2.69,2.53,3.22,5.3,58,130,88.5,26,26,5.8,1.77,0,1,3.8,84.6,22,5,4.3,26,44.8,1,8,,,,67.8,91.3,73.3,,91.0,,,,,0,0,26,0.0,92.3,0.0,0,0,0,0,0,0,0.0,160,6.2,54.5,22,23,10.2,3.54,0,1,4.3,47.8,11,17,8.3,31,53.4,1,5,,,,68.3,58.4,73.9,,58.7,,58.5,,,0,0,31,29.4,61.7,16.1,5,3,0,1,0,2,6.5,109,4.7
Quinn Boyd,191683,QB,STNY BROOK,1,2.47,2.13,4.03,4.1,57,303,90.0,30,33,4.5,1.72,2,0,0.0,78.8,26,8,3.7,34,59.6,1,12,,,,68.9,57.0,74.7,,56.7,,,,,0,0,39,12.5,111.0,2.9,1,0,0,1,2,0,0.0,191,5.8,53.8,13,14,13.8,3.58,0,1,7.1,50.0,7,13,0.0,23,40.4,0,8,,,,25.6,52.5,73.0,,57.0,,53.5,,,0,0,24,15.4,75.6,8.7,2,7,0,1,0,1,4.2,107,7.6
Cole Pennington,156787,QB,GARD-WEBB,1,3.02,2.85,3.33,5.0,54,171,93.3,15,16,2.6,1.95,1,0,0.0,87.5,14,3,0.0,17,31.5,0,7,,,,67.1,72.2,72.4,,71.7,,,,,0,0,20,33.3,102.1,5.9,1,0,0,0,0,0,0.0,136,8.5,57.1,28,29,16.3,3.51,0,2,6.1,51.7,15,12,6.3,37,68.5,1,10,,,,31.8,58.5,74.9,,61.9,,49.1,,,0,1,41,41.7,86.7,13.5,5,3,0,1,2,3,7.3,229,7.9
Braylon Braxton,144442,QB,SO MISS,1,2.72,2.7,3.25,,53,296,79.2,24,25,5.4,2.03,1,0,0.0,68.0,17,1,10.5,25,47.2,2,8,,,,67.8,74.8,73.3,,74.2,,,,,0,1,26,0.0,80.3,0.0,0,0,0,0,1,0,0.0,149,6.0,78.9,19,25,14.9,3.46,1,2,6.9,52.0,13,13,13.3,27,50.9,2,8,,,,68.3,80.4,73.9,,79.6,,,,,0,0,31,15.4,114.1,7.4,2,0,0,5,2,0,0.0,252,10.1
Victor Gabalis,131932,QB,TARLETON,1,2.71,2.48,3.2,5.43,51,401,80.0,20,20,12.1,1.82,0,3,15.0,65.0,13,1,18.8,20,39.2,3,7,,,,23.9,91.6,72.4,,91.3,,,,,0,0,20,0.0,124.0,0.0,0,0,0,0,2,1,5.0,165,8.3,47.8,23,24,19.6,3.29,0,3,11.1,41.7,10,7,9.1,31,60.8,1,7,,,,68.5,62.1,74.2,,62.9,,57.2,,,0,0,34,57.1,76.0,12.9,4,3,0,1,1,0,0.0,146,6.1
Joe Fagnano,104768,QB,UCONN,1,2.3,2.13,3.4,4.55,51,146,89.7,29,30,2.6,1.79,1,0,0.0,80.0,24,3,7.7,30,58.8,2,12,,,,68.3,71.9,73.9,,71.3,,,,,0,0,31,0.0,116.0,0.0,0,0,0,0,1,0,0.0,275,9.2,60.0,15,16,14.4,3.04,0,1,5.9,56.3,9,9,0.0,21,41.2,0,9,,,,22.2,62.8,72.7,,65.9,,53.5,,,0,0,22,33.3,133.1,14.3,3,2,0,1,2,1,4.5,171,10.7
Darius Curry,191052,QB,COLO STATE,1,2.54,2.38,4.6,4.23,50,144,70.0,30,31,3.9,1.86,0,0,0.0,61.3,19,7,9.5,31,62.0,2,7,,,,68.5,43.2,74.1,,43.2,,,,,0,2,33,0.0,71.4,0.0,0,0,0,1,2,2,6.1,176,5.7,66.7,12,15,14.0,3.63,0,2,11.1,46.7,7,9,12.5,19,38.0,1,4,,,,67.6,52.0,73.0,,56.3,,51.0,,,0,1,24,11.1,45.7,5.3,1,3,0,3,0,2,8.3,117,7.8
