player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
E.J. Perry,60349,QB,BROWN,1,2.49,2.4,,4.1,41,123,69.2,26,26,7.1,1.98,0,0,0.0,65.4,17,1,5.6,26,63.4,1,12,,,,67.8,71.4,73.3,,70.8,,,,,,0,0,26,0.0,105.6,0.0,0,0,0,0,1,1,3.8,226,8.7,76.9,13,13,10.1,3.35,0,1,6.7,76.9,10,5,0.0,15,36.6,0,5,,,,66.7,71.8,71.8,,71.0,,,62.1,,,0,1,17,0.0,100.2,0.0,0,2,0,0,1,1,5.9,126,9.7
Gunnar Watson,83570,QB,TROY,1,2.41,2.38,2.66,,41,318,90.9,22,22,1.0,1.89,0,0,0.0,81.8,18,2,10.0,23,56.1,2,7,,,,22.6,49.0,72.8,,48.9,,,,,,0,0,23,50.0,126.1,4.3,1,0,0,0,2,1,4.3,154,7.0,70.0,10,14,13.8,3.08,0,2,13.3,42.9,6,12,14.3,18,43.9,1,4,,,,67.0,75.7,72.2,,75.1,,,,,,2,0,19,33.3,72.3,22.2,4,0,0,2,0,0,0.0,116,8.3
Theo Day,83515,QB,N IOWA,1,3.26,3.01,3.08,5.02,41,255,42.9,7,7,7.1,2.19,0,0,0.0,28.6,2,7,33.3,10,24.4,1,2,,,,65.6,45.4,70.7,,41.3,,,63.1,,,0,0,12,28.6,39.6,20.0,2,1,0,0,0,1,8.3,14,2.0,57.1,21,24,19.8,3.61,1,3,12.0,41.7,10,17,16.7,31,75.6,2,9,,,,18.9,78.7,74.1,,81.0,,,58.7,,,1,0,33,17.6,92.9,9.7,3,4,0,1,1,2,6.1,243,10.1
Sam Howell,97599,QB,N CAROLINA,1,2.97,2.55,4.3,4.7,40,245,81.3,16,16,6.0,1.94,0,0,0.0,68.8,11,1,15.4,16,40.0,2,6,,,,66.7,65.3,71.8,,64.9,,,,,,0,1,17,0.0,59.1,0.0,0,0,0,0,0,1,5.9,99,6.2,50.0,14,16,23.5,3.66,0,2,11.8,37.5,6,13,14.3,24,60.0,1,6,,,,67.9,88.0,73.4,,73.7,,,83.0,,,0,0,27,7.7,100.0,4.2,1,7,0,2,2,0,0.0,104,6.5
Mikey Keene,70961,QB,UCF,1,2.75,2.47,3.6,5.4,40,323,84.2,19,19,3.8,1.68,0,0,0.0,84.2,16,1,0.0,19,47.5,0,3,,,,67.0,61.9,72.2,,61.6,,,,,,0,0,19,0.0,85.7,0.0,0,0,0,0,0,0,0.0,87,4.6,71.4,14,16,13.6,3.72,0,2,12.5,43.8,7,8,30.0,21,52.5,3,5,,,,67.2,62.5,72.5,,69.8,,,47.8,,,0,1,21,25.0,40.4,9.5,2,3,0,2,0,1,4.8,107,6.7
Davis Cheek,55146,QB,ELON,1,2.74,2.55,5.0,5.05,40,162,85.7,21,21,5.5,1.84,0,1,4.8,85.7,18,4,0.0,21,52.5,0,9,,,,67.2,83.1,72.5,,82.4,,,,,,0,0,21,0.0,131.3,0.0,0,0,0,0,2,1,4.8,166,7.9,86.7,15,16,10.9,3.73,0,1,5.9,68.8,11,13,15.4,19,47.5,2,9,,,,67.1,87.1,72.4,,90.5,,,53.1,,,0,0,20,7.7,122.7,5.3,1,2,0,1,1,0,0.0,163,10.2
Garrett Shrader,98212,QB,SYRACUSE,1,3.34,2.69,3.86,5.2,40,304,100.0,11,11,4.9,1.9,0,0,0.0,90.9,10,4,9.1,12,30.0,1,5,,,,65.8,72.2,70.7,,71.8,,,,,,0,0,12,25.0,99.2,8.3,1,0,0,0,0,0,0.0,86,7.8,42.9,14,16,17.9,3.95,0,0,0.0,31.3,5,14,16.7,28,70.0,1,8,,,,68.2,57.9,73.7,,44.8,,,75.0,,,0,0,30,28.6,87.0,14.3,4,8,0,2,2,1,3.3,74,4.6
Clayton Tune,77652,QB,HOUSTON,1,2.57,2.64,2.7,,39,182,55.6,18,18,9.7,2.0,0,0,0.0,55.6,10,2,0.0,18,46.2,0,5,,,,67.0,39.6,72.2,,39.8,,,,,,0,0,19,0.0,69.9,0.0,0,0,0,0,0,1,5.3,93,5.2,87.5,16,18,9.3,3.22,0,2,10.5,72.2,13,16,7.1,20,51.3,1,9,,,,67.2,93.3,72.5,,93.0,,,,,,0,0,21,12.5,147.0,10.0,2,0,0,2,3,0,0.0,195,10.8
Matt McDonald,60350,QB,BOWL GREEN,1,2.85,2.61,4.3,5.1,39,122,88.9,18,18,9.5,1.93,0,4,22.2,72.2,13,1,18.8,19,48.7,3,5,,,,67.0,93.0,72.2,,92.6,,,,,,0,1,19,100.0,98.1,5.3,1,0,0,0,1,0,0.0,175,9.7,62.5,16,16,11.0,3.72,0,0,0.0,50.0,8,10,20.0,20,51.3,2,7,,,,24.2,45.0,72.4,,41.6,,,64.3,,,0,2,20,30.0,46.4,15.0,3,1,0,0,1,3,15.0,82,5.1
Casey Thompson,77677,QB,TEXAS,1,2.71,2.5,4.4,4.9,39,311,76.5,17,19,8.1,1.9,0,1,5.0,63.2,12,5,7.7,20,51.3,1,7,,,,67.2,81.5,72.5,,80.7,,,,,,1,0,21,20.0,135.1,5.0,1,0,0,1,3,0,0.0,186,9.8,61.5,13,16,20.2,3.56,0,3,18.8,50.0,8,9,0.0,19,48.7,0,7,,,,67.0,80.6,72.2,,82.5,,,57.3,,,1,0,19,22.2,135.4,10.5,2,1,0,2,2,0,0.0,202,12.6
