player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Grant Sergent,108937,QB,SAN DIEGO,1,3.01,2.77,3.7,5.7,45,283,77.8,18,18,10.6,2.07,0,1,5.0,77.8,14,2,0.0,18,40.0,0,7,,,,,67.1,77.6,72.4,76.9,,,,0,0,20,0.0,126.4,0.0,0,0,0,0,1,0,0.0,178,9.9,57.1,21,22,12.4,3.63,0,2,8.0,50.0,11,11,8.3,27,60.0,1,6,,,,,68.2,64.3,73.7,61.2,,66.6,,0,1,30,18.2,61.6,7.4,2,3,0,1,1,1,3.3,114,5.2
Tyler Shough,83537,QB,LOUISVILLE,1,3.09,2.92,4.67,5.3,45,210,82.4,17,17,6.5,2.02,0,1,5.9,70.6,12,2,14.3,17,37.8,2,6,,,,,66.7,83.5,71.8,82.7,,,,0,0,17,0.0,111.9,0.0,0,0,0,0,1,0,0.0,128,7.5,61.9,21,24,14.2,3.74,0,0,0.0,50.0,12,17,7.7,28,62.2,1,7,,,,,68.1,68.7,73.6,66.6,,63.7,,2,1,29,17.6,77.8,10.7,3,1,0,1,2,0,0.0,136,5.7
Ben Finley,122864,QB,AKRON,1,2.75,2.47,3.5,5.23,45,102,73.9,23,23,5.0,1.93,0,0,0.0,73.9,17,2,0.0,23,51.1,0,10,,,,,67.6,72.6,73.0,72.1,,,,0,0,24,0.0,106.6,0.0,0,0,0,0,1,0,0.0,157,6.8,60.0,15,15,7.6,3.6,0,0,0.0,53.3,8,15,11.1,22,48.9,1,1,,,,,67.6,37.6,73.0,41.0,,50.3,,0,2,24,26.7,19.4,18.2,4,3,0,0,0,1,4.2,39,2.6
JC French IV,162521,QB,GA SOUTHRN,1,2.75,2.52,3.67,4.83,45,174,72.0,25,26,6.7,1.97,1,0,0.0,69.2,18,4,0.0,27,60.0,0,10,,,,,24.5,71.9,73.5,71.3,,,,0,0,28,25.0,99.0,3.7,1,0,0,0,1,1,3.6,165,6.3,66.7,9,13,14.6,3.91,0,0,0.0,46.2,6,7,0.0,18,40.0,0,5,,,,,22.9,52.6,72.0,52.2,,58.9,,0,0,18,28.6,63.6,11.1,2,3,0,4,0,1,5.6,72,5.5
Taylen Green,145996,QB,ARKANSAS,1,3.21,3.12,3.43,6.3,45,111,83.3,18,19,3.6,1.84,0,0,0.0,73.7,14,2,6.7,19,42.2,1,7,,,,,67.1,67.7,72.4,67.3,,,,1,0,20,0.0,90.0,0.0,0,0,0,0,0,0,0.0,121,6.4,62.5,16,22,11.5,4.21,0,1,4.0,40.9,9,17,10.0,26,57.8,1,5,,,,,27.0,42.1,73.6,39.4,,64.2,,1,1,29,17.6,62.3,11.5,3,1,0,5,1,4,13.8,158,7.2
Payton Thorne,101629,QB,AUBURN,1,2.6,2.09,3.18,4.51,44,115,68.2,22,24,7.1,1.8,2,0,0.0,62.5,15,5,0.0,26,59.1,0,10,,,,,67.7,57.5,73.3,57.3,,,,0,1,26,40.0,74.0,7.7,2,0,0,0,1,1,3.8,134,5.6,87.5,8,8,23.9,3.76,0,1,12.5,75.0,6,10,14.3,18,40.9,1,9,,,,,66.8,78.8,72.0,84.6,,60.1,,0,0,18,30.0,156.3,16.7,3,7,0,0,2,0,0.0,204,25.5
Hunter Simmons,148254,QB,S ILLINOIS,1,2.66,2.58,3.25,4.8,44,295,72.2,18,18,8.2,2.01,0,1,5.3,72.2,13,4,0.0,18,40.9,0,6,,,,,67.0,70.8,72.2,70.3,,,,0,0,19,0.0,133.8,0.0,0,0,0,0,2,0,0.0,149,8.3,50.0,22,23,15.5,3.11,1,2,8.7,43.5,10,10,9.1,26,59.1,1,6,,,,,67.8,70.5,73.3,71.8,,57.3,,0,0,26,20.0,66.8,7.7,2,1,0,0,0,0,0.0,157,6.8
Dillon Gabriel,86272,QB,OREGON,1,2.65,2.43,,5.6,44,264,100.0,20,21,-0.1,1.73,1,1,4.5,85.7,18,2,10.0,21,47.7,2,6,,,,,67.4,73.2,72.7,72.7,,,,0,0,22,0.0,85.9,0.0,0,0,0,0,0,0,0.0,97,4.6,70.0,20,20,11.0,3.49,0,1,5.0,65.0,13,6,7.1,23,52.3,1,10,,,,,67.5,69.7,72.8,70.8,,58.6,,0,1,23,0.0,112.7,0.0,0,3,0,0,3,1,4.3,181,9.1
Caden Veltkamp,156642,QB,W KENTUCKY,1,2.47,2.35,2.87,4.15,44,346,81.8,22,23,4.5,1.82,1,0,0.0,65.2,15,4,16.7,23,52.3,3,5,,,,,67.6,67.5,73.0,67.0,,,,0,1,24,0.0,73.1,0.0,0,0,0,0,1,0,0.0,112,4.9,73.3,15,16,8.3,3.18,0,0,0.0,62.5,10,7,9.1,21,47.7,1,8,,,,,67.5,57.9,73.0,52.8,,69.3,,0,1,24,42.9,80.2,14.3,3,2,0,1,1,1,4.2,120,7.5
Isaac Wilson,183872,QB,UTAH,1,2.85,2.65,4.3,6.4,44,328,47.4,19,19,9.6,1.97,0,1,5.3,47.4,9,3,0.0,19,43.2,0,3,,,,,67.0,59.3,72.2,59.1,,,,0,0,19,0.0,60.0,0.0,0,0,0,0,0,0,0.0,84,4.4,55.0,20,21,18.3,3.51,0,1,4.5,52.4,11,11,0.0,25,56.8,0,10,,,,,67.8,54.6,73.3,55.9,,57.0,,0,2,26,27.3,60.9,12.0,3,1,0,1,1,3,11.5,196,9.3
