player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Garrett Nussmeier,146757,QB,LSU,1,2.46,2.46,,,39,211,90.5,21,21,3.5,1.67,0,0,0.0,85.7,18,0,5.3,21,53.8,1,11,,,,,67.2,83.1,72.5,82.4,,,,0,0,21,,133.7,0.0,0,0,0,0,1,0,0.0,258,12.3,52.9,17,18,17.3,3.38,0,2,10.5,44.4,8,4,11.1,18,46.2,1,8,,,,,67.0,65.0,72.2,64.7,,,,0,2,19,0.0,53.0,0.0,0,0,0,1,1,2,10.5,151,8.4
Josh Hoover,127148,QB,TCU,1,2.26,2.25,2.5,2.3,39,305,76.9,26,26,5.0,1.76,0,0,0.0,76.9,20,5,0.0,27,69.2,0,10,,,,,67.9,66.4,73.4,67.4,,57.8,,0,1,27,0.0,107.7,0.0,0,1,0,0,2,1,3.7,199,7.7,80.0,10,11,11.8,3.38,0,0,0.0,72.7,8,5,0.0,12,30.8,0,6,,,,,65.8,72.8,70.7,72.3,,,,1,1,12,20.0,107.2,8.3,1,0,0,0,1,1,8.3,157,14.3
Anthony Chiccitt,141376,QB,ROB MORRIS,1,2.48,2.31,4.0,3.93,39,277,61.9,21,22,6.1,1.91,1,1,4.3,59.1,13,7,0.0,22,56.4,0,4,,,,,67.5,62.9,72.8,62.6,,,,0,0,23,0.0,69.7,0.0,0,0,0,0,0,0,0.0,97,4.4,50.0,10,13,6.7,3.21,1,0,0.0,30.8,4,10,20.0,17,43.6,1,5,,,,,66.8,59.4,72.0,49.3,,71.1,,1,1,18,10.0,10.1,5.9,1,3,0,1,0,0,0.0,45,3.5
Connor Bazelak,99135,QB,BOWL GREEN,1,3.43,3.14,8.2,4.3,39,122,100.0,11,11,1.3,1.87,0,0,0.0,100.0,11,0,0.0,11,28.2,0,1,,,,,65.4,73.4,70.4,73.0,,,,0,0,11,,82.2,0.0,0,0,0,0,0,0,0.0,41,3.7,73.9,23,25,15.4,4.04,1,3,10.3,64.0,16,10,5.9,28,71.8,1,12,,,,,28.6,65.4,74.1,63.0,,64.2,,0,1,33,20.0,110.8,7.1,2,1,0,1,2,3,9.1,272,10.9
Chandler Morris,122938,QB,N TEXAS,1,2.45,2.32,3.0,4.25,39,251,76.2,21,21,1.7,1.7,0,0,0.0,61.9,13,2,18.8,21,53.8,3,9,,,,,67.4,57.6,72.7,57.3,,,,0,0,22,0.0,143.8,0.0,0,0,0,0,3,0,0.0,255,12.1,71.4,14,14,16.5,3.33,0,2,11.8,71.4,10,11,0.0,18,46.2,0,9,,,,,67.2,90.7,72.5,90.7,,61.7,,0,0,21,18.2,153.3,11.1,2,2,0,0,2,0,0.0,188,13.4
Miles Hastings,103943,QB,UC DAVIS,1,2.64,2.56,2.63,5.4,38,322,100.0,15,18,1.7,1.74,2,0,0.0,83.3,15,0,0.0,18,47.4,0,8,,,,,66.8,75.7,72.0,75.1,,,,0,0,18,,126.9,0.0,0,0,0,1,2,0,0.0,100,5.6,84.6,13,16,10.6,3.45,0,0,0.0,68.8,11,6,0.0,20,52.6,0,8,,,,,67.1,74.2,72.4,76.2,,57.3,,0,0,20,50.0,121.9,15.0,3,1,0,3,1,0,0.0,160,10.0
Justin Fomby,103928,QB,NC A&T,1,2.6,2.42,3.8,3.8,38,246,66.7,18,18,8.7,1.94,0,0,0.0,61.1,11,7,8.3,18,47.4,1,5,,,,,67.1,66.5,72.4,66.1,,,,0,0,20,0.0,86.3,0.0,0,0,0,0,1,0,0.0,64,3.6,57.1,14,15,21.9,3.19,0,4,25.0,53.3,8,13,0.0,20,52.6,0,7,,,,,24.7,68.4,72.5,69.6,,57.8,,1,1,21,30.8,103.6,20.0,4,1,0,0,2,2,9.5,163,10.9
Ethan Hampton,145858,QB,N ILLINOIS,1,2.99,2.66,3.22,5.1,38,254,58.3,12,12,7.7,2.11,0,0,0.0,58.3,7,4,0.0,14,36.8,0,4,,,,,66.2,63.0,71.4,62.7,,,,0,0,15,50.0,68.4,14.3,2,0,0,0,0,2,13.3,51,4.3,53.3,15,17,18.9,3.5,0,1,5.9,41.2,7,15,12.5,24,63.2,1,5,,,,,25.2,62.0,73.0,59.5,,63.7,,0,2,24,20.0,42.9,12.5,3,4,0,2,1,3,12.5,108,6.4
Jalen Milroe,146590,QB,ALABAMA,1,2.64,2.38,,4.34,38,103,100.0,17,17,5.3,1.91,0,0,0.0,100.0,17,3,0.0,17,44.7,0,8,,,,,67.0,80.1,72.2,79.4,,,,0,0,19,0.0,157.6,0.0,0,0,0,0,2,0,0.0,211,12.4,75.0,16,16,11.7,3.23,0,0,0.0,62.5,10,9,16.7,21,55.3,2,8,,,,,67.4,88.4,72.7,88.8,,65.0,,0,1,22,0.0,70.6,0.0,0,5,0,0,0,0,0.0,163,10.2
Beau Brungard,164897,QB,YNGTOWN ST,1,3.14,2.73,3.0,6.53,37,353,80.0,15,15,3.7,1.89,0,0,0.0,80.0,12,0,0.0,15,40.5,0,8,,,,,66.4,80.4,71.4,79.7,,,,0,0,15,,92.2,0.0,0,0,0,0,0,0,0.0,92,6.1,42.9,14,17,11.1,4.0,0,0,0.0,35.3,6,13,0.0,22,59.5,0,6,,,,,67.4,56.7,72.7,55.6,,60.6,,0,1,22,7.7,28.6,4.5,1,4,0,3,0,1,4.5,88,5.2
T.J. Smith,156533,QB,N ALABAMA,1,2.87,2.4,3.0,6.13,37,389,83.3,18,18,5.0,1.8,0,1,5.0,77.8,14,4,6.7,18,48.6,1,7,,,,,67.1,81.0,72.4,80.3,,,,0,0,20,0.0,127.1,0.0,0,0,0,0,2,0,0.0,101,5.6,40.0,10,11,17.3,3.88,0,2,16.7,36.4,4,11,0.0,19,51.4,0,4,,,,,67.1,57.8,72.4,60.0,,56.2,,0,0,20,36.4,63.8,21.1,4,4,0,1,0,0,0.0,83,7.5
Jalon Daniels,122555,QB,KANSAS,1,3.35,3.25,,5.25,37,198,87.5,8,9,8.8,1.94,1,1,9.1,66.7,6,0,14.3,9,24.3,1,2,,,,,65.6,83.6,70.4,82.8,,,,0,0,11,,85.9,0.0,0,0,0,0,0,0,0.0,61,6.8,45.8,24,26,16.1,3.81,0,2,7.7,34.6,9,9,18.2,28,75.7,2,5,,,,,68.2,56.9,73.7,53.7,,66.4,,1,1,30,0.0,46.6,0.0,0,2,0,1,1,1,3.3,118,4.5
Maalik Murphy,157302,QB,DUKE,1,2.35,2.31,3.0,,37,154,44.4,18,18,8.9,1.83,0,1,5.3,44.4,8,2,0.0,18,48.6,0,3,,,,,67.0,52.1,72.2,52.0,,,,0,0,19,0.0,59.3,0.0,0,0,0,0,0,0,0.0,87,4.8,43.8,16,17,15.3,2.84,0,1,5.6,41.2,7,6,0.0,19,51.4,0,5,,,,,67.1,61.0,72.4,60.7,,,,0,0,20,33.3,85.9,10.5,2,0,0,1,1,0,0.0,122,7.2
Drew VanVleet,177653,QB,DAYTON,1,2.55,2.52,3.1,,37,150,70.6,17,17,5.2,1.61,0,0,0.0,64.7,11,0,8.3,17,45.9,1,9,,,,,66.7,68.5,71.8,68.0,,,,0,0,17,,139.0,0.0,0,0,0,0,4,0,0.0,177,10.4,85.7,14,18,11.1,3.36,1,1,5.3,66.7,12,9,0.0,20,54.1,0,8,,,,,67.2,72.5,72.5,71.9,,,,0,1,21,22.2,86.8,10.0,2,0,0,3,1,1,4.8,146,8.1
Will Rogers,124184,QB,WASHINGTON,1,2.43,2.36,,5.0,37,340,81.8,22,23,7.0,1.95,1,1,4.0,73.9,17,3,5.6,23,62.2,1,6,,,,,67.7,77.4,73.1,76.7,,,,0,0,25,0.0,129.1,0.0,0,0,0,0,2,0,0.0,201,8.7,75.0,12,13,11.2,3.22,1,0,0.0,69.2,9,6,0.0,14,37.8,0,4,,,,,66.4,74.6,71.4,71.0,,64.3,,0,0,15,0.0,93.4,0.0,0,1,0,0,0,0,0.0,105,8.1
Cole Snyder,97617,QB,E MICHIGAN,1,2.43,2.06,3.1,5.2,37,160,87.5,24,26,7.4,1.87,1,0,0.0,80.8,21,6,0.0,26,70.3,0,11,,,,,68.0,84.6,73.5,83.7,,,,0,0,28,0.0,109.9,0.0,0,0,0,1,1,0,0.0,190,7.3,80.0,5,6,2.2,3.75,0,0,0.0,66.7,4,6,0.0,11,29.7,0,2,,,,,66.0,48.5,71.0,59.4,,47.9,,0,0,13,16.7,72.2,9.1,1,4,0,1,0,0,0.0,21,3.5
Kyron Drones,144506,QB,VA TECH,1,3.18,2.97,,4.9,37,337,80.0,15,16,2.8,2.02,1,0,0.0,75.0,12,5,0.0,16,43.2,0,5,,,,,66.7,57.3,71.8,57.1,,,,0,0,17,0.0,89.1,0.0,0,0,0,0,0,0,0.0,94,5.9,64.3,14,17,14.6,4.07,0,1,5.6,41.2,7,18,22.2,21,56.8,2,7,,,,,67.4,72.9,72.7,73.3,,61.4,,0,1,22,0.0,74.4,0.0,0,4,0,3,2,0,0.0,95,5.6
Cade Klubnik,156253,QB,CLEMSON,1,2.79,2.69,2.5,5.73,37,140,76.9,13,14,8.1,1.97,0,0,0.0,57.1,8,2,20.0,14,37.8,2,4,,,,,66.5,63.2,71.6,62.9,,,,1,0,16,0.0,105.4,0.0,0,0,0,0,2,0,0.0,54,3.9,50.0,14,17,19.9,3.6,0,1,5.6,41.2,7,10,0.0,21,56.8,0,7,,,,,67.4,66.8,72.7,63.2,,66.9,,0,1,22,10.0,100.4,4.8,1,3,0,3,2,2,9.1,201,11.8
Elijah Owens,171426,QB,INDIANA ST,1,3.46,2.96,4.9,6.55,36,191,86.7,15,15,2.4,1.89,0,0,0.0,86.7,13,2,0.0,15,41.7,0,2,,,,,66.5,53.9,71.6,53.7,,,,0,1,16,0.0,59.7,0.0,0,0,0,0,0,1,6.3,75,5.0,69.2,13,15,7.4,4.59,0,0,0.0,60.0,9,15,0.0,21,58.3,0,7,,,,,67.4,55.8,72.7,53.1,,62.5,,0,0,22,13.3,67.6,9.5,2,4,0,2,0,1,4.5,56,3.7
Maverick McIvor,99476,QB,ABILENE CH,1,2.82,2.74,3.45,4.1,36,100,53.8,13,13,4.0,1.82,0,0,0.0,53.8,7,0,0.0,13,36.1,0,3,,,,,66.2,65.8,71.2,65.5,,,,0,0,14,,109.5,0.0,0,0,0,0,1,0,0.0,115,8.8,75.0,16,20,14.3,3.39,0,1,5.0,55.0,11,8,8.3,23,63.9,1,7,,,,,25.2,72.0,72.8,69.0,,64.3,,0,0,23,25.0,100.2,8.7,2,1,0,4,1,1,4.3,171,8.6
Jaxson Dart,146409,QB,OLE MISS,1,3.29,2.82,3.83,5.44,36,226,100.0,12,12,3.5,1.68,0,0,0.0,83.3,10,1,16.7,12,33.3,2,5,,,,,65.8,76.8,70.7,76.3,,,,0,0,12,0.0,133.7,0.0,0,0,0,0,1,0,0.0,113,9.4,53.3,15,15,19.6,4.1,0,0,0.0,53.3,8,13,0.0,24,66.7,0,5,,,,,67.7,68.8,73.3,66.1,,65.1,,0,0,26,30.8,87.6,16.7,4,5,0,0,0,0,0.0,148,9.9
Dante Chachere,103930,QB,PORTLAND,1,2.91,2.64,,5.14,36,269,66.7,15,15,9.5,2.05,0,1,6.3,66.7,10,1,0.0,15,41.7,0,8,,,,,66.5,49.1,71.6,49.2,,,,0,1,16,0.0,76.2,0.0,0,0,0,0,0,2,12.5,167,11.1,57.1,14,15,16.7,3.71,1,2,13.3,53.3,8,8,0.0,20,55.6,0,9,,,,,67.2,61.4,72.5,59.8,,61.8,,0,1,21,0.0,80.7,0.0,0,5,0,0,1,2,9.5,143,9.5
Cole Freeman,145032,QB,COLUMBIA,1,2.97,2.84,3.2,4.17,35,145,71.4,14,14,8.8,1.99,0,0,0.0,71.4,10,2,0.0,14,40.0,0,6,,,,,66.2,72.3,71.2,71.8,,,,0,1,14,0.0,87.5,0.0,0,0,0,0,1,1,7.1,107,7.6,63.6,11,16,25.9,3.63,0,1,5.9,31.3,5,13,28.6,21,60.0,2,7,,,,,67.4,67.6,72.7,58.3,,75.8,,1,2,22,15.4,39.1,9.5,2,3,0,4,1,2,9.1,114,7.1
Jake Cady,167521,QB,WAGNER,1,2.3,2.13,3.05,3.47,35,338,45.5,22,24,10.2,1.81,1,0,0.0,37.5,9,6,10.0,25,71.4,1,5,,,,,67.9,38.2,73.4,38.5,,,,0,0,27,16.7,59.7,4.0,1,0,0,1,1,1,3.7,59,2.5,75.0,4,6,18.8,3.53,0,1,11.1,33.3,2,8,33.3,10,28.6,1,3,,,,,66.0,78.0,71.0,82.0,,58.9,,1,0,13,12.5,66.7,10.0,1,3,0,1,0,0,0.0,53,8.8
Arch Manning,173162,QB,TEXAS,1,2.8,2.4,7.0,4.8,35,311,83.3,18,19,3.8,1.76,1,1,5.3,78.9,15,2,0.0,19,54.3,0,5,,,,,67.0,71.3,72.2,70.8,,,,0,0,19,0.0,114.3,0.0,0,0,0,0,1,0,0.0,137,7.2,100.0,12,12,16.0,4.04,0,2,16.7,91.7,11,4,8.3,16,45.7,1,9,,,,,66.5,96.2,71.6,94.7,,77.3,,0,0,16,50.0,146.5,12.5,2,2,0,0,1,0,0.0,188,15.7
Grayson James,145214,QB,BOSTON COL,1,2.43,2.3,3.2,5.3,35,121,90.0,20,23,5.2,1.81,1,1,4.3,65.2,15,6,16.7,24,68.6,3,9,,,,,67.6,68.8,73.0,68.4,,,,1,1,24,16.7,61.9,4.2,1,0,0,1,0,1,4.2,130,5.7,57.1,7,9,14.6,3.79,0,1,10.0,44.4,4,6,0.0,11,31.4,0,3,,,,,65.8,64.4,70.7,67.2,,57.0,,0,0,12,16.7,93.8,9.1,1,1,0,2,1,0,0.0,38,4.2
Brock Vandagriff,146713,QB,KENTUCKY,1,3.0,2.7,3.36,6.35,35,202,69.2,13,14,6.7,1.89,1,1,5.9,57.1,8,1,11.1,14,40.0,1,3,,,,,66.7,73.4,71.8,72.8,,,,0,0,17,0.0,87.8,0.0,0,0,0,0,0,0,0.0,128,9.1,83.3,12,14,8.3,3.75,0,0,0.0,71.4,10,10,0.0,21,60.0,0,7,,,,,67.2,81.2,72.5,81.2,,61.6,,0,0,21,50.0,119.6,23.8,5,2,0,2,1,0,0.0,115,8.2
Luke Altmyer,146802,QB,ILLINOIS,1,2.96,2.56,3.78,4.8,35,187,78.6,14,15,5.5,1.88,0,0,0.0,73.3,11,6,0.0,18,51.4,0,7,,,,,67.2,52.0,72.5,52.0,,,,0,1,21,50.0,93.2,16.7,3,0,0,1,1,1,4.8,128,8.5,45.5,11,11,12.1,4.11,0,0,0.0,45.5,5,13,0.0,17,48.6,0,4,,,,,22.9,26.1,72.0,25.3,,59.0,,0,0,18,23.1,61.6,17.6,3,3,0,0,0,3,16.7,57,5.2
Jacob Clark,101628,QB,MO STATE,1,2.75,2.58,3.8,3.6,34,230,83.3,12,12,5.2,1.92,0,0,0.0,83.3,10,2,0.0,12,35.3,0,6,,,,,65.8,76.2,70.7,75.7,,,,0,0,12,0.0,149.7,0.0,0,0,0,0,3,0,0.0,125,10.4,82.4,17,17,13.1,3.2,0,0,0.0,64.7,11,7,21.4,22,64.7,3,8,,,,,67.8,76.5,73.3,66.2,,81.7,,0,0,26,42.9,105.0,13.6,3,2,0,0,0,1,3.8,200,11.8
Jake Retzlaff,70874,QB,BYU,1,2.52,2.33,,4.43,34,128,80.0,20,20,5.1,1.68,0,0,0.0,60.0,12,2,25.0,20,58.8,4,10,,,,,67.1,66.2,72.4,65.8,,,,0,1,20,0.0,74.2,0.0,0,0,0,0,1,0,0.0,126,6.3,66.7,9,11,18.2,3.72,0,2,18.2,54.5,6,7,0.0,14,41.2,0,5,,,,,66.2,79.2,71.2,75.3,,67.5,,0,1,14,0.0,84.1,0.0,0,3,0,2,2,1,7.1,92,8.4
Johnathan Bennett,104158,QB,CITADEL,1,2.65,2.53,3.83,,34,139,64.7,17,17,3.0,1.71,0,0,0.0,52.9,9,2,18.2,17,50.0,2,2,,,,,66.7,35.5,71.8,35.6,,,,0,1,17,0.0,34.2,0.0,0,0,0,0,0,1,5.9,46,2.7,63.6,11,14,12.4,3.58,1,2,14.3,50.0,7,10,0.0,17,50.0,0,5,,,,,22.4,64.3,71.8,63.9,,,,0,0,17,30.0,112.5,17.6,3,0,0,2,1,1,5.9,151,10.8
Chase Artopoeus,100577,QB,CHATTNOOGA,1,2.41,2.29,,4.35,34,137,94.7,19,19,4.7,1.84,0,0,0.0,89.5,17,1,5.6,19,55.9,1,13,,,,,67.0,89.6,72.2,88.7,,,,0,0,19,0.0,153.8,0.0,0,0,0,0,2,0,0.0,290,15.3,53.8,13,13,15.8,3.14,0,2,15.4,53.8,7,4,0.0,15,44.1,0,6,,,,,66.4,76.2,71.4,75.7,,62.0,,0,1,15,0.0,88.5,0.0,0,2,0,0,2,0,0.0,106,8.2
Jordon Davis,182683,QB,TEXAS STHN,1,3.02,2.81,3.03,4.7,34,313,86.7,15,17,4.2,1.81,1,1,5.9,64.7,11,4,15.4,17,50.0,2,8,,,,,66.5,59.4,71.8,59.1,,,,1,0,17,0.0,94.5,0.0,0,0,0,0,1,1,5.9,77,4.5,40.0,5,8,15.8,4.5,0,0,0.0,25.0,2,14,0.0,16,47.1,0,4,,,,,66.8,59.4,72.0,55.3,,62.8,,0,1,18,21.4,0.0,18.8,3,5,0,3,0,0,0.0,17,2.1
Stone Earle,123504,QB,MARSHALL,1,2.54,2.45,3.15,3.78,34,214,73.3,15,15,7.4,1.87,0,0,0.0,66.7,10,2,9.1,16,47.1,1,5,,,,,22.2,61.4,71.6,61.1,,,,0,0,16,50.0,132.8,6.3,1,0,0,0,3,1,6.3,128,8.5,50.0,10,10,10.8,3.53,0,0,0.0,50.0,5,5,0.0,16,47.1,0,6,,,,,66.5,52.6,71.6,44.7,,65.9,,0,0,16,20.0,64.2,6.3,1,5,0,0,0,0,0.0,49,4.9
Davis Bryson,160369,QB,KENNESAW,1,2.27,2.27,,,34,200,62.5,24,25,5.0,1.82,0,0,0.0,56.0,14,2,6.7,25,73.5,1,4,,,,,67.7,27.3,73.1,27.6,,,,0,2,25,0.0,31.1,0.0,0,0,0,1,0,3,12.0,94,3.8,50.0,8,9,8.1,3.54,0,0,0.0,22.2,2,3,50.0,9,26.5,2,1,,,,,65.1,55.2,69.8,55.2,,,,0,0,9,0.0,39.6,0.0,0,0,0,1,0,0,0.0,23,2.6
Kobe Tracy,141317,QB,IDAHO ST,1,2.26,2.22,,3.4,34,186,47.6,21,23,8.7,1.86,1,0,0.0,43.5,10,6,0.0,23,67.6,0,5,,,,,67.7,57.8,73.1,57.6,,,,0,0,25,0.0,68.0,0.0,0,0,0,1,1,0,0.0,84,3.7,70.0,10,10,13.6,3.08,0,1,10.0,70.0,7,4,0.0,11,32.4,0,5,,,,,65.6,68.3,70.4,71.4,,57.3,,0,0,11,0.0,135.0,0.0,0,1,0,0,1,0,0.0,99,9.9
Joe Pesansky,149434,QB,HOLY CROSS,1,2.82,2.6,2.95,4.57,34,181,64.7,17,17,9.9,2.01,0,0,0.0,52.9,9,8,18.2,18,52.9,2,1,,,,,66.8,57.4,72.0,57.3,,,,0,0,18,12.5,58.7,5.6,1,0,0,0,0,0,0.0,51,3.0,66.7,9,10,15.4,3.73,0,0,0.0,50.0,5,11,16.7,16,47.1,1,5,,,,,66.7,47.4,71.8,47.0,,58.2,,1,1,17,27.3,85.8,18.8,3,3,0,0,1,2,11.8,116,11.6
Santino Marucci,144197,QB,NEW MEX ST,1,2.62,2.34,4.15,4.3,34,242,57.1,21,22,6.7,1.86,1,0,0.0,50.0,11,2,8.3,22,64.7,1,8,,,,,67.7,55.3,73.1,55.2,,,,0,0,25,0.0,83.0,0.0,0,0,0,0,1,0,0.0,127,5.8,33.3,6,7,26.5,4.02,0,0,0.0,28.6,2,8,0.0,12,35.3,0,5,,,,,66.2,55.3,71.2,43.3,,73.8,,0,0,14,25.0,64.0,16.7,2,3,0,1,0,1,7.1,62,8.9
Avery Johnson,173108,QB,KANSAS ST,1,3.15,2.91,,5.67,34,199,80.0,10,10,3.8,1.75,0,0,0.0,80.0,8,1,0.0,10,29.4,0,5,,,,,65.4,54.4,70.1,54.3,,,,0,0,10,0.0,125.0,0.0,0,0,0,0,1,0,0.0,60,6.0,63.2,19,21,12.7,3.73,0,2,9.1,52.4,11,9,8.3,24,70.6,1,10,,,,,67.7,79.4,73.1,76.8,,66.7,,0,1,25,0.0,97.1,0.0,0,3,0,2,2,1,4.0,199,9.5
Alonza Barnett III,156710,QB,JAMES MAD,1,2.71,2.34,3.8,5.03,34,197,86.7,15,15,4.2,1.74,0,0,0.0,80.0,12,0,7.7,15,44.1,1,9,,,,,66.4,70.5,71.4,70.1,,,,0,0,15,,141.5,0.0,0,0,0,0,3,0,0.0,127,8.5,69.2,13,13,19.1,3.47,0,2,14.3,61.5,8,7,11.1,19,55.9,1,11,,,,,67.0,92.0,72.4,90.3,,75.8,,0,0,20,42.9,142.0,15.8,3,3,0,0,2,0,0.0,153,11.8
Tommy Ulatowski,163150,QB,KENT STATE,1,3.39,3.26,3.6,4.75,34,201,64.3,14,14,14.6,1.81,0,2,11.8,64.3,9,4,0.0,15,44.1,0,6,,,,,66.7,66.3,72.0,65.9,,,,0,1,18,25.0,117.6,6.7,1,0,0,0,2,1,5.6,224,16.0,66.7,9,14,14.1,4.64,0,1,6.7,42.9,6,13,0.0,19,55.9,0,4,,,,,67.1,71.7,72.4,76.6,,52.8,,0,0,20,23.1,97.6,15.8,3,2,0,5,1,0,0.0,121,8.6
Keyone Jenkins,170403,QB,FIU,1,2.47,2.43,2.83,,34,166,66.7,21,22,9.9,1.97,1,0,0.0,59.1,13,5,7.1,23,67.6,1,8,,,,,67.5,63.9,73.0,63.6,,,,0,0,24,20.0,95.5,4.3,1,0,0,0,1,0,0.0,153,7.0,71.4,7,9,14.4,3.52,0,0,0.0,44.4,4,6,20.0,11,32.4,1,3,,,,,65.8,51.2,70.7,51.1,,,,1,0,12,33.3,64.6,18.2,2,0,0,1,0,1,8.3,55,6.1
Matt Morrissey,148177,QB,E KENTUCKY,1,3.07,2.74,5.7,5.2,33,159,66.7,9,11,7.4,1.95,2,0,0.0,54.5,6,1,0.0,11,33.3,0,2,,,,,65.6,57.1,70.4,57.0,,,,0,0,11,0.0,62.7,0.0,0,0,0,0,0,0,0.0,40,3.6,76.5,17,18,13.0,3.64,0,3,16.7,61.1,11,10,15.4,22,66.7,2,12,,,,,67.5,80.1,72.8,75.6,,70.5,,0,0,23,20.0,142.1,9.1,2,2,0,1,2,1,4.3,225,12.5
Noah Fifita,158722,QB,ARIZONA,1,3.14,2.98,,5.65,33,109,91.7,12,12,1.3,1.83,0,0,0.0,83.3,10,1,9.1,12,36.4,1,5,,,,,65.8,68.0,70.7,67.6,,,,0,0,12,0.0,119.8,0.0,0,0,0,0,1,0,0.0,73,6.1,64.3,14,19,20.1,3.89,1,3,15.8,47.4,9,16,0.0,21,63.6,0,4,,,,,67.2,62.7,72.5,66.5,,52.9,,0,1,21,0.0,64.4,0.0,0,2,0,4,1,2,9.5,124,6.5
Jackson Proctor,148851,QB,DARTMOUTH,1,2.83,2.62,4.1,5.33,33,148,53.8,13,14,6.8,1.87,0,0,0.0,50.0,7,4,0.0,14,42.4,0,4,,,,,66.4,54.4,71.4,54.4,,,,1,0,15,0.0,57.1,0.0,0,0,0,0,0,0,0.0,45,3.2,50.0,12,14,14.8,3.74,0,0,0.0,42.9,6,10,0.0,18,54.5,0,5,,,,,67.0,56.9,72.2,50.9,,68.2,,1,0,19,10.0,97.3,5.6,1,3,0,1,1,0,0.0,120,8.6
Jameson Wang,148782,QB,CORNELL,1,2.49,2.36,,3.43,33,147,73.7,19,21,6.9,1.8,1,0,0.0,66.7,14,4,0.0,21,63.6,0,7,,,,,67.2,66.7,72.5,66.3,,,,1,0,21,0.0,139.1,0.0,0,0,0,0,4,1,4.8,211,10.0,57.1,7,8,14.9,3.71,0,0,0.0,50.0,4,5,0.0,12,36.4,0,5,,,,,66.0,68.1,71.0,59.1,,70.7,,0,0,13,0.0,78.6,0.0,0,4,0,1,0,2,15.4,67,8.4
Ben Wooldridge,82115,QB,LA LAFAYET,1,2.51,2.3,,4.05,33,207,70.6,17,18,7.1,1.74,0,0,0.0,66.7,12,4,0.0,18,54.5,0,7,,,,,67.0,45.3,72.2,45.4,,,,0,0,19,0.0,96.1,0.0,0,0,0,1,1,1,5.3,86,4.8,90.0,10,11,12.9,3.43,0,1,9.1,72.7,8,7,11.1,15,45.5,1,10,,,,,66.5,91.2,71.6,93.0,,60.1,,0,0,16,0.0,154.4,0.0,0,4,0,1,2,0,0.0,171,15.5
Danny Lauter,162145,QB,GEORGETOWN,1,1.85,1.85,,,33,172,82.1,28,30,6.2,1.78,1,0,0.0,76.7,23,1,0.0,30,90.9,0,11,,,,,68.2,78.1,73.7,77.4,,,,0,0,30,0.0,124.3,0.0,0,0,0,1,2,0,0.0,260,8.7,66.7,3,3,22.7,2.6,0,1,33.3,66.7,2,0,0.0,3,9.1,0,2,,,,,62.7,84.3,66.6,83.5,,,,0,0,3,,103.5,0.0,0,0,0,0,0,0,0.0,33,11.0
Jacob Zeno,98014,QB,UAB,1,3.25,2.63,2.8,5.11,33,321,100.0,10,11,3.2,1.87,1,0,0.0,90.9,10,1,0.0,11,33.3,0,5,,,,,66.0,88.6,71.0,87.7,,,,0,0,13,0.0,117.4,0.0,0,0,0,0,0,0,0.0,134,12.2,36.4,11,11,15.5,3.93,0,1,7.7,36.4,4,12,0.0,22,66.7,0,6,,,,,25.9,45.9,73.0,36.7,,64.2,,0,2,24,25.0,48.9,13.6,3,8,0,0,1,4,16.7,68,6.2
Ty Pennington,185022,QB,N ARIZONA,1,2.87,2.63,4.03,4.25,32,252,91.7,12,13,3.8,2.08,0,0,0.0,84.6,11,1,0.0,13,40.6,0,5,,,,,66.0,61.3,71.0,61.1,,,,1,0,13,0.0,109.9,0.0,0,0,0,0,0,1,7.7,135,10.4,92.3,13,14,11.2,3.41,0,1,6.3,78.6,11,9,8.3,19,59.4,1,8,,,,,24.7,79.9,72.5,85.4,,51.6,,0,0,21,33.3,148.2,15.8,3,2,0,1,2,1,4.8,141,10.1
