player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Chandler Rogers,98683,QB,N TEXAS,1,2.65,2.47,3.45,6.0,59,251,75.9,29,31,8.9,1.94,2,0,0.0,64.5,20,5,9.1,32,54.2,2,12,,,,,68.4,90.6,74.0,90.2,,,0,0,32,20.0,118.9,3.1,1,0,0,0,3,0,0.0,229,7.4,52.4,21,22,14.0,3.5,0,0,0.0,45.5,10,17,9.1,27,45.8,1,8,,,,,68.2,56.9,73.7,54.1,,65.3,1,1,30,17.6,54.2,11.1,3,2,0,0,0,1,3.3,175,8.0
Josh Hoover,127148,QB,TCU,1,2.38,2.38,2.1,,59,305,67.6,34,35,5.8,1.9,1,1,2.7,62.9,22,5,4.3,36,61.0,1,14,,,,,68.8,69.7,74.6,69.1,,,0,0,38,20.0,111.0,2.8,1,0,0,0,3,1,2.6,235,6.7,55.6,18,23,9.6,3.12,0,1,4.2,43.5,10,13,0.0,23,39.0,0,6,,,,,67.6,51.4,73.0,51.4,,,2,1,24,0.0,54.4,0.0,0,0,0,3,1,2,8.3,109,4.7
Cam Ward,133244,QB,WASH STATE,1,2.57,2.3,4.46,4.35,55,341,90.9,33,34,6.5,1.62,1,2,5.6,76.5,26,2,13.3,34,61.8,4,13,,,,,68.7,81.0,74.4,80.1,,,0,1,36,0.0,102.9,0.0,0,0,0,0,2,1,2.8,243,7.1,63.6,11,14,10.5,4.1,0,2,14.3,42.9,6,15,14.3,21,38.2,1,3,,,,,67.5,69.5,72.8,70.7,,59.2,1,1,23,33.3,53.9,23.8,5,2,0,2,1,0,0.0,74,5.3
Anthony Colandrea,170131,QB,VIRGINIA,1,2.94,2.55,4.64,5.18,54,335,81.8,22,23,4.7,1.84,1,1,4.2,73.9,17,3,5.6,23,42.6,1,4,,,,,67.6,77.9,73.0,77.2,,,0,0,24,0.0,82.7,0.0,0,0,0,0,0,0,0.0,105,4.6,63.2,19,22,12.3,3.75,0,2,8.7,50.0,11,21,8.3,31,57.4,1,6,,,,,68.4,60.0,74.0,65.6,,48.9,0,1,32,23.8,82.0,16.1,5,4,0,3,2,1,3.1,142,6.5
Keyone Jenkins,170403,QB,FIU,1,2.61,2.46,1.6,4.2,54,166,66.7,33,33,5.7,1.89,0,1,2.9,60.6,20,7,9.1,34,63.0,2,8,,,,,68.5,47.3,74.3,47.3,,,0,2,35,14.3,70.0,2.9,1,0,0,0,2,3,8.6,178,5.4,54.5,11,15,10.7,3.83,0,1,6.7,40.0,6,12,0.0,20,37.0,0,4,,,,,67.1,57.1,72.4,61.4,,54.2,0,0,20,0.0,77.4,0.0,0,5,0,4,1,1,5.0,71,4.7
E.J. Warner,156185,QB,TEMPLE,1,2.28,2.28,2.1,,49,306,78.1,32,34,4.5,1.65,2,2,5.6,64.7,22,5,12.0,35,71.4,3,8,,,,,68.8,57.7,74.5,57.4,,,0,1,37,20.0,77.9,2.9,1,0,0,0,1,4,10.8,199,5.9,55.6,9,14,16.6,3.86,0,1,7.1,35.7,5,6,0.0,14,28.6,0,4,,,,,66.2,70.8,71.2,70.4,,,0,0,14,0.0,94.6,0.0,0,0,0,5,1,0,0.0,131,9.4
Keegan Shoemaker,108983,QB,SM HOUSTON,1,2.19,2.07,8.3,,49,281,82.9,35,37,4.3,1.73,2,0,0.0,73.0,27,4,6.9,37,75.5,2,9,,,,,69.0,63.7,74.8,63.3,,,0,1,40,0.0,68.5,0.0,0,0,0,0,0,1,2.5,150,4.1,44.4,9,11,8.6,3.63,0,0,0.0,36.4,4,6,0.0,12,24.5,0,3,,,,,65.8,52.0,70.7,51.9,,,0,0,12,16.7,50.6,8.3,1,0,0,2,0,0,0.0,48,4.4
Dante Moore,173983,QB,UCLA,1,2.63,2.44,3.25,3.7,48,324,76.2,21,24,5.3,2.0,2,0,0.0,66.7,16,6,0.0,26,54.2,0,8,,,,,26.7,50.3,73.3,50.2,,,0,1,26,33.3,82.8,7.7,2,0,0,1,1,2,7.7,165,6.9,61.5,13,14,9.0,3.37,0,0,0.0,50.0,7,14,12.5,22,45.8,1,6,,,,,25.1,36.9,72.7,39.5,,52.7,0,1,22,42.9,44.0,27.3,6,2,0,1,0,1,4.5,101,7.2
Alan Bowman,77679,QB,OKLA STATE,1,2.52,2.49,3.6,,48,262,79.3,29,29,5.7,1.78,0,0,0.0,75.9,22,0,4.3,29,60.4,1,11,,,,,68.5,73.4,74.1,72.8,,,0,2,33,,72.3,0.0,0,0,0,0,0,2,6.1,249,8.6,60.0,15,18,12.7,3.64,0,0,0.0,50.0,9,8,0.0,19,39.6,0,3,,,,,67.4,54.5,72.7,54.4,,,0,0,22,12.5,60.4,5.3,1,0,0,3,0,2,9.1,72,4.0
Will Howard,122599,QB,KANSAS ST,1,3.02,3.02,,,48,199,57.9,19,19,5.8,1.99,0,1,4.8,57.9,11,2,0.0,19,39.6,0,5,,,,,67.2,68.1,72.5,67.6,,,0,0,21,0.0,98.8,0.0,0,0,0,0,1,0,0.0,141,7.4,46.4,28,29,11.7,3.69,0,1,3.0,44.8,13,8,0.0,29,60.4,0,9,,,,,68.5,50.9,74.1,50.9,,,0,1,33,0.0,46.2,0.0,0,0,0,1,0,3,9.1,147,5.1
