player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Cam Ward,133244,QB,WASH STATE,1,3.63,3.08,5.8,6.04,67,341,90.5,21,21,3.8,1.59,0,0,0.0,81.0,17,1,10.5,21,31.3,2,8,,,,,67.2,71.3,72.5,70.8,,,0,0,21,0.0,111.9,0.0,0,0,0,0,1,0,0.0,148,7.0,66.7,27,31,9.8,4.66,0,1,3.0,51.6,16,33,11.1,45,67.2,2,8,,,,,36.1,49.6,75.4,52.2,,52.6,0,0,48,21.2,79.2,15.6,7,7,0,4,1,1,2.1,174,5.6
E.J. Warner,156185,QB,TEMPLE,1,2.39,2.39,,,63,306,89.7,39,41,6.0,1.8,2,1,2.4,85.4,35,4,0.0,41,65.1,0,19,,,,,69.1,81.5,74.9,80.5,,,0,0,42,0.0,107.7,0.0,0,0,0,0,1,0,0.0,324,7.9,55.0,20,22,16.2,3.5,1,2,9.1,45.5,10,7,9.1,22,34.9,1,8,,,,,24.8,72.1,72.7,71.5,,,0,1,22,0.0,99.1,0.0,0,0,0,1,4,2,9.1,203,9.2
Parker McKinney,82109,QB,E KENTUCKY,1,2.47,2.35,2.95,5.55,61,159,74.3,35,35,7.2,1.81,0,1,2.8,68.6,24,5,7.7,35,57.4,2,14,,,,,68.7,74.8,74.4,74.1,,,0,0,36,0.0,132.8,0.0,0,0,0,0,4,0,0.0,298,8.5,59.1,22,22,14.3,3.37,0,0,0.0,59.1,13,15,0.0,26,42.6,0,9,,,,,68.0,50.9,73.5,50.2,,60.6,0,1,28,13.3,77.1,7.7,2,2,0,0,1,2,7.1,156,7.1
Drake Maye,143969,QB,N CAROLINA,1,2.94,2.72,2.65,4.88,57,245,79.2,24,24,5.7,1.63,0,1,4.0,79.2,19,3,0.0,25,43.9,0,8,,,,,67.8,71.6,73.3,71.0,,,0,0,26,33.3,94.6,4.0,1,0,0,0,0,0,0.0,161,6.7,50.0,22,25,10.9,3.97,0,1,3.7,40.0,10,18,9.1,32,56.1,1,7,,,,,68.5,55.7,74.2,57.4,,55.8,0,1,34,5.6,44.6,3.1,1,6,0,3,1,1,2.9,72,2.9
Clayton Tune,77652,QB,HOUSTON,1,3.78,3.41,4.0,6.2,56,182,85.7,14,14,3.1,1.85,0,1,7.1,78.6,11,1,8.3,14,25.0,1,7,,,,,66.2,76.8,71.2,76.3,,,0,0,14,0.0,124.1,0.0,0,0,0,0,1,0,0.0,113,8.1,81.5,27,33,11.9,4.42,1,2,6.1,45.5,15,15,31.8,42,75.0,7,11,,,,,69.2,86.0,75.0,91.5,,49.3,0,1,43,13.3,71.9,4.8,2,7,0,5,1,0,0.0,273,8.3
Haden Carlson,123620,QB,FIU,1,2.32,2.22,2.1,8.1,55,166,64.1,39,41,12.4,1.9,2,3,7.3,56.1,23,18,8.0,43,78.2,2,18,,,,,69.2,58.1,75.0,57.9,,,0,3,43,11.1,77.8,4.7,2,0,0,0,3,5,11.6,345,8.4,88.9,9,11,13.6,3.82,0,1,8.3,54.5,6,7,25.0,12,21.8,2,4,,,,,66.0,74.2,71.0,77.0,,57.3,0,1,13,0.0,67.6,0.0,0,1,0,2,1,2,15.4,73,6.6
Trenton Bourguet,97285,QB,ARIZONA ST,1,2.62,2.38,3.95,4.83,54,110,95.7,23,24,3.2,1.65,0,1,3.8,91.7,22,4,0.0,25,46.3,0,11,,,,,26.7,67.4,73.4,66.9,,,0,0,27,25.0,110.4,4.0,1,0,0,1,1,1,3.7,172,7.2,77.3,22,24,11.7,3.45,0,0,0.0,62.5,15,14,11.8,29,53.7,2,13,,,,,68.2,78.3,73.7,81.9,,54.9,0,2,30,7.1,82.6,3.4,1,4,0,2,2,1,3.3,204,8.5
Tyler Shough,83537,QB,TEXAS TECH,1,2.85,2.7,2.5,5.5,54,315,85.7,21,21,2.4,1.79,0,1,4.8,81.0,17,5,5.6,21,38.9,1,10,,,,,67.2,80.0,72.5,79.4,,,0,0,21,0.0,118.5,0.0,0,0,0,0,1,0,0.0,181,8.6,66.7,24,29,12.8,3.53,2,2,6.9,48.3,14,12,12.5,33,61.1,2,12,,,,,68.5,81.6,74.1,79.7,,65.7,0,1,33,8.3,76.1,3.0,1,3,0,3,1,1,3.0,255,8.8
Austin Reed,111760,QB,W KENTUCKY,1,2.43,2.44,,4.6,54,346,82.6,23,25,5.4,1.83,2,1,3.7,76.0,19,0,0.0,25,46.3,0,9,,,,,67.9,74.3,73.4,73.6,,,0,0,27,,114.1,0.0,0,0,0,0,1,1,3.7,212,8.5,40.7,27,27,19.3,3.06,0,3,10.3,33.3,9,2,18.2,28,51.9,2,8,,,,,68.2,53.8,73.7,51.7,,64.1,0,1,30,0.0,68.8,0.0,0,1,0,0,2,2,6.7,192,7.1
Aveon Smith,130529,QB,MIAMI OH,1,2.67,2.41,3.83,4.44,54,221,56.0,25,27,12.0,2.04,2,0,0.0,44.4,12,3,14.3,27,50.0,2,10,,,,,67.9,45.4,73.4,45.6,,,0,0,27,0.0,58.1,0.0,0,0,0,0,0,2,7.4,123,4.6,41.2,17,19,19.0,3.31,0,0,0.0,31.6,6,11,14.3,27,50.0,1,9,,,,,68.2,46.8,73.7,36.4,,73.7,0,1,30,27.3,43.8,11.1,3,5,0,2,1,2,6.7,90,4.7
