player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ralph Rucker IV,144625,QB,BUCKNELL,1,2.93,2.74,3.18,4.54,59,125,71.4,28,29,6.6,1.9,0,0,0.0,69.0,20,12,0.0,29,49.2,0,11,,68.1,78.2,73.6,77.4,,,0,0,29,0.0,85.3,0.0,0,0,0,1,0,0,0.0,179,6.2,66.7,18,20,15.2,3.93,0,2,9.1,60.0,12,20,0.0,30,50.8,0,12,,68.5,86.7,74.1,80.6,,74.9,0,0,33,25.0,122.7,16.7,5,5,0,2,2,0,0.0,179,9.0
Parker McKinney,82109,QB,E KENTUCKY,1,2.77,2.63,3.98,4.9,58,159,89.5,19,21,5.3,1.78,1,1,4.8,71.4,15,3,11.8,21,36.2,2,7,,67.2,75.5,72.5,75.0,,,1,0,21,0.0,113.2,0.0,0,0,0,0,1,0,0.0,180,8.6,67.9,28,32,12.2,3.33,1,3,8.8,59.4,19,12,0.0,37,63.8,0,10,,69.1,73.3,74.9,76.1,,51.6,2,0,41,33.3,100.5,10.8,4,1,0,1,2,1,2.4,216,6.8
Zevi Eckhaus,148535,QB,BRYANT,1,2.42,2.23,3.6,4.5,56,124,48.6,35,37,9.9,1.87,2,3,7.9,40.5,15,5,11.8,37,66.1,2,9,,68.9,65.6,74.6,65.1,,,0,0,38,0.0,86.7,0.0,0,0,0,0,3,0,0.0,211,5.7,78.6,14,14,6.3,3.48,0,0,0.0,78.6,11,7,0.0,19,33.9,0,10,,67.4,79.9,72.7,72.0,,73.7,0,1,22,14.3,98.5,5.3,1,4,0,0,1,0,0.0,127,9.1
Josh Hoover,127148,QB,TCU,1,2.62,2.5,,4.73,55,305,84.6,26,26,5.5,1.84,0,0,0.0,84.6,22,2,0.0,26,47.3,0,14,,67.9,74.9,73.4,74.3,,,0,1,27,0.0,94.7,0.0,0,0,0,0,1,0,0.0,195,7.5,41.7,24,26,15.5,3.33,0,3,10.7,38.5,10,9,0.0,29,52.7,0,6,,68.3,48.4,73.9,51.8,,50.3,0,1,31,0.0,43.4,0.0,0,3,0,2,0,2,6.5,158,6.1
Ryan O'Connor,155510,QB,DELAWARE,1,2.76,2.51,3.66,5.23,55,151,72.7,22,24,11.6,1.84,1,1,4.2,62.5,15,4,6.3,24,43.6,1,8,,67.6,62.2,73.0,61.9,,,0,1,24,0.0,79.9,0.0,0,0,0,1,1,2,8.3,168,7.0,50.0,18,23,17.1,3.47,1,3,12.5,34.8,8,12,11.1,31,56.4,1,7,,25.8,59.6,74.0,56.7,,65.7,0,0,32,41.7,57.7,16.1,5,3,0,4,0,1,3.1,147,6.4
Jameson Wang,148782,QB,CORNELL,1,2.54,2.46,,4.75,55,147,69.0,29,29,6.6,1.82,0,0,0.0,69.0,20,3,0.0,29,52.7,0,10,,68.2,57.3,73.7,57.1,,,0,1,30,0.0,67.5,0.0,0,0,0,0,0,1,3.3,155,5.3,62.5,24,24,12.7,3.35,0,1,4.0,62.5,15,5,0.0,26,47.3,0,10,,67.9,74.5,73.4,71.1,,68.1,0,0,27,0.0,98.3,0.0,0,2,0,0,1,1,3.7,174,7.3
Zach Calzada,98006,QB,INCAR WORD,1,2.5,2.5,3.6,,53,189,65.5,29,29,11.5,2.0,0,3,10.0,65.5,19,2,0.0,29,54.7,0,14,,68.2,90.1,73.7,89.2,,,0,0,30,0.0,137.9,0.0,0,0,0,0,4,0,0.0,290,10.0,45.0,20,21,11.5,3.23,0,0,0.0,42.9,9,10,0.0,23,43.4,0,6,,67.8,62.6,73.3,59.5,,64.9,0,2,26,20.0,18.8,8.7,2,0,0,1,0,1,3.8,104,5.0
Dean DeNobile,159740,QB,LAFAYETTE,1,3.09,2.76,5.2,5.1,51,203,91.3,23,24,4.0,1.86,1,0,0.0,83.3,20,0,4.8,24,47.1,1,6,,67.7,72.5,73.1,72.0,,,0,0,25,,99.8,0.0,0,0,0,0,1,0,0.0,111,4.6,64.3,14,20,14.9,4.18,0,1,5.0,45.0,9,13,0.0,27,52.9,0,8,,26.7,71.4,73.4,68.4,,66.3,0,1,27,23.1,78.3,11.1,3,4,0,6,2,2,7.4,126,6.3
Derek Robertson,142298,QB,MAINE,1,2.44,2.3,5.6,,50,212,76.0,25,26,6.8,1.65,0,2,7.7,61.5,16,4,15.8,26,52.0,3,11,,67.8,79.4,73.3,78.6,,,1,0,26,0.0,120.8,0.0,0,0,0,0,4,1,3.8,174,6.7,65.0,20,22,12.8,3.29,0,3,13.0,54.5,12,6,7.7,24,48.0,1,8,,67.7,70.4,73.1,69.9,,,1,1,25,33.3,76.9,8.3,2,0,0,1,1,1,4.0,175,8.0
Jake Retzlaff,70874,QB,BYU,1,2.84,2.6,4.47,3.84,50,128,70.8,24,25,5.8,1.77,1,0,0.0,56.0,14,2,17.6,25,50.0,3,5,,67.8,59.1,73.3,58.8,,,0,0,26,0.0,62.4,0.0,0,0,0,0,0,2,7.7,82,3.3,64.7,17,17,12.1,3.91,0,0,0.0,58.8,10,13,9.1,25,50.0,1,8,,67.7,65.5,73.1,65.4,,60.8,0,0,25,23.1,82.5,12.0,3,5,0,0,0,0,0.0,128,7.5
