player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
JC French IV,162521,QB,GA SOUTHRN,1,2.18,2.08,2.7,3.8,56,174,61.0,41,41,10.1,1.82,0,3,7.0,51.2,21,11,16.0,43,76.8,4,14,,69.4,74.9,75.2,74.1,,,0,0,45,18.2,85.1,4.7,2,0,0,0,2,0,0.0,237,5.8,77.8,9,9,4.7,3.38,0,1,10.0,77.8,7,6,0.0,13,23.2,0,4,,11.2,60.6,71.6,41.0,,80.7,0,0,16,33.3,106.0,15.4,2,2,0,0,0,2,12.5,85,9.4
Gio Lopez,172309,QB,S ALABAMA,1,3.37,3.25,3.6,5.23,54,288,85.7,14,16,6.8,1.98,0,1,6.3,68.8,11,3,8.3,16,29.6,1,5,,66.5,78.9,71.6,78.3,,,1,0,16,0.0,113.5,0.0,0,0,0,1,1,0,0.0,128,8.0,53.3,30,33,18.3,3.96,0,3,8.1,45.5,15,13,6.3,38,70.4,1,14,,34.0,61.7,75.0,62.0,,58.3,1,0,43,15.4,98.5,5.3,2,3,0,2,2,2,4.7,304,9.2
Jaylen Raynor,172203,QB,ARK STATE,1,2.22,2.05,2.7,4.5,53,113,61.8,34,36,9.3,1.79,2,0,0.0,52.8,19,5,9.5,37,69.8,2,11,,68.8,65.8,74.6,65.3,,,0,1,38,20.0,67.9,2.7,1,0,0,0,1,0,0.0,209,5.8,45.5,11,11,12.7,3.23,0,2,18.2,45.5,5,9,0.0,16,30.2,0,5,,66.5,65.0,71.6,67.6,,57.2,0,0,16,22.2,80.9,12.5,2,3,0,0,0,0,0.0,108,9.8
Devon Dampier,171556,QB,NEW MEXICO,1,2.99,2.54,,4.86,52,241,80.8,26,26,5.6,1.82,0,0,0.0,69.2,18,4,14.3,26,50.0,3,9,,68.0,72.5,73.5,71.9,,,0,1,28,0.0,93.9,0.0,0,0,0,0,2,0,0.0,153,5.9,46.2,13,16,18.4,4.16,0,2,11.1,37.5,6,13,0.0,26,50.0,0,9,,68.0,70.4,73.5,70.2,,62.9,0,1,28,0.0,56.0,0.0,0,10,0,3,1,1,3.6,107,6.7
Brayden Schager,146078,QB,HAWAII,1,2.79,2.37,4.67,4.23,52,180,84.6,26,27,4.1,1.79,1,0,0.0,74.1,20,4,9.1,27,51.9,2,9,,68.0,65.3,73.5,64.9,,,0,0,28,0.0,87.1,0.0,0,0,0,0,0,1,3.6,151,5.6,42.9,14,15,16.6,3.86,0,0,0.0,33.3,5,13,16.7,25,48.1,1,4,,67.9,31.7,73.5,30.4,,58.7,1,2,28,53.8,32.2,28.0,7,3,0,0,1,2,7.1,71,4.7
Dillon Gabriel,86272,QB,OREGON,1,2.23,2.17,3.13,,52,264,93.3,30,31,2.6,1.63,1,0,0.0,87.1,27,4,3.6,31,59.6,1,15,,68.3,80.9,73.9,80.2,,,0,0,31,0.0,117.9,0.0,0,0,0,0,2,0,0.0,221,7.1,77.8,18,18,7.6,3.1,0,1,5.0,77.8,14,9,0.0,21,40.4,0,9,,67.5,72.6,73.0,75.0,,56.3,0,0,24,33.3,102.8,14.3,3,0,0,0,0,0,0.0,156,8.7
Max Brown,157756,QB,CHARLOTTE,1,2.94,2.73,4.53,5.25,50,136,69.6,23,25,8.3,2.01,1,0,0.0,64.0,16,4,0.0,26,52.0,0,8,,26.7,57.3,73.4,57.1,,,0,1,27,25.0,75.9,3.8,1,0,0,1,1,2,7.4,143,5.7,42.9,14,20,14.0,3.94,0,2,10.0,30.0,6,11,0.0,24,48.0,0,3,,67.6,49.4,73.0,52.3,,53.1,0,1,24,18.2,18.8,8.3,2,2,0,6,0,1,4.2,50,2.5
Maverick McIvor,99476,QB,ABILENE CH,1,2.46,2.46,,,50,100,88.5,26,26,8.3,1.82,0,3,11.1,73.1,19,2,17.4,26,52.0,4,14,,67.9,93.1,73.4,92.7,,,0,0,27,0.0,113.1,0.0,0,0,0,0,1,0,0.0,233,9.0,72.7,22,24,15.0,3.15,0,3,12.5,66.7,16,13,0.0,24,48.0,0,9,,67.6,90.3,73.0,90.0,,,0,0,24,0.0,132.1,0.0,0,0,0,2,2,0,0.0,269,11.2
Jacob Clark,101628,QB,MO STATE,1,2.81,2.52,3.72,5.2,49,230,75.0,20,20,3.1,1.77,0,0,0.0,70.0,14,0,6.7,20,40.8,1,5,,67.4,49.4,72.7,49.4,,,0,0,22,,85.8,0.0,0,0,0,0,0,0,0.0,122,6.1,72.2,18,21,10.9,3.53,0,1,4.8,52.4,11,20,15.4,29,59.2,2,10,,68.1,68.7,73.6,70.6,,56.8,1,1,29,25.0,53.9,17.2,5,3,0,2,0,3,10.3,141,6.7
DJ Uiagalelei,122162,QB,FLORIDA ST,1,2.88,2.77,3.0,4.03,49,167,52.9,17,17,7.6,1.98,0,1,5.9,41.2,7,2,22.2,17,34.7,2,2,,66.7,72.7,71.8,72.2,,,0,0,17,0.0,53.3,0.0,0,0,0,0,0,0,0.0,69,4.1,77.3,22,26,11.9,3.36,2,2,7.1,53.8,14,15,17.6,32,65.3,3,9,,68.5,67.1,74.2,69.5,,55.5,1,1,34,13.3,76.3,6.3,2,4,0,1,1,1,2.9,203,7.8
