player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ron Peace,186224,QB,TXAMCO,1,2.45,2.34,4.06,4.3,72,1139,76.7,43,43,7.1,1.63,0,4,8.7,76.7,33,3,0.0,43,59.7,0,17,,,,,69.4,67.0,75.3,,66.5,,,,,0,2,46,0.0,99.3,0.0,0,0,0,0,3,2,4.3,303,7.0,38.9,18,22,16.7,3.81,0,1,4.5,31.8,7,16,0.0,28,38.9,0,6,,,,,19.4,32.7,73.5,,29.2,,69.0,,,1,0,28,31.3,62.1,17.9,5,1,0,3,1,2,7.1,97,4.4
Nate Yarnell,144037,QB,PITTSBURGH,1,2.7,2.63,3.0,4.0,63,268,100.0,19,20,1.8,1.82,0,0,0.0,90.0,18,4,5.3,23,36.5,1,5,,,,,67.7,67.5,73.3,,67.0,,,,,0,0,26,75.0,107.1,13.0,3,0,0,1,1,0,0.0,114,5.7,55.2,29,34,12.6,3.2,2,2,5.7,47.1,16,21,0.0,40,63.5,0,13,,,,,69.1,77.3,74.9,,75.5,,63.1,,,2,1,42,23.8,58.0,12.5,5,1,0,1,0,2,4.8,236,6.9
Van Weber,193276,QB,ALBANY,1,2.43,2.32,2.9,3.53,59,106,83.3,30,31,6.2,1.87,1,0,0.0,77.4,24,4,4.0,33,55.9,1,14,,,,,68.5,84.7,74.1,,85.8,,57.0,,,0,0,33,25.0,108.9,3.0,1,1,0,0,1,0,0.0,235,7.6,45.0,20,20,17.4,3.13,0,0,0.0,35.0,7,11,22.2,26,44.1,2,7,,,,,67.9,57.3,73.4,,59.8,,53.1,,,0,2,27,36.4,32.7,15.4,4,2,0,0,1,2,7.4,117,5.9
Billy Edwards Jr.,144185,QB,MARYLAND,1,2.51,2.44,2.9,3.77,59,215,86.2,29,31,5.3,2.0,2,0,0.0,74.2,23,7,8.0,31,52.5,2,12,,,,,68.4,73.6,74.0,,73.0,,,,,0,0,32,0.0,108.7,0.0,0,0,0,0,1,0,0.0,253,8.2,47.8,23,24,9.8,3.08,1,0,0.0,37.5,9,10,18.2,28,47.5,2,5,,,,,68.3,43.3,73.9,,39.5,,66.0,,,0,1,31,10.0,30.2,3.6,1,3,0,0,0,0,0.0,82,3.4
Kobe Tracy,141317,QB,IDAHO ST,1,2.83,2.69,3.0,5.2,58,186,75.0,20,20,6.8,1.94,0,0,0.0,75.0,15,0,0.0,20,34.5,0,6,,,,,67.1,60.4,72.4,,60.2,,,,,0,0,20,,106.9,0.0,0,0,0,0,1,1,5.0,123,6.2,71.0,31,34,10.8,3.29,0,1,2.9,64.7,22,9,0.0,38,65.5,0,14,,,,,68.9,64.4,74.7,,61.6,,66.7,,,0,1,39,11.1,103.4,2.6,1,3,0,3,3,2,5.1,247,7.3
Ben Finley,122864,QB,AKRON,1,2.66,2.5,3.93,4.3,58,102,73.3,30,31,5.5,2.05,1,0,0.0,51.6,16,3,27.3,31,53.4,6,8,,,,,68.3,68.2,73.9,,67.7,,,,,0,0,31,0.0,77.1,0.0,0,0,0,0,1,0,0.0,158,5.1,25.0,20,21,16.6,3.36,1,1,4.2,14.3,3,11,40.0,27,46.6,2,4,,,,,68.2,44.6,73.7,,39.9,,70.5,,,0,0,30,36.4,39.6,14.8,4,2,0,0,0,0,0.0,47,2.2
Ethan Garbers,131896,QB,UCLA,1,3.47,3.08,3.68,5.77,58,324,84.2,19,20,3.2,2.06,1,0,0.0,75.0,15,4,6.3,20,34.5,1,6,,,,,67.4,70.9,72.7,,70.4,,,,,0,0,22,0.0,127.9,0.0,0,0,0,0,2,1,4.5,144,7.2,63.2,19,25,11.9,4.22,1,0,0.0,48.0,12,25,0.0,38,65.5,0,12,,,,,68.8,54.9,74.6,,46.7,,70.1,,,1,0,38,24.0,61.9,15.8,6,7,0,4,0,2,5.3,119,4.8
Garrett Nussmeier,146757,QB,LSU,1,3.01,2.77,3.7,6.2,56,211,77.8,18,19,2.0,1.83,0,0,0.0,68.4,13,2,7.1,19,33.9,1,3,,,,,67.1,67.5,72.4,,67.0,,,,,0,0,20,0.0,74.5,0.0,0,0,0,1,0,0,0.0,70,3.7,68.0,25,28,12.1,3.61,0,2,7.1,50.0,14,19,17.6,37,66.1,3,12,,,,,29.4,63.6,74.5,,65.7,,53.8,,,0,0,37,36.8,83.9,18.9,7,2,0,3,1,2,5.4,190,6.8
Carson Conklin,170765,QB,SACRAMENTO,1,2.46,2.41,2.75,4.6,54,279,84.8,33,34,4.8,1.77,1,0,0.0,76.5,26,3,7.1,35,64.8,2,11,,,,,68.6,58.2,74.3,,57.9,,,,,0,0,35,33.3,108.7,2.9,1,0,0,0,2,0,0.0,190,5.6,66.7,12,17,12.4,3.72,0,2,10.5,41.2,7,8,12.5,19,35.2,1,5,,,,,14.1,42.3,72.5,,48.7,,50.6,,,0,0,21,12.5,65.3,5.3,1,1,0,5,0,4,19.0,118,6.9
Maverick McIvor,99476,QB,ABILENE CH,1,2.56,2.53,4.4,,53,100,92.3,26,26,5.4,1.95,0,3,11.1,80.8,21,0,12.5,26,49.1,3,14,,,,,67.9,95.2,73.4,,94.8,,,,,0,0,27,,123.9,0.0,0,0,0,0,2,0,0.0,197,7.6,64.0,25,26,11.2,3.16,0,2,7.4,53.8,14,7,12.5,27,50.9,2,8,,,,,68.1,75.3,73.6,,76.3,,57.3,,,0,0,29,14.3,90.9,3.7,1,0,0,1,1,0,0.0,194,7.5
