player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Carson Beck,124010,QB,MIAMI FL,1,2.42,2.37,3.7,,31,220,80.0,15,16,1.4,1.62,1,0,0.0,75.0,12,0,0.0,16,51.6,0,5,,,,,66.8,56.8,72.0,56.6,,,0,0,18,,93.2,0.0,0,0,0,0,0,0,0.0,110,6.9,58.3,12,14,8.3,3.27,0,0,0.0,35.7,5,6,28.6,15,48.4,2,5,,,,,66.4,56.0,71.4,55.9,,,1,1,15,16.7,17.0,6.7,1,0,0,1,0,1,6.7,50,3.6
Nicco Marchiol,157363,QB,W VIRGINIA,1,2.53,2.37,3.47,3.9,31,343,62.5,16,17,6.3,1.97,0,0,0.0,58.8,10,4,0.0,18,58.1,0,2,,,,,66.8,40.7,72.0,40.9,,,1,1,18,25.0,44.2,5.6,1,0,0,0,0,2,11.1,72,4.2,83.3,6,10,10.3,3.3,2,0,0.0,50.0,5,8,0.0,13,41.9,0,4,,,,,66.0,60.7,71.0,63.6,,57.0,1,0,13,25.0,66.3,15.4,2,1,0,1,0,1,7.7,54,5.4
Nate Glantz,157587,QB,LNDNWD,1,2.91,2.81,5.1,3.5,31,949,63.6,11,11,13.4,1.75,0,2,18.2,54.5,6,4,14.3,11,35.5,1,3,,,,,65.6,61.4,70.4,61.1,,,0,0,11,0.0,107.8,0.0,0,0,0,0,1,1,9.1,79,7.2,82.4,17,18,9.4,3.55,0,1,5.6,77.8,14,9,0.0,20,64.5,0,10,,,,,69.1,85.8,72.8,88.7,,59.2,0,0,20,11.1,124.5,5.0,1,1,0,1,1,0,0.0,170,9.4
Diego Pavia,156927,QB,VANDERBILT,1,2.7,2.43,,5.65,30,333,93.3,15,16,7.4,1.99,1,1,5.6,75.0,12,2,14.3,16,53.3,2,9,,,,,66.8,89.8,72.0,88.8,,,0,0,18,0.0,126.0,0.0,0,0,0,0,1,0,0.0,156,9.8,85.7,7,8,7.1,4.1,0,0,0.0,75.0,6,4,0.0,12,40.0,0,5,,,,,65.8,69.0,70.7,57.2,,70.6,0,0,12,0.0,110.9,0.0,0,4,0,1,0,0,0.0,89,11.1
Robert Brazziel,212065,QB,LINCOK,1,2.81,2.51,2.67,4.65,30,1452,52.9,17,17,5.4,1.83,0,0,0.0,52.9,9,5,0.0,18,60.0,0,3,,,,,66.8,48.7,72.0,48.7,,,0,2,18,20.0,25.0,5.6,1,0,0,0,0,0,0.0,75,4.4,83.3,6,6,17.8,4.28,0,1,16.7,83.3,5,9,0.0,12,40.0,0,5,,,,,65.8,77.9,70.7,88.1,,55.6,0,0,12,22.2,118.8,16.7,2,4,0,0,0,0,0.0,83,13.8
Grayson Saunier,171185,QB,DARTMOUTH,1,2.26,2.26,,,30,148,84.2,19,19,2.8,1.86,0,0,0.0,84.2,16,2,0.0,19,63.3,0,9,,,,,67.0,74.9,72.2,74.3,,,0,0,19,0.0,102.4,0.0,0,0,0,0,0,0,0.0,163,8.6,70.0,10,11,16.5,2.94,0,1,9.1,54.5,6,4,14.3,11,36.7,1,4,,,,,65.6,69.1,70.4,68.7,,,0,1,11,0.0,40.3,0.0,0,0,0,1,0,1,9.1,81,7.4
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,1,3.06,2.64,4.73,6.9,30,144,84.6,13,15,1.3,1.76,1,0,0.0,66.7,10,2,9.1,15,50.0,1,5,,,,,66.4,55.4,71.4,55.2,,,1,0,15,0.0,82.1,0.0,0,0,0,0,0,1,6.7,88,5.9,62.5,8,10,19.0,4.36,0,1,10.0,40.0,4,10,20.0,15,50.0,1,2,,,,,66.4,53.9,71.4,56.1,,57.0,0,0,15,40.0,72.1,26.7,4,1,0,2,0,0,0.0,88,8.8
Luke Altmyer,146802,QB,ILLINOIS,1,2.85,2.45,3.77,5.0,30,187,76.9,13,14,5.8,1.72,1,0,0.0,71.4,10,3,0.0,14,46.7,0,3,,,,,66.4,30.6,71.4,31.0,,,0,0,15,0.0,78.6,0.0,0,0,0,0,0,2,13.3,57,4.1,57.1,7,8,18.7,3.83,0,0,0.0,50.0,4,12,0.0,16,53.3,0,3,,,,,66.5,53.0,71.6,54.5,,57.8,0,0,16,58.3,129.7,43.8,7,1,0,1,1,0,0.0,89,11.1
C'zavian Teasett,178078,QB,GRAMBLING,1,2.52,2.38,2.55,4.3,30,177,70.6,17,17,4.8,1.74,0,0,0.0,64.7,11,3,8.3,18,60.0,1,6,,,,,66.8,37.6,72.0,37.8,,,0,0,18,33.3,103.6,5.6,1,0,0,0,1,2,11.1,114,6.7,50.0,8,9,18.8,3.68,0,1,11.1,33.3,3,6,25.0,12,40.0,1,4,,,,,65.8,74.2,70.7,66.8,,71.0,0,0,12,16.7,60.0,8.3,1,2,0,1,0,0,0.0,65,7.2
Trinidad Chambliss,178723,QB,OLE MISS,1,2.85,2.54,6.6,5.1,30,226,76.9,13,15,7.5,1.82,1,0,0.0,66.7,10,1,0.0,15,50.0,0,5,,,,,66.7,56.1,71.8,55.9,,,1,0,17,0.0,122.2,0.0,0,0,0,0,2,0,0.0,90,6.0,72.7,11,12,17.2,3.88,0,3,25.0,58.3,7,6,12.5,15,50.0,1,6,,,,,66.4,90.9,71.4,91.1,,62.0,0,0,15,16.7,102.8,6.7,1,2,0,1,0,0,0.0,217,18.1
