player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
E.J. Warner,156185,QB,TEMPLE,1,2.57,2.5,2.7,4.9,68,306,79.5,39,41,4.5,1.94,1,0,0.0,70.7,29,8,6.5,41,60.3,2,17,,69.1,69.2,74.9,68.6,,,0,0,42,0.0,107.4,0.0,0,0,0,1,2,1,2.4,296,7.2,71.4,21,24,12.1,3.53,0,0,0.0,54.2,13,16,13.3,27,39.7,2,12,,68.0,64.0,73.6,63.6,,60.6,0,0,29,6.3,117.4,3.7,1,2,0,3,3,1,3.4,176,7.3
Cam Fancher,145266,QB,MARSHALL,1,2.87,2.46,3.78,4.79,65,214,81.5,27,27,4.4,1.74,0,0,0.0,70.4,19,3,13.6,28,43.1,3,7,,68.0,67.5,73.5,67.0,,,0,0,28,33.3,89.7,3.6,1,0,0,0,0,0,0.0,188,7.0,75.0,20,24,12.8,3.72,0,2,8.3,41.7,10,15,33.3,37,56.9,5,10,,29.9,54.8,74.6,55.7,,57.0,0,1,38,33.3,69.1,13.5,5,8,0,4,2,3,7.9,126,5.3
CJ Montes,146114,QB,FORDHAM,1,2.89,2.52,3.4,6.3,59,168,88.5,26,26,4.9,1.71,0,1,3.7,80.8,21,1,8.7,27,45.8,2,8,,68.0,67.3,73.5,66.8,,,0,0,28,100.0,103.7,3.7,1,0,0,0,1,0,0.0,151,5.8,69.6,23,25,15.1,3.88,0,2,7.7,56.0,14,13,12.5,32,54.2,2,12,,68.5,77.0,74.1,81.5,,53.4,1,0,33,15.4,87.3,6.3,2,5,0,1,0,0,0.0,231,9.2
Drake Maye,143969,QB,N CAROLINA,1,2.78,2.34,3.4,4.93,58,245,81.5,27,28,6.7,1.73,1,1,3.2,78.6,22,3,0.0,29,50.0,0,9,,68.4,69.5,74.0,68.9,,,0,0,32,33.3,142.9,3.4,1,0,0,0,3,0,0.0,272,9.7,68.8,16,19,13.2,3.83,1,2,10.5,57.9,11,19,0.0,29,50.0,0,9,,68.1,73.0,73.6,73.9,,62.4,0,0,29,5.3,87.6,3.4,1,9,0,2,0,0,0.0,170,8.9
Trenton Bourguet,97285,QB,ARIZONA ST,1,2.42,2.28,3.34,4.0,58,110,89.7,29,30,3.6,1.78,1,1,3.1,80.0,24,5,7.7,31,53.4,2,11,,68.4,69.1,74.1,68.5,,,0,0,33,20.0,109.4,3.2,1,0,0,0,1,1,3.0,228,7.6,50.0,16,19,12.1,3.28,0,0,0.0,42.1,8,11,0.0,26,44.8,0,7,,67.8,52.4,73.3,47.9,,66.7,0,0,26,36.4,60.6,15.4,4,3,0,3,0,1,3.8,107,5.6
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,1,2.65,2.69,3.3,,57,144,66.7,30,30,7.8,1.87,0,2,6.7,60.0,18,3,10.0,30,52.6,2,8,,68.2,61.4,73.7,61.1,,,0,0,30,0.0,73.9,0.0,0,0,0,0,0,0,0.0,157,5.2,38.1,21,25,15.8,3.65,0,1,3.7,28.0,7,11,12.5,26,45.6,1,2,,27.0,26.6,73.5,26.9,,,0,3,28,9.1,0.0,3.8,1,0,0,4,0,5,17.9,65,2.6
Nicholas Vattiato,145302,QB,MIDDLE TN,1,3.28,2.87,3.4,5.23,57,224,75.0,20,20,3.4,1.76,0,1,5.0,65.0,13,1,13.3,20,35.1,2,4,,67.1,60.6,72.4,60.4,,,0,0,20,0.0,96.9,0.0,0,0,0,0,1,1,5.0,115,5.8,70.0,20,21,17.9,4.09,0,2,8.3,61.9,13,19,7.1,37,64.9,1,11,,68.9,75.9,74.8,78.3,,59.5,0,2,40,42.1,82.0,21.6,8,8,0,1,1,1,2.5,293,14.0
Jake Willcox,148649,QB,BROWN,1,2.55,2.51,3.2,4.4,57,123,73.5,34,35,4.8,1.92,1,0,0.0,68.6,24,5,4.0,35,61.4,1,10,,68.6,72.8,74.3,72.2,,,0,0,35,0.0,81.8,0.0,0,0,0,0,0,0,0.0,190,5.4,50.0,16,20,10.6,3.55,1,0,0.0,35.0,7,8,12.5,22,38.6,1,7,,67.7,52.6,73.1,49.5,,64.9,0,2,25,12.5,8.5,4.5,1,1,0,3,0,2,8.0,81,4.1
Jeremy Moussa,75887,QB,FL A&M,1,2.34,2.31,2.5,3.8,56,164,63.6,33,33,4.6,1.78,0,0,0.0,60.6,20,2,4.8,33,58.9,1,15,,68.5,70.1,74.1,69.5,,,0,0,33,0.0,86.4,0.0,0,0,0,0,1,1,3.0,188,5.7,73.7,19,21,8.5,3.15,0,0,0.0,52.4,11,4,21.4,23,41.1,3,7,,67.7,78.4,73.1,77.1,,63.5,1,0,25,25.0,88.8,4.3,1,1,0,1,1,0,0.0,137,6.5
Pierce Holley,108981,QB,E ILLINOIS,1,2.77,2.71,2.85,4.25,54,158,72.7,22,24,8.2,1.85,2,2,8.3,66.7,16,4,0.0,25,46.3,0,10,,67.7,78.8,73.1,78.0,,,0,1,25,25.0,113.7,4.0,1,0,0,0,3,1,4.0,195,8.1,71.4,21,24,10.6,3.57,1,0,0.0,54.2,13,9,13.3,29,53.7,2,9,,68.4,75.0,74.0,76.3,,58.6,0,0,32,33.3,89.4,10.3,3,2,0,2,1,0,0.0,163,6.8
