player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Will Rogers,124184,QB,MISS STATE,1,2.39,2.3,3.28,3.4,65,227,77.4,31,33,6.6,1.71,1,0,0.0,69.7,23,1,4.2,34,52.3,1,8,,,,68.9,58.4,74.6,,58.1,,,,,0,1,38,100.0,100.6,2.9,1,0,0,1,3,2,5.3,180,5.5,87.5,24,26,2.7,3.14,2,0,0.0,73.1,19,12,9.5,31,47.7,2,8,,,,27.7,64.8,73.9,,61.9,,64.3,,,0,0,31,33.3,91.3,12.9,4,1,0,0,0,1,3.2,177,6.8
Cole Snyder,97617,QB,BUFFALO,1,2.84,2.55,3.38,5.0,60,126,72.7,22,25,6.7,1.99,1,1,4.0,60.0,15,5,6.3,26,43.3,1,7,,,,67.7,52.9,73.3,,52.8,,,,,0,0,26,20.0,102.1,3.8,1,0,0,2,2,1,3.8,140,5.6,57.1,21,24,12.1,3.49,0,2,8.0,41.7,10,16,16.7,34,56.7,2,7,,,,68.6,53.2,74.3,,59.7,,46.4,,,1,1,35,31.3,36.5,14.7,5,5,0,2,0,1,2.9,98,4.1
Clayton Tune,77652,QB,HOUSTON,1,3.24,3.1,3.6,5.65,60,182,85.7,14,15,2.9,1.79,0,0,0.0,80.0,12,1,0.0,15,25.0,0,9,,,,66.4,54.4,71.4,,54.2,,,,,0,1,15,0.0,111.8,0.0,0,0,0,1,2,1,6.7,120,8.0,73.0,37,38,16.8,3.81,0,3,7.5,63.2,24,11,11.1,44,73.3,3,22,,,,69.5,73.7,75.4,,71.4,,66.8,,,0,2,47,18.2,117.0,4.5,2,4,0,1,5,2,4.3,407,10.7
Tim Demorat,78498,QB,FORDHAM,1,2.85,2.5,3.4,6.88,58,168,73.1,26,26,9.5,2.01,0,1,3.7,69.2,18,4,5.3,26,44.8,1,8,,,,67.9,54.7,73.4,,54.5,,,,,0,2,27,0.0,75.2,0.0,0,0,0,0,2,3,11.1,136,5.2,56.0,25,25,17.4,3.53,0,2,7.4,52.0,13,8,7.1,32,55.2,1,10,,,,68.5,63.9,74.2,,60.0,,68.6,,,0,0,34,37.5,120.0,9.4,3,4,0,0,3,0,0.0,210,8.4
Jameson Wang,148782,QB,CORNELL,1,3.16,2.62,4.28,5.32,57,147,73.1,26,26,8.8,2.01,0,2,7.4,61.5,16,6,15.8,28,49.1,3,7,,,,27.3,64.5,73.6,,69.4,,49.9,,,0,1,29,16.7,74.2,3.6,1,1,0,0,1,2,6.9,150,5.8,35.7,14,18,18.1,4.27,0,1,5.3,22.2,4,17,20.0,29,50.9,1,3,,,,68.2,43.1,73.7,,36.3,,63.0,,,0,1,30,17.6,35.6,10.3,3,8,0,4,1,1,3.3,57,3.2
Bryce Young,123943,QB,ALABAMA,1,2.85,2.74,4.4,4.05,55,103,60.0,25,25,8.5,1.88,0,1,3.8,56.0,14,4,6.7,25,45.5,1,8,,,,67.8,64.7,73.3,,64.3,,,,,0,0,26,0.0,81.3,0.0,0,0,0,0,0,1,3.8,195,7.8,57.9,19,26,9.9,3.65,0,1,3.6,42.3,11,18,0.0,30,54.5,0,7,,,,68.5,58.1,74.1,,56.7,,62.6,,,3,1,33,11.1,55.4,6.7,2,2,0,4,1,1,3.0,133,5.1
Michael Penix Jr.,82134,QB,WASHINGTON,1,2.66,2.59,,4.7,54,340,82.1,28,28,3.0,1.75,0,0,0.0,75.0,21,7,8.7,28,51.9,2,12,,,,68.2,74.3,73.7,,73.6,,,,,0,0,30,0.0,92.0,0.0,0,0,0,0,0,0,0.0,184,6.6,45.0,20,24,12.9,3.65,0,0,0.0,37.5,9,13,0.0,26,48.1,0,5,,,,67.9,60.3,73.4,,62.8,,53.8,,,0,1,27,0.0,49.7,0.0,0,2,0,4,1,0,0.0,114,4.8
Trenton Bourguet,97285,QB,ARIZONA ST,1,2.35,2.23,2.93,4.3,54,110,86.2,29,29,1.9,1.84,0,2,6.1,82.8,24,9,4.0,30,55.6,1,13,,,,68.5,74.9,74.2,,74.3,,,,,0,0,34,11.1,96.6,3.3,1,0,0,0,0,0,0.0,208,7.2,78.9,19,20,7.7,2.99,1,0,0.0,70.0,14,11,6.7,24,44.4,1,10,,,,67.7,68.4,73.1,,63.7,,69.9,,,0,1,25,18.2,102.3,8.3,2,2,0,0,2,1,4.0,141,7.1
Sam Hartman,77618,QB,WAKE,1,3.19,3.11,3.83,3.85,54,339,83.3,12,12,10.2,1.91,0,2,15.4,75.0,9,4,10.0,13,24.1,1,4,,,,66.2,83.3,71.2,,82.6,,,,,0,1,14,25.0,69.8,7.7,1,0,0,0,0,0,0.0,115,9.6,60.0,35,36,15.3,3.6,1,2,5.3,55.6,20,18,4.8,41,75.9,1,15,,,,69.2,78.1,75.0,,79.5,,53.8,,,0,2,43,16.7,76.4,7.3,3,2,0,0,2,2,4.7,282,7.8
Emmett Morehead,143834,QB,BOSTON COL,1,2.97,2.59,4.06,5.93,54,121,75.0,20,21,5.7,1.88,0,0,0.0,61.9,13,6,13.3,22,40.7,2,6,,,,67.6,62.1,73.0,,61.8,,,,,0,0,24,16.7,117.3,4.5,1,0,0,1,3,0,0.0,121,5.8,66.7,21,24,10.2,3.72,0,3,12.0,58.3,14,14,0.0,32,59.3,0,11,,,,68.5,76.6,74.1,,73.1,,68.5,,,0,0,33,28.6,100.9,12.5,4,4,0,3,1,0,0.0,209,8.7
