player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Caden Veltkamp,156642,QB,FAU,1,2.76,2.53,5.05,5.1,56,165,81.5,27,28,6.1,1.74,1,1,3.6,71.4,20,5,9.1,28,50.0,2,10,,,,,68.0,77.0,73.5,,76.3,,,,,,0,0,28,0.0,103.3,0.0,0,0,0,0,1,0,0.0,200,7.1,61.9,21,23,13.1,3.79,0,2,8.0,56.5,13,14,0.0,28,50.0,0,5,,,,,68.2,44.4,73.7,,46.8,,,52.4,,,0,3,30,14.3,50.0,7.1,2,3,0,2,1,5,16.7,143,6.2
Matt Vezza,176960,QB,NEW HAMP,1,2.48,2.23,2.28,4.21,56,240,73.3,30,31,6.6,1.76,1,2,6.5,64.5,20,5,9.1,34,60.7,2,10,,,,,68.5,59.7,74.2,,59.4,,,,,,0,0,34,60.0,89.3,8.8,3,0,0,0,1,1,2.9,169,5.5,46.2,13,13,15.1,3.58,0,1,7.1,38.5,5,12,16.7,22,39.3,1,7,,,,,67.5,58.3,72.8,,52.6,,,65.7,,,0,0,23,16.7,63.0,9.1,2,7,0,0,0,2,8.7,90,6.9
Nicholas Vattiato,145302,QB,MIDDLE TN,1,2.85,2.5,3.58,4.4,56,224,80.0,25,25,5.4,1.8,0,1,3.8,72.0,18,3,10.0,26,46.4,2,7,,,,,67.9,72.2,73.4,,71.6,,,,,,0,0,27,33.3,99.8,3.8,1,0,0,0,1,0,0.0,146,5.8,70.6,17,19,9.6,3.77,0,0,0.0,47.4,9,16,25.0,30,53.6,3,9,,,,,68.3,57.5,73.9,,61.2,,,54.5,,,0,1,31,18.8,41.8,10.0,3,8,0,2,0,0,0.0,101,5.3
DJ Lagway,184426,QB,FLORIDA,1,2.52,2.29,4.53,4.27,55,163,77.4,31,32,3.4,1.7,1,0,0.0,71.9,23,6,4.2,32,58.2,1,4,,,,,68.5,51.3,74.1,,51.2,,,,,,0,2,33,0.0,68.4,0.0,0,0,0,0,1,4,12.1,169,5.3,66.7,15,17,13.6,3.66,0,3,15.0,58.8,10,12,0.0,23,41.8,0,8,,,,,67.8,74.7,73.3,,72.0,,,66.6,,,0,3,26,25.0,40.4,13.0,3,3,0,2,0,3,11.5,118,6.9
Derek Robertson,142298,QB,MONMOUTH,1,2.21,2.1,2.85,5.2,54,231,88.2,34,36,7.1,1.75,1,0,0.0,77.8,28,2,6.7,37,68.5,2,18,,,,,68.8,76.4,74.5,,75.7,,,,,,0,0,37,50.0,109.6,2.7,1,0,0,1,1,1,2.7,291,8.1,72.7,11,13,19.9,3.21,0,2,14.3,61.5,8,10,0.0,17,31.5,0,6,,,,,66.8,85.9,72.0,,82.8,,,64.3,,,0,0,18,30.0,131.1,17.6,3,1,0,2,3,0,0.0,119,9.2
Darian Mensah,169984,QB,DUKE,1,3.09,3.01,,7.2,52,154,77.8,18,19,8.1,2.02,1,1,5.0,68.4,13,4,7.1,19,36.5,1,7,,,,,67.1,84.3,72.4,,83.5,,,,,,0,0,20,0.0,119.2,0.0,0,0,0,0,2,0,0.0,114,6.0,69.0,29,32,12.0,3.71,0,3,8.3,53.1,17,14,15.0,33,63.5,3,11,,,,,68.8,71.6,74.5,,72.5,,,57.3,,,0,1,37,0.0,69.7,0.0,0,1,0,3,1,1,2.7,199,6.2
Luke Weaver,198494,QB,HAWAII,1,2.54,2.09,3.0,4.76,52,180,82.1,28,28,5.4,1.71,0,0,0.0,67.9,19,0,17.4,28,53.8,4,6,,,,,68.2,70.9,73.9,,70.3,,,,,,0,0,30,,107.6,0.0,0,0,0,0,2,0,0.0,169,6.0,53.8,13,14,12.3,3.51,1,1,6.3,50.0,7,10,0.0,24,46.2,0,5,,,,,67.9,54.6,73.4,,55.0,,,57.8,,,0,0,27,20.0,64.9,8.3,2,8,0,0,0,1,3.7,71,5.1
Kyron Drones,144506,QB,VA TECH,1,3.71,3.29,4.85,5.41,50,337,78.6,14,14,1.5,1.97,0,0,0.0,78.6,11,2,0.0,14,28.0,0,4,,,,,66.5,73.4,71.6,,72.9,,,,,,0,0,16,0.0,106.5,0.0,0,0,0,0,1,0,0.0,54,3.9,65.2,23,25,14.3,4.39,0,2,8.0,60.0,15,19,0.0,36,72.0,0,8,,,,,20.1,55.7,74.5,,61.1,,,50.3,,,0,1,37,21.1,97.4,11.1,4,7,0,2,2,3,8.1,212,8.5
Tad Hudson,170107,QB,COAST CAR,1,2.69,2.52,3.2,3.63,49,141,72.7,22,23,7.1,1.81,1,1,4.2,56.5,13,10,18.8,24,49.0,3,8,,,,,67.7,67.7,73.1,,67.3,,,,,,0,1,25,10.0,48.6,4.2,1,0,0,0,0,1,4.0,97,4.2,61.5,13,16,11.6,3.53,0,3,15.8,37.5,6,15,25.0,25,51.0,2,5,,,,,26.3,90.0,73.5,,91.6,,,53.6,,,0,1,28,33.3,26.8,20.0,5,4,0,3,0,2,7.1,75,4.7
Maalik Murphy,157302,QB,OREGON ST,1,2.34,2.26,3.0,3.8,48,265,79.3,29,29,4.7,1.86,0,0,0.0,65.5,19,7,17.4,31,64.6,4,8,,,,,68.3,66.8,73.9,,66.3,,,,,,0,1,31,28.6,87.6,6.5,2,0,0,0,2,1,3.2,155,5.3,46.7,15,15,17.9,3.2,0,1,6.7,40.0,6,8,14.3,17,35.4,1,5,,,,,66.7,64.1,71.8,,66.1,,,57.0,,,0,1,17,12.5,42.9,5.9,1,1,0,0,0,0,0.0,127,8.5
