player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Darius Perrantes,103934,QB,DUQUESNE,1,2.67,2.66,3.0,,34,155,70.6,17,17,5.4,2.04,0,0,0.0,58.8,10,5,16.7,17,50.0,2,5,,66.7,54.2,71.8,54.1,,,0,0,17,0.0,66.8,0.0,0,0,0,0,0,1,5.9,64,3.8,56.3,16,16,22.3,3.31,0,3,18.8,43.8,7,7,22.2,17,50.0,2,7,,66.5,67.5,71.8,67.0,,,0,7,17,14.3,90.6,5.9,1,0,0,0,2,5,29.4,232,14.5
Kevin Jennings,158272,QB,SMU,1,2.69,2.65,4.0,,34,287,82.4,17,17,6.6,1.54,0,0,0.0,82.4,14,2,0.0,17,50.0,0,8,,66.8,73.9,72.0,73.3,,,0,1,18,0.0,121.1,0.0,0,0,0,0,2,1,5.6,162,9.5,68.8,16,16,12.3,3.85,0,1,6.3,68.8,11,7,0.0,17,50.0,0,8,,22.4,84.0,71.8,83.2,,,0,0,17,14.3,101.3,5.9,1,0,0,0,0,1,5.9,161,10.1
Jaden Johnson,98682,QB,PRVIEW A&M,1,3.03,2.57,3.43,4.62,34,270,72.7,11,11,8.2,1.97,0,0,0.0,72.7,8,3,0.0,12,35.3,0,3,,65.8,66.5,70.7,66.2,,,0,0,12,33.3,77.5,8.3,1,0,0,0,0,0,0.0,39,3.5,60.0,10,12,16.4,3.6,0,0,0.0,41.7,5,12,16.7,22,64.7,1,5,,14.6,52.4,72.7,44.8,,67.0,0,1,22,41.7,30.9,22.7,5,5,0,2,0,3,13.6,83,6.9
Grayson James,145214,QB,BOSTON COL,1,2.99,2.61,3.2,4.96,33,121,90.9,11,11,5.3,1.87,0,0,0.0,90.9,10,1,0.0,11,33.3,0,5,,66.0,72.3,71.0,71.8,,,0,0,13,0.0,123.1,0.0,0,0,0,0,1,0,0.0,69,6.3,61.5,13,16,11.5,3.55,0,1,5.9,50.0,8,12,0.0,22,66.7,0,8,,67.5,67.4,72.8,64.0,,65.5,0,0,23,8.3,76.0,4.5,1,5,0,3,0,0,0.0,124,7.8
Ashton Daniels,157259,QB,STANFORD,1,3.32,2.78,2.7,6.36,33,300,84.6,13,15,4.2,1.89,1,0,0.0,66.7,10,3,9.1,15,45.5,1,6,,66.4,76.1,71.4,75.5,,,0,0,15,0.0,79.3,0.0,0,0,0,1,0,0,0.0,78,5.2,50.0,8,11,15.1,4.51,0,0,0.0,36.4,4,14,0.0,18,54.5,0,3,,66.7,56.6,72.0,62.9,,52.6,0,0,18,14.3,55.5,11.1,2,5,0,3,0,0,0.0,61,5.5
Aidan Bouman,122508,QB,S DAKOTA,1,2.38,2.37,2.4,,33,291,64.3,14,16,11.5,2.02,0,3,17.6,50.0,8,5,11.1,17,51.5,1,7,,66.8,75.6,72.0,75.0,,,1,0,18,20.0,96.6,5.9,1,0,0,1,1,2,11.1,123,7.7,71.4,14,14,7.7,2.75,0,1,6.7,71.4,10,6,0.0,16,48.5,0,7,,22.7,53.3,71.8,53.2,,,0,0,17,33.3,129.5,12.5,2,0,0,0,1,1,5.9,148,10.6
Mikey Keene,70961,QB,FRESNO ST,1,2.91,2.67,4.95,6.1,33,169,83.3,18,19,9.1,1.87,1,0,0.0,78.9,15,2,0.0,20,60.6,0,7,,67.2,71.6,72.5,71.0,,,0,0,21,50.0,136.6,5.0,1,0,0,0,2,0,0.0,159,8.4,75.0,8,11,5.4,4.51,0,0,0.0,54.5,6,8,0.0,13,39.4,0,1,,66.5,48.2,71.6,49.9,,57.3,0,0,16,12.5,60.0,7.7,1,1,0,3,0,1,6.3,27,2.5
Kaleb Jackson,167198,QB,CHARLES SO,1,2.65,2.6,4.5,,33,135,93.8,16,17,1.2,2.01,1,0,0.0,88.2,15,1,0.0,17,51.5,0,5,,66.8,68.5,72.0,68.1,,,0,0,18,0.0,111.8,0.0,0,0,0,0,1,0,0.0,104,6.1,70.0,10,15,8.1,3.34,1,0,0.0,46.7,7,6,0.0,16,48.5,0,7,,66.5,66.6,71.6,66.3,,,0,1,16,16.7,44.9,6.3,1,0,0,4,0,0,0.0,114,7.6
Aidan Chiles,173727,QB,MICH STATE,1,3.15,3.05,4.65,,33,223,63.6,11,11,8.8,2.09,0,1,8.3,63.6,7,3,0.0,11,33.3,0,2,,65.8,71.8,70.7,71.4,,,0,0,12,0.0,116.5,0.0,0,0,0,0,1,0,0.0,82,7.5,61.1,18,20,11.3,3.68,0,0,0.0,40.0,8,13,27.3,22,66.7,3,6,,67.5,71.2,72.8,70.6,,,0,0,23,15.4,68.1,9.1,2,0,0,2,1,0,0.0,77,3.9
Drew Allar,164157,QB,PENN STATE,1,2.67,2.36,3.65,4.9,33,266,76.5,17,17,5.9,1.93,0,1,5.9,70.6,12,4,7.7,17,51.5,1,6,,66.7,57.6,71.8,57.4,,,0,0,17,0.0,88.4,0.0,0,0,0,0,0,0,0.0,112,6.6,81.8,11,11,13.5,3.45,0,1,8.3,81.8,9,6,0.0,16,48.5,0,7,,66.7,64.4,71.8,66.1,,58.0,0,0,17,33.3,147.0,12.5,2,3,0,0,1,0,0.0,132,12.0
