player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Cam Ward,133244,QB,INCAR WORD,1,2.6,2.09,3.69,5.73,68,189,79.5,39,39,4.0,1.57,0,0,0.0,76.9,30,9,3.2,41,60.3,1,18,,,,,69.0,61.7,74.9,,61.3,,,,,,0,0,41,22.2,128.7,4.9,2,0,0,0,4,1,2.4,265,6.8,69.2,13,15,6.8,4.16,0,0,0.0,60.0,9,21,0.0,27,39.7,0,5,,,,,17.7,42.7,73.6,,30.0,,,69.4,,,0,0,29,28.6,69.6,22.2,6,6,0,2,0,2,6.9,63,4.2
Will Rogers,124184,QB,MISS STATE,1,2.88,2.77,3.03,4.83,64,227,87.0,23,24,5.8,1.68,1,1,4.2,79.2,19,0,5.0,24,37.5,1,13,,,,,67.6,80.4,73.0,,79.6,,,,,,0,0,24,,112.5,0.0,0,0,0,0,1,0,0.0,184,7.7,73.3,30,34,8.4,3.6,1,0,0.0,55.9,19,13,13.6,40,62.5,3,8,,,,,69.4,64.5,75.2,,67.7,,,50.3,,,0,0,45,23.1,67.3,7.5,3,3,0,3,0,1,2.2,152,4.5
Bryce Young,123943,QB,ALABAMA,1,3.07,2.61,5.06,6.4,61,103,61.5,26,27,11.5,1.95,1,1,3.4,55.6,15,1,6.3,27,44.3,1,7,,,,,68.1,72.0,73.6,,71.4,,,,,,0,0,29,0.0,97.6,0.0,0,0,0,0,2,1,3.4,159,5.9,60.0,20,24,13.5,3.96,0,3,12.5,41.7,10,19,16.7,34,55.7,2,8,,,,,68.6,78.9,74.3,,74.8,,,70.5,,,2,1,35,36.8,46.9,20.6,7,3,0,2,0,1,2.9,158,6.6
Malik Willis,60341,QB,LIBERTY,1,3.45,3.07,5.26,4.5,59,206,66.7,21,21,10.5,2.12,0,1,4.8,61.9,13,5,7.1,21,35.6,1,8,,,,,67.2,64.7,72.5,,64.3,,,,,,0,0,21,0.0,101.9,0.0,0,0,0,0,1,1,4.8,163,7.8,75.0,24,25,15.5,4.18,0,6,22.2,44.0,11,24,38.9,38,64.4,7,10,,,,,69.1,85.9,4.2,,86.7,,,67.7,,,1,1,41,20.8,45.8,13.2,5,8,0,0,0,1,2.4,142,5.7
Brett Gabbert,97404,QB,MIAMI OH,1,2.71,2.59,,4.0,56,221,70.4,27,27,8.7,2.06,0,3,10.0,66.7,18,1,5.3,27,48.2,1,13,,,,,68.2,75.4,73.7,,74.7,,,,,,0,1,30,0.0,99.5,0.0,0,0,0,0,2,2,6.7,211,7.8,52.2,23,24,17.4,3.32,0,4,14.8,33.3,8,12,33.3,29,51.8,4,8,,,,,68.4,70.4,74.0,,74.3,,,53.4,,,0,1,32,0.0,74.8,0.0,0,5,0,1,2,3,9.4,199,8.3
N'Kosi Perry,60446,QB,FAU,1,2.13,1.87,3.1,4.85,55,165,86.1,36,39,3.6,1.57,2,0,0.0,66.7,26,6,16.1,39,70.9,5,6,,,,,68.9,66.3,74.7,,65.8,,,,,,1,1,39,0.0,62.8,0.0,0,0,0,0,0,1,2.6,148,3.8,75.0,8,10,29.6,3.5,0,2,20.0,60.0,6,8,0.0,16,29.1,0,6,,,,,21.8,80.2,71.6,,86.8,,,56.3,,,1,0,16,25.0,143.8,12.5,2,4,0,1,2,1,6.3,180,18.0
Caleb Williams,144622,QB,OKLAHOMA,1,3.88,3.27,4.32,7.44,53,261,64.3,14,14,12.1,1.81,0,3,18.8,64.3,9,1,0.0,14,26.4,0,6,,,,,66.5,84.3,71.6,,83.5,,,,,,0,0,16,0.0,131.8,0.0,0,0,0,0,3,0,0.0,123,8.8,54.5,22,25,12.7,4.75,0,0,0.0,44.0,11,22,8.3,38,71.7,1,9,,,,,29.7,51.1,74.7,,57.6,,,46.8,,,0,0,39,27.3,60.3,15.8,6,7,0,3,0,2,5.1,129,5.2
Cole Kelley,39945,QB,SE LA,1,2.48,2.29,3.2,4.22,53,294,80.8,26,27,3.7,1.89,1,0,0.0,70.4,19,3,9.5,27,50.9,2,10,,,,,67.9,67.0,73.4,,66.6,,,,,,0,1,27,0.0,97.1,0.0,0,0,0,0,2,1,3.7,176,6.5,73.3,15,17,10.9,3.22,1,3,15.8,64.7,11,12,0.0,25,47.2,0,9,,,,,67.9,71.2,73.4,,78.1,,,52.0,,,1,0,27,25.0,134.7,12.0,3,5,0,0,2,0,0.0,161,9.5
C.J. Stroud,129759,QB,OHIO STATE,1,2.65,2.63,2.93,,53,260,76.0,25,25,8.2,2.09,0,1,3.8,72.0,18,7,5.3,26,49.1,1,11,,,,,67.9,74.2,73.4,,73.6,,,,,,0,0,27,14.3,127.4,3.8,1,0,0,0,2,0,0.0,232,9.3,82.6,23,24,7.9,3.19,1,0,0.0,66.7,16,18,15.8,27,50.9,3,8,,,,,68.0,72.5,73.5,,67.1,,,69.0,,,0,0,28,16.7,85.8,11.1,3,0,0,0,0,1,3.6,162,6.8
Brennan Armstrong,77696,QB,VIRGINIA,1,2.82,2.54,4.25,5.9,52,335,73.1,26,26,6.4,1.94,0,1,3.6,73.1,19,4,0.0,26,50.0,0,12,,,,,68.0,65.5,73.5,,65.1,,,,,,0,1,28,0.0,93.6,0.0,0,0,0,0,1,2,7.1,211,8.1,72.2,18,19,10.2,3.84,1,2,10.0,52.6,10,11,23.1,25,48.1,3,10,,,,,26.3,75.3,73.5,,70.4,,,71.0,,,0,0,26,18.2,88.5,8.0,2,4,0,0,0,2,7.7,194,10.2
Tyler Van Dyke,122225,QB,MIAMI FL,1,2.63,2.51,5.35,,51,220,76.0,25,25,5.6,1.59,0,2,8.0,76.0,19,0,0.0,25,49.0,0,11,,,,,67.7,75.3,73.1,,74.7,,,,,,0,0,25,,126.3,0.0,0,0,0,0,2,0,0.0,205,8.2,68.2,22,24,11.2,3.62,0,3,11.1,62.5,15,9,0.0,26,51.0,0,8,,,,,27.3,77.6,73.9,,77.1,,,,,,0,0,29,22.2,98.6,7.7,2,0,0,2,1,1,3.4,176,7.3
Tanner Mordecai,77656,QB,SMU,1,2.56,2.42,2.65,4.7,51,287,74.1,27,27,6.2,1.85,0,2,7.4,55.6,15,4,25.0,28,54.9,5,8,,,,,68.0,73.5,73.5,,72.9,,,,,,0,0,28,25.0,74.6,3.6,1,0,0,0,0,1,3.6,170,6.3,66.7,18,19,10.3,3.43,0,0,0.0,57.9,11,13,8.3,23,45.1,1,4,,,,,67.5,49.8,73.0,,49.3,,,59.1,,,0,2,24,7.7,56.4,4.3,1,3,0,1,1,2,8.3,128,6.7
Bailey Zappe,60396,QB,W KENTUCKY,1,2.88,2.76,3.75,6.9,51,346,73.9,23,25,6.7,1.9,1,1,3.7,64.0,16,1,5.9,25,49.0,1,8,,,,,67.9,62.2,73.4,,61.9,,,,,,0,0,27,0.0,92.8,0.0,0,0,0,1,1,1,3.7,144,5.8,47.6,21,23,18.0,3.82,0,3,13.0,39.1,9,10,10.0,26,51.0,1,6,,,,,26.3,63.2,73.3,,64.4,,,57.3,,,0,0,26,20.0,107.6,7.7,2,1,0,2,3,3,11.5,184,8.0
Jason Shelley,60581,QB,MO STATE,1,2.75,2.54,3.26,4.77,50,230,65.0,20,22,6.8,1.85,2,1,4.3,59.1,13,6,0.0,23,46.0,0,8,,,,,67.6,60.6,73.0,,60.3,,,,,,0,2,24,16.7,67.8,4.3,1,0,0,0,2,1,4.2,127,5.8,47.4,19,20,15.4,3.51,0,0,0.0,45.0,9,12,0.0,27,54.0,0,6,,,,,27.0,34.1,73.5,,29.8,,,66.1,,,0,1,28,33.3,67.1,14.8,4,3,0,1,1,2,7.1,152,7.6
Matt Myers,77698,QB,BUFFALO,1,3.45,3.12,3.8,5.13,49,126,85.7,7,9,5.4,2.03,2,0,0.0,44.4,4,0,33.3,9,18.4,2,1,,,,,65.1,73.6,69.8,,73.2,,,,,,0,0,9,,61.8,0.0,0,0,0,0,0,0,0.0,49,5.4,65.4,26,30,13.7,3.77,0,0,0.0,46.7,14,14,17.6,40,81.6,3,9,,,,,69.1,35.6,74.9,,31.6,,,61.6,,,1,4,41,21.4,20.7,7.5,3,7,0,3,0,6,14.6,139,4.6
Max Johnson,124099,QB,LSU,1,2.58,2.32,3.08,4.35,48,211,95.2,21,24,6.3,1.75,2,2,8.3,62.5,15,3,25.0,24,50.0,5,9,,,,,67.6,92.0,73.0,,91.7,,,,,,1,0,24,0.0,116.3,0.0,0,0,0,0,2,0,0.0,198,8.3,75.0,12,14,11.1,3.42,0,2,13.3,50.0,7,13,22.2,24,50.0,2,6,,,,,67.7,81.6,73.1,,82.7,,,62.1,,,1,0,25,46.2,99.7,25.0,6,4,0,1,1,0,0.0,108,7.7
Seth Henigan,144267,QB,MEMPHIS,1,2.74,2.44,5.0,4.5,48,218,67.9,28,29,8.0,2.06,0,0,0.0,65.5,19,8,0.0,29,60.4,0,13,,,,,68.3,63.0,73.9,,62.6,,,,,,0,0,31,0.0,114.3,0.0,0,0,0,1,2,1,3.2,241,8.3,69.2,13,13,7.4,3.79,0,1,7.7,61.5,8,8,11.1,19,39.6,1,5,,,,,67.0,68.6,72.2,,67.4,,,62.4,,,0,0,19,50.0,109.5,21.1,4,2,0,0,1,0,0.0,95,7.3
Will Plummer,131592,QB,ARIZONA,1,2.98,2.54,3.85,5.68,47,109,91.3,23,24,5.3,1.84,0,2,7.7,87.5,21,2,0.0,24,51.1,0,11,,,,,67.8,89.9,73.3,,88.8,,,,,,0,0,26,0.0,117.0,0.0,0,0,0,1,1,0,0.0,210,8.8,80.0,10,14,13.8,4.17,0,1,6.7,50.0,7,14,12.5,23,48.9,1,5,,,,,25.6,48.7,73.4,,46.9,,,59.0,,,0,1,24,28.6,54.5,17.4,4,5,0,4,0,2,8.3,136,9.7
