player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Noah Walters,164315,QB,N ALABAMA,1,2.5,2.37,4.1,5.8,66,389,70.7,41,41,6.2,1.91,0,1,2.3,65.9,27,8,6.9,41,62.1,2,13,,,,,69.1,58.8,75.0,,58.5,,,,,,0,0,43,0.0,80.3,0.0,0,0,0,0,0,0,0.0,230,5.6,47.4,19,22,10.7,3.46,0,0,0.0,40.9,9,9,0.0,25,37.9,0,5,,,,,27.0,43.4,73.7,,42.7,,,59.5,,,1,1,28,11.1,38.3,4.0,1,2,0,2,0,1,3.6,111,5.0
JR Blood,104782,QB,SOUTHERN U,1,2.78,2.61,3.61,3.38,58,297,78.3,23,23,7.2,1.75,0,1,4.3,73.9,17,5,5.6,24,41.4,1,8,,,,,67.6,72.7,73.0,,72.1,,,,,,0,1,24,20.0,92.7,4.2,1,0,0,0,1,0,0.0,180,7.8,47.6,21,24,17.5,3.51,0,0,0.0,37.5,9,18,10.0,34,58.6,1,7,,,,,28.9,50.6,74.2,,51.7,,,55.8,,,0,1,34,33.3,41.1,17.6,6,4,0,3,0,2,5.9,145,6.0
Conner Weigman,158683,QB,TEXAS A&M,1,2.61,2.47,5.6,3.97,57,312,80.0,25,28,6.8,1.99,1,0,0.0,67.9,19,13,5.0,28,49.1,1,8,,,,,68.0,80.9,73.5,,80.1,,,,,,1,1,28,0.0,96.4,0.0,0,0,0,1,2,0,0.0,194,6.9,63.6,22,25,10.3,3.2,0,1,3.3,48.0,12,16,14.3,29,50.9,2,8,,,,,68.5,69.1,74.2,,66.9,,,65.2,,,1,1,34,6.3,49.1,3.4,1,3,0,2,0,2,5.9,142,5.7
Matt Morrissey,148177,QB,W ILLINOIS,1,2.91,2.63,3.43,4.82,54,345,78.3,23,26,7.3,1.88,2,0,0.0,69.2,18,8,0.0,28,51.9,0,7,,,,,27.0,63.8,73.5,,63.5,,,,,,1,0,28,25.0,81.3,7.1,2,0,0,0,0,1,3.6,134,5.2,50.0,12,15,14.5,4.18,0,1,6.3,26.7,4,17,33.3,25,46.3,2,4,,,,,67.8,53.2,73.3,,58.8,,,50.9,,,0,0,26,23.5,67.4,16.0,4,6,0,3,1,0,0.0,65,4.3
Matthew Caldwell,150302,QB,GARD-WEBB,1,2.02,1.92,2.8,4.15,53,171,81.0,42,43,5.5,1.66,0,2,4.4,72.1,31,8,8.8,43,81.1,3,14,,,,,69.3,72.3,75.2,,71.6,,,,,,1,0,45,0.0,103.6,0.0,0,0,0,0,2,0,0.0,268,6.2,75.0,4,7,11.3,3.55,0,0,0.0,42.9,3,6,0.0,10,18.9,0,2,,,,,65.6,63.6,70.4,,70.2,,,53.5,,,0,0,11,16.7,58.0,10.0,1,2,0,3,0,0,0.0,34,4.9
Shedeur Sanders,131396,QB,COLORADO,1,3.23,2.82,4.77,5.35,53,143,82.6,23,23,7.3,1.88,0,1,4.3,82.6,19,8,0.0,26,49.1,0,8,,,,,67.8,80.2,73.3,,79.5,,,,,,0,0,26,37.5,103.3,11.5,3,0,0,0,0,0,0.0,202,8.8,83.3,18,20,13.9,4.54,0,2,9.1,60.0,12,14,20.0,27,50.9,3,10,,,,,68.1,90.7,0.0,,92.6,,,54.6,,,0,0,29,21.4,125.2,11.1,3,4,0,2,2,0,0.0,191,9.6
Brennan Armstrong,77696,QB,NC STATE,1,2.83,2.43,4.0,7.23,52,248,66.7,30,32,8.6,1.93,0,0,0.0,50.0,16,7,20.0,32,61.5,4,6,,,,,68.5,67.7,74.1,,67.2,,,,,,1,1,33,0.0,60.0,0.0,0,0,0,1,1,0,0.0,145,4.5,42.9,14,15,19.4,4.27,0,1,5.9,40.0,6,11,0.0,20,38.5,0,5,,,,,67.5,38.3,72.8,,37.7,,,56.9,,,0,2,23,9.1,50.0,5.0,1,4,0,1,1,3,13.0,115,7.7
Jayden de Laura,131928,QB,ARIZONA,1,3.21,2.8,6.8,6.3,52,109,86.4,22,22,2.2,1.76,0,0,0.0,86.4,19,5,0.0,22,42.3,0,8,,,,,67.5,77.9,72.8,,77.3,,,,,,0,0,23,0.0,110.0,0.0,0,0,0,0,1,0,0.0,149,6.8,65.0,20,24,11.2,4.27,2,2,7.4,54.2,13,15,0.0,30,57.7,0,10,,,,,68.5,58.2,74.1,,55.3,,,64.4,,,0,4,33,6.7,56.8,3.3,1,5,0,2,1,4,12.1,203,8.5
Max Brosmer,105568,QB,NEW HAMP,1,2.5,2.48,3.4,,52,240,80.0,25,27,5.6,1.97,1,1,3.6,70.4,19,7,5.0,27,51.9,1,10,,,,,68.0,62.4,73.5,,62.1,,,,,,0,1,28,0.0,111.7,0.0,0,0,0,1,2,1,3.6,270,10.0,76.2,21,24,10.3,3.07,0,1,3.7,54.2,13,16,18.8,25,48.1,3,11,,,,,68.0,65.8,73.5,,65.3,,,,,,3,0,28,6.3,113.7,4.0,1,0,0,0,2,2,7.1,223,9.3
E.J. Warner,156185,QB,TEMPLE,1,2.25,2.16,3.0,3.85,50,306,52.8,36,39,10.6,1.86,3,1,2.3,43.6,17,8,10.5,39,78.0,2,9,,,,,69.2,52.8,75.0,,52.8,,,,,,0,1,43,0.0,55.3,0.0,0,0,0,0,1,2,4.7,178,4.6,66.7,6,8,14.3,3.61,1,0,0.0,37.5,3,7,25.0,11,22.0,1,4,,,,,19.2,30.4,70.7,,48.2,,,34.6,,,1,1,12,14.3,20.8,9.1,1,2,0,0,0,1,8.3,52,6.5
Kekoa Visperas,147588,QB,E WASHGTON,1,2.86,2.86,1.9,3.3,49,161,77.8,18,18,6.0,1.93,0,1,5.3,66.7,12,5,14.3,19,38.8,2,4,,,,,67.1,68.1,72.4,,67.6,,,,,,0,0,20,20.0,82.2,5.3,1,0,0,0,0,0,0.0,106,5.9,57.7,26,28,13.9,3.44,0,1,3.6,53.6,15,15,0.0,30,61.2,0,9,,,,,68.3,59.5,74.1,,59.9,,,58.5,,,0,1,31,0.0,74.6,0.0,0,2,0,2,2,2,6.5,127,4.5
Jacob Clark,101628,QB,MO STATE,1,2.76,2.48,5.5,3.99,49,230,76.2,21,22,7.5,1.94,1,0,0.0,63.6,14,2,12.5,22,44.9,2,10,,,,,67.4,79.4,72.7,,78.6,,,,,,0,0,22,0.0,121.0,0.0,0,0,0,0,2,0,0.0,188,8.5,52.6,19,19,15.8,3.43,0,0,0.0,47.4,9,15,10.0,27,55.1,1,9,,,,,17.4,51.3,73.5,,62.2,,,42.4,,,0,0,28,6.7,90.7,3.7,1,7,0,0,1,2,7.1,144,7.6
Byrum Brown,156206,QB,USF,1,2.88,2.43,3.47,4.54,49,327,89.5,19,19,1.6,1.7,0,0,0.0,84.2,16,2,5.9,21,42.9,1,8,,,,,67.4,68.7,72.7,,68.3,,,,,,0,0,22,100.0,125.2,9.5,2,0,0,0,2,0,0.0,107,5.6,37.5,16,16,21.6,3.77,0,0,0.0,31.3,5,17,16.7,28,57.1,1,7,,,,,68.3,57.4,73.9,,51.1,,,68.0,,,0,0,31,29.4,72.9,17.9,5,7,0,0,1,0,0.0,92,5.8
Davis Brin,77642,QB,GA SOUTHRN,1,2.5,2.41,,4.55,49,174,90.0,30,30,4.8,1.73,0,1,3.1,86.7,26,3,3.7,30,61.2,1,10,,,,,68.3,81.9,74.0,,81.1,,,,,,0,1,32,0.0,87.6,0.0,0,0,0,0,1,0,0.0,171,5.7,80.0,15,17,8.7,3.71,0,2,11.8,70.6,12,10,0.0,19,38.8,0,9,,,,,67.0,82.3,72.2,,87.3,,,53.1,,,1,0,19,0.0,116.5,0.0,0,2,0,1,1,0,0.0,147,8.6
Tanner Mordecai,77656,QB,WISCONSIN,1,2.9,2.5,3.97,5.05,49,349,68.2,22,22,7.7,1.85,0,1,4.3,63.6,14,2,6.7,22,44.9,1,5,,,,,67.5,74.4,72.8,,73.8,,,,,,0,0,23,0.0,70.5,0.0,0,0,0,0,0,0,0.0,81,3.7,75.0,16,18,17.4,3.76,0,3,16.7,61.1,11,12,8.3,27,55.1,1,10,,,,,67.7,75.8,73.4,,75.2,,,63.9,,,1,0,27,25.0,116.9,11.1,3,6,0,1,1,1,3.7,196,10.9
Jalyn Gramstad,180656,QB,NWREDR,1,2.89,2.63,2.5,5.22,48,1035,73.9,23,25,6.9,1.83,1,0,0.0,68.0,17,5,0.0,27,56.3,0,7,,,,,67.9,62.5,73.4,,62.2,,,,,,0,0,27,40.0,79.3,7.4,2,0,0,1,0,0,0.0,123,4.9,69.2,13,15,12.7,4.24,0,2,12.5,60.0,9,11,0.0,21,43.8,0,7,,,,,29.6,66.7,72.7,,66.9,,,60.7,,,0,2,22,9.1,63.6,4.8,1,5,0,2,1,2,9.1,104,6.9
