player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Victor Gabalis,131932,QB,TARLETON,1,2.88,2.67,3.63,5.3,55,401,61.5,26,26,10.6,2.0,0,2,7.7,61.5,16,3,0.0,27,49.1,0,10,,67.8,73.2,73.4,72.6,,,0,0,27,33.3,110.9,3.7,1,0,0,0,2,1,3.7,199,7.7,57.9,19,22,21.7,3.74,0,4,14.3,45.5,10,9,9.1,28,50.9,1,7,,68.5,78.4,74.2,82.5,,50.6,0,1,34,33.3,52.7,10.7,3,3,0,3,0,1,2.9,167,7.6
Jax Leatherwood,171548,QB,SE MO ST,1,2.28,2.19,3.55,4.3,54,293,71.9,32,33,4.7,1.75,0,0,0.0,60.6,20,7,13.0,33,61.1,3,7,,68.7,51.2,74.4,51.1,,,1,0,36,0.0,74.1,0.0,0,0,0,0,0,1,2.8,170,5.2,68.8,16,18,11.3,3.13,1,1,5.3,50.0,9,8,18.2,21,38.9,2,4,,24.8,60.6,72.7,57.4,,64.1,0,0,22,25.0,86.6,9.5,2,1,0,1,1,2,9.1,105,5.8
Nick Minicucci,173617,QB,DELAWARE,1,2.62,2.51,4.1,5.25,54,151,84.0,25,25,6.0,1.71,0,1,3.7,72.0,18,3,14.3,25,46.3,3,6,,67.9,83.1,73.4,82.2,,,0,1,27,0.0,92.4,0.0,0,0,0,0,2,1,3.7,122,4.9,54.5,22,24,17.5,3.53,0,7,25.9,45.8,11,6,8.3,28,51.9,1,8,,68.3,90.7,73.9,88.2,,71.8,2,0,31,33.3,78.8,7.1,2,2,0,0,0,1,3.2,222,9.3
Joey Aguilar,174978,QB,TENNESSEE,1,2.67,2.49,2.48,5.63,52,307,81.0,21,22,6.9,1.91,1,1,4.5,72.7,16,5,5.9,23,44.2,1,7,,67.4,69.9,72.8,69.4,,,0,0,23,20.0,137.9,4.3,1,0,0,0,3,0,0.0,188,8.5,71.4,21,23,14.4,3.27,0,4,14.8,56.5,13,12,13.3,29,55.8,2,13,,28.6,64.9,74.1,65.4,,58.6,2,2,33,25.0,50.1,10.3,3,3,0,0,0,3,9.1,205,8.9
Anthony Colandrea,170131,QB,UNLV,1,2.72,2.59,2.8,5.57,52,325,91.3,23,24,3.5,1.87,0,0,0.0,83.3,20,2,4.8,24,46.2,1,8,,67.6,78.8,73.0,78.1,,,1,0,24,0.0,122.7,0.0,0,0,0,0,2,0,0.0,163,6.8,80.0,20,22,12.5,3.58,0,2,8.7,72.7,16,17,0.0,27,51.9,0,12,,27.0,78.9,73.5,84.3,,50.7,1,0,28,11.8,119.3,7.4,2,3,0,1,1,2,7.1,219,10.0
Athan Kaliakmanis,144971,QB,RUTGERS,1,2.46,2.31,2.1,4.97,50,278,71.9,32,34,9.7,2.01,1,0,0.0,64.7,22,4,4.3,36,72.0,1,11,,68.7,72.6,74.4,71.9,,,1,0,36,50.0,92.8,5.6,2,0,0,0,1,0,0.0,220,6.5,33.3,9,11,10.1,3.6,1,0,0.0,27.3,3,6,0.0,14,28.0,0,2,,66.4,49.7,71.4,55.7,,50.5,1,0,15,0.0,39.6,0.0,0,3,0,0,0,0,0.0,33,3.0
James Murphy,177426,QB,BROWN,1,2.79,2.49,3.9,6.03,50,123,87.0,23,24,5.8,1.95,0,1,3.7,79.2,19,10,5.0,24,48.0,1,8,,67.9,81.2,73.4,80.4,,,1,0,27,0.0,117.9,0.0,0,0,0,0,1,0,0.0,215,9.0,72.2,18,20,8.7,3.56,1,0,0.0,60.0,12,12,7.7,26,52.0,1,7,,67.9,57.5,73.4,58.1,,58.1,0,1,27,25.0,78.1,11.5,3,3,0,1,1,1,3.7,145,7.3
Braden Atkinson,201350,QB,MERCER,1,2.58,2.58,,2.9,50,219,73.7,19,19,5.4,1.93,0,0,0.0,68.4,13,1,7.1,19,38.0,1,8,,67.0,69.7,72.2,69.3,,,0,0,19,0.0,76.9,0.0,0,0,0,0,0,0,0.0,81,4.3,60.0,30,30,17.5,2.98,0,4,12.1,50.0,15,9,16.7,31,62.0,3,12,,68.5,84.1,74.2,84.6,,57.3,0,0,34,0.0,131.3,0.0,0,1,0,0,4,0,0.0,345,11.5
Nicholas Vattiato,145302,QB,MIDDLE TN,1,2.78,2.69,2.6,3.9,50,224,66.7,18,19,5.6,2.02,1,0,0.0,57.9,11,1,8.3,20,40.0,1,4,,24.3,52.2,72.5,58.4,,50.9,0,0,21,0.0,98.1,0.0,0,1,0,0,2,1,4.8,58,3.1,63.6,22,26,14.2,3.29,1,1,3.6,46.2,12,11,14.3,30,60.0,2,9,,68.5,55.9,74.1,55.5,,59.7,0,1,33,9.1,52.9,3.3,1,3,0,3,0,0,0.0,177,6.8
Diego Pavia,156927,QB,VANDERBILT,1,3.15,2.9,3.68,4.5,50,333,88.9,18,19,5.8,1.94,1,0,0.0,73.7,14,3,12.5,20,40.0,2,10,,24.3,72.4,72.5,71.8,,,0,0,21,33.3,115.5,5.0,1,0,0,0,1,1,4.8,157,8.3,81.3,16,20,11.6,3.96,0,0,0.0,65.0,13,18,0.0,30,60.0,0,12,,68.5,74.7,0.0,66.4,,80.3,1,0,33,27.8,132.9,16.7,5,5,0,3,2,0,0.0,208,10.4
