player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tanner McKee,131770,QB,STANFORD,1,2.4,2.16,3.53,4.58,65,300,66.7,39,40,7.1,1.89,1,0,0.0,60.0,24,7,7.7,41,63.1,2,14,,31.8,60.8,74.9,60.5,,,0,1,41,14.3,64.9,2.4,1,0,0,0,0,2,4.9,223,5.6,64.3,14,17,13.0,3.27,2,0,0.0,52.9,9,15,0.0,24,36.9,0,5,,67.8,53.6,73.3,59.5,,48.6,0,0,26,20.0,70.0,12.5,3,4,0,1,0,0,0.0,97,5.7
Spencer Sanders,77660,QB,OKLA STATE,1,2.64,2.35,2.9,4.99,65,262,76.5,34,35,3.9,1.72,1,1,2.6,71.4,25,3,3.8,35,53.8,1,12,,68.9,59.1,74.6,58.8,,,0,1,38,0.0,88.4,0.0,0,0,0,0,1,2,5.3,245,7.0,47.6,21,22,15.3,3.72,0,1,3.8,40.9,9,20,10.0,30,46.2,1,10,,68.5,60.3,74.2,55.9,,66.5,0,0,34,5.0,79.0,3.3,1,7,0,1,1,1,2.9,146,6.6
Will Rogers,124184,QB,MISS STATE,1,2.24,2.18,3.25,,64,227,57.5,40,41,8.4,1.78,1,1,2.4,51.2,21,7,8.7,41,64.1,2,7,,69.1,64.1,74.9,63.7,,,0,0,42,0.0,60.5,0.0,0,0,0,0,0,1,2.4,155,3.8,56.3,16,19,8.9,3.07,0,0,0.0,47.4,9,12,0.0,23,35.9,0,4,,67.6,47.0,73.1,47.0,,,1,0,25,33.3,58.2,17.4,4,0,0,2,0,1,4.0,76,4.0
Michael Hiers,88636,QB,SAMFORD,1,2.39,2.23,3.3,4.25,58,282,90.3,31,31,4.5,1.68,0,0,0.0,90.3,28,0,0.0,31,53.4,0,12,,68.3,63.3,73.9,63.0,,,0,0,31,,123.7,0.0,0,0,0,0,2,0,0.0,264,8.5,84.2,19,19,7.1,3.32,0,0,0.0,84.2,16,8,0.0,26,44.8,0,8,,68.1,69.2,73.6,70.1,,60.2,0,0,29,37.5,137.7,11.5,3,4,0,0,2,0,0.0,164,8.6
Tommy Schuster,108954,QB,N DAKOTA,1,3.64,3.03,4.38,5.64,54,249,83.3,18,20,6.7,1.94,2,1,5.0,70.0,14,4,6.7,20,37.0,1,7,,67.1,77.7,72.4,77.1,,,0,2,20,0.0,67.9,0.0,0,0,0,0,1,2,10.0,146,7.3,72.2,18,19,11.6,4.64,0,0,0.0,68.4,13,19,0.0,34,63.0,0,10,,29.7,56.0,74.5,42.6,,71.9,0,0,37,26.3,90.9,14.7,5,10,0,1,0,1,2.7,145,7.6
DJ Irons,145585,QB,AKRON,1,3.07,2.76,3.89,4.98,54,102,100.0,14,14,2.1,2.03,0,0,0.0,92.9,13,3,7.1,14,25.9,1,4,,66.2,70.2,71.2,69.8,,,0,0,14,0.0,96.1,0.0,0,0,0,0,0,0,0.0,99,7.1,71.4,28,29,11.0,3.43,0,0,0.0,65.5,19,15,5.0,40,74.1,1,15,,69.1,56.1,74.9,57.1,,56.5,0,2,41,46.7,80.0,17.5,7,4,0,1,1,3,7.3,282,9.7
Dequan Finn,97804,QB,TOLEDO,1,3.25,2.82,6.0,6.1,53,316,73.7,19,20,8.8,1.9,1,1,5.0,60.0,12,3,14.3,20,37.7,2,4,,67.1,70.1,72.4,69.6,,,0,1,20,0.0,51.0,0.0,0,0,0,0,0,1,5.0,95,4.8,54.2,24,26,12.0,4.07,1,1,3.8,46.2,12,23,7.7,33,62.3,1,10,,68.5,50.6,74.1,51.5,,56.1,0,3,33,4.3,37.3,3.0,1,6,0,1,1,2,6.1,147,5.7
Michael Penix Jr.,82134,QB,WASHINGTON,1,2.7,2.67,4.1,,53,340,89.3,28,29,5.2,1.86,1,0,0.0,79.3,23,1,8.0,29,54.7,2,11,,68.2,59.4,73.7,59.1,,,0,0,30,0.0,103.0,0.0,0,0,0,0,1,0,0.0,173,6.0,72.7,22,23,13.8,3.71,0,0,0.0,56.5,13,8,18.8,24,45.3,3,8,,67.9,84.1,0.0,85.6,,,0,0,27,12.5,100.1,4.2,1,0,0,1,1,0,0.0,201,8.7
Hunter Hays,141593,QB,IDAHO ST,1,2.76,2.19,3.41,4.71,53,186,66.7,27,27,7.4,1.93,0,0,0.0,66.7,18,8,0.0,28,52.8,0,8,,68.0,64.8,73.5,64.4,,,0,0,28,12.5,76.8,3.6,1,0,0,0,0,1,3.6,124,4.6,40.0,10,10,17.6,3.68,0,1,10.0,40.0,4,16,0.0,25,47.2,0,7,,67.6,68.5,73.1,47.6,,81.9,0,1,25,43.8,67.5,28.0,7,8,0,0,1,2,8.0,92,9.2
Joe Fagnano,104768,QB,MAINE,1,2.4,2.12,3.35,4.52,52,212,69.7,33,34,6.4,1.83,0,0,0.0,61.8,21,6,8.7,34,65.4,2,13,,68.7,37.5,74.4,37.9,,,1,0,36,0.0,86.5,0.0,0,0,0,0,1,2,5.6,189,5.6,72.7,11,11,12.5,3.47,0,0,0.0,63.6,7,10,12.5,18,34.6,1,7,,66.8,69.9,72.0,60.5,,72.3,0,0,18,20.0,132.8,11.1,2,5,0,0,1,1,5.6,125,11.4
