player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Pierce Holley,108981,QB,E ILLINOIS,1,2.84,2.82,2.65,3.35,40,158,80.0,15,15,6.9,1.91,0,0,0.0,80.0,12,2,0.0,15,37.5,0,7,,,,66.5,65.2,71.6,64.8,,,,,0,0,16,0.0,95.3,0.0,0,0,0,0,0,0,0.0,103,6.9,57.9,19,21,16.1,3.4,0,1,4.5,42.9,9,13,18.2,25,62.5,2,3,,,,67.8,51.0,0.0,56.5,,,52.4,,1,0,26,15.4,50.3,8.0,2,2,0,1,0,0,0.0,38,1.8
Rocco Becht,157567,QB,IOWA STATE,1,2.57,2.5,,5.5,39,193,81.8,22,22,4.5,1.85,0,0,0.0,77.3,17,2,5.6,22,56.4,1,11,,,,67.4,67.7,72.7,67.3,,,,,0,0,22,0.0,115.2,0.0,0,0,0,0,1,0,0.0,177,8.0,66.7,15,16,13.8,3.51,0,1,6.3,62.5,10,10,0.0,17,43.6,0,6,,,,66.7,79.7,71.8,81.7,,,57.3,,0,0,17,0.0,138.3,0.0,0,1,0,1,2,0,0.0,171,10.7
Chevan Cordeiro,75886,QB,S JOSE ST,1,2.92,2.56,5.6,6.3,39,285,64.7,17,17,5.1,1.89,0,0,0.0,64.7,11,1,0.0,17,43.6,0,4,,,,66.7,26.5,71.8,26.7,,,,,0,0,17,0.0,74.4,0.0,0,0,0,0,0,3,17.6,75,4.4,76.5,17,18,10.8,3.72,0,2,10.5,72.2,13,10,0.0,22,56.4,0,7,,,,67.5,83.3,72.8,86.1,,,58.0,,0,1,23,10.0,77.1,4.5,1,3,0,1,0,0,0.0,164,9.1
Anthony Colandrea,170131,QB,VIRGINIA,1,3.47,3.12,4.0,4.97,39,335,84.6,13,13,7.4,1.87,0,0,0.0,84.6,11,2,0.0,13,33.3,0,7,,,,66.4,70.4,71.4,70.0,,,,,0,0,15,0.0,135.3,0.0,0,0,0,0,1,0,0.0,134,10.3,50.0,16,17,19.1,4.28,0,2,11.1,41.2,7,14,12.5,26,66.7,1,7,,,,67.9,65.1,0.0,69.2,,,59.0,,0,2,27,21.4,50.0,11.5,3,6,0,1,1,1,3.7,137,8.1
Ashur Carraha,165036,QB,STHLSK,1,2.51,2.4,,5.7,39,1470,66.7,21,23,3.6,1.97,1,0,0.0,52.2,12,4,14.3,23,59.0,2,5,,,,67.6,51.6,73.0,51.5,,,,,0,0,24,0.0,62.4,0.0,0,0,0,1,0,1,4.2,93,4.0,30.0,10,13,13.5,3.5,2,0,0.0,15.4,2,6,33.3,15,38.5,1,1,,,,66.5,34.8,71.6,31.8,,,61.6,,0,0,16,0.0,39.6,0.0,0,2,0,1,0,3,18.8,4,0.3
KJ Jefferson,99129,QB,ARKANSAS,1,3.13,2.94,3.35,4.83,38,111,76.5,17,18,6.2,1.97,1,1,5.6,72.2,13,1,0.0,19,50.0,0,6,,,,23.8,74.9,72.2,74.3,,,,,0,0,19,100.0,108.1,5.3,1,0,0,0,1,1,5.3,118,6.6,72.7,11,13,17.9,4.29,0,2,11.8,61.5,8,14,0.0,19,50.0,0,8,,,,25.2,60.4,72.8,66.4,,,48.9,,1,2,23,21.4,105.4,15.8,3,3,0,1,2,2,8.7,171,13.2
Justin Miller,103941,QB,SO UTAH,1,2.9,2.66,4.0,5.23,38,298,75.0,16,16,0.7,1.68,0,0,0.0,75.0,12,3,0.0,16,42.1,0,7,,,,66.8,56.0,72.0,55.8,,,,,0,0,18,0.0,90.4,0.0,0,0,0,0,0,0,0.0,99,6.2,76.5,17,18,11.5,3.78,0,1,5.3,66.7,12,10,7.7,22,57.9,1,10,,,,25.5,54.1,72.8,55.2,,,56.9,,0,2,23,10.0,89.4,4.5,1,3,0,1,2,3,13.0,148,8.2
Drake Maye,143969,QB,N CAROLINA,1,2.65,2.3,3.82,4.23,38,245,80.0,20,20,5.0,1.74,0,0,0.0,75.0,15,2,6.3,21,55.3,1,7,,,,67.4,60.0,72.7,59.8,,,,,0,0,22,50.0,90.2,4.8,1,0,0,0,0,0,0.0,123,6.2,88.9,9,10,18.4,3.78,0,2,18.2,70.0,7,10,12.5,17,44.7,1,10,,,,66.8,92.2,72.0,88.7,,,79.6,,1,0,18,40.0,145.8,23.5,4,3,0,0,1,0,0.0,173,17.3
Ralph Rucker IV,144625,QB,BUCKNELL,1,2.7,2.54,3.45,5.1,38,125,71.4,21,22,7.1,1.85,0,0,0.0,59.1,13,3,13.3,22,57.9,2,7,,,,67.7,70.0,73.1,69.5,,,,,0,0,25,0.0,111.0,0.0,0,0,0,1,2,0,0.0,155,7.0,55.6,9,11,17.0,3.88,0,1,8.3,36.4,4,13,20.0,16,42.1,1,2,,,,66.7,79.1,71.8,81.7,,,57.3,,0,0,17,30.8,89.2,25.0,4,1,0,2,1,0,0.0,70,6.4
DJ Uiagalelei,122162,QB,OREGON ST,1,2.74,2.62,2.35,5.15,38,265,43.8,16,17,10.6,2.13,1,0,0.0,35.3,6,7,14.3,18,47.4,1,4,,,,67.0,44.4,72.2,44.6,,,,,0,0,19,14.3,50.1,5.6,1,0,0,0,0,0,0.0,76,4.5,80.0,15,17,10.9,3.29,0,1,5.3,64.7,11,11,8.3,20,52.6,1,6,,,,67.4,76.9,72.7,71.6,,,71.0,,1,1,22,9.1,81.0,5.0,1,2,0,1,1,0,0.0,122,7.2
Brian Maurer,99123,QB,STF AUSTIN,1,2.11,2.11,,,38,301,61.5,26,28,5.1,1.71,1,0,0.0,53.6,15,3,6.3,28,73.7,1,5,,,,68.1,43.0,73.6,43.1,,,,,0,1,29,0.0,48.1,0.0,0,0,0,1,0,3,10.3,109,3.9,62.5,8,10,15.3,3.2,0,1,10.0,50.0,5,2,0.0,10,26.3,0,1,,,,65.4,59.9,70.1,59.7,,,,,0,1,10,0.0,28.8,0.0,0,0,0,2,0,1,10.0,59,5.9
Drew Allar,164157,QB,PENN STATE,1,2.5,2.44,,4.7,38,266,87.5,24,25,2.8,1.86,0,0,0.0,76.0,19,2,9.5,25,65.8,2,8,,,,67.7,73.9,73.1,73.3,,,,,0,0,25,0.0,98.8,0.0,0,0,0,1,1,0,0.0,120,4.8,60.0,10,12,7.8,3.73,0,0,0.0,50.0,6,5,0.0,13,34.2,0,5,,,,66.0,64.9,71.0,67.6,,,57.3,,0,0,13,0.0,99.3,0.0,0,1,0,2,3,0,0.0,46,3.8
Gavin Hardison,100827,QB,UTEP,1,3.27,3.14,3.3,5.3,38,330,60.0,10,10,11.7,2.02,0,1,9.1,50.0,5,1,16.7,10,26.3,1,5,,,,65.6,55.7,70.4,55.6,,,,,0,0,11,0.0,120.0,0.0,0,0,0,0,1,0,0.0,103,10.3,57.1,21,22,17.5,3.72,0,1,3.8,40.9,9,14,25.0,28,73.7,3,5,,,,68.4,54.3,74.0,56.8,,,52.6,,0,3,32,28.6,19.7,14.3,4,2,0,1,0,1,3.1,122,5.5
