player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kaiden Bennett,147778,QB,SACRAMENTO,1,2.9,2.61,3.7,4.38,36,279,42.9,14,14,7.7,2.0,0,0,0.0,35.7,5,2,16.7,15,41.7,1,4,,,,66.5,67.1,71.6,66.7,,,,,0,0,16,50.0,86.6,6.7,1,0,0,0,1,1,6.3,104,7.4,66.7,15,15,13.6,3.54,0,1,6.3,66.7,10,3,0.0,21,58.3,0,7,,,,67.2,57.4,72.7,64.4,,,48.2,,0,0,22,66.7,116.5,9.5,2,4,0,0,1,2,9.1,132,8.8
Jordan McCloud,101058,QB,JAMES MAD,1,2.51,2.42,,5.9,36,197,83.3,24,25,4.3,1.72,1,0,0.0,72.0,18,2,10.0,25,69.4,2,8,,,,67.7,53.4,73.1,53.2,,,,,0,1,25,0.0,94.4,0.0,0,0,0,0,1,0,0.0,214,8.6,55.6,9,10,12.2,4.33,0,1,10.0,50.0,5,9,0.0,11,30.6,0,4,,,,65.6,73.0,70.4,68.8,,,64.3,,0,1,11,0.0,95.8,0.0,0,1,0,1,3,1,9.1,150,15.0
Jalen Macon,153929,QB,ARKAPB,1,2.92,2.48,3.97,5.3,36,112,75.0,16,17,7.9,1.84,0,0,0.0,64.7,11,5,8.3,17,47.2,1,4,,,,66.8,62.7,72.0,62.4,,,,,0,1,18,0.0,49.1,0.0,0,0,0,1,0,0,0.0,72,4.2,72.7,11,12,15.4,3.88,0,0,0.0,50.0,6,11,25.0,19,52.8,2,7,,,,24.2,77.4,72.5,66.3,,,78.6,,0,0,21,27.3,135.4,15.8,3,4,0,1,2,2,9.5,155,12.9
Zeon Chriss-Gremillion,156733,QB,LA LAFAYET,1,2.5,2.21,3.35,3.88,36,207,80.0,20,21,7.6,1.85,1,0,0.0,76.2,16,3,0.0,21,58.3,0,8,,,,67.4,59.3,72.7,59.1,,,,,0,1,22,0.0,80.3,0.0,0,0,0,0,0,0,0.0,174,8.3,75.0,8,8,9.6,3.41,0,0,0.0,75.0,6,8,0.0,15,41.7,0,6,,,,66.4,61.0,71.4,53.7,,,66.7,,0,1,15,25.0,103.6,13.3,2,5,0,0,1,1,6.7,75,9.4
Kylan Weisser,78475,QB,WEBER ST,1,2.31,1.95,2.98,4.23,36,342,65.2,23,24,7.1,1.67,0,0,0.0,58.3,14,3,6.7,25,69.4,1,4,,,,67.8,52.3,73.3,52.2,,,,,0,0,26,33.3,68.2,4.0,1,0,0,1,0,0,0.0,101,4.2,0.0,3,4,11.0,3.78,0,0,0.0,0.0,0,5,,11,30.6,0,1,,,,65.6,43.2,70.4,42.5,,,56.0,,1,0,11,60.0,39.6,27.3,3,4,0,0,0,0,0.0,0,0.0
Riley Leonard,143862,QB,DUKE,1,2.46,2.37,5.7,,35,154,81.8,22,24,6.0,2.03,2,0,0.0,75.0,18,4,0.0,24,68.6,0,11,,,,67.7,69.7,73.1,69.2,,,,,0,0,25,0.0,109.5,0.0,0,0,0,0,1,0,0.0,179,7.5,50.0,10,10,17.9,3.4,0,1,7.7,50.0,5,3,0.0,11,31.4,0,4,,,,20.6,68.5,71.2,68.1,,,,,0,0,14,33.3,72.5,9.1,1,0,0,0,0,1,7.1,69,6.9
Carson Beck,124010,QB,GEORGIA,1,2.43,2.26,2.7,5.0,35,173,85.7,21,21,0.5,1.65,0,0,0.0,71.4,15,1,16.7,21,60.0,3,11,,,,67.2,65.5,72.5,65.1,,,,,0,0,21,0.0,126.9,0.0,0,0,0,0,2,0,0.0,169,8.0,70.0,10,11,19.9,3.59,0,0,0.0,63.6,7,5,0.0,14,40.0,0,6,,,,66.4,70.1,71.4,70.2,,,60.6,,0,0,15,20.0,137.5,7.1,1,2,0,1,1,0,0.0,169,15.4
Noah Kim,129623,QB,MICH STATE,1,3.02,2.98,2.9,4.6,35,223,75.0,8,8,4.5,1.9,0,0,0.0,75.0,6,2,0.0,9,25.7,0,3,,,,65.6,60.1,70.4,59.9,,,,,0,0,11,50.0,124.0,11.1,1,0,0,0,1,0,0.0,38,4.8,58.3,24,24,11.9,3.41,0,2,8.0,50.0,12,12,14.3,26,74.3,2,6,,,,27.0,42.7,73.5,45.6,,,51.6,,0,2,28,8.3,35.4,3.8,1,1,0,0,0,5,17.9,152,6.3
Quincy Casey,104763,QB,ALAB A&M,1,2.37,2.1,5.17,,35,104,82.6,23,23,4.6,1.65,0,1,4.0,82.6,19,3,0.0,23,65.7,0,10,,,,67.7,64.1,73.1,63.7,,,,,0,0,25,0.0,116.3,0.0,0,0,0,0,1,0,0.0,194,8.4,77.8,9,9,15.7,3.74,0,1,10.0,77.8,7,5,0.0,12,34.3,0,5,,,,66.2,59.6,71.2,61.8,,,57.3,,0,0,14,60.0,158.3,25.0,3,0,0,0,2,1,7.1,125,13.9
Ben Finley,122864,QB,CAL,1,2.9,2.74,,4.53,35,130,66.7,18,18,7.3,1.94,0,1,4.8,55.6,10,1,16.7,18,51.4,2,4,,,,67.2,35.0,72.5,35.4,,,,,0,1,21,0.0,57.9,0.0,0,0,0,0,1,3,14.3,61,3.4,58.3,12,14,15.8,3.91,0,1,6.3,50.0,7,11,0.0,17,48.6,0,6,,,,67.0,50.6,72.2,51.6,,,56.8,,0,2,19,0.0,71.4,0.0,0,3,0,2,1,2,10.5,146,10.4
T.J. Finley,124093,QB,TEXAS ST,1,2.69,2.55,4.0,4.5,34,314,88.9,18,18,4.3,1.92,0,0,0.0,88.9,16,2,0.0,19,55.9,0,6,,,,67.0,53.9,72.2,53.8,,,,,0,1,19,50.0,66.9,5.3,1,0,0,0,0,1,5.3,101,5.6,83.3,12,13,11.7,3.67,0,1,7.7,69.2,9,4,10.0,15,44.1,1,7,,,,21.8,69.6,71.6,68.6,,,62.1,,0,0,16,25.0,151.4,6.7,1,1,0,1,2,1,6.3,194,14.9
Byrum Brown,156206,QB,USF,1,2.71,2.4,3.73,5.75,34,327,85.7,14,14,6.3,1.86,0,0,0.0,85.7,12,1,0.0,14,41.2,0,6,,,,66.4,61.0,71.4,60.7,,,,,0,0,15,0.0,117.6,0.0,0,0,0,0,1,0,0.0,91,6.5,66.7,15,15,22.4,3.31,0,3,15.8,66.7,10,7,0.0,20,58.8,0,10,,,,25.9,72.1,73.0,75.2,,,53.3,,0,0,24,42.9,131.9,15.0,3,2,0,0,1,1,4.2,342,22.8
Cole Doyle,159501,QB,ST FRANCIS,1,2.98,2.61,5.35,4.77,33,299,77.8,9,10,0.9,1.71,0,0,0.0,70.0,7,1,0.0,10,30.3,0,2,,,,65.4,62.8,70.1,62.5,,,,,0,0,10,0.0,76.7,0.0,0,0,0,1,0,0,0.0,39,3.9,55.6,18,18,16.7,3.53,0,0,0.0,50.0,9,10,10.0,23,69.7,1,10,,,,67.5,69.8,72.8,62.7,,,74.3,,0,1,23,20.0,95.8,8.7,2,3,0,0,3,1,4.3,154,8.6
Garrett Shrader,98212,QB,SYRACUSE,1,2.85,2.23,3.95,5.66,33,304,83.3,18,18,6.7,1.66,0,0,0.0,83.3,15,0,0.0,18,54.5,0,7,,,,66.8,43.9,72.0,44.0,,,,,0,0,18,,114.4,0.0,0,0,0,0,1,1,5.6,126,7.0,75.0,8,8,18.5,4.28,0,0,0.0,75.0,6,6,0.0,15,45.5,0,8,,,,66.4,65.7,71.4,61.8,,,64.8,,0,1,15,33.3,77.1,13.3,2,5,0,0,0,1,6.7,119,14.9
Kekoa Visperas,147588,QB,E WASHGTON,1,2.58,2.37,2.9,5.6,33,161,85.0,20,20,3.8,1.91,0,0,0.0,85.0,17,1,0.0,20,60.6,0,9,,,,67.1,71.6,72.4,71.1,,,,,0,0,20,0.0,96.0,0.0,0,0,0,0,0,0,0.0,141,7.1,55.6,9,10,14.7,3.62,0,2,16.7,40.0,4,6,20.0,13,39.4,1,3,,,,21.6,44.1,71.4,47.6,,,52.8,,0,0,15,16.7,62.1,7.7,1,2,0,1,0,1,6.7,64,6.4
Ashton Daniels,157259,QB,STANFORD,1,3.14,3.02,3.15,4.7,33,300,83.3,12,12,6.1,1.95,0,0,0.0,83.3,10,1,0.0,13,39.4,0,5,,,,66.4,72.8,71.4,72.3,,,,,0,0,15,100.0,103.5,7.7,1,0,0,0,0,1,6.7,106,8.8,53.8,13,15,19.8,3.92,0,1,6.3,33.3,5,14,28.6,20,60.6,2,3,,,,24.3,54.6,72.5,57.4,,,53.8,,0,0,21,21.4,53.5,15.0,3,2,0,2,0,2,9.5,85,5.7
Joe Milton III,82151,QB,TENNESSEE,1,2.56,2.53,2.3,3.7,33,307,81.3,16,16,1.9,1.76,0,0,0.0,75.0,12,2,7.7,17,51.5,1,8,,,,22.4,31.4,71.8,31.7,,,,,0,0,17,50.0,90.6,5.9,1,0,0,0,0,2,11.8,100,6.3,46.2,13,15,29.5,3.41,0,1,6.7,40.0,6,7,0.0,16,48.5,0,4,,,,66.5,62.6,71.6,64.6,,,57.3,,1,0,16,0.0,105.3,0.0,0,1,0,1,2,0,0.0,109,7.3
Jase Bauer,145714,QB,C MICHIGAN,1,3.19,3.04,,5.55,33,134,58.3,12,13,5.8,2.02,0,0,0.0,53.8,7,5,0.0,13,39.4,0,2,,,,66.2,43.7,71.2,43.8,,,,,0,0,14,0.0,63.9,0.0,0,0,0,1,0,0,0.0,53,4.1,85.7,14,18,9.9,3.96,0,1,5.3,66.7,12,8,0.0,20,60.6,0,6,,,,67.2,74.5,72.5,79.2,,,53.1,,0,0,21,0.0,115.7,0.0,0,2,0,4,1,2,9.5,171,9.5
Peewee Jarrett,180158,QB,WESTFL,1,2.77,2.22,,5.22,33,1269,86.7,15,16,6.5,1.63,0,0,0.0,81.3,13,1,0.0,16,48.5,0,7,,,,66.8,74.2,72.0,73.6,,,,,0,0,18,0.0,133.9,0.0,0,0,0,1,2,0,0.0,106,6.6,70.0,10,11,20.9,3.84,0,2,16.7,63.6,7,12,0.0,17,51.5,0,7,,,,66.8,65.2,72.0,70.3,,,56.1,,0,0,18,0.0,137.5,0.0,0,6,0,1,1,0,0.0,192,17.5
Tanner Mordecai,77656,QB,WISCONSIN,1,3.19,2.65,,6.24,33,349,81.8,11,13,6.0,1.98,1,1,7.7,61.5,8,3,11.1,13,39.4,1,3,,,,66.0,72.5,71.0,72.0,,,,,0,0,13,0.0,76.1,0.0,0,0,0,1,0,0,0.0,71,5.5,73.3,15,15,12.2,3.98,0,1,6.7,60.0,9,6,18.2,20,60.6,2,6,,,,67.1,77.8,72.4,85.4,,,53.7,,0,1,20,0.0,52.9,0.0,0,5,0,0,0,0,0.0,103,6.9
Cam Fancher,145266,QB,MARSHALL,1,2.61,2.48,2.4,3.87,32,214,77.8,18,18,5.0,1.91,0,2,9.5,77.8,14,2,0.0,19,59.4,0,7,,,,67.4,62.6,72.7,62.3,,,,,0,1,22,50.0,93.1,5.3,1,0,0,0,1,1,4.5,134,7.4,33.3,9,9,17.6,3.63,0,0,0.0,22.2,2,6,33.3,13,40.6,1,2,,,,66.2,28.7,71.2,28.4,,,55.9,,0,1,14,16.7,2.3,7.7,1,3,0,0,0,2,14.3,32,3.6
Kasim Hill,60444,QB,RHODE ISLD,1,2.88,2.57,3.0,4.44,32,274,100.0,11,13,4.4,1.88,2,0,0.0,69.2,9,1,18.2,13,40.6,2,4,,,,66.2,75.9,71.2,75.4,,,,,0,0,14,0.0,92.5,0.0,0,0,0,0,0,0,0.0,102,7.8,58.3,12,13,16.4,3.56,0,0,0.0,38.5,5,6,28.6,19,59.4,2,5,,,,67.5,58.7,72.8,54.0,,,66.1,,0,1,23,16.7,25.5,5.3,1,5,0,1,0,1,4.3,73,5.6
Gevani McCoy,147609,QB,IDAHO,1,3.22,2.72,3.1,4.56,32,185,90.9,11,11,7.0,1.78,0,2,18.2,72.7,8,1,20.0,11,34.4,2,4,,,,65.6,87.7,70.4,87.0,,,,,0,0,11,0.0,142.2,0.0,0,0,0,0,1,0,0.0,130,11.8,77.8,9,10,13.8,3.97,0,2,18.2,70.0,7,11,0.0,21,65.6,0,6,,,,24.8,76.2,72.7,88.2,,,54.5,,0,0,22,27.3,137.1,14.3,3,8,0,1,1,1,4.5,104,10.4
Haynes King,124329,QB,GA TECH,1,2.33,2.2,,4.27,31,176,78.9,19,19,7.2,1.77,0,1,5.0,73.7,14,4,6.7,19,61.3,1,8,,,,67.1,80.5,72.4,79.7,,,,,0,0,20,0.0,121.4,0.0,0,0,0,0,1,0,0.0,184,9.7,25.0,8,8,27.5,3.49,0,1,12.5,25.0,2,2,0.0,11,35.5,0,2,,,,65.6,50.7,70.4,46.2,,,63.0,,0,1,11,0.0,46.9,0.0,0,3,0,0,1,1,9.1,38,4.8
Caden Bell,71181,QB,COLUMBIA,1,3.13,2.67,5.0,5.68,31,145,58.8,17,18,8.9,1.87,1,2,11.1,50.0,9,0,10.0,18,58.1,1,5,,,,66.7,89.5,72.0,88.6,,,,,0,0,18,,92.6,0.0,0,0,0,0,1,0,0.0,131,7.3,33.3,6,8,18.2,4.88,0,1,11.1,25.0,2,9,0.0,13,41.9,0,4,,,,65.8,38.3,71.2,32.0,,,61.0,,0,0,14,11.1,57.3,7.7,1,4,0,2,0,2,14.3,58,7.3
Adam Urena,186682,QB,MERCYHURST,1,2.45,2.34,3.23,,31,977,60.0,15,17,6.7,1.88,2,0,0.0,52.9,9,4,0.0,18,58.1,0,4,,,,67.1,53.5,72.4,53.4,,,,,0,0,20,25.0,83.2,5.6,1,0,0,0,1,0,0.0,71,4.2,66.7,9,10,9.9,3.24,0,1,10.0,60.0,6,9,0.0,13,41.9,0,4,,,,66.0,56.6,71.0,56.5,,,,,1,0,13,33.3,121.7,23.1,3,0,0,0,1,0,0.0,87,8.7
Devin Leary,77628,QB,KENTUCKY,1,2.42,2.25,2.8,6.9,31,202,86.7,15,17,6.5,1.82,2,1,5.3,58.8,10,2,23.1,17,54.8,3,6,,,,67.0,80.4,72.2,79.7,,,,,0,0,19,0.0,93.8,0.0,0,0,0,0,1,0,0.0,94,5.5,50.0,10,12,21.5,3.14,0,2,15.4,41.7,5,7,0.0,14,45.2,0,4,,,,21.3,56.2,71.4,52.4,,,64.2,,1,2,15,14.3,35.8,7.1,1,1,0,1,0,3,20.0,111,9.3
Carter Bradley,77685,QB,S ALABAMA,1,2.79,2.7,3.4,3.45,31,288,91.7,12,12,4.5,2.03,0,0,0.0,91.7,11,2,0.0,12,38.7,0,5,,,,65.8,67.6,70.7,67.3,,,,,0,0,12,0.0,144.8,0.0,0,0,0,0,1,0,0.0,145,12.1,53.8,13,15,18.2,3.27,1,0,0.0,40.0,6,9,14.3,19,61.3,1,7,,,,67.0,70.1,72.2,64.3,,,70.5,,0,0,19,22.2,87.9,10.5,2,2,0,1,1,1,5.3,109,7.3
Blake Stenstrom,82106,QB,PRINCETON,1,2.45,2.43,3.3,,31,272,95.0,20,21,3.2,1.7,1,0,0.0,66.7,14,1,26.3,21,67.7,5,6,,,,67.2,75.1,72.5,74.6,,,,,0,0,21,0.0,75.9,0.0,0,0,0,0,0,0,0.0,92,4.4,62.5,8,9,17.0,4.05,0,2,20.0,22.2,2,7,60.0,10,32.3,3,1,,,,65.6,71.0,70.4,70.6,,,,,1,1,11,14.3,0.0,10.0,1,0,0,0,0,1,9.1,18,2.0
Matthew Downing,82120,QB,ELON,1,2.95,2.74,4.2,4.43,31,162,92.3,13,14,3.2,1.94,0,0,0.0,71.4,10,3,16.7,14,45.2,2,4,,,,66.2,78.3,71.2,77.7,,,,,1,1,14,0.0,51.2,0.0,0,0,0,0,0,0,0.0,65,4.6,46.2,13,13,24.2,3.79,0,1,7.1,23.1,3,3,50.0,17,54.8,3,5,,,,66.8,62.3,72.0,58.0,,,66.9,,0,0,18,33.3,43.4,5.9,1,3,0,0,0,1,5.6,51,3.9
Jalen Mayden,83520,QB,S DIEGO ST,1,3.83,3.25,4.15,5.57,31,284,100.0,4,4,5.8,1.75,0,0,0.0,100.0,4,0,0.0,4,12.9,0,1,,,,63.3,75.8,67.4,75.4,,,,,0,0,4,,156.3,0.0,0,0,0,0,1,0,0.0,48,12.0,81.3,16,18,8.8,4.14,0,0,0.0,66.7,12,12,7.7,27,87.1,1,12,,,,26.7,75.4,73.4,87.5,,,49.5,,0,0,27,16.7,102.3,7.4,2,7,0,2,0,1,3.7,193,10.7
Adam Damante,170711,QB,N ARIZONA,1,2.26,2.26,,,31,252,88.9,18,18,5.6,1.81,0,0,0.0,88.9,16,1,0.0,18,58.1,0,7,,,,66.8,66.3,72.0,65.9,,,,,0,1,18,0.0,71.8,0.0,0,0,0,0,0,1,5.6,122,6.8,61.5,13,13,10.6,2.89,0,0,0.0,61.5,8,3,0.0,13,41.9,0,4,,,,66.0,50.5,71.0,50.5,,,,,0,1,13,0.0,75.2,0.0,0,0,0,0,1,1,7.7,88,6.8
Kinkead Dent,99132,QB,TENN MARTN,1,3.15,3.03,,5.0,31,310,77.8,9,9,3.9,2.01,0,0,0.0,77.8,7,3,0.0,9,29.0,0,4,,,,65.1,90.8,69.8,90.6,,,,,0,0,9,0.0,94.4,0.0,0,0,0,0,0,0,0.0,60,6.7,33.3,18,20,18.4,3.62,0,0,0.0,30.0,6,6,0.0,22,71.0,0,5,,,,67.5,29.3,72.8,30.0,,,51.8,,0,1,23,0.0,46.3,0.0,0,2,0,2,1,3,13.0,112,5.6
Jonathan Murphy,104766,QB,KENNESAW,1,2.95,2.78,3.13,5.2,31,200,61.5,13,13,11.2,2.03,0,1,7.7,46.2,6,5,25.0,13,41.9,2,1,,,,66.0,70.6,71.0,70.2,,,,,0,0,13,0.0,80.3,0.0,0,0,0,0,1,0,0.0,44,3.4,25.0,8,11,12.1,3.84,0,1,9.1,18.2,2,15,0.0,17,54.8,0,3,,,,66.7,67.0,71.8,57.0,,,72.9,,2,0,17,20.0,39.6,17.6,3,3,0,1,0,0,0.0,32,2.9
Michael Pratt,123229,QB,TULANE,1,2.74,2.23,3.25,4.53,31,319,92.9,14,14,6.4,1.79,0,0,0.0,85.7,12,2,7.7,14,45.2,1,5,,,,66.2,78.7,71.2,78.1,,,,,0,0,14,0.0,123.8,0.0,0,0,0,0,1,0,0.0,112,8.0,66.7,9,9,10.1,3.52,0,1,10.0,66.7,6,9,0.0,17,54.8,0,6,,,,67.0,49.8,72.2,45.9,,,60.0,,0,1,19,22.2,91.2,11.8,2,6,0,0,1,1,5.3,78,8.7
Charles DePrima,148879,QB,HARVARD,1,2.72,2.28,4.5,5.13,31,179,61.5,13,13,2.4,1.63,0,0,0.0,61.5,8,1,0.0,13,41.9,0,3,,,,66.0,49.6,71.0,49.6,,,,,0,1,13,0.0,66.5,0.0,0,0,0,0,1,0,0.0,61,4.7,53.8,13,13,20.2,3.51,0,2,14.3,53.8,7,2,0.0,18,58.1,0,9,,,,67.0,90.7,72.2,85.3,,,75.8,,0,0,19,50.0,131.1,5.6,1,4,0,0,2,0,0.0,139,10.7
Timmy McClain,144488,QB,UCF,1,4.1,3.31,7.6,5.77,31,323,63.6,11,11,2.9,1.74,0,1,8.3,63.6,7,2,0.0,11,35.5,0,3,,,,65.8,72.9,70.7,72.5,,,,,0,0,12,0.0,110.4,0.0,0,0,0,0,1,0,0.0,66,6.0,70.0,10,13,16.6,5.4,0,1,6.7,53.8,7,12,0.0,20,64.5,0,8,,,,67.4,52.7,72.7,48.5,,,64.9,,0,1,22,33.3,106.6,20.0,4,3,0,3,2,2,9.1,198,15.2
Mikey Keene,70961,QB,FRESNO ST,1,2.24,2.24,,,30,169,86.4,22,22,4.1,1.73,0,0,0.0,86.4,19,1,0.0,22,73.3,0,13,,,,67.6,79.2,73.0,78.5,,,,,0,0,24,0.0,138.4,0.0,0,0,0,0,2,0,0.0,219,10.0,71.4,7,8,20.3,3.64,0,2,22.2,62.5,5,2,0.0,8,26.7,0,3,,,,65.1,77.2,69.8,76.6,,,,,0,0,9,0.0,145.8,0.0,0,0,0,1,1,0,0.0,105,13.1
Graham Mertz,97994,QB,FLORIDA,1,3.08,2.65,4.23,5.37,30,163,100.0,13,13,2.9,1.81,0,0,0.0,92.3,12,1,7.7,13,43.3,1,4,,,,66.2,82.1,71.2,81.5,,,,,0,0,14,0.0,107.4,0.0,0,0,0,0,0,0,0.0,127,9.8,100.0,9,11,12.7,4.05,0,1,8.3,81.8,9,8,0.0,17,56.7,0,8,,,,66.7,84.5,72.0,88.2,,,58.5,,1,0,18,37.5,149.1,17.6,3,3,0,1,1,0,0.0,160,14.5
Jace Wilson,149892,QB,TEXAS STHN,1,2.68,2.38,2.8,4.53,30,313,81.8,11,11,7.5,1.63,0,1,9.1,72.7,8,2,11.1,11,36.7,1,2,,,,65.6,90.5,70.4,90.2,,,,,0,0,11,0.0,112.7,0.0,0,0,0,0,1,0,0.0,52,4.7,69.2,13,14,18.3,3.29,1,3,20.0,42.9,6,10,33.3,19,63.3,3,4,,,,67.2,78.4,72.5,81.9,,,59.2,,0,0,21,10.0,107.7,5.3,1,4,0,0,2,0,0.0,102,7.3
Treyson Bourguet,158154,QB,W MICHIGAN,1,2.88,2.45,3.78,4.35,30,347,75.0,12,12,4.5,2.02,0,0,0.0,75.0,9,3,0.0,13,43.3,0,4,,,,66.2,64.9,71.2,64.6,,,,,0,0,14,33.3,92.4,7.7,1,0,0,0,0,0,0.0,80,6.7,33.3,9,10,18.2,3.54,0,2,18.2,30.0,3,7,0.0,17,56.7,0,2,,,,22.4,33.0,72.0,38.2,,,47.9,,0,1,18,42.9,20.8,17.6,3,4,0,1,0,3,16.7,80,8.0
Tyler Huff,142567,QB,FURMAN,1,2.4,1.97,3.1,4.32,30,170,100.0,17,18,4.7,1.63,1,0,0.0,94.4,17,0,0.0,18,60.0,0,5,,,,66.8,86.9,72.0,86.1,,,,,0,0,18,,100.7,0.0,0,0,0,0,0,0,0.0,147,8.2,60.0,5,6,17.8,3.55,0,0,0.0,50.0,3,6,0.0,12,40.0,0,3,,,,66.0,52.9,71.0,48.8,,,60.3,,0,0,13,16.7,97.9,8.3,1,5,0,1,1,1,7.7,21,3.5
Steven Krajewski,77650,QB,WAGNER,1,2.04,1.96,4.4,3.8,30,338,60.9,23,23,6.9,1.76,0,0,0.0,60.9,14,4,0.0,23,76.7,0,6,,,,67.5,39.7,72.8,39.9,,,,,0,0,23,0.0,107.3,0.0,0,0,0,0,2,2,8.7,141,6.1,25.0,4,4,23.5,3.43,0,0,0.0,25.0,1,3,0.0,6,20.0,0,1,,,,64.2,43.4,68.6,45.2,,,57.8,,0,0,6,33.3,42.7,16.7,1,1,0,0,0,1,16.7,15,3.8
Jack Shields,156830,QB,DOMINION,1,3.08,2.76,2.77,5.18,30,263,83.3,6,6,1.2,2.0,0,0,0.0,83.3,5,2,0.0,8,26.7,0,3,,,,18.0,39.0,70.1,39.2,,,,,0,0,10,100.0,91.7,25.0,2,0,0,0,0,1,10.0,36,6.0,81.8,11,14,19.7,3.48,1,2,12.5,64.3,9,12,0.0,22,73.3,0,7,,,,67.6,77.1,73.0,85.8,,,48.8,,2,0,24,33.3,131.5,18.2,4,4,0,0,1,0,0.0,222,15.9
Colby Suits,82143,QB,HOUCHR,1,2.52,2.56,2.8,3.8,30,183,50.0,14,14,4.1,1.85,0,0,0.0,50.0,7,4,0.0,14,46.7,0,2,,,,66.4,50.9,71.4,50.8,,,,,0,0,15,0.0,56.8,0.0,0,0,0,0,0,0,0.0,44,3.1,81.8,11,13,19.6,3.31,1,3,23.1,69.2,9,6,0.0,15,50.0,0,7,,,,66.4,91.7,71.4,92.4,,,57.0,,1,0,15,16.7,151.4,6.7,1,1,0,0,3,0,0.0,243,18.7
Kadin Semonza,174001,QB,BALL ST,1,2.72,2.54,2.93,4.0,30,117,58.3,12,13,3.2,1.85,1,0,0.0,53.8,7,2,0.0,13,43.3,0,2,,,,66.0,31.2,71.0,31.5,,,,,0,1,13,0.0,29.3,0.0,0,0,0,0,0,1,7.7,45,3.5,50.0,8,11,14.9,3.39,0,0,0.0,36.4,4,9,0.0,17,56.7,0,4,,,,66.5,51.0,71.8,56.6,,,50.9,,3,1,17,33.3,24.1,17.6,3,3,0,0,0,0,0.0,78,7.1
Ta'Quan Roberson,101625,QB,UCONN,1,2.32,2.3,2.55,,30,146,64.7,17,18,6.8,1.98,0,0,0.0,55.6,10,3,9.1,19,63.3,1,3,,,,67.0,58.3,72.2,58.1,,,,,0,0,19,33.3,64.8,5.3,1,0,0,1,0,0,0.0,71,3.9,55.6,9,10,13.8,2.9,0,0,0.0,30.0,3,4,40.0,11,36.7,2,2,,,,65.6,74.1,70.4,73.6,,,,,0,0,11,25.0,45.0,9.1,1,0,0,1,0,0,0.0,43,4.3
Michael Brescia,149295,QB,COLGATE,1,2.91,2.63,4.45,7.3,30,142,100.0,11,11,-0.9,1.8,0,0,0.0,90.9,10,1,9.1,11,36.7,1,2,,,,65.6,68.1,70.4,67.8,,,,,0,0,11,0.0,88.6,0.0,0,0,0,0,0,0,0.0,58,5.3,46.7,15,16,9.8,3.55,0,1,6.3,43.8,7,7,0.0,19,63.3,0,3,,,,67.0,60.2,72.2,61.6,,,57.8,,0,1,19,28.6,29.9,10.5,2,1,0,1,0,0,0.0,67,4.2
Chase Artopoeus,100577,QB,CHATTNOOGA,1,2.33,2.18,4.25,2.7,30,137,94.7,19,19,6.6,1.67,0,0,0.0,89.5,17,0,5.6,19,63.3,1,9,,,,67.0,85.0,72.2,84.2,,,,,0,0,19,,101.3,0.0,0,0,0,0,0,0,0.0,158,8.3,50.0,8,8,23.8,3.47,0,1,12.5,50.0,4,3,0.0,11,36.7,0,5,,,,65.6,80.9,70.4,78.2,,,63.1,,0,0,11,66.7,135.4,18.2,2,1,0,0,1,0,0.0,165,20.6
Walker Harris,150449,QB,NC CENT,1,2.31,2.28,,3.1,29,247,75.0,20,20,12.5,1.77,0,2,9.5,70.0,14,1,6.7,20,69.0,1,7,,,,67.2,80.0,72.5,79.2,,,,,0,0,21,0.0,137.7,0.0,0,0,0,0,3,1,4.8,181,9.1,42.9,7,8,29.7,3.52,0,1,11.1,37.5,3,1,0.0,9,31.0,0,3,,,,65.6,77.5,70.4,80.0,,,57.8,,0,0,11,0.0,115.6,0.0,0,1,0,1,2,0,0.0,82,10.3
