player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Mark Pappas,109046,QB,MOREHEAD,1,2.17,2.31,2.7,,47,234,69.0,29,29,8.4,1.99,0,3,10.0,55.2,16,3,20.0,29,61.7,4,10,,,,68.2,66.9,73.7,66.4,,,,0,1,30,0.0,83.0,0.0,0,0,0,0,2,1,3.3,183,6.3,61.5,13,14,15.1,2.95,0,0,0.0,50.0,7,4,12.5,15,31.9,1,4,,,,66.4,61.1,71.4,60.9,,,,0,1,15,25.0,37.5,6.7,1,0,0,1,0,1,6.7,79,5.6
Cade McNamara,101620,QB,MICHIGAN,1,2.39,2.3,,4.4,47,222,75.9,29,31,9.8,2.0,2,2,6.5,64.5,20,11,9.1,31,66.0,2,10,,,,68.3,72.6,73.9,72.0,,,,0,1,31,0.0,103.8,0.0,0,0,0,0,2,1,3.2,297,9.6,69.2,13,14,10.0,3.14,0,1,6.3,57.1,8,8,11.1,16,34.0,1,7,,,,66.8,76.6,72.0,76.1,,62.0,,0,0,18,0.0,75.3,0.0,0,2,0,1,0,0,0.0,86,6.1
Clayton Tune,77652,QB,HOUSTON,1,3.27,2.81,3.77,5.49,47,182,86.7,15,16,5.6,1.98,1,0,0.0,75.0,12,2,7.7,16,34.0,1,8,,,,66.7,81.4,71.8,80.6,,,,0,0,17,0.0,113.3,0.0,0,0,0,0,1,0,0.0,107,6.7,84.2,19,21,17.1,3.93,1,3,13.6,71.4,15,11,6.3,31,66.0,1,10,,,,68.4,79.9,74.0,90.8,,45.1,,0,0,32,27.3,153.3,9.7,3,7,0,1,3,0,0.0,305,14.5
Joe Green,101283,QB,COLUMBIA,1,2.31,2.12,4.9,5.3,47,145,62.9,35,35,7.9,1.88,0,2,5.3,54.3,19,6,13.6,35,74.5,3,7,,,,68.9,69.3,74.6,68.8,,,,0,0,38,0.0,64.5,0.0,0,0,0,0,0,1,2.6,144,4.1,50.0,8,9,14.3,3.57,0,1,11.1,33.3,3,2,25.0,12,25.5,1,3,,,,65.8,65.3,70.7,67.4,,57.8,,0,0,12,100.0,66.4,16.7,2,1,0,1,0,0,0.0,79,8.8
Cameron Friel,146195,QB,UNLV,1,2.55,2.4,3.04,6.1,47,325,87.0,23,24,4.5,1.82,1,0,0.0,66.7,16,9,20.0,26,55.3,4,7,,,,67.9,78.0,73.4,77.3,,,,0,1,27,22.2,79.9,7.7,2,0,0,0,1,1,3.7,148,6.2,75.0,16,17,12.0,3.46,0,1,5.6,64.7,11,14,8.3,21,44.7,1,7,,,,67.4,55.4,72.7,56.8,,57.3,,0,2,22,21.4,69.1,14.3,3,1,0,1,1,3,13.6,135,7.9
Tyler Van Dyke,122225,QB,MIAMI FL,1,2.45,2.32,3.5,4.9,46,220,92.0,25,25,1.8,1.6,0,0,0.0,88.0,22,4,4.3,25,54.3,1,11,,,,67.8,64.3,73.3,63.9,,,,0,0,26,0.0,118.3,0.0,0,0,0,0,1,0,0.0,230,9.2,66.7,15,17,16.2,3.46,0,2,10.5,58.8,10,9,0.0,21,45.7,0,6,,,,67.5,78.2,72.8,76.1,,63.1,,0,1,23,33.3,113.8,14.3,3,1,0,2,2,2,8.7,196,11.5
Jarret Doege,60353,QB,W VIRGINIA,1,2.69,2.69,,,46,343,87.5,24,25,6.9,2.0,1,2,7.7,72.0,18,3,14.3,25,54.3,3,11,,,,67.8,91.1,73.3,90.8,,,,0,1,26,0.0,93.6,0.0,0,0,0,0,1,0,0.0,209,8.4,70.6,17,21,12.3,3.51,2,3,13.0,57.1,12,5,0.0,21,45.7,0,7,,,,67.6,70.8,73.0,67.8,,64.3,,0,1,24,0.0,93.6,0.0,0,0,0,2,2,1,4.2,161,7.7
Jake Haener,60596,QB,FRESNO ST,1,2.46,2.45,2.6,4.8,46,169,65.2,23,23,9.1,1.87,0,1,4.2,65.2,15,6,0.0,24,52.2,0,6,,,,67.6,57.7,73.1,57.5,,,,0,0,25,16.7,94.8,4.2,1,0,0,0,1,1,4.0,132,5.7,61.1,18,19,15.6,3.24,0,1,4.5,57.9,11,10,0.0,21,45.7,0,5,,,,67.6,73.0,73.0,74.3,,57.3,,0,0,24,10.0,88.5,4.8,1,1,0,1,0,0,0.0,174,9.2
Nic Baker,87541,QB,S ILLINOIS,1,2.41,2.39,2.7,,45,295,77.8,27,30,7.1,1.99,2,0,0.0,66.7,20,4,4.8,30,66.7,1,10,,,,68.3,77.4,73.9,76.7,,,,1,1,31,0.0,68.9,0.0,0,0,0,0,0,0,0.0,181,6.0,66.7,12,12,11.3,3.25,0,2,16.7,58.3,7,7,12.5,15,33.3,1,3,,,,21.3,46.3,71.4,46.3,,,,0,1,15,42.9,89.6,20.0,3,0,0,0,1,2,13.3,132,11.0
Westin Elliott,60433,QB,MERRIMACK,1,2.56,2.52,3.0,,45,385,81.8,22,22,6.7,1.92,0,1,4.3,72.7,16,5,11.1,23,51.1,2,7,,,,67.5,77.8,73.0,77.0,,,,0,1,24,20.0,98.7,4.3,1,0,0,0,2,1,4.2,130,5.9,70.0,20,20,10.6,3.22,0,0,0.0,60.0,12,9,14.3,22,48.9,2,4,,,,67.6,62.1,73.1,61.8,,,,0,0,25,22.2,95.2,9.1,2,0,0,0,1,0,0.0,127,6.4
