player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ephraim Floyd,168347,WR,E TENN ST,1,3.7,3.7,,,1,157,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,23.0,3.7,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,34.5,64.1,,38.9,,,,,0,1,1,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Nick Poulos,188474,QB,OHIO,1,2.5,2.5,,,1,259,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,3.0,2.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,60.6,63.6,,60.4,,,,,0,0,1,,135.4,0.0,0,0,0,0,1,0,0.0,7,7.0
John Dunmore,101705,WR,TOWSON,1,3.5,3.5,,,1,317,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,5.0,3.5,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,50.3,64.1,,57.7,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Taylor Tatum,188782,HB,OKLAHOMA,1,3.0,3.0,,,1,261,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-5.0,3.0,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,61.9,63.4,,61.0,,,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,18,18.0
Sean Atkins,101127,WR,USF,1,4.4,4.4,,,1,327,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,4.4,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,56.5,63.4,,60.0,,,,,0,0,1,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Harry Traum,159407,P,INDIANA ST,1,2.4,2.4,,,1,191,100.0,1,1,0.0,2.4,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.6,70.3,,60.6,,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Bryson Martin,192289,QB,FL A&M,1,2.2,2.2,,,1,164,100.0,1,1,6.0,2.2,0,0,0.0,100.0,1,1,0.0,1,100.0,0,0,,,,60.3,61.7,63.6,,61.6,,,,,0,0,1,0.0,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Cobey Thompkins,192469,QB,CITADEL,1,2.0,2.0,,,1,139,100.0,1,1,7.0,2.0,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,,,,60.3,53.7,63.6,,53.9,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Malcolm Mays,165409,QB,HAMPTON,1,4.1,4.1,,,1,178,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,6.0,4.1,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,28.1,63.6,,28.6,,,,,0,1,1,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Dalvin Smith,98019,WR,W KENTUCKY,1,3.1,3.1,,,1,346,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,41.0,3.1,0,1,100.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,90.8,63.4,,87.3,,,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,51,51.0
Jawaun Northington,165194,HB,MURRAY ST,1,1.7,1.7,,,1,236,100.0,1,1,6.0,1.7,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,60.3,72.2,63.6,,71.7,,,,,0,0,1,0.0,118.8,0.0,0,0,0,0,1,0,0.0,1,1.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Malik Knight,159944,WR,W CAROLINA,1,2.9,2.9,,,1,344,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,5.0,2.9,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,41.3,63.4,,44.6,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Trace Campbell,163649,QB,UAB,1,2.7,2.7,,,1,321,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,24.0,2.7,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,50.0,63.6,,50.4,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Kam Shanks,173347,WR,UAB,1,4.1,,4.1,,1,321,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.1,0,0,,,0,1,,1,100.0,0,0,,,,60.3,56.5,64.3,,60.0,,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Broc Lowry,173383,QB,W MICHIGAN,1,4.0,,,4.0,1,347,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.0,0,0,,,0,0,,1,100.0,0,1,,,,60.3,67.6,63.6,,,,63.2,,,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,
Logan Brabham,149647,QB,MARIST,1,2.0,2.0,,,1,213,100.0,1,1,-2.0,2.0,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.6,63.6,,60.4,,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Billy Atkins,148354,QB,JAMES MAD,1,2.4,2.4,,,1,197,0.0,1,1,27.0,2.4,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,50.5,63.6,,50.8,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
J.T. Fayard,172783,QB,NWSTATE,1,2.2,2.2,,,1,257,0.0,1,1,13.0,2.2,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,48.1,63.6,,48.5,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Jon Bell,148223,QB,S DAK ST,1,1.8,1.8,,,1,292,0.0,1,1,5.0,1.8,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,60.8,63.6,,60.6,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Zy McDonald,147137,QB,JACKSON ST,1,2.3,2.3,,,1,194,100.0,1,1,33.0,2.3,0,1,100.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,88.4,63.6,,87.3,,,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,29,29.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Egypt Nelson,172724,WR,VA MILT IN,1,4.7,,4.7,,1,336,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.7,0,0,,,0,1,,1,100.0,0,0,,,,60.3,56.5,64.1,,60.0,,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,
Ryan Millmore,174678,P,W MICHIGAN,1,2.3,2.3,,,1,347,0.0,1,1,18.0,2.3,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,47.0,70.3,,36.7,,,,,0,1,1,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Ayden Greene,174784,WR,VA TECH,1,0.0,,,,1,337,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Jake Rubley,144589,QB,ILL STATE,1,3.2,3.2,,,1,188,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,41.0,3.2,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,57.9,63.6,,58.0,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,41,41.0
Landon Reed,149821,FB,STTHOM,1,3.2,3.2,,,1,1129,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,15.0,3.2,0,1,100.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,79.6,63.8,,85.9,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,24,24.0
Suderian Harrison,175436,WR,VIRGINIA,1,4.1,4.1,,,1,335,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,22.0,4.1,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,60.3,79.7,63.4,,76.2,,,,,0,0,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,27,27.0
Anthony Williams,144472,HB,STF AUSTIN,1,2.8,2.8,,,1,301,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,13.0,2.8,0,0,0.0,0.0,0,1,100.0,1,100.0,1,0,,,,60.3,69.9,62.7,,73.1,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Jordan Napier,175759,WR,S DIEGO ST,1,2.8,2.8,,,1,284,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,4.0,2.8,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,42.9,64.1,,45.9,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Elliot Huether,172157,K,STTHOM,1,5.3,5.3,,,1,1129,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,1,,5.3,1,0,0.0,0.0,0,1,,1,100.0,0,0,,,,60.3,58.8,70.3,,59.4,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Caleb Burke,142312,WR,NEW HAMP,1,3.0,3.0,,,1,240,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,22.0,3.0,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,60.3,52.7,62.7,,50.4,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Gavin Lochow,177638,WR,DAYTON,1,3.2,3.2,,,1,150,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,29.0,3.2,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,60.3,72.3,63.8,,76.2,,,,,0,0,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,29,29.0
Cooper Hutton,142156,WR,UC DAVIS,1,3.1,3.1,,,1,322,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,20.0,3.1,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,79.7,67.8,,76.2,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,29,29.0
Bryce Corriston,139140,QB,WOFFORD,1,3.9,3.9,,,1,350,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,13.0,3.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,75.0,63.6,,74.3,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,20,20.0
Ashley Tucker Jr.,73973,QB,ALAB A&M,1,2.3,,2.3,,1,104,,0,0,,2.3,0,0,,,0,1,,1,100.0,0,0,,,,60.3,59.7,63.6,,60.0,,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Alec Bevelhimer,130511,K,MIAMI OH,1,4.3,4.3,,,1,221,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,-8.0,4.3,0,0,0.0,0.0,0,1,,1,100.0,0,0,,,,,43.9,70.3,,42.8,,,,,0,1,1,0.0,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0
Luke Elzinga,130433,P,OKLAHOMA,1,2.4,2.4,,,1,261,100.0,1,1,9.0,2.4,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,60.3,68.0,70.3,,71.5,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,43,43.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Ken Seals,124359,QB,TCU,1,0.6,0.6,,,1,305,100.0,1,1,-5.0,0.6,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,60.3,60.6,63.6,,60.4,,,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
