player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Max Brosmer,105568,QB,NEW HAMP,1,2.43,2.29,2.8,6.25,64,240,77.1,35,38,8.1,1.99,2,2,4.8,68.4,26,5,3.7,38,59.4,1,16,,69.1,70.7,74.9,70.1,,,0,1,42,0.0,88.2,0.0,0,0,0,1,1,1,2.4,285,7.5,76.2,21,23,8.8,3.06,2,1,4.3,65.2,15,10,6.3,26,40.6,1,7,,67.8,66.5,73.3,70.6,,51.6,0,0,26,10.0,97.2,3.8,1,2,0,0,1,1,3.8,145,6.3
Danny Lauter,162145,QB,GEORGETOWN,1,2.23,2.12,2.7,4.8,60,172,84.4,32,38,3.2,1.84,5,0,0.0,65.8,25,9,7.4,39,65.0,2,8,,32.5,51.5,74.9,51.4,,,1,1,42,11.1,74.1,2.6,1,0,0,0,1,2,4.8,177,4.7,58.8,17,18,17.8,2.95,0,2,10.5,55.6,10,8,0.0,21,35.0,0,9,,67.4,87.5,72.7,86.9,,62.6,1,1,22,12.5,114.4,4.8,1,2,0,0,2,1,4.5,251,13.9
Cole Gonzales,159939,QB,W CAROLINA,1,3.0,2.85,3.73,3.9,60,344,76.5,17,18,10.7,1.85,1,0,0.0,61.1,11,5,15.4,19,31.7,2,6,,23.4,35.0,72.2,35.4,,,0,1,19,20.0,65.3,5.3,1,0,0,0,1,3,15.8,73,4.1,75.9,29,33,12.0,3.53,0,2,5.6,63.6,21,18,4.5,41,68.3,1,16,,33.7,70.5,75.1,66.7,,69.1,1,2,44,11.1,109.2,4.9,2,6,0,3,4,3,6.8,315,9.5
Cam Ward,133244,QB,WASH STATE,1,2.44,2.16,2.73,5.06,58,341,87.5,32,34,2.5,1.54,1,1,2.9,76.5,26,8,7.1,36,62.1,2,7,,68.7,63.3,74.4,62.9,,,1,0,36,25.0,98.2,5.6,2,0,0,0,1,0,0.0,184,5.4,64.3,14,16,12.6,3.92,0,0,0.0,56.3,9,13,0.0,22,37.9,0,12,,67.8,67.9,73.4,58.1,,74.6,0,0,27,7.7,83.1,4.5,1,5,0,2,0,1,3.7,131,8.2
Aidan Sayin,148974,QB,PENN,1,2.38,2.33,3.0,3.8,57,267,65.5,29,29,5.2,1.82,0,1,3.4,62.1,18,8,5.3,30,52.6,1,11,,28.0,53.1,73.7,52.9,,,0,3,30,12.5,49.7,3.3,1,0,0,0,1,3,10.0,167,5.8,69.6,23,25,12.3,3.0,0,3,11.5,56.0,14,11,12.5,27,47.4,2,10,,68.0,92.1,73.5,90.7,,69.3,2,0,28,9.1,87.9,3.7,1,1,0,0,1,0,0.0,155,6.2
Ashton Daniels,157259,QB,STANFORD,1,2.95,2.57,4.45,4.79,57,300,96.2,26,28,4.7,2.03,0,0,0.0,85.7,24,4,4.0,28,49.1,1,9,,68.3,72.3,73.9,71.7,,,0,0,31,0.0,92.9,0.0,0,0,0,2,0,0,0.0,176,6.3,56.3,16,19,20.7,3.84,0,4,20.0,42.1,8,22,11.1,29,50.9,1,8,,27.7,82.0,73.7,82.4,,64.6,0,0,30,9.1,99.5,6.9,2,8,0,3,1,1,3.3,204,10.7
Alex Flinn,123797,QB,E CAROLINA,1,3.18,2.62,4.28,5.51,56,156,61.9,21,22,4.0,1.84,0,0,0.0,54.5,12,6,7.7,23,41.1,1,4,,67.5,34.9,72.8,35.2,,,0,1,23,16.7,74.8,4.3,1,0,0,1,2,1,4.3,84,3.8,57.9,19,21,9.2,4.12,0,1,4.8,52.4,11,18,0.0,33,58.9,0,10,,68.5,52.2,74.2,44.2,,66.5,0,0,34,22.2,73.7,12.1,4,8,0,2,0,2,5.9,141,6.7
Shedeur Sanders,131396,QB,COLORADO,1,2.54,2.3,2.47,4.42,56,143,81.5,27,30,6.2,1.76,3,2,6.7,70.0,21,10,4.5,33,58.9,1,10,,28.6,62.1,74.1,61.7,,,0,0,33,30.0,98.6,9.1,3,0,0,0,1,1,3.0,195,6.5,66.7,9,14,4.3,3.67,0,0,0.0,42.9,6,16,0.0,23,41.1,0,4,,67.8,48.8,73.3,48.5,,57.0,0,0,26,18.8,50.3,13.0,3,6,0,5,0,0,0.0,22,1.6
Carter Bradley,77685,QB,S ALABAMA,1,2.48,2.35,3.3,4.5,55,288,70.8,24,24,5.0,1.82,0,0,0.0,66.7,16,4,5.9,25,45.5,1,8,,26.3,35.3,73.3,35.6,,,0,1,26,25.0,74.8,4.0,1,0,0,0,1,2,7.7,119,5.0,59.1,22,25,14.5,3.03,2,2,7.7,52.0,13,12,0.0,30,54.5,0,11,,27.7,50.9,73.9,48.5,,64.3,0,1,31,33.3,85.8,13.3,4,1,0,1,1,3,9.7,262,10.5
Pat McQuaide,145792,QB,NICHOLLS,1,2.67,2.66,4.9,3.6,55,243,62.1,29,30,6.6,1.87,1,0,0.0,50.0,15,3,16.7,30,54.5,3,6,,68.3,48.6,73.9,48.6,,,0,0,31,0.0,82.1,0.0,0,0,0,0,1,0,0.0,196,6.5,61.1,18,22,15.8,3.78,0,2,8.7,45.5,10,11,9.1,24,43.6,1,8,,67.7,68.1,73.1,69.4,,57.3,0,1,25,9.1,61.4,4.2,1,1,0,4,1,0,0.0,133,6.0
