player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Marquez McCray,109056,QB,SACR HEART,1,3.28,2.78,3.38,4.78,25,280,75.0,12,12,8.1,1.98,0,0,0.0,75.0,9,2,0.0,13,52.0,0,8,,,,,66.0,82.6,71.0,,81.8,,,,,,0,0,13,50.0,107.6,7.7,1,0,0,0,0,0,0.0,124,10.3,66.7,3,4,17.0,4.68,0,1,16.7,50.0,2,7,0.0,12,48.0,0,2,,,,,66.4,82.0,71.4,,88.6,,,59.8,,,0,0,15,42.9,84.4,25.0,3,5,0,1,0,0,0.0,39,9.8
Devin Grainger,78496,QB,GA STATE,1,2.21,2.21,,,25,175,75.0,16,17,5.1,1.8,0,1,5.3,64.7,11,4,8.3,17,68.0,1,5,,,,,67.0,74.3,72.2,,73.8,,,,,,1,0,19,0.0,104.0,0.0,0,0,0,0,1,0,0.0,116,6.8,71.4,7,8,23.3,3.09,0,1,12.5,62.5,5,3,0.0,8,32.0,0,4,,,,,64.9,78.9,69.5,,78.3,,,,,,1,0,8,0.0,137.5,0.0,0,0,0,0,1,0,0.0,84,10.5
Brendon Lewis,131687,QB,COLORADO,1,3.35,3.07,3.93,4.7,24,143,75.0,8,9,3.1,2.07,1,0,0.0,55.6,5,0,16.7,9,37.5,1,1,,,,,65.1,33.8,69.8,,33.9,,,,,,0,0,9,,62.3,0.0,0,0,0,0,0,1,11.1,30,3.3,57.1,7,8,10.4,4.13,0,0,0.0,50.0,4,11,0.0,15,62.5,0,1,,,,,66.5,34.2,71.6,,34.9,,,57.8,,,0,1,16,54.5,24.5,40.0,6,1,0,1,0,1,6.3,39,4.9
Caleb Williams,144622,QB,OKLAHOMA,1,3.75,3.37,5.15,8.8,24,261,100.0,6,6,2.8,1.89,0,0,0.0,100.0,6,2,0.0,7,29.2,0,5,,,,,64.6,83.3,69.1,,82.7,,,,,,0,0,7,50.0,154.2,14.3,1,0,0,0,1,0,0.0,69,11.5,76.9,13,15,14.5,4.51,0,0,0.0,60.0,9,7,10.0,17,70.8,1,4,,,,,66.8,57.7,72.0,,56.1,,,62.0,,,0,1,18,14.3,76.8,5.9,1,1,0,2,1,1,5.6,109,7.3
C.J. Ogbonna,149182,QB,SE MO ST,1,2.29,2.29,,,24,293,64.3,14,15,9.1,1.61,0,2,13.3,53.3,8,2,11.1,15,62.5,1,4,,,,,66.4,62.9,71.4,,62.6,,,,,,1,0,15,0.0,101.8,0.0,0,0,0,0,1,0,0.0,119,7.9,62.5,8,9,20.9,3.41,0,0,0.0,55.6,5,3,0.0,9,37.5,0,4,,,,,65.1,77.1,69.8,,76.5,,,,,,0,0,9,0.0,120.1,0.0,0,0,0,1,1,0,0.0,75,8.3
Ethan Grady,149266,QB,BUCKNELL,1,2.63,2.61,2.9,,24,125,100.0,7,7,4.3,1.41,0,1,14.3,100.0,7,0,0.0,7,29.2,0,2,,,,,64.6,84.0,69.1,,83.4,,,,,,0,0,7,,140.2,0.0,0,0,0,0,1,0,0.0,57,8.1,78.6,14,16,16.5,3.12,0,3,18.8,43.8,7,7,36.4,17,70.8,4,6,,,,,66.7,91.1,71.8,,90.8,,,,,,1,2,17,14.3,67.4,5.9,1,0,0,1,2,1,5.9,111,6.9
Artur Sitkowski,83547,QB,ILLINOIS,1,3.13,2.98,3.58,4.0,24,187,71.4,7,7,6.9,1.84,0,0,0.0,71.4,5,1,0.0,7,29.2,0,2,,,,,64.6,78.9,69.1,,78.4,,,,,,0,0,7,0.0,77.1,0.0,0,0,0,0,0,0,0.0,26,3.7,36.4,11,12,10.8,3.65,0,1,5.9,25.0,3,9,25.0,17,70.8,1,1,,,,,14.6,22.1,72.7,,22.4,,,57.3,,,0,1,22,44.4,4.9,23.5,4,1,0,1,0,4,18.2,12,1.0
Theo Day,83515,QB,N IOWA,1,2.97,2.74,4.53,,24,255,62.5,8,9,10.5,2.17,1,1,11.1,44.4,4,0,20.0,9,37.5,1,2,,,,,65.1,50.9,69.8,,50.9,,,,,,0,1,9,,64.4,0.0,0,0,0,0,1,1,11.1,60,6.7,80.0,10,12,19.5,3.45,0,1,8.3,58.3,7,7,12.5,15,62.5,1,7,,,,,66.4,75.3,71.4,,74.7,,,,,,2,0,15,42.9,102.8,20.0,3,0,0,0,0,0,0.0,172,14.3
Jaren Hall,82094,QB,BYU,1,2.72,2.41,3.25,5.3,24,128,100.0,10,10,3.1,1.71,0,0,0.0,90.0,9,0,10.0,10,41.7,1,5,,,,,65.4,89.9,70.1,,89.1,,,,,,0,0,10,,93.8,0.0,0,0,0,0,0,0,0.0,65,6.5,60.0,10,10,13.5,3.44,0,0,0.0,60.0,6,5,0.0,14,58.3,0,4,,,,,66.0,67.4,71.2,,67.0,,,61.0,,,0,0,14,40.0,84.6,14.3,2,2,0,0,0,0,0.0,78,7.8
Jalani Eason,52172,QB,MS VLY ST,1,2.75,2.15,4.75,5.23,24,228,91.7,12,13,4.6,1.73,1,0,0.0,84.6,11,0,0.0,13,54.2,0,2,,,,,66.4,63.8,71.4,,63.5,,,,,,0,0,15,,86.9,0.0,0,0,0,0,0,0,0.0,63,4.8,100.0,6,6,19.7,3.95,0,1,16.7,66.7,4,6,33.3,11,45.8,2,3,,,,,23.7,86.4,70.4,,93.6,,,46.6,,,0,0,11,33.3,149.3,18.2,2,3,0,0,1,0,0.0,132,22.0
Zach Calzada,98006,QB,TEXAS A&M,1,3.1,3.1,,,24,312,80.0,10,11,4.5,2.03,0,1,8.3,63.6,7,0,12.5,11,45.8,1,6,,,,,65.8,84.1,70.7,,83.5,,,,,,0,0,12,,97.5,0.0,0,0,0,1,0,0,0.0,112,10.2,54.5,11,13,11.2,4.0,0,1,7.7,38.5,5,8,16.7,13,54.2,1,5,,,,,66.0,73.1,71.0,,72.6,,,,,,0,1,13,0.0,65.7,0.0,0,0,0,2,2,1,7.7,75,5.8
Mike Wright Jr.,124366,QB,VANDERBILT,1,3.56,2.95,4.98,5.9,23,333,85.7,7,7,2.3,1.69,0,0,0.0,85.7,6,0,0.0,7,30.4,0,2,,,,,64.6,69.6,69.1,,69.3,,,,,,0,0,7,,89.3,0.0,0,0,0,0,0,0,0.0,38,5.4,85.7,7,10,7.6,4.38,0,1,10.0,60.0,6,8,0.0,16,69.6,0,1,,,,,66.5,39.5,71.6,,44.1,,,51.4,,,0,1,16,50.0,47.5,25.0,4,2,0,3,0,1,6.3,84,8.4
Chris Ferguson,40105,QB,TOWSON,1,2.77,2.61,3.05,5.3,23,317,50.0,14,14,12.5,2.0,0,0,0.0,42.9,6,3,14.3,15,65.2,1,4,,,,,66.4,29.6,71.4,,29.8,,,,,,0,2,15,33.3,50.0,6.7,1,0,0,0,1,2,13.3,94,6.7,60.0,5,6,7.0,4.2,0,0,0.0,50.0,3,3,0.0,8,34.8,0,1,,,,,15.7,28.4,69.5,,28.7,,,57.3,,,0,1,8,33.3,25.7,12.5,1,1,0,1,0,2,25.0,31,5.2
Malik Cunningham,60436,QB,LOUISVILLE,1,3.39,2.68,,5.38,23,210,66.7,6,6,6.5,1.95,0,0,0.0,50.0,3,0,25.0,6,26.1,1,2,,,,,64.9,51.3,69.5,,51.3,,,,,,0,1,8,,22.9,0.0,0,0,0,0,0,1,12.5,27,4.5,54.5,11,11,14.3,3.89,0,0,0.0,54.5,6,5,0.0,17,73.9,0,8,,,,,66.7,66.1,71.8,,58.8,,,68.4,,,0,1,17,0.0,40.0,0.0,0,6,0,0,0,1,5.9,80,7.3
Skyler Perry,82082,QB,ARKAPB,1,2.99,2.48,3.95,4.68,23,112,60.0,5,7,7.6,1.67,2,0,0.0,42.9,3,2,0.0,7,30.4,0,0,,,,,64.9,70.8,69.5,,70.4,,,,,,0,0,8,0.0,50.3,0.0,0,0,0,0,0,0,0.0,19,2.7,50.0,8,10,11.1,3.57,0,1,9.1,40.0,4,11,0.0,16,69.6,0,4,,,,,66.7,45.2,71.8,,46.9,,,54.6,,,0,1,17,18.2,32.5,12.5,2,4,0,2,0,1,5.9,88,8.8
