player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Lindsey Scott Jr.,40219,QB,INCAR WORD,1,2.61,2.24,3.05,4.35,39,189,71.4,21,22,8.8,1.55,1,1,4.3,63.6,14,1,6.7,22,56.4,1,7,,,,,67.5,66.8,72.8,66.4,,,0,0,23,0.0,114.4,0.0,0,0,0,0,3,1,4.3,104,4.7,75.0,8,9,22.0,3.96,0,2,20.0,55.6,5,6,16.7,17,43.6,1,5,,,,,66.8,61.0,72.0,63.5,,57.7,0,0,18,33.3,137.5,11.8,2,6,0,1,1,1,5.6,115,12.8
Matthew Sluka,143059,QB,HOLY CROSS,1,3.68,3.22,3.6,5.28,38,181,77.8,9,10,6.3,1.91,1,0,0.0,50.0,5,1,28.6,10,26.3,2,3,,,,,65.4,64.8,70.1,64.5,,,0,1,10,0.0,22.5,0.0,0,0,0,0,0,0,0.0,44,4.4,52.9,17,17,14.2,4.31,0,0,0.0,47.1,8,10,11.1,28,73.7,1,10,,,,,17.5,49.1,73.6,29.9,,79.3,0,0,29,30.0,60.4,10.7,3,8,0,0,0,4,13.8,78,4.6
Michael Hiers,88636,QB,SAMFORD,1,3.12,2.91,3.28,5.95,36,282,83.3,12,12,3.7,1.89,0,0,0.0,75.0,9,2,10.0,12,33.3,1,2,,,,,65.8,49.8,70.7,49.7,,,0,1,12,0.0,52.8,0.0,0,0,0,0,0,1,8.3,66,5.5,72.2,18,18,9.9,3.74,0,1,5.3,72.2,13,16,0.0,24,66.7,0,9,,,,,67.7,87.0,73.1,79.5,,76.9,0,0,25,25.0,118.1,16.7,4,2,0,0,1,1,4.0,161,8.9
Jake Dunniway,60572,QB,SACRAMENTO,1,2.58,2.56,,3.2,33,279,80.0,15,15,5.3,1.95,0,0,0.0,73.3,11,4,8.3,15,45.5,1,6,,,,,66.5,52.6,71.6,52.6,,,0,1,16,0.0,91.0,0.0,0,0,0,0,1,1,6.3,120,8.0,50.0,16,17,14.1,3.11,0,1,5.0,47.1,8,11,0.0,18,54.5,0,6,,,,,67.2,67.8,72.5,64.8,,64.3,0,1,21,0.0,62.9,0.0,0,1,0,1,1,1,4.8,108,6.4
Asher O'Hara,78529,QB,SACRAMENTO,1,3.18,2.73,4.93,4.18,31,279,70.0,10,12,0.4,1.91,1,0,0.0,58.3,7,4,0.0,12,38.7,0,3,,,,,66.0,49.0,71.0,48.9,,,0,0,13,0.0,66.7,0.0,0,0,0,1,0,0,0.0,46,3.8,70.0,10,11,10.9,3.98,0,0,0.0,63.6,7,15,0.0,19,61.3,0,8,,,,,22.9,58.7,72.2,57.6,,60.5,1,0,19,20.0,127.8,15.8,3,5,0,0,1,1,5.3,112,10.2
Darius Wilson,148492,QB,WM & MARY,1,4.29,3.79,6.67,4.78,25,348,75.0,4,4,1.0,1.83,0,0,0.0,75.0,3,0,0.0,4,16.0,0,0,,,,,63.3,57.8,67.4,57.7,,,0,0,4,,77.1,0.0,0,0,0,0,0,0,0.0,12,3.0,41.7,12,14,11.2,4.76,2,1,7.1,28.6,4,9,20.0,21,84.0,1,2,,,,,67.2,61.3,72.5,46.5,,78.9,0,1,21,33.3,12.2,14.3,3,4,0,0,0,1,4.8,50,3.6
Mark Gronowski,138303,QB,S DAK ST,1,2.46,2.33,3.9,4.0,24,292,60.0,15,15,9.7,1.89,0,0,0.0,53.3,8,1,11.1,15,62.5,1,4,,,,,66.4,61.9,71.4,61.7,,,0,0,15,0.0,111.7,0.0,0,0,0,0,2,0,0.0,92,6.1,66.7,6,7,17.7,3.41,0,1,14.3,57.1,4,4,0.0,9,37.5,0,5,,,,,65.1,78.8,69.8,74.5,,64.2,0,0,9,25.0,100.3,11.1,1,1,0,1,0,0,0.0,85,12.1
Cam Miller,125299,QB,N DAK ST,1,3.2,2.35,4.65,6.3,24,250,90.9,11,11,4.2,1.88,0,0,0.0,90.9,10,3,0.0,12,50.0,0,5,,,,,65.6,74.5,70.7,74.0,,,0,0,12,33.3,129.5,8.3,1,0,0,0,1,0,0.0,86,7.8,71.4,7,7,13.7,4.52,0,1,12.5,71.4,5,4,0.0,12,50.0,0,5,,,,,66.0,82.1,71.0,83.5,,63.1,0,0,13,25.0,113.7,8.3,1,4,0,0,0,0,0.0,108,15.4
Quincy Crittendon,149944,QB,SAMFORD,1,3.1,2.87,3.2,4.37,21,282,50.0,10,10,1.9,1.85,0,0,0.0,50.0,5,5,0.0,10,47.6,0,3,,,,,65.6,49.0,70.4,49.0,,,0,0,11,0.0,57.1,0.0,0,0,0,0,0,0,0.0,32,3.2,42.9,7,7,2.4,4.24,0,0,0.0,42.9,3,9,0.0,11,52.4,0,2,,,,,65.6,53.0,70.4,43.5,,66.9,0,0,11,11.1,50.3,9.1,1,3,0,0,0,0,0.0,20,2.9
Tommy Mellott,147646,QB,MONTANA ST,1,3.09,2.8,2.63,4.4,15,233,60.0,5,5,15.2,2.03,0,1,20.0,60.0,3,3,0.0,7,46.7,0,2,,,,,64.6,60.5,69.1,60.3,,,0,0,7,66.7,121.7,28.6,2,0,0,0,1,0,0.0,36,7.2,100.0,4,4,10.8,4.01,0,0,0.0,100.0,4,4,0.0,8,53.3,0,4,,,,,65.1,60.4,69.8,61.8,,58.8,0,0,9,25.0,118.8,12.5,1,3,0,0,0,1,11.1,70,17.5
Cade Ballard,102861,QB,ARMY,1,2.66,2.27,3.7,5.5,12,114,50.0,6,6,10.3,1.97,0,0,0.0,33.3,2,1,33.3,6,50.0,1,1,,,,,64.2,55.1,68.6,55.0,,,0,0,6,0.0,49.3,0.0,0,0,0,0,0,0,0.0,28,4.7,0.0,4,4,20.5,3.35,0,0,0.0,0.0,0,4,,6,50.0,0,0,,,,,64.9,42.3,69.5,43.8,,57.8,0,0,8,25.0,39.6,16.7,1,1,0,0,0,0,0.0,0,0.0
Xavier Arline,121831,QB,NAVY,1,6.13,3.0,,7.17,4,237,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,23.0,6.13,0,0,0.0,100.0,1,3,0.0,4,100.0,0,2,,,,,63.8,68.1,68.1,73.0,,59.0,0,0,5,0.0,158.3,0.0,0,3,0,0,1,0,0.0,25,25.0
Tyhier Tyler,82083,QB,ARMY,1,4.03,4.5,3.1,,3,114,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,2,23.0,4.03,0,0,0.0,0.0,0,3,,3,100.0,0,0,,,,,62.7,54.3,66.6,54.3,,,0,0,3,33.3,39.6,33.3,1,0,0,1,0,0,0.0,0,0.0
Maasai Maynor,101057,QB,NAVY,1,3.9,3.9,,,2,237,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,2,2,39.5,3.9,0,0,0.0,0.0,0,1,,2,100.0,0,0,,,,,61.8,50.1,65.5,50.3,,,0,0,2,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Tyler Purdy,101842,HB,HOLY CROSS,1,2.1,2.1,,,1,181,100.0,1,1,17.0,2.1,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,,60.3,71.7,63.8,75.4,,,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,27,27.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Cam Skattebo,147787,HB,SACRAMENTO,1,2.8,2.8,,,1,279,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,24.0,2.8,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1,,,,,60.3,79.7,64.1,76.2,,,0,0,1,0.0,158.3,0.0,0,0,0,0,1,0,0.0,19,19.0
Sean Chambers,75888,QB,MONTANA ST,1,3.2,3.2,,,1,233,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,14.0,3.2,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1,,,,,60.3,73.2,63.6,72.6,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,39,39.0
