player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Maverick McIvor,99476,QB,ABILENE CH,1,2.92,2.8,4.35,4.3,50,100,65.0,20,20,7.8,2.07,0,0,0.0,60.0,12,6,7.7,20,40.0,1,7,,,,67.2,62.7,72.5,62.4,,,,0,0,21,0.0,94.0,0.0,0,0,0,0,1,1,4.8,121,6.1,61.5,26,26,12.6,3.48,0,0,0.0,53.8,14,11,12.5,30,60.0,2,10,,,,28.0,58.1,73.9,63.6,,,44.6,0,2,31,18.2,54.5,6.7,2,2,0,0,1,3,9.7,167,6.4
Jarrett Guest,97997,QB,BRYANT,1,2.72,2.72,3.2,3.95,48,124,68.8,32,32,7.1,1.99,0,1,3.1,62.5,20,3,9.1,32,66.7,2,10,,,,68.4,59.1,74.0,58.9,,,,0,0,32,0.0,94.9,0.0,0,0,0,0,1,0,0.0,233,7.3,54.5,11,12,13.7,4.46,0,2,16.7,41.7,5,9,16.7,15,31.3,1,2,,,,66.4,66.5,71.4,71.5,,,53.1,0,0,15,11.1,72.2,6.7,1,2,0,1,0,0,0.0,102,8.5
Fernando Mendoza,158323,QB,CAL,1,2.7,2.33,3.19,4.64,48,130,70.8,24,24,9.1,1.91,0,1,4.2,66.7,16,5,5.9,25,52.1,1,8,,,,67.7,62.9,73.1,62.6,,,,0,0,25,20.0,88.0,4.0,1,0,0,0,0,0,0.0,175,7.3,72.7,11,12,14.6,3.55,0,0,0.0,50.0,6,14,25.0,23,47.9,2,8,,,,25.2,56.2,72.8,54.8,,,60.5,0,1,23,42.9,53.5,26.1,6,5,0,1,0,2,8.7,128,10.7
Ethan Hampton,145858,QB,N ILLINOIS,1,2.66,2.36,3.7,5.65,48,254,65.4,26,29,6.8,1.89,2,0,0.0,55.2,16,8,5.9,29,60.4,1,11,,,,68.1,71.9,73.6,71.3,,,,1,1,29,0.0,58.3,0.0,0,0,0,0,0,1,3.4,171,5.9,81.8,11,14,10.4,3.83,0,1,6.7,50.0,7,9,22.2,19,39.6,2,1,,,,23.9,58.6,72.4,61.2,,,56.3,0,0,20,11.1,56.3,5.3,1,4,0,3,0,1,5.0,23,1.6
Spencer Petras,82136,QB,UTAH ST,1,2.6,2.55,2.9,4.2,47,329,75.0,24,24,6.4,1.86,0,0,0.0,62.5,15,0,16.7,24,51.1,3,9,,,,67.7,54.4,73.1,54.2,,,,0,0,25,,94.8,0.0,0,0,0,0,1,2,8.0,154,6.4,61.1,18,20,12.3,3.37,0,1,4.8,55.0,11,8,0.0,23,48.9,0,7,,,,25.6,57.5,73.0,59.0,,,57.3,0,1,24,25.0,72.7,8.7,2,1,0,2,1,2,8.3,139,7.0
Kyle McCord,145053,QB,SYRACUSE,1,2.5,2.44,3.18,4.7,47,304,70.4,27,28,7.2,2.0,1,0,0.0,60.7,17,7,10.5,31,66.0,2,11,,,,68.3,53.0,74.0,52.9,,,,0,2,32,42.9,58.3,9.7,3,0,0,0,1,2,6.3,158,5.6,75.0,12,13,12.8,3.71,0,2,14.3,69.2,9,6,0.0,15,31.9,0,6,,,,66.5,92.0,71.6,90.1,,,69.3,0,0,16,16.7,137.5,6.7,1,1,0,1,1,0,0.0,173,13.3
Behren Morton,144747,QB,TEXAS TECH,1,2.28,2.16,3.65,5.0,47,315,71.4,28,30,4.6,1.78,2,0,0.0,63.3,19,5,5.0,31,66.0,1,9,,,,68.5,55.8,74.2,55.5,,,,0,0,34,20.0,96.0,3.2,1,0,0,0,2,1,2.9,136,4.5,61.5,13,14,11.6,3.26,0,1,6.7,35.7,5,6,37.5,16,34.0,3,5,,,,66.7,63.9,71.8,65.4,,,57.8,0,0,17,16.7,50.3,6.3,1,1,0,1,0,0,0.0,62,4.4
Draylen Ellis,121346,QB,TENN STATE,1,3.05,2.69,4.46,4.95,47,308,81.0,21,22,4.3,1.76,0,0,0.0,72.7,16,2,5.9,23,48.9,1,7,,,,67.5,71.4,72.8,70.9,,,,1,0,23,50.0,93.8,4.3,1,0,0,0,0,0,0.0,164,7.5,46.2,13,16,20.1,4.29,0,3,15.8,37.5,6,16,0.0,24,51.1,0,5,,,,67.9,56.6,73.4,55.4,,,61.8,0,2,27,37.5,35.4,25.0,6,2,0,3,1,2,7.4,80,5.0
Miles Hastings,103943,QB,UC DAVIS,1,2.76,2.52,2.83,5.9,46,322,77.8,18,19,4.7,1.75,0,0,0.0,68.4,13,2,7.1,19,41.3,1,4,,,,67.1,56.5,72.4,56.2,,,,0,0,20,0.0,95.3,0.0,0,0,0,1,1,0,0.0,85,4.5,75.0,20,21,10.6,3.47,0,1,4.3,66.7,14,11,6.7,27,58.7,1,14,,,,68.1,87.0,73.6,86.1,,,64.2,0,0,29,27.3,95.1,11.1,3,3,0,1,0,0,0.0,189,9.0
Sam Leavitt,175465,QB,ARIZONA ST,1,3.25,2.81,7.4,5.4,46,110,73.7,19,19,3.4,1.99,0,0,0.0,68.4,13,1,7.1,19,41.3,1,7,,,,67.0,56.7,72.2,56.5,,,,0,0,19,0.0,93.3,0.0,0,0,0,0,0,0,0.0,156,8.2,52.6,19,20,20.4,4.13,0,1,4.2,45.0,9,15,10.0,27,58.7,1,7,,,,68.3,63.4,73.9,65.3,,,57.1,0,1,31,6.7,45.0,3.7,1,6,0,1,0,1,3.2,126,6.3
