player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ashton Daniels,157259,QB,STANFORD,1,3.23,2.92,3.8,6.9,42,300,81.0,21,21,4.7,1.85,0,1,4.5,76.2,16,2,5.9,21,50.0,1,6,,,,67.4,59.9,72.7,59.7,,,,0,1,22,0.0,67.6,0.0,0,0,0,0,0,1,4.5,110,5.2,50.0,14,17,16.6,4.6,0,0,0.0,41.2,7,12,0.0,21,50.0,0,6,,,,67.4,57.4,72.7,53.6,,,65.9,0,1,22,8.3,48.2,4.8,1,3,0,3,1,2,9.1,68,4.0
Daniel Richardson,97103,QB,FL A&M,1,2.79,2.63,3.85,4.8,42,164,92.3,13,16,1.4,1.83,1,0,0.0,75.0,12,3,0.0,16,38.1,0,2,,,,66.7,65.5,71.8,65.1,,,,1,0,17,0.0,82.3,0.0,0,0,0,1,0,0,0.0,68,4.3,65.0,20,22,17.7,3.38,0,2,7.7,54.5,12,11,7.7,26,61.9,1,10,,,,28.0,70.8,73.9,73.8,,,52.4,1,0,31,18.2,89.8,7.7,2,2,0,1,0,2,6.5,223,10.1
Jake Garcia,143941,QB,E CAROLINA,1,2.74,2.53,3.67,4.33,42,156,62.5,16,16,3.8,1.85,0,0,0.0,50.0,8,4,20.0,16,38.1,2,2,,,,66.7,53.6,71.8,53.6,,,,0,0,17,0.0,56.3,0.0,0,0,0,0,0,0,0.0,28,1.8,72.2,18,20,17.7,3.28,0,1,4.8,60.0,12,11,7.7,26,61.9,1,11,,,,67.9,68.2,73.4,61.7,,,73.5,0,1,27,27.3,67.9,11.5,3,3,0,2,0,1,3.7,176,8.8
Mekhi Hagens,167009,QB,ARKAPB,1,3.21,3.03,4.03,4.6,41,112,75.0,16,17,4.0,1.85,0,0,0.0,70.6,12,5,0.0,17,41.5,0,5,,,,66.8,71.3,72.0,70.8,,,,1,1,18,0.0,102.8,0.0,0,0,0,0,1,0,0.0,191,11.2,42.9,14,18,19.2,4.18,0,0,0.0,16.7,3,15,50.0,24,58.5,3,5,,,,26.3,57.9,73.4,47.5,,,77.9,0,0,27,20.0,58.1,12.5,3,3,0,4,1,2,7.4,48,2.7
Dean DeNobile,159740,QB,LAFAYETTE,1,3.19,2.65,7.17,6.95,41,203,84.2,19,19,4.6,1.58,0,0,0.0,84.2,16,1,0.0,19,46.3,0,6,,,,67.0,62.0,72.2,61.7,,,,0,0,19,0.0,83.8,0.0,0,0,0,0,0,0,0.0,78,4.1,46.7,15,17,21.2,4.58,0,4,22.2,41.2,7,7,0.0,22,53.7,0,4,,,,25.6,51.8,73.0,64.9,,,34.1,0,1,24,42.9,98.7,13.6,3,2,0,2,2,2,8.3,194,11.4
Ty Pennington,185022,QB,N ARIZONA,1,2.84,2.69,3.25,4.8,41,252,81.3,16,17,4.8,1.87,1,1,5.9,64.7,11,4,15.4,18,43.9,2,3,,,,23.3,67.9,72.0,67.5,,,,0,0,18,25.0,76.1,5.6,1,0,0,0,0,1,5.6,82,4.8,61.1,18,18,13.6,3.6,0,6,31.6,50.0,9,12,18.2,23,56.1,2,9,,,,25.9,86.6,73.0,86.5,,,61.5,0,0,24,25.0,100.5,13.0,3,2,0,0,1,2,8.3,165,9.2
Dylan Raiola,183581,QB,NEBRASKA,1,3.04,3.0,3.34,,41,238,66.7,12,13,8.1,1.78,0,1,7.7,61.5,8,2,0.0,13,31.7,0,4,,,,66.0,79.1,71.0,78.5,,,,0,1,13,0.0,68.4,0.0,0,0,0,1,1,0,0.0,67,5.2,77.3,22,23,12.6,3.62,0,3,12.5,69.6,16,12,5.9,28,68.3,1,11,,,,17.7,78.4,73.6,77.6,,,,0,0,29,41.7,130.7,17.9,5,0,0,1,2,2,6.9,230,10.0
Brett Gabbert,97404,QB,MIAMI OH,1,2.39,2.18,3.25,4.3,41,221,51.9,27,27,7.1,1.99,0,0,0.0,51.9,14,4,0.0,27,65.9,0,6,,,,67.9,34.2,73.4,34.7,,,,0,2,27,0.0,32.8,0.0,0,0,0,0,0,2,7.4,119,4.4,0.0,5,8,28.2,3.15,0,0,0.0,0.0,0,8,,14,34.1,0,2,,,,21.8,32.1,0.0,28.9,,,70.6,0,0,16,50.0,39.6,28.6,4,2,0,3,0,1,6.3,0,0.0
Alonza Barnett III,156710,QB,JAMES MAD,1,2.83,2.42,4.25,5.58,40,197,88.9,18,19,6.8,1.75,1,0,0.0,63.2,12,1,25.0,19,47.5,4,5,,,,67.0,65.6,72.2,65.3,,,,0,0,19,0.0,94.0,0.0,0,0,0,0,1,0,0.0,99,5.2,73.3,15,15,20.5,3.8,0,2,13.3,66.7,10,8,9.1,21,52.5,1,9,,,,67.2,81.4,72.5,82.7,,,61.2,0,0,21,25.0,149.3,9.5,2,4,0,0,4,0,0.0,282,18.8
Aidan Chiles,173727,QB,MICH STATE,1,2.92,2.64,3.3,5.23,40,223,65.0,20,21,9.1,1.97,1,0,0.0,57.1,12,5,7.7,21,52.5,1,7,,,,67.2,71.9,72.5,71.4,,,,0,2,21,0.0,36.3,0.0,0,0,0,0,0,2,9.5,132,6.3,54.5,11,14,20.9,3.96,0,1,7.1,35.7,5,9,16.7,19,47.5,1,8,,,,67.0,71.6,72.2,60.9,,,76.5,1,1,19,11.1,34.5,5.3,1,4,0,2,0,2,10.5,109,7.8
Johnathan Bennett,104158,QB,CITADEL,1,2.54,2.41,3.8,4.8,40,139,50.0,20,20,11.7,1.89,0,1,5.0,50.0,10,7,0.0,20,50.0,0,5,,,,67.1,45.6,72.4,45.8,,,,0,1,20,0.0,49.2,0.0,0,0,0,0,0,2,10.0,126,6.3,57.1,14,17,17.6,3.19,0,1,5.3,41.2,7,10,12.5,20,50.0,1,6,,,,67.4,71.5,72.7,68.6,,,64.3,0,0,22,20.0,80.0,10.0,2,1,0,3,0,0,0.0,178,10.5
Max Brosmer,105568,QB,MINNESOTA,1,2.55,2.36,3.6,5.35,40,225,75.0,20,20,6.9,1.94,0,1,5.0,70.0,14,5,6.7,20,50.0,1,6,,,,67.1,77.3,72.4,76.7,,,,0,1,20,0.0,83.5,0.0,0,0,0,0,1,0,0.0,131,6.6,64.3,14,17,10.5,3.16,0,1,5.9,47.1,8,9,11.1,20,50.0,1,5,,,,67.1,72.9,72.4,77.5,,,53.1,0,1,20,11.1,55.5,5.0,1,2,0,3,1,0,0.0,78,4.6
Ben Wooldridge,82115,QB,LA LAFAYET,1,2.95,2.68,4.8,5.6,40,207,78.6,14,15,5.4,2.02,1,0,0.0,66.7,10,5,9.1,15,37.5,1,4,,,,67.0,46.2,72.2,46.4,,,,0,2,19,0.0,38.3,0.0,0,0,0,0,0,1,5.3,73,4.9,47.4,19,21,12.7,3.51,0,0,0.0,42.9,9,13,0.0,25,62.5,0,8,,,,68.0,64.3,73.5,61.2,,,66.6,0,0,28,7.7,101.9,4.0,1,3,0,2,2,0,0.0,163,7.8
Kaiya Sheron,62530,QB,TENN MARTN,1,2.97,2.49,3.74,4.24,39,310,92.3,13,13,2.6,1.94,0,0,0.0,92.3,12,0,0.0,13,33.3,0,1,,,,66.2,70.7,71.2,70.3,,,,0,0,14,,109.9,0.0,0,0,0,0,1,0,0.0,55,4.2,61.5,13,14,15.3,3.48,0,1,5.9,57.1,8,11,0.0,26,66.7,0,8,,,,17.5,54.7,73.6,56.5,,,56.0,0,0,29,45.5,120.5,19.2,5,7,0,1,1,2,6.9,158,11.3
Kirk Francis,173296,QB,TULSA,1,2.57,2.41,2.7,5.55,39,320,85.7,21,21,3.7,1.83,0,2,9.1,76.2,16,2,11.1,21,53.8,2,6,,,,67.4,78.6,72.7,77.9,,,,0,0,22,0.0,89.0,0.0,0,0,0,0,0,0,0.0,118,5.6,64.3,14,15,11.9,3.44,0,1,6.7,53.3,8,4,11.1,18,46.2,1,4,,,,66.8,63.6,72.0,67.9,,,53.1,0,0,18,25.0,99.3,5.6,1,2,0,1,1,0,0.0,110,7.3
Kaidon Salter,132046,QB,LIBERTY,1,3.0,2.37,6.65,5.6,39,206,84.2,19,19,6.3,1.88,0,1,5.3,73.7,14,0,12.5,19,48.7,2,8,,,,67.0,79.6,72.2,78.9,,,,0,0,19,,132.3,0.0,0,0,0,0,2,0,0.0,154,8.1,45.5,11,13,23.1,4.07,0,2,14.3,38.5,5,11,0.0,20,51.3,0,6,,,,67.2,85.2,72.5,83.6,,,67.2,1,1,21,18.2,63.8,10.0,2,5,0,1,2,1,4.8,69,5.3
Garrett Greene,123420,QB,W VIRGINIA,1,3.5,2.85,6.13,5.45,39,343,63.6,11,12,8.2,2.08,1,0,0.0,58.3,7,3,0.0,12,30.8,0,6,,,,66.0,68.3,71.0,67.9,,,,0,1,13,0.0,90.3,0.0,0,0,0,0,2,1,7.7,100,8.3,64.3,14,18,17.4,4.13,1,2,11.1,44.4,8,14,11.1,27,69.2,1,12,,,,67.9,88.9,73.4,86.4,,,69.5,2,1,27,21.4,61.1,11.1,3,6,0,1,0,0,0.0,195,10.8
Richie Munoz,173668,QB,WEBER ST,1,2.56,2.38,3.3,4.05,38,342,65.2,23,23,13.4,1.91,0,2,8.7,65.2,15,4,0.0,23,60.5,0,8,,,,67.5,79.8,72.8,79.0,,,,0,1,23,0.0,120.5,0.0,0,0,0,0,3,1,4.3,235,10.2,57.1,7,9,11.6,3.56,0,0,0.0,44.4,4,9,0.0,15,39.5,0,3,,,,66.4,58.5,0.0,61.0,,,61.8,0,0,15,44.4,81.7,26.7,4,2,0,2,0,0,0.0,92,10.2
Adrian Mejia,159496,QB,ST FRANCIS,1,2.94,2.38,3.78,5.52,38,299,72.2,18,19,1.8,1.75,1,0,0.0,57.9,11,3,15.4,19,50.0,2,3,,,,67.1,59.0,72.4,58.7,,,,0,1,20,0.0,42.7,0.0,0,0,0,0,0,0,0.0,65,3.4,66.7,9,10,8.7,4.13,0,1,10.0,40.0,4,13,33.3,19,50.0,2,5,,,,67.0,65.9,72.2,53.9,,,73.1,0,0,19,30.8,54.6,21.1,4,5,0,1,0,0,0.0,46,4.6
Cam Ward,133244,QB,MIAMI FL,1,2.63,2.29,,5.6,38,220,66.7,24,24,10.9,1.91,0,1,4.0,62.5,15,0,6.3,24,63.2,1,12,,,,67.7,68.1,73.1,67.6,,,,0,1,25,,122.0,0.0,0,0,0,0,3,1,4.0,263,11.0,90.0,10,10,8.1,3.88,0,1,7.1,90.0,9,7,0.0,14,36.8,0,9,,,,66.8,86.0,72.0,87.5,,,62.9,0,0,18,0.0,118.8,0.0,0,4,0,0,0,0,0.0,141,14.1
Connor Bazelak,99135,QB,BOWL GREEN,1,2.61,2.62,2.35,,38,122,60.9,23,23,4.0,1.98,0,0,0.0,60.9,14,6,0.0,25,65.8,0,7,,,,67.9,60.4,73.4,60.1,,,,0,1,27,33.3,61.5,8.0,2,0,0,0,0,1,3.7,148,6.4,54.5,11,13,11.7,3.81,0,1,7.7,46.2,6,7,0.0,13,34.2,0,3,,,,66.0,72.3,71.0,71.8,,,,0,0,13,0.0,98.9,0.0,0,0,0,2,1,0,0.0,102,7.8
Carson Budke,195054,QB,RU,1,2.69,2.59,3.53,,38,1529,70.6,17,17,7.3,1.87,0,1,5.3,64.7,11,5,8.3,17,44.7,1,6,,,,67.0,77.2,72.2,76.5,,,,0,0,19,0.0,82.0,0.0,0,0,0,0,0,0,0.0,106,6.2,63.6,11,17,15.8,3.35,0,2,10.5,35.3,6,15,14.3,21,55.3,1,4,,,,67.4,65.4,72.8,65.0,,,,0,1,23,26.7,90.3,19.0,4,0,0,6,2,1,4.3,180,10.6
Jacob Clark,101628,QB,MO STATE,1,2.8,2.62,2.87,5.7,38,230,87.5,16,16,4.0,2.06,0,1,6.3,81.3,13,5,7.1,17,44.7,1,9,,,,66.7,88.2,71.8,87.3,,,,0,0,17,20.0,158.3,5.9,1,0,0,0,2,0,0.0,213,13.3,76.5,17,17,11.3,3.4,0,2,11.1,76.5,13,12,0.0,21,55.3,0,7,,,,67.4,91.7,72.7,92.8,,,52.6,0,0,22,16.7,135.4,9.5,2,2,0,0,1,0,0.0,204,12.0
Carter Peevy,129563,QB,MAINE,1,3.18,2.71,3.6,5.16,38,212,72.7,11,11,6.4,1.8,0,0,0.0,72.7,8,1,0.0,12,31.6,0,3,,,,66.0,59.0,71.0,58.8,,,,0,0,13,100.0,108.1,8.3,1,0,0,0,1,1,7.7,40,3.6,86.7,15,16,10.7,3.81,0,2,11.8,62.5,10,13,23.1,26,68.4,3,10,,,,67.9,82.0,73.4,80.7,,,66.0,0,0,27,38.5,122.9,19.2,5,5,0,1,1,0,0.0,184,11.5
Jack Wagner,175111,QB,IDAHO,1,2.76,2.64,7.1,,36,185,66.7,18,19,9.8,1.86,1,1,5.3,57.9,11,1,8.3,19,52.8,1,8,,,,67.0,79.2,72.2,78.4,,,,0,0,19,0.0,89.6,0.0,0,0,0,0,1,0,0.0,99,5.2,43.8,16,16,22.6,3.77,0,1,6.3,43.8,7,2,0.0,17,47.2,0,4,,,,67.0,60.0,72.5,63.6,,,53.1,0,0,19,50.0,99.5,5.9,1,0,0,0,1,1,5.3,154,9.6
Taylen Green,145996,QB,ARKANSAS,1,3.33,2.97,2.25,5.35,36,111,53.3,15,15,9.7,2.02,0,0,0.0,46.7,7,6,12.5,17,47.2,1,1,,,,66.7,54.2,71.8,54.1,,,,0,1,17,33.3,25.7,11.8,2,0,0,0,0,0,0.0,45,3.0,55.6,9,13,13.4,4.49,0,0,0.0,38.5,5,11,0.0,19,52.8,0,9,,,,67.2,64.7,72.5,49.3,,,75.5,0,1,21,0.0,61.7,0.0,0,6,0,4,1,1,4.8,106,8.2
Keyone Jenkins,170403,QB,FIU,1,2.44,2.27,2.2,4.37,36,166,87.0,23,23,6.8,1.97,0,1,3.8,78.3,18,2,10.0,24,66.7,2,12,,,,24.1,56.6,73.4,56.4,,,,0,0,27,50.0,117.2,4.2,1,0,0,0,0,2,7.4,279,12.1,75.0,8,9,18.1,3.38,0,1,9.1,55.6,5,10,16.7,12,33.3,1,6,,,,66.2,75.3,71.2,78.5,,,58.3,1,0,14,0.0,126.4,0.0,0,3,0,0,2,0,0.0,83,9.2
Tucker Gleason,122475,QB,TOLEDO,1,2.6,2.55,2.75,4.0,36,316,73.7,19,19,6.1,1.89,0,1,4.8,68.4,13,8,7.1,20,55.6,1,6,,,,67.5,47.1,72.8,47.1,,,,0,1,23,12.5,90.5,5.0,1,0,0,0,1,2,8.7,163,8.6,60.0,10,14,9.9,3.5,1,0,0.0,42.9,6,13,0.0,16,44.4,0,3,,,,66.7,44.4,72.0,42.4,,,60.6,1,1,18,7.7,44.3,6.3,1,1,0,2,1,1,5.6,37,2.6
Cam'Ron Ransom,147110,QB,BETH COOK,1,2.72,2.49,4.5,4.4,35,119,88.9,18,20,2.4,1.75,1,1,4.8,75.0,15,2,6.3,20,57.1,1,5,,,,67.2,73.5,72.5,73.0,,,,1,0,21,0.0,92.5,0.0,0,0,0,0,0,0,0.0,134,6.7,70.0,10,11,15.3,4.01,0,2,18.2,63.6,7,9,0.0,15,42.9,0,7,,,,66.4,88.9,71.4,85.0,,,68.5,1,0,15,22.2,146.8,13.3,2,2,0,0,3,0,0.0,242,22.0
Marcel Reed,175940,QB,TEXAS A&M,1,3.23,2.76,3.8,5.8,35,312,71.4,14,14,4.0,2.06,0,0,0.0,71.4,10,2,0.0,14,40.0,0,4,,,,66.2,62.0,71.2,61.7,,,,0,0,14,0.0,88.4,0.0,0,0,0,0,0,0,0.0,90,6.4,46.7,15,15,17.9,4.0,0,0,0.0,40.0,6,10,14.3,21,60.0,1,6,,,,67.4,53.7,72.7,52.0,,,60.8,0,0,22,10.0,98.1,4.8,1,5,0,0,2,0,0.0,83,5.5
Darius Wilson,148492,QB,WM & MARY,1,2.98,2.49,3.4,4.88,35,348,53.8,13,13,7.0,1.7,0,0,0.0,46.2,6,1,14.3,13,37.1,1,3,,,,66.5,55.7,71.6,55.6,,,,0,0,16,0.0,58.5,0.0,0,0,0,0,0,0,0.0,56,4.3,36.4,11,13,13.5,3.74,0,1,7.7,30.8,4,15,0.0,22,62.9,0,4,,,,67.4,41.6,72.7,29.4,,,69.8,0,1,22,20.0,48.7,13.6,3,6,0,2,2,1,4.5,42,3.2
Seth Morgan,103954,QB,NEW HAMP,1,2.61,2.5,2.25,4.7,35,240,76.5,17,17,5.7,1.93,0,0,0.0,76.5,13,4,0.0,18,51.4,0,6,,,,24.3,56.8,72.5,56.6,,,,0,0,21,25.0,128.1,5.6,1,0,0,0,2,1,4.8,94,5.5,69.2,13,14,17.1,3.33,0,2,13.3,64.3,9,4,0.0,17,48.6,0,7,,,,67.0,81.1,0.0,87.4,,,57.5,0,0,19,25.0,147.3,5.9,1,2,0,1,2,0,0.0,219,15.6
Malachi Marshall,191694,QB,STNY BROOK,1,2.8,2.58,5.0,5.2,35,303,55.6,18,19,8.4,1.78,1,0,0.0,47.4,9,2,10.0,19,54.3,1,4,,,,67.2,44.3,72.5,44.5,,,,0,0,21,0.0,62.6,0.0,0,0,0,0,0,0,0.0,96,5.1,36.4,11,13,13.5,4.01,0,0,0.0,30.8,4,10,0.0,16,45.7,0,4,,,,66.7,52.8,71.8,46.2,,,69.5,0,0,17,10.0,49.8,6.3,1,2,0,2,0,0,0.0,69,5.3
Luke Altmyer,146802,QB,ILLINOIS,1,3.05,2.57,4.7,4.63,35,187,100.0,16,17,9.1,1.94,1,1,5.6,82.4,14,2,12.5,17,48.6,2,10,,,,66.8,87.9,72.0,86.9,,,,0,0,18,0.0,148.9,0.0,0,0,0,0,3,0,0.0,174,10.2,77.8,9,10,9.1,4.09,0,0,0.0,70.0,7,12,0.0,18,51.4,0,4,,,,24.3,56.4,72.5,65.6,,,49.4,0,0,21,16.7,110.8,11.1,2,6,0,1,1,1,4.8,41,4.1
Santino Marucci,144197,QB,NEW MEX ST,1,2.64,2.34,2.6,4.4,35,242,68.8,16,18,5.8,1.78,1,0,0.0,55.6,10,4,9.1,18,51.4,1,5,,,,67.1,62.7,72.4,62.4,,,,1,0,20,0.0,60.9,0.0,0,0,0,0,0,0,0.0,44,2.4,50.0,10,11,20.0,3.56,0,0,0.0,36.4,4,8,20.0,17,48.6,1,4,,,,23.9,54.3,72.4,62.9,,,47.5,0,2,20,12.5,35.6,5.9,1,5,0,1,1,2,10.0,30,2.7
Connor Watkins,108971,QB,VILLANOVA,1,2.36,2.21,2.9,3.7,34,334,52.6,19,21,8.3,1.91,2,0,0.0,47.6,10,4,0.0,22,64.7,0,3,,,,67.7,41.9,73.1,42.1,,,,0,0,25,25.0,56.1,4.5,1,0,0,0,0,1,4.0,72,3.4,33.3,6,8,14.5,3.17,0,1,11.1,25.0,2,7,0.0,12,35.3,0,3,,,,66.0,66.4,71.0,65.7,,,61.3,1,0,13,28.6,84.4,16.7,2,2,0,1,1,0,0.0,34,4.3
Byrum Brown,156206,QB,USF,1,2.88,2.7,3.1,5.35,34,327,93.3,15,15,1.0,1.96,0,0,0.0,93.3,14,4,0.0,15,44.1,0,5,,,,66.7,60.8,71.8,60.5,,,,0,0,17,0.0,111.4,0.0,0,0,0,0,0,0,0.0,161,10.7,38.5,13,15,15.5,3.6,0,0,0.0,33.3,5,11,0.0,19,55.9,0,5,,,,67.4,55.5,72.7,55.9,,,58.2,0,0,22,18.2,55.7,10.5,2,2,0,2,0,0,0.0,93,6.2
Caden Veltkamp,156642,QB,W KENTUCKY,1,2.42,2.19,3.6,4.7,34,346,78.9,19,19,5.3,1.76,0,1,5.3,73.7,14,2,6.7,19,55.9,1,8,,,,67.0,69.0,72.2,68.5,,,,0,0,19,0.0,115.5,0.0,0,0,0,0,1,1,5.3,157,8.3,70.0,10,11,16.6,3.25,1,1,7.7,54.5,6,6,14.3,15,44.1,1,2,,,,66.7,44.9,72.0,49.6,,,50.5,0,2,18,33.3,36.0,13.3,2,2,0,0,0,2,11.1,74,6.7
Isaac Wilson,183872,QB,UTAH,1,2.98,2.63,3.3,6.17,34,328,63.6,11,11,7.8,1.88,0,0,0.0,63.6,7,2,0.0,11,32.4,0,2,,,,65.6,39.6,70.4,39.8,,,,0,1,11,0.0,38.8,0.0,0,0,0,0,0,2,18.2,57,5.2,66.7,15,18,11.0,3.51,1,0,0.0,55.6,10,15,0.0,23,67.6,0,9,,,,67.5,64.1,72.8,51.7,,,79.5,2,1,23,13.3,77.5,8.7,2,3,0,0,1,1,4.3,146,8.1
Mikey Keene,70961,QB,FRESNO ST,1,2.19,2.12,4.3,,34,169,92.0,25,25,3.5,1.77,0,0,0.0,84.0,21,4,8.7,25,73.5,2,8,,,,67.9,67.5,73.4,67.1,,,,0,0,27,0.0,105.8,0.0,0,0,0,0,1,0,0.0,155,6.2,75.0,8,8,9.8,3.34,0,0,0.0,62.5,5,2,16.7,9,26.5,1,3,,,,66.2,55.4,71.2,57.5,,,57.3,0,0,14,50.0,91.1,11.1,1,0,0,0,0,0,0.0,71,8.9
Cameron Peters,123326,QB,PRVIEW A&M,1,2.72,2.18,3.27,3.89,34,270,58.3,12,14,11.2,1.79,0,1,5.3,42.9,6,3,14.3,15,44.1,1,3,,,,67.1,29.7,72.4,29.9,,,,1,0,20,33.3,121.7,6.7,1,0,0,1,2,2,10.0,149,10.6,66.7,6,7,18.7,3.46,0,0,0.0,42.9,3,10,25.0,19,55.9,1,2,,,,67.2,62.1,72.5,62.9,,,59.8,0,0,21,50.0,64.0,26.3,5,7,0,1,0,1,4.8,44,6.3
Billy Edwards Jr.,144185,QB,MARYLAND,1,2.15,2.05,3.6,3.9,34,215,100.0,19,19,4.6,1.43,0,2,10.5,94.7,18,0,5.3,19,55.9,1,11,,,,67.0,91.6,72.2,91.4,,,,0,1,19,,111.8,0.0,0,0,0,0,2,0,0.0,146,7.7,83.3,12,13,10.6,3.06,0,0,0.0,76.9,10,6,0.0,15,44.1,0,7,,,,66.4,72.3,71.4,68.6,,,64.1,0,0,15,16.7,118.3,6.7,1,1,0,1,0,0,0.0,182,14.0
Jake Cady,167521,QB,WAGNER,1,2.83,2.41,3.87,4.88,34,338,61.5,13,16,5.3,1.71,3,0,0.0,43.8,7,0,12.5,16,47.1,1,1,,,,66.5,55.5,71.6,55.3,,,,0,0,16,,51.0,0.0,0,0,0,0,0,0,0.0,37,2.3,66.7,9,11,14.3,3.82,0,0,0.0,54.5,6,10,0.0,18,52.9,0,5,,,,67.0,62.0,72.2,66.8,,,53.9,0,0,19,30.0,118.6,16.7,3,4,0,2,2,0,0.0,83,7.5
Brogan McCaughey,164697,QB,YALE,1,2.41,2.43,,4.3,34,352,70.8,24,25,12.2,1.9,1,1,4.0,68.0,17,5,0.0,25,73.5,0,10,,,,67.7,68.2,73.1,67.7,,,,0,0,25,0.0,107.4,0.0,0,0,0,0,1,1,4.0,212,8.5,25.0,4,7,17.3,4.29,0,0,0.0,14.3,1,6,0.0,8,23.5,0,1,,,,65.4,27.9,70.1,28.5,,,56.3,1,0,10,0.0,39.6,0.0,0,1,0,2,0,1,10.0,5,0.7
JC French IV,162521,QB,GA SOUTHRN,1,2.79,2.16,4.43,5.85,34,174,81.0,21,21,1.4,1.77,0,0,0.0,76.2,16,5,5.9,21,61.8,1,4,,,,67.4,63.3,72.7,63.0,,,,0,1,22,0.0,63.4,0.0,0,0,0,0,0,1,4.5,89,4.2,100.0,5,6,5.4,4.45,0,0,0.0,66.7,4,10,20.0,13,38.2,1,1,,,,22.9,55.3,72.0,69.4,,,45.7,1,0,18,30.0,71.5,23.1,3,4,0,0,0,1,5.6,20,3.3
Marqui Adams,161340,QB,DELWARE ST,1,3.32,2.96,2.73,4.81,34,152,88.9,9,10,5.1,2.0,1,0,0.0,70.0,7,1,12.5,11,32.4,1,3,,,,65.6,73.2,70.4,72.8,,,,0,0,11,100.0,111.7,9.1,1,0,0,0,1,0,0.0,43,4.3,90.9,11,14,16.6,3.96,1,4,22.2,64.3,9,17,10.0,23,67.6,1,9,,,,67.9,92.7,73.4,89.5,,,83.2,0,0,27,11.8,125.0,8.7,2,7,0,2,1,0,0.0,153,10.9
Alan Bowman,77679,QB,OKLA STATE,1,2.17,2.13,3.5,,34,262,56.5,23,23,8.3,1.62,0,0,0.0,56.5,13,3,0.0,23,67.6,0,7,,,,67.8,57.1,73.3,57.0,,,,0,1,26,0.0,87.8,0.0,0,0,0,0,2,1,3.8,153,6.7,37.5,8,10,11.9,3.32,1,0,0.0,30.0,3,5,0.0,11,32.4,0,2,,,,65.6,43.0,70.4,43.1,,,,0,1,11,20.0,9.6,9.1,1,0,0,1,0,1,9.1,53,5.3
Luca Stanzani,159449,QB,LIUSHAR,1,2.62,2.27,3.63,4.9,34,1298,76.2,21,21,7.0,1.86,0,2,9.5,71.4,15,2,6.3,21,61.8,1,7,,,,67.2,84.3,72.5,83.5,,,,0,0,21,0.0,125.5,0.0,0,0,0,0,2,0,0.0,162,7.7,20.0,5,7,20.2,3.85,0,0,0.0,14.3,1,8,0.0,13,38.2,0,3,,,,66.0,58.9,71.0,51.7,,,66.7,0,0,13,37.5,39.6,23.1,3,3,0,2,0,0,0.0,14,2.0
Joe Pesansky,149434,QB,HOLY CROSS,1,3.1,2.66,2.8,5.12,34,181,50.0,14,14,8.9,1.88,0,0,0.0,42.9,6,1,14.3,14,41.2,1,6,,,,66.2,71.2,71.2,70.7,,,,0,0,14,0.0,56.0,0.0,0,0,0,0,0,0,0.0,61,4.4,46.2,13,13,31.2,3.95,0,5,38.5,46.2,6,12,0.0,20,58.8,0,9,,,,23.9,91.3,72.4,88.0,,,76.0,0,0,20,8.3,118.3,5.0,1,6,0,0,1,2,10.0,218,16.8
DJ Uiagalelei,122162,QB,FLORIDA ST,1,3.27,2.87,4.27,5.87,33,167,88.9,9,9,7.6,2.04,0,1,11.1,88.9,8,3,0.0,9,27.3,0,4,,,,65.1,91.1,69.8,90.8,,,,0,0,9,0.0,143.5,0.0,0,0,0,0,1,0,0.0,86,9.6,60.0,15,18,13.6,3.73,0,0,0.0,44.4,8,13,11.1,24,72.7,1,5,,,,67.7,45.1,73.1,48.9,,,50.7,0,1,25,23.1,37.0,12.5,3,3,0,3,0,1,4.0,91,5.1
