player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jordan Yates,97416,QB,GA TECH,1,3.18,2.85,3.57,4.9,38,176,58.3,12,13,8.9,2.0,0,0,0.0,53.8,7,3,0.0,13,34.2,0,2,,,,,66.0,68.9,71.0,,68.5,,,,,1,0,13,0.0,60.1,0.0,0,0,0,0,0,0,0.0,41,3.2,50.0,14,15,5.9,3.8,0,0,0.0,46.7,7,18,0.0,25,65.8,0,5,,,,,26.0,41.8,73.1,,33.4,,68.3,,,1,1,25,33.3,28.5,24.0,6,4,0,0,0,2,8.0,55,3.7
Davis Shanley,60604,QB,TENN TECH,1,3.16,3.1,3.3,5.0,38,309,92.9,14,14,2.7,1.87,0,0,0.0,78.6,11,1,15.4,14,36.8,2,4,,,,,66.2,87.6,71.2,,86.8,,,,,0,0,14,0.0,119.9,0.0,0,0,0,0,1,0,0.0,99,7.1,50.0,22,22,13.0,3.91,0,0,0.0,50.0,11,7,0.0,24,63.2,0,6,,,,,67.8,49.3,73.3,,50.5,,57.3,,,0,2,26,14.3,30.9,4.2,1,1,0,0,0,2,7.7,132,6.0
Austin Day,106411,QB,MARIST,1,3.45,3.07,4.15,4.7,38,213,80.0,10,11,3.8,2.05,1,0,0.0,72.7,8,3,0.0,11,28.9,0,5,,,,,65.6,78.1,70.4,,77.5,,,,,0,0,11,0.0,119.9,0.0,0,0,0,0,1,0,0.0,71,6.5,87.5,16,16,7.0,4.03,0,1,5.6,75.0,12,12,14.3,27,71.1,2,8,,,,,28.3,52.8,0.0,,40.9,,75.7,,,0,1,31,50.0,95.1,22.2,6,5,0,0,1,5,16.1,137,8.6
Juwan Carter,91113,QB,NORFOLK,1,2.4,1.98,3.95,3.37,38,244,65.2,23,23,10.1,1.71,0,0,0.0,60.9,14,4,6.7,23,60.5,1,9,,,,,67.6,57.5,73.0,,57.3,,,,,0,1,24,0.0,82.2,0.0,0,0,0,0,1,2,8.3,182,7.9,100.0,4,5,10.3,3.47,0,0,0.0,60.0,3,7,25.0,15,39.5,1,7,,,,,66.5,90.0,71.6,,81.8,,74.6,,,0,0,16,57.1,139.2,26.7,4,6,0,1,1,0,0.0,57,11.4
Brandon Peters,40416,QB,ILLINOIS,1,2.95,2.93,3.35,,38,187,69.2,13,13,5.5,2.02,0,1,7.7,53.8,7,2,22.2,13,34.2,2,3,,,,,66.0,74.9,71.0,,74.4,,,,,0,0,13,0.0,92.5,0.0,0,0,0,0,1,0,0.0,62,4.8,45.5,22,23,19.0,3.44,0,2,8.0,39.1,9,11,10.0,25,65.8,1,7,,,,,67.9,55.9,73.4,,55.7,,,,,0,2,27,18.2,46.6,8.0,2,0,0,1,1,1,3.7,186,8.1
Gavin Hardison,100827,QB,UTEP,1,2.46,2.44,2.7,,38,330,77.8,18,18,11.4,1.83,0,2,10.0,77.8,14,1,0.0,19,50.0,0,11,,,,,24.3,71.3,72.5,,70.8,,,,,0,0,21,100.0,155.8,5.3,1,0,0,0,2,2,9.5,239,13.3,60.0,15,17,14.5,3.1,1,1,5.9,52.9,9,6,0.0,19,50.0,0,5,,,,,67.0,62.1,72.2,,61.9,,,,,1,1,19,33.3,52.8,10.5,2,0,0,0,0,1,5.3,127,7.5
C.J. Stroud,129759,QB,OHIO STATE,1,2.52,2.39,3.25,5.5,38,260,94.4,18,18,2.3,1.66,0,0,0.0,94.4,17,0,0.0,18,47.4,0,10,,,,,66.8,89.0,72.0,,88.2,,,,,0,0,18,,135.2,0.0,0,0,0,0,2,0,0.0,136,7.6,94.1,17,17,13.9,3.3,0,3,17.6,88.2,15,6,6.3,20,52.6,1,12,,,,,67.1,93.7,72.4,,93.1,,63.2,,,0,0,20,33.3,158.3,10.0,2,1,0,0,4,0,0.0,296,17.4
Michael Brescia,149295,QB,COLGATE,1,3.14,2.85,3.1,6.2,37,142,76.9,13,13,4.9,2.0,0,0,0.0,69.2,9,1,10.0,14,37.8,1,3,,,,,66.2,59.5,71.2,,59.3,,,,,0,0,14,100.0,74.8,7.1,1,0,0,0,0,0,0.0,47,3.6,63.2,19,19,19.3,3.83,0,0,0.0,42.1,8,4,33.3,23,62.2,4,10,,,,,67.6,75.7,73.0,,73.1,,66.6,,,0,0,24,25.0,104.1,4.3,1,3,0,0,2,0,0.0,145,7.6
Jared Lewis,108959,QB,DELWARE ST,1,3.24,3.16,3.55,5.2,37,152,90.0,10,10,7.4,2.04,0,1,10.0,90.0,9,3,0.0,10,27.0,0,6,,,,,65.4,92.3,70.1,,92.0,,,,,0,0,10,0.0,140.4,0.0,0,0,0,0,3,0,0.0,82,8.2,59.1,22,24,14.0,3.68,0,0,0.0,45.8,11,18,15.4,27,73.0,2,5,,,,,68.0,64.8,73.5,,62.1,,64.3,,,0,0,28,11.1,75.0,7.4,2,1,0,2,1,0,0.0,120,5.0
Matt McDonald,60350,QB,BOWL GREEN,1,2.71,2.43,3.41,4.7,37,122,72.2,18,19,5.9,1.98,1,1,5.3,57.9,11,8,15.4,22,59.5,2,3,,,,,67.4,73.9,72.7,,73.3,,,,,0,0,22,37.5,65.5,13.6,3,0,0,0,0,0,0.0,69,3.6,25.0,8,9,19.4,3.77,0,0,0.0,22.2,2,9,0.0,15,40.5,0,2,,,,,22.4,37.0,71.8,,38.0,,57.8,,,1,0,17,55.6,45.1,33.3,5,1,0,0,0,1,5.9,39,4.3
